date,action,ticker,name,contraticker,contraname,note
2021-02-19,current,ZTS,Zoetis Inc,N/A,N/A,
2021-02-19,current,ZION,Zions Bancorporation National Association,N/A,N/A,
2021-02-19,current,ZBRA,Zebra Technologies Corp,N/A,N/A,
2021-02-19,current,ZBH,Zimmer Biomet Holdings Inc,N/A,N/A,
2021-02-19,current,YUM,Yum Brands Inc,N/A,N/A,
2021-02-19,current,XYL,Xylem Inc,N/A,N/A,
2021-02-19,current,XRX,Xerox Holdings Corp,N/A,N/A,
2021-02-19,current,XRAY,DENTSPLY SIRONA Inc,N/A,N/A,
2021-02-19,current,XOM,Exxon Mobil Corp,N/A,N/A,
2021-02-19,current,XLNX,Xilinx Inc,N/A,N/A,
2021-02-19,current,XEL,Xcel Energy Inc,N/A,N/A,
2021-02-19,current,WYNN,Wynn Resorts Ltd,N/A,N/A,
2021-02-19,current,WY,Weyerhaeuser Co,N/A,N/A,
2021-02-19,current,WU,Western Union CO,N/A,N/A,
2021-02-19,current,WST,West Pharmaceutical Services Inc,N/A,N/A,
2021-02-19,current,WRK,WestRock Co,N/A,N/A,
2021-02-19,current,WRB,Berkley W R Corp,N/A,N/A,
2021-02-19,current,WMT,Walmart Inc,N/A,N/A,
2021-02-19,current,WMB,Williams Companies Inc,N/A,N/A,
2021-02-19,current,WM,Waste Management Inc,N/A,N/A,
2021-02-19,current,WLTW,Willis Towers Watson Plc,N/A,N/A,
2021-02-19,current,WHR,Whirlpool Corp,N/A,N/A,
2021-02-19,current,WFC,Wells Fargo & Company,N/A,N/A,
2021-02-19,current,WELL,Welltower Inc,N/A,N/A,
2021-02-19,current,WEC,Wec Energy Group Inc,N/A,N/A,
2021-02-19,current,WDC,Western Digital Corp,N/A,N/A,
2021-02-19,current,WBA,Walgreens Boots Alliance Inc,N/A,N/A,
2021-02-19,current,WAT,Waters Corp,N/A,N/A,
2021-02-19,current,WAB,Westinghouse Air Brake Technologies Corp,N/A,N/A,
2021-02-19,current,VZ,Verizon Communications Inc,N/A,N/A,
2021-02-19,current,VTRS,Viatris Inc,N/A,N/A,
2021-02-19,current,VTR,Ventas Inc,N/A,N/A,
2021-02-19,current,VRTX,Vertex Pharmaceuticals Inc,N/A,N/A,
2021-02-19,current,VRSN,Verisign Inc,N/A,N/A,
