,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-19,0.7373,0.7373,0.7373,0.7373,0.0,0.0,2018-09-26,AD,ADM23
2018-06-20,0.7427,0.7427,0.7427,0.7427,0.0,0.0,2018-09-26,AD,ADM23
2018-06-21,0.7452,0.7452,0.7452,0.7452,0.0,0.0,2018-09-26,AD,ADM23
2018-06-22,0.7519,0.7519,0.7519,0.7519,0.0,0.0,2018-09-26,AD,ADM23
2018-06-25,0.7504,0.7504,0.7504,0.7504,0.0,0.0,2018-09-26,AD,ADM23
2018-06-26,0.7516,0.7516,0.7516,0.7516,0.0,0.0,2018-09-26,AD,ADM23
2018-06-27,0.7527,0.7527,0.7527,0.7527,0.0,0.0,2018-09-26,AD,ADM23
2018-06-28,0.7465,0.7465,0.7465,0.7465,0.0,0.0,2018-09-26,AD,ADM23
2018-06-29,0.7431,0.7431,0.7431,0.7431,0.0,0.0,2018-09-26,AD,ADM23
2018-07-02,0.742,0.742,0.742,0.742,0.0,0.0,2018-09-26,AD,ADM23
2018-07-03,0.7391,0.7391,0.7391,0.7391,0.0,0.0,2018-09-26,AD,ADM23
2018-07-05,0.7333,0.7333,0.7333,0.7333,0.0,0.0,2018-09-26,AD,ADM23
2018-07-06,0.7354,0.7354,0.7354,0.7354,0.0,0.0,2018-09-26,AD,ADM23
2018-07-09,0.7388,0.7388,0.7388,0.7388,0.0,0.0,2018-09-26,AD,ADM23
2018-07-10,0.7454,0.7454,0.7454,0.7454,0.0,0.0,2018-09-26,AD,ADM23
2018-07-11,0.7453,0.7453,0.7453,0.7453,0.0,0.0,2018-09-26,AD,ADM23
2018-07-12,0.7527,0.7527,0.7527,0.7527,0.0,0.0,2018-09-26,AD,ADM23
2018-07-13,0.7561,0.7561,0.7561,0.7561,0.0,0.0,2018-09-26,AD,ADM23
2018-07-16,0.7528,0.7528,0.7528,0.7528,0.0,0.0,2018-09-26,AD,ADM23
2018-07-17,0.755,0.755,0.755,0.755,0.0,0.0,2018-09-26,AD,ADM23
2018-07-18,0.7622,0.7622,0.7622,0.7622,0.0,0.0,2018-09-26,AD,ADM23
2018-07-19,0.7667,0.7667,0.7667,0.7667,0.0,0.0,2018-09-26,AD,ADM23
2018-07-20,0.7603,0.7603,0.7603,0.7603,0.0,0.0,2018-09-26,AD,ADM23
2018-07-23,0.753,0.753,0.753,0.753,0.0,0.0,2018-09-26,AD,ADM23
2018-07-24,0.7481,0.7481,0.7481,0.7481,0.0,0.0,2018-09-26,AD,ADM23
2018-07-25,0.745,0.745,0.745,0.745,0.0,0.0,2018-09-26,AD,ADM23
2018-07-26,0.7373,0.7373,0.7373,0.7373,0.0,0.0,2018-09-26,AD,ADM23
2018-07-27,0.7336,0.7336,0.7336,0.7336,0.0,0.0,2018-09-26,AD,ADM23
2018-07-30,0.735,0.735,0.735,0.735,0.0,0.0,2018-09-26,AD,ADM23
2018-07-31,0.7287,0.7287,0.7287,0.7287,0.0,0.0,2018-09-26,AD,ADM23
2018-08-01,0.7233,0.7233,0.7233,0.7233,0.0,0.0,2018-09-26,AD,ADM23
2018-08-02,0.7213,0.7213,0.7213,0.7213,0.0,0.0,2018-09-26,AD,ADM23
2018-08-03,0.7256,0.7256,0.7256,0.7256,0.0,0.0,2018-09-26,AD,ADM23
2018-08-06,0.7222,0.7222,0.7222,0.7222,0.0,0.0,2018-09-26,AD,ADM23
2018-08-07,0.7287,0.7287,0.7287,0.7287,0.0,0.0,2018-09-26,AD,ADM23
2018-08-08,0.7339,0.7339,0.7339,0.7339,0.0,0.0,2018-09-26,AD,ADM23
2018-08-09,0.7315,0.7315,0.7315,0.7315,0.0,0.0,2018-09-26,AD,ADM23
2018-08-10,0.7387,0.7387,0.7387,0.7387,0.0,0.0,2018-09-26,AD,ADM23
2018-08-13,0.7318,0.7318,0.7318,0.7318,0.0,0.0,2018-09-26,AD,ADM23
2018-08-14,0.7336,0.7336,0.7336,0.7336,0.0,0.0,2018-09-26,AD,ADM23
2018-08-15,0.7311,0.7311,0.7311,0.7311,0.0,0.0,2018-09-26,AD,ADM23
2018-08-16,0.7383,0.7383,0.7383,0.7383,0.0,0.0,2018-09-26,AD,ADM23
2018-08-17,0.7421,0.7421,0.7421,0.7421,0.0,0.0,2018-09-26,AD,ADM23
2018-08-20,0.7441,0.7441,0.7441,0.7441,0.0,0.0,2018-09-26,AD,ADM23
2018-08-21,0.744,0.744,0.744,0.744,0.0,0.0,2018-09-26,AD,ADM23
2018-08-22,0.7367,0.7367,0.7367,0.7367,0.0,0.0,2018-09-26,AD,ADM23
2018-08-23,0.7435,0.7435,0.7435,0.7435,0.0,0.0,2018-09-26,AD,ADM23
2018-08-24,0.7423,0.7423,0.7423,0.7423,0.0,0.0,2018-09-26,AD,ADM23
2018-08-27,0.7448,0.7448,0.7448,0.7448,0.0,0.0,2018-09-26,AD,ADM23
2018-08-28,0.7426,0.7426,0.7426,0.7426,0.0,0.0,2018-09-26,AD,ADM23
2018-08-29,0.7367,0.7367,0.7367,0.7367,0.0,0.0,2018-09-26,AD,ADM23
2018-08-30,0.7441,0.7441,0.7441,0.7441,0.0,0.0,2018-09-26,AD,ADM23
2018-08-31,0.7386,0.7386,0.7386,0.7386,0.0,0.0,2018-09-26,AD,ADM23
2018-09-04,0.7346,0.7346,0.7346,0.7346,0.0,0.0,2018-09-26,AD,ADM23
2018-09-05,0.7275,0.7275,0.7275,0.7275,0.0,0.0,2018-09-26,AD,ADM23
2018-09-06,0.7316,0.7316,0.7316,0.7316,0.0,0.0,2018-09-26,AD,ADM23
2018-09-07,0.734,0.734,0.734,0.734,0.0,0.0,2018-09-26,AD,ADM23
2018-09-10,0.732,0.732,0.732,0.732,0.0,0.0,2018-09-26,AD,ADM23
2018-09-11,0.7272,0.7272,0.7272,0.7272,0.0,0.0,2018-09-26,AD,ADM23
2018-09-12,0.7326,0.7326,0.7326,0.7326,0.0,0.0,2018-09-26,AD,ADM23
2018-09-13,0.7352,0.7352,0.7352,0.7352,0.0,0.0,2018-09-26,AD,ADM23
2018-09-14,0.7349,0.7349,0.7349,0.7349,0.0,0.0,2018-09-26,AD,ADM23
2018-09-17,0.7345,0.7345,0.7345,0.7345,0.0,0.0,2018-09-26,AD,ADM23
2018-09-18,0.7305,0.7305,0.7305,0.7305,0.0,0.0,2018-09-26,AD,ADM23
2018-09-19,0.7296,0.7296,0.7296,0.7296,0.0,0.0,2018-09-26,AD,ADM23
2018-09-20,0.7299,0.7299,0.7299,0.7299,0.0,0.0,2018-09-26,AD,ADM23
2018-09-21,0.7323,0.7323,0.7323,0.7323,0.0,0.0,2018-09-26,AD,ADM23
2018-09-24,0.7375,0.7375,0.7375,0.7375,0.0,0.0,2018-09-26,AD,ADM23
2018-09-25,0.7407,0.7407,0.7407,0.7407,0.0,0.0,2018-09-26,AD,ADM23
2018-09-26,0.7462,0.7462,0.7462,0.7462,0.0,0.0,2018-09-26,AD,ADM23
2018-09-27,0.7404,0.7404,0.7404,0.7404,0.0,0.0,2018-09-26,AD,ADM23
2018-09-28,0.7456,0.7456,0.7456,0.7456,0.0,0.0,2018-09-26,AD,ADM23
2018-10-01,0.7451,0.7451,0.7451,0.7451,0.0,0.0,2018-09-26,AD,ADM23
2018-10-02,0.7403,0.7403,0.7403,0.7403,0.0,0.0,2018-09-26,AD,ADM23
2018-10-03,0.7367,0.7367,0.7367,0.7367,0.0,0.0,2018-09-26,AD,ADM23
2018-10-04,0.7297,0.7297,0.7297,0.7297,0.0,0.0,2018-09-26,AD,ADM23
2018-10-05,0.7261,0.7261,0.7261,0.7261,0.0,0.0,2018-09-26,AD,ADM23
2018-10-08,0.7323,0.7323,0.7323,0.7323,0.0,0.0,2018-09-26,AD,ADM23
2018-10-09,0.7263,0.7263,0.7263,0.7263,0.0,0.0,2018-09-26,AD,ADM23
2018-10-10,0.7276,0.7276,0.7276,0.7276,0.0,0.0,2018-09-26,AD,ADM23
2018-10-11,0.7325,0.7325,0.7325,0.7325,0.0,0.0,2018-09-26,AD,ADM23
2018-10-12,0.7398,0.7398,0.7398,0.7398,0.0,0.0,2018-09-26,AD,ADM23
2018-10-15,0.7461,0.7461,0.7461,0.7461,0.0,0.0,2018-09-26,AD,ADM23
2018-10-16,0.7463,0.7463,0.7463,0.7463,0.0,0.0,2018-09-26,AD,ADM23
2018-10-17,0.7476,0.7476,0.7476,0.7476,0.0,0.0,2018-09-26,AD,ADM23
2018-10-18,0.7489,0.7489,0.7489,0.7489,0.0,0.0,2018-09-26,AD,ADM23
2018-10-19,0.7521,0.7521,0.7521,0.7521,0.0,0.0,2018-09-26,AD,ADM23
2018-10-22,0.7489,0.7489,0.7489,0.7489,0.0,0.0,2018-09-26,AD,ADM23
2018-10-23,0.7482,0.7482,0.7482,0.7482,0.0,0.0,2018-09-26,AD,ADM23
2018-10-24,0.7489,0.7489,0.7489,0.7489,0.0,0.0,2018-09-26,AD,ADM23
2018-10-25,0.7448,0.7448,0.7448,0.7448,0.0,0.0,2018-09-26,AD,ADM23
2018-10-26,0.7456,0.7456,0.7456,0.7456,0.0,0.0,2018-09-26,AD,ADM23
2018-10-29,0.744,0.744,0.744,0.744,0.0,0.0,2018-09-26,AD,ADM23
2018-10-30,0.7437,0.7437,0.7437,0.7437,0.0,0.0,2018-09-26,AD,ADM23
2018-10-31,0.7493,0.7493,0.7493,0.7493,0.0,0.0,2018-09-26,AD,ADM23
2018-11-01,0.7465,0.7465,0.7465,0.7465,0.0,0.0,2018-09-26,AD,ADM23
2018-11-02,0.7452,0.7452,0.7452,0.7452,0.0,0.0,2018-09-26,AD,ADM23
2018-11-05,0.7487,0.7487,0.7487,0.7487,0.0,0.0,2018-09-26,AD,ADM23
2018-11-06,0.752,0.752,0.752,0.752,0.0,0.0,2018-09-26,AD,ADM23
2018-11-07,0.7473,0.7473,0.7473,0.7473,0.0,0.0,2018-09-26,AD,ADM23
2018-11-08,0.7493,0.7493,0.7493,0.7493,0.0,0.0,2018-09-26,AD,ADM23
2018-11-09,0.7531,0.7531,0.7531,0.7531,0.0,0.0,2018-09-26,AD,ADM23
2018-11-12,0.7457,0.7457,0.7457,0.7457,0.0,0.0,2018-09-26,AD,ADM23
2018-11-13,0.7392,0.7392,0.7392,0.7392,0.0,0.0,2018-09-26,AD,ADM23
2018-11-14,0.732,0.732,0.732,0.732,0.0,0.0,2018-09-26,AD,ADM23
2018-11-15,0.7339,0.7339,0.7339,0.7339,0.0,0.0,2018-09-26,AD,ADM23
2018-11-16,0.7412,0.7412,0.7412,0.7412,0.0,0.0,2018-09-26,AD,ADM23
2018-11-19,0.7398,0.7398,0.7398,0.7398,0.0,0.0,2018-09-26,AD,ADM23
2018-11-20,0.7356,0.7356,0.7356,0.7356,0.0,0.0,2018-09-26,AD,ADM23
2018-11-21,0.7311,0.7311,0.7311,0.7311,0.0,0.0,2018-09-26,AD,ADM23
2018-11-23,0.7276,0.7276,0.7276,0.7276,0.0,0.0,2018-09-26,AD,ADM23
2018-11-26,0.7334,0.7334,0.7334,0.7334,0.0,0.0,2018-09-26,AD,ADM23
2018-11-27,0.7262,0.7262,0.7262,0.7262,0.0,0.0,2018-09-26,AD,ADM23
2018-11-28,0.7308,0.7308,0.7308,0.7308,0.0,0.0,2018-09-26,AD,ADM23
2018-11-29,0.7244,0.7244,0.7244,0.7244,0.0,0.0,2018-09-26,AD,ADM23
2018-11-30,0.7226,0.7226,0.7226,0.7226,0.0,0.0,2018-09-26,AD,ADM23
2018-12-03,0.7251,0.7251,0.7251,0.7251,0.0,0.0,2018-09-26,AD,ADM23
2018-12-04,0.724,0.724,0.724,0.724,0.0,0.0,2018-09-26,AD,ADM23
2018-12-05,0.717,0.717,0.717,0.717,0.0,0.0,2018-09-26,AD,ADM23
2018-12-06,0.7148,0.7148,0.7148,0.7148,0.0,0.0,2018-09-26,AD,ADM23
2018-12-07,0.7179,0.7179,0.7179,0.7179,0.0,0.0,2018-09-26,AD,ADM23
2018-12-10,0.7229,0.7229,0.7229,0.7229,0.0,0.0,2018-09-26,AD,ADM23
