,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,36.36,36.36,36.36,36.36,0.0,0.0,2019-01-14,BO,BOF19
2016-12-15,36.8072,36.8072,36.8072,36.8072,0.0,0.0,2019-01-14,BO,BOF19
2016-12-16,36.59,36.59,36.59,36.59,0.0,0.0,2019-01-14,BO,BOF19
2016-12-19,36.129,36.129,36.129,36.129,0.0,0.0,2019-01-14,BO,BOF19
2016-12-20,35.6593,35.6593,35.6593,35.6593,0.0,0.0,2019-01-14,BO,BOF19
2016-12-21,36.2334,36.2334,36.2334,36.2334,0.0,0.0,2019-01-14,BO,BOF19
2016-12-22,35.7732,35.7732,35.7732,35.7732,0.0,0.0,2019-01-14,BO,BOF19
2016-12-23,36.1452,36.1452,36.1452,36.1452,0.0,0.0,2019-01-14,BO,BOF19
2016-12-27,35.5127,35.5127,35.5127,35.5127,0.0,0.0,2019-01-14,BO,BOF19
2016-12-28,35.4133,35.4133,35.4133,35.4133,0.0,0.0,2019-01-14,BO,BOF19
2016-12-29,35.5797,35.5797,35.5797,35.5797,0.0,0.0,2019-01-14,BO,BOF19
2016-12-30,35.1029,35.1029,35.1029,35.1029,0.0,0.0,2019-01-14,BO,BOF19
2017-01-03,35.3872,35.3872,35.3872,35.3872,0.0,0.0,2019-01-14,BO,BOF19
2017-01-04,34.8387,34.8387,34.8387,34.8387,0.0,0.0,2019-01-14,BO,BOF19
2017-01-05,35.2533,35.2533,35.2533,35.2533,0.0,0.0,2019-01-14,BO,BOF19
2017-01-06,34.8761,34.8761,34.8761,34.8761,0.0,0.0,2019-01-14,BO,BOF19
2017-01-09,34.4122,34.4122,34.4122,34.4122,0.0,0.0,2019-01-14,BO,BOF19
2017-01-10,34.3571,34.3571,34.3571,34.3571,0.0,0.0,2019-01-14,BO,BOF19
2017-01-11,34.6182,34.6182,34.6182,34.6182,0.0,0.0,2019-01-14,BO,BOF19
2017-01-12,35.224,35.224,35.224,35.224,0.0,0.0,2019-01-14,BO,BOF19
2017-01-13,35.5692,35.5692,35.5692,35.5692,0.0,0.0,2019-01-14,BO,BOF19
2017-01-17,35.0428,35.0428,35.0428,35.0428,0.0,0.0,2019-01-14,BO,BOF19
2017-01-18,34.7344,34.7344,34.7344,34.7344,0.0,0.0,2019-01-14,BO,BOF19
2017-01-19,35.2832,35.2832,35.2832,35.2832,0.0,0.0,2019-01-14,BO,BOF19
2017-01-20,35.4773,35.4773,35.4773,35.4773,0.0,0.0,2019-01-14,BO,BOF19
2017-01-23,35.4738,35.4738,35.4738,35.4738,0.0,0.0,2019-01-14,BO,BOF19
2017-01-24,35.9137,35.9137,35.9137,35.9137,0.0,0.0,2019-01-14,BO,BOF19
2017-01-25,36.3842,36.3842,36.3842,36.3842,0.0,0.0,2019-01-14,BO,BOF19
2017-01-26,36.2023,36.2023,36.2023,36.2023,0.0,0.0,2019-01-14,BO,BOF19
2017-01-27,35.9887,35.9887,35.9887,35.9887,0.0,0.0,2019-01-14,BO,BOF19
2017-01-30,36.4602,36.4602,36.4602,36.4602,0.0,0.0,2019-01-14,BO,BOF19
2017-01-31,36.7482,36.7482,36.7482,36.7482,0.0,0.0,2019-01-14,BO,BOF19
2017-02-01,37.0459,37.0459,37.0459,37.0459,0.0,0.0,2019-01-14,BO,BOF19
2017-02-02,37.5238,37.5238,37.5238,37.5238,0.0,0.0,2019-01-14,BO,BOF19
2017-02-03,37.1486,37.1486,37.1486,37.1486,0.0,0.0,2019-01-14,BO,BOF19
2017-02-06,37.3009,37.3009,37.3009,37.3009,0.0,0.0,2019-01-14,BO,BOF19
2017-02-07,37.894,37.894,37.894,37.894,0.0,0.0,2019-01-14,BO,BOF19
2017-02-08,37.8182,37.8182,37.8182,37.8182,0.0,0.0,2019-01-14,BO,BOF19
2017-02-09,38.3212,38.3212,38.3212,38.3212,0.0,0.0,2019-01-14,BO,BOF19
2017-02-10,38.0261,38.0261,38.0261,38.0261,0.0,0.0,2019-01-14,BO,BOF19
2017-02-13,37.604,37.604,37.604,37.604,0.0,0.0,2019-01-14,BO,BOF19
2017-02-14,37.98,37.98,37.98,37.98,0.0,0.0,2019-01-14,BO,BOF19
2017-02-15,38.4092,38.4092,38.4092,38.4092,0.0,0.0,2019-01-14,BO,BOF19
2017-02-16,38.2325,38.2325,38.2325,38.2325,0.0,0.0,2019-01-14,BO,BOF19
2017-02-17,38.1216,38.1216,38.1216,38.1216,0.0,0.0,2019-01-14,BO,BOF19
2017-02-21,38.4838,38.4838,38.4838,38.4838,0.0,0.0,2019-01-14,BO,BOF19
2017-02-22,38.4838,38.4838,38.4838,38.4838,0.0,0.0,2019-01-14,BO,BOF19
2017-02-23,38.5916,38.5916,38.5916,38.5916,0.0,0.0,2019-01-14,BO,BOF19
2017-02-24,38.4642,38.4642,38.4642,38.4642,0.0,0.0,2019-01-14,BO,BOF19
2017-02-27,38.6411,38.6411,38.6411,38.6411,0.0,0.0,2019-01-14,BO,BOF19
