,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,31.4997,31.4997,31.4997,31.4997,0.0,0.0,2018-03-14,BO,BOH18
2015-12-15,31.295,31.295,31.295,31.295,0.0,0.0,2018-03-14,BO,BOH18
2015-12-16,31.4609,31.4609,31.4609,31.4609,0.0,0.0,2018-03-14,BO,BOH18
2015-12-17,31.7409,31.7409,31.7409,31.7409,0.0,0.0,2018-03-14,BO,BOH18
2015-12-18,31.9663,31.9663,31.9663,31.9663,0.0,0.0,2018-03-14,BO,BOH18
2015-12-21,32.4714,32.4714,32.4714,32.4714,0.0,0.0,2018-03-14,BO,BOH18
2015-12-22,31.9519,31.9519,31.9519,31.9519,0.0,0.0,2018-03-14,BO,BOH18
2015-12-23,31.4183,31.4183,31.4183,31.4183,0.0,0.0,2018-03-14,BO,BOH18
2015-12-24,31.2015,31.2015,31.2015,31.2015,0.0,0.0,2018-03-14,BO,BOH18
2015-12-28,31.3793,31.3793,31.3793,31.3793,0.0,0.0,2018-03-14,BO,BOH18
2015-12-29,31.2914,31.2914,31.2914,31.2914,0.0,0.0,2018-03-14,BO,BOH18
2015-12-30,30.8596,30.8596,30.8596,30.8596,0.0,0.0,2018-03-14,BO,BOH18
2015-12-31,30.8503,30.8503,30.8503,30.8503,0.0,0.0,2018-03-14,BO,BOH18
2016-01-04,31.3902,31.3902,31.3902,31.3902,0.0,0.0,2018-03-14,BO,BOH18
2016-01-05,31.2364,31.2364,31.2364,31.2364,0.0,0.0,2018-03-14,BO,BOH18
2016-01-06,31.6237,31.6237,31.6237,31.6237,0.0,0.0,2018-03-14,BO,BOH18
2016-01-07,31.1936,31.1936,31.1936,31.1936,0.0,0.0,2018-03-14,BO,BOH18
2016-01-08,31.0595,31.0595,31.0595,31.0595,0.0,0.0,2018-03-14,BO,BOH18
2016-01-11,31.5627,31.5627,31.5627,31.5627,0.0,0.0,2018-03-14,BO,BOH18
2016-01-12,31.326,31.326,31.326,31.326,0.0,0.0,2018-03-14,BO,BOH18
2016-01-13,31.7019,31.7019,31.7019,31.7019,0.0,0.0,2018-03-14,BO,BOH18
2016-01-14,31.6734,31.6734,31.6734,31.6734,0.0,0.0,2018-03-14,BO,BOH18
2016-01-15,32.2784,32.2784,32.2784,32.2784,0.0,0.0,2018-03-14,BO,BOH18
2016-01-19,31.8975,31.8975,31.8975,31.8975,0.0,0.0,2018-03-14,BO,BOH18
2016-01-20,32.3185,32.3185,32.3185,32.3185,0.0,0.0,2018-03-14,BO,BOH18
2016-01-21,32.3217,32.3217,32.3217,32.3217,0.0,0.0,2018-03-14,BO,BOH18
2016-01-22,32.3605,32.3605,32.3605,32.3605,0.0,0.0,2018-03-14,BO,BOH18
2016-01-25,31.9075,31.9075,31.9075,31.9075,0.0,0.0,2018-03-14,BO,BOH18
2016-01-26,32.067,32.067,32.067,32.067,0.0,0.0,2018-03-14,BO,BOH18
2016-01-27,32.4582,32.4582,32.4582,32.4582,0.0,0.0,2018-03-14,BO,BOH18
2016-01-28,31.8869,31.8869,31.8869,31.8869,0.0,0.0,2018-03-14,BO,BOH18
2016-01-29,32.3046,32.3046,32.3046,32.3046,0.0,0.0,2018-03-14,BO,BOH18
2016-02-01,31.9622,31.9622,31.9622,31.9622,0.0,0.0,2018-03-14,BO,BOH18
2016-02-02,31.6202,31.6202,31.6202,31.6202,0.0,0.0,2018-03-14,BO,BOH18
2016-02-03,31.3799,31.3799,31.3799,31.3799,0.0,0.0,2018-03-14,BO,BOH18
2016-02-04,30.9374,30.9374,30.9374,30.9374,0.0,0.0,2018-03-14,BO,BOH18
2016-02-05,30.4486,30.4486,30.4486,30.4486,0.0,0.0,2018-03-14,BO,BOH18
2016-02-08,31.0515,31.0515,31.0515,31.0515,0.0,0.0,2018-03-14,BO,BOH18
2016-02-09,30.9987,30.9987,30.9987,30.9987,0.0,0.0,2018-03-14,BO,BOH18
2016-02-10,31.2994,31.2994,31.2994,31.2994,0.0,0.0,2018-03-14,BO,BOH18
2016-02-11,31.1116,31.1116,31.1116,31.1116,0.0,0.0,2018-03-14,BO,BOH18
2016-02-12,31.4881,31.4881,31.4881,31.4881,0.0,0.0,2018-03-14,BO,BOH18
2016-02-16,30.852,30.852,30.852,30.852,0.0,0.0,2018-03-14,BO,BOH18
2016-02-17,31.1112,31.1112,31.1112,31.1112,0.0,0.0,2018-03-14,BO,BOH18
2016-02-18,31.7054,31.7054,31.7054,31.7054,0.0,0.0,2018-03-14,BO,BOH18
2016-02-19,31.2076,31.2076,31.2076,31.2076,0.0,0.0,2018-03-14,BO,BOH18
2016-02-22,31.4011,31.4011,31.4011,31.4011,0.0,0.0,2018-03-14,BO,BOH18
2016-02-23,30.8296,30.8296,30.8296,30.8296,0.0,0.0,2018-03-14,BO,BOH18
2016-02-24,30.6323,30.6323,30.6323,30.6323,0.0,0.0,2018-03-14,BO,BOH18
2016-02-25,30.2647,30.2647,30.2647,30.2647,0.0,0.0,2018-03-14,BO,BOH18
2016-02-26,30.3979,30.3979,30.3979,30.3979,0.0,0.0,2018-03-14,BO,BOH18
2016-02-29,30.4009,30.4009,30.4009,30.4009,0.0,0.0,2018-03-14,BO,BOH18
2016-03-01,30.2428,30.2428,30.2428,30.2428,0.0,0.0,2018-03-14,BO,BOH18
2016-03-02,30.3124,30.3124,30.3124,30.3124,0.0,0.0,2018-03-14,BO,BOH18
2016-03-03,30.8701,30.8701,30.8701,30.8701,0.0,0.0,2018-03-14,BO,BOH18
2016-03-04,30.8053,30.8053,30.8053,30.8053,0.0,0.0,2018-03-14,BO,BOH18
2016-03-07,30.3525,30.3525,30.3525,30.3525,0.0,0.0,2018-03-14,BO,BOH18
