,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,32.5318,32.5318,32.5318,32.5318,0.0,0.0,2018-05-14,BO,BOK18
2015-12-15,32.3594,32.3594,32.3594,32.3594,0.0,0.0,2018-05-14,BO,BOK18
2015-12-16,32.7315,32.7315,32.7315,32.7315,0.0,0.0,2018-05-14,BO,BOK18
2015-12-17,32.8101,32.8101,32.8101,32.8101,0.0,0.0,2018-05-14,BO,BOK18
2015-12-18,32.249,32.249,32.249,32.249,0.0,0.0,2018-05-14,BO,BOK18
2015-12-21,32.8037,32.8037,32.8037,32.8037,0.0,0.0,2018-05-14,BO,BOK18
2015-12-22,33.0202,33.0202,33.0202,33.0202,0.0,0.0,2018-05-14,BO,BOK18
2015-12-23,32.8386,32.8386,32.8386,32.8386,0.0,0.0,2018-05-14,BO,BOK18
2015-12-24,33.0488,33.0488,33.0488,33.0488,0.0,0.0,2018-05-14,BO,BOK18
2015-12-28,33.0752,33.0752,33.0752,33.0752,0.0,0.0,2018-05-14,BO,BOK18
2015-12-29,33.0851,33.0851,33.0851,33.0851,0.0,0.0,2018-05-14,BO,BOK18
2015-12-30,33.3002,33.3002,33.3002,33.3002,0.0,0.0,2018-05-14,BO,BOK18
2015-12-31,33.7631,33.7631,33.7631,33.7631,0.0,0.0,2018-05-14,BO,BOK18
2016-01-04,33.9657,33.9657,33.9657,33.9657,0.0,0.0,2018-05-14,BO,BOK18
2016-01-05,33.9997,33.9997,33.9997,33.9997,0.0,0.0,2018-05-14,BO,BOK18
2016-01-06,33.9929,33.9929,33.9929,33.9929,0.0,0.0,2018-05-14,BO,BOK18
2016-01-07,34.2648,34.2648,34.2648,34.2648,0.0,0.0,2018-05-14,BO,BOK18
2016-01-08,33.9222,33.9222,33.9222,33.9222,0.0,0.0,2018-05-14,BO,BOK18
2016-01-11,34.4921,34.4921,34.4921,34.4921,0.0,0.0,2018-05-14,BO,BOK18
2016-01-12,35.1026,35.1026,35.1026,35.1026,0.0,0.0,2018-05-14,BO,BOK18
2016-01-13,34.9903,34.9903,34.9903,34.9903,0.0,0.0,2018-05-14,BO,BOK18
2016-01-14,34.357,34.357,34.357,34.357,0.0,0.0,2018-05-14,BO,BOK18
2016-01-15,34.1474,34.1474,34.1474,34.1474,0.0,0.0,2018-05-14,BO,BOK18
2016-01-19,34.3659,34.3659,34.3659,34.3659,0.0,0.0,2018-05-14,BO,BOK18
2016-01-20,34.2731,34.2731,34.2731,34.2731,0.0,0.0,2018-05-14,BO,BOK18
2016-01-21,34.0812,34.0812,34.0812,34.0812,0.0,0.0,2018-05-14,BO,BOK18
2016-01-22,33.6995,33.6995,33.6995,33.6995,0.0,0.0,2018-05-14,BO,BOK18
2016-01-25,34.0095,34.0095,34.0095,34.0095,0.0,0.0,2018-05-14,BO,BOK18
2016-01-26,33.6626,33.6626,33.6626,33.6626,0.0,0.0,2018-05-14,BO,BOK18
2016-01-27,33.7771,33.7771,33.7771,33.7771,0.0,0.0,2018-05-14,BO,BOK18
2016-01-28,33.159,33.159,33.159,33.159,0.0,0.0,2018-05-14,BO,BOK18
2016-01-29,32.9866,32.9866,32.9866,32.9866,0.0,0.0,2018-05-14,BO,BOK18
