,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,32.2302,32.2302,32.2302,32.2302,0.0,0.0,2019-07-12,BO,BON19
2015-12-15,32.6266,32.6266,32.6266,32.6266,0.0,0.0,2019-07-12,BO,BON19
2015-12-16,32.3688,32.3688,32.3688,32.3688,0.0,0.0,2019-07-12,BO,BON19
2015-12-17,32.7572,32.7572,32.7572,32.7572,0.0,0.0,2019-07-12,BO,BON19
2015-12-18,32.3772,32.3772,32.3772,32.3772,0.0,0.0,2019-07-12,BO,BON19
2015-12-21,32.2088,32.2088,32.2088,32.2088,0.0,0.0,2019-07-12,BO,BON19
2015-12-22,32.5953,32.5953,32.5953,32.5953,0.0,0.0,2019-07-12,BO,BON19
2015-12-23,32.1129,32.1129,32.1129,32.1129,0.0,0.0,2019-07-12,BO,BON19
2015-12-24,31.5445,31.5445,31.5445,31.5445,0.0,0.0,2019-07-12,BO,BON19
2015-12-28,31.7211,31.7211,31.7211,31.7211,0.0,0.0,2019-07-12,BO,BON19
2015-12-29,31.2231,31.2231,31.2231,31.2231,0.0,0.0,2019-07-12,BO,BON19
2015-12-30,31.4417,31.4417,31.4417,31.4417,0.0,0.0,2019-07-12,BO,BON19
2015-12-31,31.885,31.885,31.885,31.885,0.0,0.0,2019-07-12,BO,BON19
2016-01-04,31.4928,31.4928,31.4928,31.4928,0.0,0.0,2019-07-12,BO,BON19
2016-01-05,31.9809,31.9809,31.9809,31.9809,0.0,0.0,2019-07-12,BO,BON19
2016-01-06,31.6931,31.6931,31.6931,31.6931,0.0,0.0,2019-07-12,BO,BON19
2016-01-07,31.316,31.316,31.316,31.316,0.0,0.0,2019-07-12,BO,BON19
2016-01-08,31.2471,31.2471,31.2471,31.2471,0.0,0.0,2019-07-12,BO,BON19
2016-01-11,30.8409,30.8409,30.8409,30.8409,0.0,0.0,2019-07-12,BO,BON19
2016-01-12,31.1863,31.1863,31.1863,31.1863,0.0,0.0,2019-07-12,BO,BON19
2016-01-13,31.4857,31.4857,31.4857,31.4857,0.0,0.0,2019-07-12,BO,BON19
2016-01-14,31.4574,31.4574,31.4574,31.4574,0.0,0.0,2019-07-12,BO,BON19
2016-01-15,31.7279,31.7279,31.7279,31.7279,0.0,0.0,2019-07-12,BO,BON19
2016-01-19,31.4804,31.4804,31.4804,31.4804,0.0,0.0,2019-07-12,BO,BON19
2016-01-20,31.005,31.005,31.005,31.005,0.0,0.0,2019-07-12,BO,BON19
2016-01-21,30.8779,30.8779,30.8779,30.8779,0.0,0.0,2019-07-12,BO,BON19
2016-01-22,31.1651,31.1651,31.1651,31.1651,0.0,0.0,2019-07-12,BO,BON19
2016-01-25,31.6918,31.6918,31.6918,31.6918,0.0,0.0,2019-07-12,BO,BON19
2016-01-26,31.3083,31.3083,31.3083,31.3083,0.0,0.0,2019-07-12,BO,BON19
2016-01-27,30.8512,30.8512,30.8512,30.8512,0.0,0.0,2019-07-12,BO,BON19
2016-01-28,30.4131,30.4131,30.4131,30.4131,0.0,0.0,2019-07-12,BO,BON19
2016-01-29,30.4161,30.4161,30.4161,30.4161,0.0,0.0,2019-07-12,BO,BON19
