,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,36.4314,36.4314,36.4314,36.4314,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-15,36.1436,36.1436,36.1436,36.1436,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-16,35.7352,35.7352,35.7352,35.7352,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-19,35.6423,35.6423,35.6423,35.6423,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-20,35.2431,35.2431,35.2431,35.2431,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-21,35.3347,35.3347,35.3347,35.3347,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-22,35.7552,35.7552,35.7552,35.7552,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-23,36.0949,36.0949,36.0949,36.0949,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-27,35.8531,35.8531,35.8531,35.8531,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-28,35.9463,35.9463,35.9463,35.9463,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-29,36.3058,36.3058,36.3058,36.3058,0.0,0.0,2019-08-14,BO,BOQ19
2016-12-30,36.7161,36.7161,36.7161,36.7161,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-03,36.7712,36.7712,36.7712,36.7712,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-04,37.2308,37.2308,37.2308,37.2308,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-05,37.6887,37.6887,37.6887,37.6887,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-06,37.8395,37.8395,37.8395,37.8395,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-09,37.5481,37.5481,37.5481,37.5481,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-10,36.921,36.921,36.921,36.921,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-11,36.441,36.441,36.441,36.441,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-12,36.2005,36.2005,36.2005,36.2005,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-13,36.577,36.577,36.577,36.577,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-17,36.8733,36.8733,36.8733,36.8733,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-18,36.4529,36.4529,36.4529,36.4529,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-19,36.6971,36.6971,36.6971,36.6971,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-20,37.2145,37.2145,37.2145,37.2145,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-23,37.4564,37.4564,37.4564,37.4564,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-24,37.4639,37.4639,37.4639,37.4639,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-25,36.827,36.827,36.827,36.827,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-26,37.4052,37.4052,37.4052,37.4052,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-27,37.1284,37.1284,37.1284,37.1284,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-30,37.0282,37.0282,37.0282,37.0282,0.0,0.0,2019-08-14,BO,BOQ19
2017-01-31,37.1097,37.1097,37.1097,37.1097,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-01,37.0095,37.0095,37.0095,37.0095,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-02,36.6135,36.6135,36.6135,36.6135,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-03,36.7636,36.7636,36.7636,36.7636,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-06,36.5504,36.5504,36.5504,36.5504,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-07,36.5906,36.5906,36.5906,36.5906,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-08,36.3601,36.3601,36.3601,36.3601,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-09,36.9091,36.9091,36.9091,36.9091,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-10,37.2302,37.2302,37.2302,37.2302,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-13,37.7663,37.7663,37.7663,37.7663,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-14,37.3773,37.3773,37.3773,37.3773,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-15,37.7997,37.7997,37.7997,37.7997,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-16,37.3234,37.3234,37.3234,37.3234,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-17,37.6817,37.6817,37.6817,37.6817,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-21,38.1603,38.1603,38.1603,38.1603,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-22,37.5383,37.5383,37.5383,37.5383,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-23,37.6922,37.6922,37.6922,37.6922,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-24,37.9975,37.9975,37.9975,37.9975,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-27,38.1989,38.1989,38.1989,38.1989,0.0,0.0,2019-08-14,BO,BOQ19
2017-02-28,38.4663,38.4663,38.4663,38.4663,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-01,38.0586,38.0586,38.0586,38.0586,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-02,37.5638,37.5638,37.5638,37.5638,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-03,37.9808,37.9808,37.9808,37.9808,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-06,37.9504,37.9504,37.9504,37.9504,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-07,37.347,37.347,37.347,37.347,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-08,37.5001,37.5001,37.5001,37.5001,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-09,37.9689,37.9689,37.9689,37.9689,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-10,38.5043,38.5043,38.5043,38.5043,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-13,39.0434,39.0434,39.0434,39.0434,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-14,38.4968,38.4968,38.4968,38.4968,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-15,39.055,39.055,39.055,39.055,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-16,39.1019,39.1019,39.1019,39.1019,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-17,38.5584,38.5584,38.5584,38.5584,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-20,38.007,38.007,38.007,38.007,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-21,38.3415,38.3415,38.3415,38.3415,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-22,37.7587,37.7587,37.7587,37.7587,0.0,0.0,2019-08-14,BO,BOQ19
2017-03-23,37.5888,37.5888,37.5888,37.5888,0.0,0.0,2019-08-14,BO,BOQ19
