,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,31.7368,31.7368,31.7368,31.7368,0.0,0.0,2018-09-14,BO,BOU18
2015-12-15,31.4004,31.4004,31.4004,31.4004,0.0,0.0,2018-09-14,BO,BOU18
2015-12-16,31.7552,31.7552,31.7552,31.7552,0.0,0.0,2018-09-14,BO,BOU18
2015-12-17,31.2408,31.2408,31.2408,31.2408,0.0,0.0,2018-09-14,BO,BOU18
2015-12-18,31.4314,31.4314,31.4314,31.4314,0.0,0.0,2018-09-14,BO,BOU18
2015-12-21,31.4251,31.4251,31.4251,31.4251,0.0,0.0,2018-09-14,BO,BOU18
2015-12-22,31.048,31.048,31.048,31.048,0.0,0.0,2018-09-14,BO,BOU18
2015-12-23,30.9642,30.9642,30.9642,30.9642,0.0,0.0,2018-09-14,BO,BOU18
2015-12-24,30.7567,30.7567,30.7567,30.7567,0.0,0.0,2018-09-14,BO,BOU18
2015-12-28,31.2304,31.2304,31.2304,31.2304,0.0,0.0,2018-09-14,BO,BOU18
2015-12-29,31.0742,31.0742,31.0742,31.0742,0.0,0.0,2018-09-14,BO,BOU18
2015-12-30,31.0027,31.0027,31.0027,31.0027,0.0,0.0,2018-09-14,BO,BOU18
2015-12-31,31.5266,31.5266,31.5266,31.5266,0.0,0.0,2018-09-14,BO,BOU18
2016-01-04,31.9743,31.9743,31.9743,31.9743,0.0,0.0,2018-09-14,BO,BOU18
2016-01-05,31.597,31.597,31.597,31.597,0.0,0.0,2018-09-14,BO,BOU18
2016-01-06,31.3063,31.3063,31.3063,31.3063,0.0,0.0,2018-09-14,BO,BOU18
2016-01-07,31.4754,31.4754,31.4754,31.4754,0.0,0.0,2018-09-14,BO,BOU18
2016-01-08,31.8216,31.8216,31.8216,31.8216,0.0,0.0,2018-09-14,BO,BOU18
2016-01-11,31.5988,31.5988,31.5988,31.5988,0.0,0.0,2018-09-14,BO,BOU18
2016-01-12,31.3776,31.3776,31.3776,31.3776,0.0,0.0,2018-09-14,BO,BOU18
2016-01-13,31.6945,31.6945,31.6945,31.6945,0.0,0.0,2018-09-14,BO,BOU18
2016-01-14,31.6311,31.6311,31.6311,31.6311,0.0,0.0,2018-09-14,BO,BOU18
2016-01-15,31.0934,31.0934,31.0934,31.0934,0.0,0.0,2018-09-14,BO,BOU18
2016-01-19,31.4603,31.4603,31.4603,31.4603,0.0,0.0,2018-09-14,BO,BOU18
2016-01-20,30.9506,30.9506,30.9506,30.9506,0.0,0.0,2018-09-14,BO,BOU18
2016-01-21,31.4582,31.4582,31.4582,31.4582,0.0,0.0,2018-09-14,BO,BOU18
2016-01-22,31.2978,31.2978,31.2978,31.2978,0.0,0.0,2018-09-14,BO,BOU18
2016-01-25,30.9441,30.9441,30.9441,30.9441,0.0,0.0,2018-09-14,BO,BOU18
2016-01-26,30.4181,30.4181,30.4181,30.4181,0.0,0.0,2018-09-14,BO,BOU18
2016-01-27,30.6584,30.6584,30.6584,30.6584,0.0,0.0,2018-09-14,BO,BOU18
2016-01-28,31.0937,31.0937,31.0937,31.0937,0.0,0.0,2018-09-14,BO,BOU18
2016-01-29,30.8978,30.8978,30.8978,30.8978,0.0,0.0,2018-09-14,BO,BOU18
2016-02-01,30.5456,30.5456,30.5456,30.5456,0.0,0.0,2018-09-14,BO,BOU18
2016-02-02,30.3898,30.3898,30.3898,30.3898,0.0,0.0,2018-09-14,BO,BOU18
2016-02-03,30.7879,30.7879,30.7879,30.7879,0.0,0.0,2018-09-14,BO,BOU18
2016-02-04,30.4246,30.4246,30.4246,30.4246,0.0,0.0,2018-09-14,BO,BOU18
2016-02-05,30.6102,30.6102,30.6102,30.6102,0.0,0.0,2018-09-14,BO,BOU18
2016-02-08,31.0877,31.0877,31.0877,31.0877,0.0,0.0,2018-09-14,BO,BOU18
2016-02-09,30.9944,30.9944,30.9944,30.9944,0.0,0.0,2018-09-14,BO,BOU18
2016-02-10,31.2052,31.2052,31.2052,31.2052,0.0,0.0,2018-09-14,BO,BOU18
2016-02-11,31.3581,31.3581,31.3581,31.3581,0.0,0.0,2018-09-14,BO,BOU18
2016-02-12,31.01,31.01,31.01,31.01,0.0,0.0,2018-09-14,BO,BOU18
2016-02-16,31.1309,31.1309,31.1309,31.1309,0.0,0.0,2018-09-14,BO,BOU18
2016-02-17,31.3519,31.3519,31.3519,31.3519,0.0,0.0,2018-09-14,BO,BOU18
2016-02-18,31.3738,31.3738,31.3738,31.3738,0.0,0.0,2018-09-14,BO,BOU18
2016-02-19,31.2891,31.2891,31.2891,31.2891,0.0,0.0,2018-09-14,BO,BOU18
2016-02-22,31.2077,31.2077,31.2077,31.2077,0.0,0.0,2018-09-14,BO,BOU18
2016-02-23,31.0985,31.0985,31.0985,31.0985,0.0,0.0,2018-09-14,BO,BOU18
