,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,32.2081,32.2081,32.2081,32.2081,0.0,0.0,2019-10-14,BO,BOV19
2015-12-15,32.5721,32.5721,32.5721,32.5721,0.0,0.0,2019-10-14,BO,BOV19
2015-12-16,32.4125,32.4125,32.4125,32.4125,0.0,0.0,2019-10-14,BO,BOV19
2015-12-17,32.3023,32.3023,32.3023,32.3023,0.0,0.0,2019-10-14,BO,BOV19
2015-12-18,32.7093,32.7093,32.7093,32.7093,0.0,0.0,2019-10-14,BO,BOV19
2015-12-21,32.8827,32.8827,32.8827,32.8827,0.0,0.0,2019-10-14,BO,BOV19
2015-12-22,33.4351,33.4351,33.4351,33.4351,0.0,0.0,2019-10-14,BO,BOV19
2015-12-23,33.4418,33.4418,33.4418,33.4418,0.0,0.0,2019-10-14,BO,BOV19
2015-12-24,33.803,33.803,33.803,33.803,0.0,0.0,2019-10-14,BO,BOV19
2015-12-28,33.6678,33.6678,33.6678,33.6678,0.0,0.0,2019-10-14,BO,BOV19
2015-12-29,33.4961,33.4961,33.4961,33.4961,0.0,0.0,2019-10-14,BO,BOV19
2015-12-30,33.7875,33.7875,33.7875,33.7875,0.0,0.0,2019-10-14,BO,BOV19
2015-12-31,34.1592,34.1592,34.1592,34.1592,0.0,0.0,2019-10-14,BO,BOV19
2016-01-04,34.552,34.552,34.552,34.552,0.0,0.0,2019-10-14,BO,BOV19
2016-01-05,34.4138,34.4138,34.4138,34.4138,0.0,0.0,2019-10-14,BO,BOV19
2016-01-06,34.7889,34.7889,34.7889,34.7889,0.0,0.0,2019-10-14,BO,BOV19
2016-01-07,34.6637,34.6637,34.6637,34.6637,0.0,0.0,2019-10-14,BO,BOV19
2016-01-08,34.8197,34.8197,34.8197,34.8197,0.0,0.0,2019-10-14,BO,BOV19
2016-01-11,34.8301,34.8301,34.8301,34.8301,0.0,0.0,2019-10-14,BO,BOV19
2016-01-12,34.346,34.346,34.346,34.346,0.0,0.0,2019-10-14,BO,BOV19
2016-01-13,34.2807,34.2807,34.2807,34.2807,0.0,0.0,2019-10-14,BO,BOV19
2016-01-14,34.3698,34.3698,34.3698,34.3698,0.0,0.0,2019-10-14,BO,BOV19
2016-01-15,33.7649,33.7649,33.7649,33.7649,0.0,0.0,2019-10-14,BO,BOV19
2016-01-19,33.6501,33.6501,33.6501,33.6501,0.0,0.0,2019-10-14,BO,BOV19
2016-01-20,33.4213,33.4213,33.4213,33.4213,0.0,0.0,2019-10-14,BO,BOV19
2016-01-21,33.5684,33.5684,33.5684,33.5684,0.0,0.0,2019-10-14,BO,BOV19
2016-01-22,33.9309,33.9309,33.9309,33.9309,0.0,0.0,2019-10-14,BO,BOV19
2016-01-25,33.595,33.595,33.595,33.595,0.0,0.0,2019-10-14,BO,BOV19
2016-01-26,34.0586,34.0586,34.0586,34.0586,0.0,0.0,2019-10-14,BO,BOV19
2016-01-27,34.2493,34.2493,34.2493,34.2493,0.0,0.0,2019-10-14,BO,BOV19
2016-01-28,34.126,34.126,34.126,34.126,0.0,0.0,2019-10-14,BO,BOV19
2016-01-29,33.7097,33.7097,33.7097,33.7097,0.0,0.0,2019-10-14,BO,BOV19
2016-02-01,34.3165,34.3165,34.3165,34.3165,0.0,0.0,2019-10-14,BO,BOV19
2016-02-02,33.9733,33.9733,33.9733,33.9733,0.0,0.0,2019-10-14,BO,BOV19
2016-02-03,33.7491,33.7491,33.7491,33.7491,0.0,0.0,2019-10-14,BO,BOV19
2016-02-04,34.2621,34.2621,34.2621,34.2621,0.0,0.0,2019-10-14,BO,BOV19
2016-02-05,34.358,34.358,34.358,34.358,0.0,0.0,2019-10-14,BO,BOV19
2016-02-08,33.7636,33.7636,33.7636,33.7636,0.0,0.0,2019-10-14,BO,BOV19
2016-02-09,33.6994,33.6994,33.6994,33.6994,0.0,0.0,2019-10-14,BO,BOV19
2016-02-10,33.7836,33.7836,33.7836,33.7836,0.0,0.0,2019-10-14,BO,BOV19
2016-02-11,33.51,33.51,33.51,33.51,0.0,0.0,2019-10-14,BO,BOV19
2016-02-12,33.4698,33.4698,33.4698,33.4698,0.0,0.0,2019-10-14,BO,BOV19
2016-02-16,33.3962,33.3962,33.3962,33.3962,0.0,0.0,2019-10-14,BO,BOV19
2016-02-17,33.3929,33.3929,33.3929,33.3929,0.0,0.0,2019-10-14,BO,BOV19
2016-02-18,33.0656,33.0656,33.0656,33.0656,0.0,0.0,2019-10-14,BO,BOV19
2016-02-19,32.8738,32.8738,32.8738,32.8738,0.0,0.0,2019-10-14,BO,BOV19
2016-02-22,32.8146,32.8146,32.8146,32.8146,0.0,0.0,2019-10-14,BO,BOV19
2016-02-23,32.306,32.306,32.306,32.306,0.0,0.0,2019-10-14,BO,BOV19
2016-02-24,32.1929,32.1929,32.1929,32.1929,0.0,0.0,2019-10-14,BO,BOV19
2016-02-25,32.5245,32.5245,32.5245,32.5245,0.0,0.0,2019-10-14,BO,BOV19
2016-02-26,32.6123,32.6123,32.6123,32.6123,0.0,0.0,2019-10-14,BO,BOV19
2016-02-29,32.2666,32.2666,32.2666,32.2666,0.0,0.0,2019-10-14,BO,BOV19
2016-03-01,32.1763,32.1763,32.1763,32.1763,0.0,0.0,2019-10-14,BO,BOV19
2016-03-02,32.1892,32.1892,32.1892,32.1892,0.0,0.0,2019-10-14,BO,BOV19
2016-03-03,32.6495,32.6495,32.6495,32.6495,0.0,0.0,2019-10-14,BO,BOV19
2016-03-04,32.7964,32.7964,32.7964,32.7964,0.0,0.0,2019-10-14,BO,BOV19
2016-03-07,32.6488,32.6488,32.6488,32.6488,0.0,0.0,2019-10-14,BO,BOV19
2016-03-08,32.3419,32.3419,32.3419,32.3419,0.0,0.0,2019-10-14,BO,BOV19
2016-03-09,32.7979,32.7979,32.7979,32.7979,0.0,0.0,2019-10-14,BO,BOV19
2016-03-10,32.7356,32.7356,32.7356,32.7356,0.0,0.0,2019-10-14,BO,BOV19
2016-03-11,32.6996,32.6996,32.6996,32.6996,0.0,0.0,2019-10-14,BO,BOV19
2016-03-14,33.2882,33.2882,33.2882,33.2882,0.0,0.0,2019-10-14,BO,BOV19
2016-03-15,33.7043,33.7043,33.7043,33.7043,0.0,0.0,2019-10-14,BO,BOV19
2016-03-16,33.3302,33.3302,33.3302,33.3302,0.0,0.0,2019-10-14,BO,BOV19
2016-03-17,33.3135,33.3135,33.3135,33.3135,0.0,0.0,2019-10-14,BO,BOV19
2016-03-18,32.7705,32.7705,32.7705,32.7705,0.0,0.0,2019-10-14,BO,BOV19
2016-03-21,33.2063,33.2063,33.2063,33.2063,0.0,0.0,2019-10-14,BO,BOV19
2016-03-22,32.9805,32.9805,32.9805,32.9805,0.0,0.0,2019-10-14,BO,BOV19
2016-03-23,32.4561,32.4561,32.4561,32.4561,0.0,0.0,2019-10-14,BO,BOV19
2016-03-24,32.9105,32.9105,32.9105,32.9105,0.0,0.0,2019-10-14,BO,BOV19
2016-03-28,32.8546,32.8546,32.8546,32.8546,0.0,0.0,2019-10-14,BO,BOV19
2016-03-29,32.4176,32.4176,32.4176,32.4176,0.0,0.0,2019-10-14,BO,BOV19
2016-03-30,32.4273,32.4273,32.4273,32.4273,0.0,0.0,2019-10-14,BO,BOV19
2016-03-31,32.8391,32.8391,32.8391,32.8391,0.0,0.0,2019-10-14,BO,BOV19
2016-04-01,33.1839,33.1839,33.1839,33.1839,0.0,0.0,2019-10-14,BO,BOV19
2016-04-04,33.7314,33.7314,33.7314,33.7314,0.0,0.0,2019-10-14,BO,BOV19
2016-04-05,33.8528,33.8528,33.8528,33.8528,0.0,0.0,2019-10-14,BO,BOV19
2016-04-06,33.257,33.257,33.257,33.257,0.0,0.0,2019-10-14,BO,BOV19
2016-04-07,33.4565,33.4565,33.4565,33.4565,0.0,0.0,2019-10-14,BO,BOV19
2016-04-08,33.8613,33.8613,33.8613,33.8613,0.0,0.0,2019-10-14,BO,BOV19
2016-04-11,34.2947,34.2947,34.2947,34.2947,0.0,0.0,2019-10-14,BO,BOV19
2016-04-12,34.2055,34.2055,34.2055,34.2055,0.0,0.0,2019-10-14,BO,BOV19
2016-04-13,33.6514,33.6514,33.6514,33.6514,0.0,0.0,2019-10-14,BO,BOV19
2016-04-14,33.9341,33.9341,33.9341,33.9341,0.0,0.0,2019-10-14,BO,BOV19
2016-04-15,33.3436,33.3436,33.3436,33.3436,0.0,0.0,2019-10-14,BO,BOV19
2016-04-18,33.4903,33.4903,33.4903,33.4903,0.0,0.0,2019-10-14,BO,BOV19
2016-04-19,33.8922,33.8922,33.8922,33.8922,0.0,0.0,2019-10-14,BO,BOV19
2016-04-20,33.4516,33.4516,33.4516,33.4516,0.0,0.0,2019-10-14,BO,BOV19
2016-04-21,32.9799,32.9799,32.9799,32.9799,0.0,0.0,2019-10-14,BO,BOV19
2016-04-22,32.5512,32.5512,32.5512,32.5512,0.0,0.0,2019-10-14,BO,BOV19
2016-04-25,31.9881,31.9881,31.9881,31.9881,0.0,0.0,2019-10-14,BO,BOV19
2016-04-26,32.5383,32.5383,32.5383,32.5383,0.0,0.0,2019-10-14,BO,BOV19
2016-04-27,33.0654,33.0654,33.0654,33.0654,0.0,0.0,2019-10-14,BO,BOV19
2016-04-28,33.2175,33.2175,33.2175,33.2175,0.0,0.0,2019-10-14,BO,BOV19
2016-04-29,33.1909,33.1909,33.1909,33.1909,0.0,0.0,2019-10-14,BO,BOV19
2016-05-02,32.9685,32.9685,32.9685,32.9685,0.0,0.0,2019-10-14,BO,BOV19
2016-05-03,32.8201,32.8201,32.8201,32.8201,0.0,0.0,2019-10-14,BO,BOV19
2016-05-04,33.3387,33.3387,33.3387,33.3387,0.0,0.0,2019-10-14,BO,BOV19
2016-05-05,33.7688,33.7688,33.7688,33.7688,0.0,0.0,2019-10-14,BO,BOV19
2016-05-06,33.5358,33.5358,33.5358,33.5358,0.0,0.0,2019-10-14,BO,BOV19
2016-05-09,33.5794,33.5794,33.5794,33.5794,0.0,0.0,2019-10-14,BO,BOV19
2016-05-10,33.791,33.791,33.791,33.791,0.0,0.0,2019-10-14,BO,BOV19
2016-05-11,33.5545,33.5545,33.5545,33.5545,0.0,0.0,2019-10-14,BO,BOV19
2016-05-12,33.4505,33.4505,33.4505,33.4505,0.0,0.0,2019-10-14,BO,BOV19
2016-05-13,33.5642,33.5642,33.5642,33.5642,0.0,0.0,2019-10-14,BO,BOV19
2016-05-16,33.6179,33.6179,33.6179,33.6179,0.0,0.0,2019-10-14,BO,BOV19
2016-05-17,33.2884,33.2884,33.2884,33.2884,0.0,0.0,2019-10-14,BO,BOV19
2016-05-18,33.0554,33.0554,33.0554,33.0554,0.0,0.0,2019-10-14,BO,BOV19
2016-05-19,33.1546,33.1546,33.1546,33.1546,0.0,0.0,2019-10-14,BO,BOV19
2016-05-20,33.0982,33.0982,33.0982,33.0982,0.0,0.0,2019-10-14,BO,BOV19
2016-05-23,32.9658,32.9658,32.9658,32.9658,0.0,0.0,2019-10-14,BO,BOV19
2016-05-24,32.8933,32.8933,32.8933,32.8933,0.0,0.0,2019-10-14,BO,BOV19
2016-05-25,33.4624,33.4624,33.4624,33.4624,0.0,0.0,2019-10-14,BO,BOV19
2016-05-26,32.8735,32.8735,32.8735,32.8735,0.0,0.0,2019-10-14,BO,BOV19
2016-05-27,33.3502,33.3502,33.3502,33.3502,0.0,0.0,2019-10-14,BO,BOV19
2016-05-31,33.4236,33.4236,33.4236,33.4236,0.0,0.0,2019-10-14,BO,BOV19
2016-06-01,33.457,33.457,33.457,33.457,0.0,0.0,2019-10-14,BO,BOV19
2016-06-02,33.2128,33.2128,33.2128,33.2128,0.0,0.0,2019-10-14,BO,BOV19
2016-06-03,33.3423,33.3423,33.3423,33.3423,0.0,0.0,2019-10-14,BO,BOV19
2016-06-06,33.6457,33.6457,33.6457,33.6457,0.0,0.0,2019-10-14,BO,BOV19
2016-06-07,33.1679,33.1679,33.1679,33.1679,0.0,0.0,2019-10-14,BO,BOV19
2016-06-08,33.6289,33.6289,33.6289,33.6289,0.0,0.0,2019-10-14,BO,BOV19
2016-06-09,33.7903,33.7903,33.7903,33.7903,0.0,0.0,2019-10-14,BO,BOV19
