,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-14,31.6403,31.6403,31.6403,31.6403,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-15,31.0676,31.0676,31.0676,31.0676,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-16,31.6175,31.6175,31.6175,31.6175,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-17,31.8546,31.8546,31.8546,31.8546,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-18,31.7463,31.7463,31.7463,31.7463,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-21,31.6796,31.6796,31.6796,31.6796,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-22,31.9299,31.9299,31.9299,31.9299,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-23,32.3131,32.3131,32.3131,32.3131,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-24,32.7752,32.7752,32.7752,32.7752,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-28,32.6965,32.6965,32.6965,32.6965,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-29,33.1935,33.1935,33.1935,33.1935,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-30,33.3927,33.3927,33.3927,33.3927,0.0,0.0,2019-12-13,BO,BOZ19
2015-12-31,33.4528,33.4528,33.4528,33.4528,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-04,33.5598,33.5598,33.5598,33.5598,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-05,33.533,33.533,33.533,33.533,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-06,33.694,33.694,33.694,33.694,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-07,34.1118,34.1118,34.1118,34.1118,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-08,33.7297,33.7297,33.7297,33.7297,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-11,34.0299,34.0299,34.0299,34.0299,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-12,33.8223,33.8223,33.8223,33.8223,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-13,34.0658,34.0658,34.0658,34.0658,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-14,34.0351,34.0351,34.0351,34.0351,0.0,0.0,2019-12-13,BO,BOZ19
2016-01-15,34.4197,34.4197,34.4197,34.4197,0.0,0.0,2019-12-13,BO,BOZ19
