,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-19,1.4336,1.4336,1.4336,1.4336,0.0,0.0,2018-09-26,BP,BPM23
2018-06-20,1.4241,1.4241,1.4241,1.4241,0.0,0.0,2018-09-26,BP,BPM23
2018-06-21,1.4299,1.4299,1.4299,1.4299,0.0,0.0,2018-09-26,BP,BPM23
2018-06-22,1.4345,1.4345,1.4345,1.4345,0.0,0.0,2018-09-26,BP,BPM23
2018-06-25,1.4474,1.4474,1.4474,1.4474,0.0,0.0,2018-09-26,BP,BPM23
2018-06-26,1.4499,1.4499,1.4499,1.4499,0.0,0.0,2018-09-26,BP,BPM23
2018-06-27,1.4627,1.4627,1.4627,1.4627,0.0,0.0,2018-09-26,BP,BPM23
2018-06-28,1.4588,1.4588,1.4588,1.4588,0.0,0.0,2018-09-26,BP,BPM23
2018-06-29,1.4693,1.4693,1.4693,1.4693,0.0,0.0,2018-09-26,BP,BPM23
2018-07-02,1.4828,1.4828,1.4828,1.4828,0.0,0.0,2018-09-26,BP,BPM23
2018-07-03,1.4913,1.4913,1.4913,1.4913,0.0,0.0,2018-09-26,BP,BPM23
2018-07-05,1.4792,1.4792,1.4792,1.4792,0.0,0.0,2018-09-26,BP,BPM23
2018-07-06,1.4699,1.4699,1.4699,1.4699,0.0,0.0,2018-09-26,BP,BPM23
2018-07-09,1.4758,1.4758,1.4758,1.4758,0.0,0.0,2018-09-26,BP,BPM23
2018-07-10,1.4643,1.4643,1.4643,1.4643,0.0,0.0,2018-09-26,BP,BPM23
2018-07-11,1.4725,1.4725,1.4725,1.4725,0.0,0.0,2018-09-26,BP,BPM23
2018-07-12,1.47,1.47,1.47,1.47,0.0,0.0,2018-09-26,BP,BPM23
2018-07-13,1.4556,1.4556,1.4556,1.4556,0.0,0.0,2018-09-26,BP,BPM23
2018-07-16,1.4448,1.4448,1.4448,1.4448,0.0,0.0,2018-09-26,BP,BPM23
2018-07-17,1.4441,1.4441,1.4441,1.4441,0.0,0.0,2018-09-26,BP,BPM23
2018-07-18,1.4513,1.4513,1.4513,1.4513,0.0,0.0,2018-09-26,BP,BPM23
2018-07-19,1.4493,1.4493,1.4493,1.4493,0.0,0.0,2018-09-26,BP,BPM23
2018-07-20,1.449,1.449,1.449,1.449,0.0,0.0,2018-09-26,BP,BPM23
2018-07-23,1.4513,1.4513,1.4513,1.4513,0.0,0.0,2018-09-26,BP,BPM23
2018-07-24,1.4543,1.4543,1.4543,1.4543,0.0,0.0,2018-09-26,BP,BPM23
2018-07-25,1.4421,1.4421,1.4421,1.4421,0.0,0.0,2018-09-26,BP,BPM23
2018-07-26,1.451,1.451,1.451,1.451,0.0,0.0,2018-09-26,BP,BPM23
2018-07-27,1.4481,1.4481,1.4481,1.4481,0.0,0.0,2018-09-26,BP,BPM23
2018-07-30,1.4367,1.4367,1.4367,1.4367,0.0,0.0,2018-09-26,BP,BPM23
2018-07-31,1.4258,1.4258,1.4258,1.4258,0.0,0.0,2018-09-26,BP,BPM23
2018-08-01,1.4341,1.4341,1.4341,1.4341,0.0,0.0,2018-09-26,BP,BPM23
2018-08-02,1.4394,1.4394,1.4394,1.4394,0.0,0.0,2018-09-26,BP,BPM23
2018-08-03,1.4459,1.4459,1.4459,1.4459,0.0,0.0,2018-09-26,BP,BPM23
2018-08-06,1.4366,1.4366,1.4366,1.4366,0.0,0.0,2018-09-26,BP,BPM23
2018-08-07,1.4257,1.4257,1.4257,1.4257,0.0,0.0,2018-09-26,BP,BPM23
2018-08-08,1.4323,1.4323,1.4323,1.4323,0.0,0.0,2018-09-26,BP,BPM23
2018-08-09,1.4438,1.4438,1.4438,1.4438,0.0,0.0,2018-09-26,BP,BPM23
2018-08-10,1.4441,1.4441,1.4441,1.4441,0.0,0.0,2018-09-26,BP,BPM23
2018-08-13,1.4531,1.4531,1.4531,1.4531,0.0,0.0,2018-09-26,BP,BPM23
2018-08-14,1.4437,1.4437,1.4437,1.4437,0.0,0.0,2018-09-26,BP,BPM23
2018-08-15,1.4498,1.4498,1.4498,1.4498,0.0,0.0,2018-09-26,BP,BPM23
2018-08-16,1.4579,1.4579,1.4579,1.4579,0.0,0.0,2018-09-26,BP,BPM23
2018-08-17,1.4627,1.4627,1.4627,1.4627,0.0,0.0,2018-09-26,BP,BPM23
2018-08-20,1.4539,1.4539,1.4539,1.4539,0.0,0.0,2018-09-26,BP,BPM23
2018-08-21,1.4602,1.4602,1.4602,1.4602,0.0,0.0,2018-09-26,BP,BPM23
2018-08-22,1.4716,1.4716,1.4716,1.4716,0.0,0.0,2018-09-26,BP,BPM23
2018-08-23,1.4841,1.4841,1.4841,1.4841,0.0,0.0,2018-09-26,BP,BPM23
2018-08-24,1.4831,1.4831,1.4831,1.4831,0.0,0.0,2018-09-26,BP,BPM23
2018-08-27,1.4726,1.4726,1.4726,1.4726,0.0,0.0,2018-09-26,BP,BPM23
2018-08-28,1.4674,1.4674,1.4674,1.4674,0.0,0.0,2018-09-26,BP,BPM23
2018-08-29,1.4648,1.4648,1.4648,1.4648,0.0,0.0,2018-09-26,BP,BPM23
2018-08-30,1.4604,1.4604,1.4604,1.4604,0.0,0.0,2018-09-26,BP,BPM23
2018-08-31,1.456,1.456,1.456,1.456,0.0,0.0,2018-09-26,BP,BPM23
2018-09-04,1.4509,1.4509,1.4509,1.4509,0.0,0.0,2018-09-26,BP,BPM23
2018-09-05,1.458,1.458,1.458,1.458,0.0,0.0,2018-09-26,BP,BPM23
2018-09-06,1.4701,1.4701,1.4701,1.4701,0.0,0.0,2018-09-26,BP,BPM23
2018-09-07,1.461,1.461,1.461,1.461,0.0,0.0,2018-09-26,BP,BPM23
2018-09-10,1.4563,1.4563,1.4563,1.4563,0.0,0.0,2018-09-26,BP,BPM23
2018-09-11,1.4419,1.4419,1.4419,1.4419,0.0,0.0,2018-09-26,BP,BPM23
2018-09-12,1.4477,1.4477,1.4477,1.4477,0.0,0.0,2018-09-26,BP,BPM23
2018-09-13,1.4428,1.4428,1.4428,1.4428,0.0,0.0,2018-09-26,BP,BPM23
2018-09-14,1.432,1.432,1.432,1.432,0.0,0.0,2018-09-26,BP,BPM23
2018-09-17,1.4218,1.4218,1.4218,1.4218,0.0,0.0,2018-09-26,BP,BPM23
2018-09-18,1.4104,1.4104,1.4104,1.4104,0.0,0.0,2018-09-26,BP,BPM23
2018-09-19,1.4005,1.4005,1.4005,1.4005,0.0,0.0,2018-09-26,BP,BPM23
2018-09-20,1.4075,1.4075,1.4075,1.4075,0.0,0.0,2018-09-26,BP,BPM23
2018-09-21,1.4152,1.4152,1.4152,1.4152,0.0,0.0,2018-09-26,BP,BPM23
2018-09-24,1.424,1.424,1.424,1.424,0.0,0.0,2018-09-26,BP,BPM23
2018-09-25,1.4103,1.4103,1.4103,1.4103,0.0,0.0,2018-09-26,BP,BPM23
2018-09-26,1.423,1.423,1.423,1.423,0.0,0.0,2018-09-26,BP,BPM23
2018-09-27,1.412,1.412,1.412,1.412,0.0,0.0,2018-09-26,BP,BPM23
2018-09-28,1.4192,1.4192,1.4192,1.4192,0.0,0.0,2018-09-26,BP,BPM23
2018-10-01,1.4201,1.4201,1.4201,1.4201,0.0,0.0,2018-09-26,BP,BPM23
2018-10-02,1.4178,1.4178,1.4178,1.4178,0.0,0.0,2018-09-26,BP,BPM23
2018-10-03,1.41,1.41,1.41,1.41,0.0,0.0,2018-09-26,BP,BPM23
2018-10-04,1.4059,1.4059,1.4059,1.4059,0.0,0.0,2018-09-26,BP,BPM23
2018-10-05,1.4079,1.4079,1.4079,1.4079,0.0,0.0,2018-09-26,BP,BPM23
2018-10-08,1.3947,1.3947,1.3947,1.3947,0.0,0.0,2018-09-26,BP,BPM23
2018-10-09,1.3876,1.3876,1.3876,1.3876,0.0,0.0,2018-09-26,BP,BPM23
2018-10-10,1.3898,1.3898,1.3898,1.3898,0.0,0.0,2018-09-26,BP,BPM23
2018-10-11,1.3895,1.3895,1.3895,1.3895,0.0,0.0,2018-09-26,BP,BPM23
2018-10-12,1.393,1.393,1.393,1.393,0.0,0.0,2018-09-26,BP,BPM23
2018-10-15,1.3869,1.3869,1.3869,1.3869,0.0,0.0,2018-09-26,BP,BPM23
2018-10-16,1.3929,1.3929,1.3929,1.3929,0.0,0.0,2018-09-26,BP,BPM23
2018-10-17,1.4027,1.4027,1.4027,1.4027,0.0,0.0,2018-09-26,BP,BPM23
2018-10-18,1.3912,1.3912,1.3912,1.3912,0.0,0.0,2018-09-26,BP,BPM23
2018-10-19,1.3866,1.3866,1.3866,1.3866,0.0,0.0,2018-09-26,BP,BPM23
2018-10-22,1.3906,1.3906,1.3906,1.3906,0.0,0.0,2018-09-26,BP,BPM23
2018-10-23,1.3944,1.3944,1.3944,1.3944,0.0,0.0,2018-09-26,BP,BPM23
2018-10-24,1.3922,1.3922,1.3922,1.3922,0.0,0.0,2018-09-26,BP,BPM23
2018-10-25,1.3806,1.3806,1.3806,1.3806,0.0,0.0,2018-09-26,BP,BPM23
2018-10-26,1.3939,1.3939,1.3939,1.3939,0.0,0.0,2018-09-26,BP,BPM23
2018-10-29,1.3991,1.3991,1.3991,1.3991,0.0,0.0,2018-09-26,BP,BPM23
2018-10-30,1.4033,1.4033,1.4033,1.4033,0.0,0.0,2018-09-26,BP,BPM23
2018-10-31,1.3995,1.3995,1.3995,1.3995,0.0,0.0,2018-09-26,BP,BPM23
2018-11-01,1.3981,1.3981,1.3981,1.3981,0.0,0.0,2018-09-26,BP,BPM23
2018-11-02,1.3928,1.3928,1.3928,1.3928,0.0,0.0,2018-09-26,BP,BPM23
2018-11-05,1.3875,1.3875,1.3875,1.3875,0.0,0.0,2018-09-26,BP,BPM23
2018-11-06,1.3875,1.3875,1.3875,1.3875,0.0,0.0,2018-09-26,BP,BPM23
2018-11-07,1.3856,1.3856,1.3856,1.3856,0.0,0.0,2018-09-26,BP,BPM23
2018-11-08,1.3759,1.3759,1.3759,1.3759,0.0,0.0,2018-09-26,BP,BPM23
2018-11-09,1.3734,1.3734,1.3734,1.3734,0.0,0.0,2018-09-26,BP,BPM23
2018-11-12,1.3782,1.3782,1.3782,1.3782,0.0,0.0,2018-09-26,BP,BPM23
