,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-04-03,2221.995,2221.995,2221.995,2221.995,52.0,71.0,2019-03-14,CC,CCH19
2017-04-04,2171.3335,2171.3335,2171.3335,2171.3335,0.0,52.0,2019-03-14,CC,CCH19
2017-04-05,2211.0689,2211.0689,2211.0689,2211.0689,0.0,61.0,2019-03-14,CC,CCH19
2017-04-06,2163.9731,2163.9731,2163.9731,2163.9731,0.0,64.0,2019-03-14,CC,CCH19
2017-04-07,2157.4812,2157.4812,2157.4812,2157.4812,0.0,65.0,2019-03-14,CC,CCH19
2017-04-10,2107.2119,2107.2119,2107.2119,2107.2119,0.0,55.0,2019-03-14,CC,CCH19
2017-04-11,2145.5632,2145.5632,2145.5632,2145.5632,10.0,70.0,2019-03-14,CC,CCH19
2017-04-12,2087.8475,2087.8475,2087.8475,2087.8475,14.0,98.0,2019-03-14,CC,CCH19
2017-04-13,2061.7494,2061.7494,2061.7494,2061.7494,12.0,94.0,2019-03-14,CC,CCH19
2017-04-17,2077.4187,2077.4187,2077.4187,2077.4187,0.0,106.0,2019-03-14,CC,CCH19
2017-04-18,2075.1335,2075.1335,2075.1335,2075.1335,22.0,109.0,2019-03-14,CC,CCH19
2017-04-19,2087.1693,2087.1693,2087.1693,2087.1693,1.0,125.0,2019-03-14,CC,CCH19
2017-04-20,2137.6788,2137.6788,2137.6788,2137.6788,21.0,164.0,2019-03-14,CC,CCH19
2017-04-21,2076.1137,2076.1137,2076.1137,2076.1137,51.0,220.0,2019-03-14,CC,CCH19
2017-04-24,2136.5286,2136.5286,2136.5286,2136.5286,121.0,278.0,2019-03-14,CC,CCH19
2017-04-25,2064.7412,2064.7412,2064.7412,2064.7412,992.0,875.0,2019-03-14,CC,CCH19
2017-04-26,2052.1463,2052.1463,2052.1463,2052.1463,287.0,1019.0,2019-03-14,CC,CCH19
2017-04-27,2019.5172,2019.5172,2019.5172,2019.5172,6.0,1228.0,2019-03-14,CC,CCH19
2017-04-28,2048.5982,2048.5982,2048.5982,2048.5982,23.0,1167.0,2019-03-14,CC,CCH19
2017-05-01,2118.0457,2118.0457,2118.0457,2118.0457,13.0,1339.0,2019-03-14,CC,CCH19
2017-05-02,2158.2886,2158.2886,2158.2886,2158.2886,6.0,1413.0,2019-03-14,CC,CCH19
2017-05-03,2226.9222,2226.9222,2226.9222,2226.9222,6.0,1378.0,2019-03-14,CC,CCH19
2017-05-04,2249.6368,2249.6368,2249.6368,2249.6368,51.0,1217.0,2019-03-14,CC,CCH19
2017-05-05,2227.1404,2227.1404,2227.1404,2227.1404,8.0,1402.0,2019-03-14,CC,CCH19
2017-05-08,2237.3852,2237.3852,2237.3852,2237.3852,15.0,1352.0,2019-03-14,CC,CCH19
2017-05-09,2229.1069,2229.1069,2229.1069,2229.1069,1.0,1131.0,2019-03-14,CC,CCH19
2017-05-10,2181.404,2181.404,2181.404,2181.404,1.0,1290.0,2019-03-14,CC,CCH19
2017-05-11,2234.6303,2234.6303,2234.6303,2234.6303,2.0,1413.0,2019-03-14,CC,CCH19
2017-05-12,2170.2729,2170.2729,2170.2729,2170.2729,7.0,1413.0,2019-03-14,CC,CCH19
2017-05-15,2107.769,2107.769,2107.769,2107.769,0.0,1106.0,2019-03-14,CC,CCH19
2017-05-16,2100.3918,2100.3918,2100.3918,2100.3918,0.0,1426.0,2019-03-14,CC,CCH19
2017-05-17,2039.0604,2039.0604,2039.0604,2039.0604,1.0,1143.0,2019-03-14,CC,CCH19
2017-05-18,2077.8025,2077.8025,2077.8025,2077.8025,1.0,1192.0,2019-03-14,CC,CCH19
2017-05-19,2130.7865,2130.7865,2130.7865,2130.7865,412.0,1850.0,2019-03-14,CC,CCH19
2017-05-22,2131.6388,2131.6388,2131.6388,2131.6388,9.0,1972.0,2019-03-14,CC,CCH19
2017-05-23,2194.309,2194.309,2194.309,2194.309,441.0,2052.0,2019-03-14,CC,CCH19
2017-05-24,2140.329,2140.329,2140.329,2140.329,813.0,2736.0,2019-03-14,CC,CCH19
2017-05-25,2152.3148,2152.3148,2152.3148,2152.3148,0.0,2477.0,2019-03-14,CC,CCH19
2017-05-26,2088.3911,2088.3911,2088.3911,2088.3911,0.0,2448.0,2019-03-14,CC,CCH19
2017-05-30,2038.6874,2038.6874,2038.6874,2038.6874,220.0,2403.0,2019-03-14,CC,CCH19
2017-05-31,2029.3094,2029.3094,2029.3094,2029.3094,515.0,3499.0,2019-03-14,CC,CCH19
2017-06-01,2014.2925,2014.2925,2014.2925,2014.2925,405.0,3380.0,2019-03-14,CC,CCH19
2017-06-02,1951.4466,1951.4466,1951.4466,1951.4466,0.0,4009.0,2019-03-14,CC,CCH19
2017-06-05,1887.6343,1887.6343,1887.6343,1887.6343,25.0,3475.0,2019-03-14,CC,CCH19
2017-06-06,1898.0163,1898.0163,1898.0163,1898.0163,671.0,5364.0,2019-03-14,CC,CCH19
2017-06-07,1898.0163,1898.0163,1898.0163,1898.0163,439.0,5692.0,2019-03-14,CC,CCH19
2017-06-08,1888.3364,1888.3364,1888.3364,1888.3364,127.0,5563.0,2019-03-14,CC,CCH19
2017-06-09,1939.888,1939.888,1939.888,1939.888,296.0,4246.0,2019-03-14,CC,CCH19
2017-06-12,1965.3005,1965.3005,1965.3005,1965.3005,12.0,5463.0,2019-03-14,CC,CCH19
2017-06-13,1976.1097,1976.1097,1976.1097,1976.1097,2.0,6100.0,2019-03-14,CC,CCH19
2017-06-14,2025.1172,2025.1172,2025.1172,2025.1172,3.0,4882.0,2019-03-14,CC,CCH19
2017-06-15,2057.1141,2057.1141,2057.1141,2057.1141,13.0,6311.0,2019-03-14,CC,CCH19
2017-06-16,2089.4108,2089.4108,2089.4108,2089.4108,42.0,4518.0,2019-03-14,CC,CCH19
2017-06-19,2136.6315,2136.6315,2136.6315,2136.6315,125.0,5231.0,2019-03-14,CC,CCH19
2017-06-20,2121.4614,2121.4614,2121.4614,2121.4614,2.0,5231.0,2019-03-14,CC,CCH19
2017-06-21,2069.2734,2069.2734,2069.2734,2069.2734,259.0,4833.0,2019-03-14,CC,CCH19
2017-06-22,2124.9369,2124.9369,2124.9369,2124.9369,346.0,5870.0,2019-03-14,CC,CCH19
2017-06-23,2165.7357,2165.7357,2165.7357,2165.7357,2.0,4826.0,2019-03-14,CC,CCH19
2017-06-26,2216.4139,2216.4139,2216.4139,2216.4139,3.0,5582.0,2019-03-14,CC,CCH19
2017-06-27,2239.9079,2239.9079,2239.9079,2239.9079,1.0,4944.0,2019-03-14,CC,CCH19
2017-06-28,2245.9557,2245.9557,2245.9557,2245.9557,0.0,6688.0,2019-03-14,CC,CCH19
