,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-06-01,3060.1411,3060.1411,3060.1411,3060.1411,0.0,0.0,2017-05-15,CC,CCK17
2015-06-02,3026.1735,3026.1735,3026.1735,3026.1735,0.0,0.0,2017-05-15,CC,CCK17
2015-06-03,3007.7138,3007.7138,3007.7138,3007.7138,2.0,2.0,2017-05-15,CC,CCK17
2015-06-04,2989.3667,2989.3667,2989.3667,2989.3667,1.0,2.0,2017-05-15,CC,CCK17
2015-06-05,2951.7007,2951.7007,2951.7007,2951.7007,0.0,2.0,2017-05-15,CC,CCK17
2015-06-08,2870.8241,2870.8241,2870.8241,2870.8241,0.0,2.0,2017-05-15,CC,CCK17
2015-06-09,2952.3555,2952.3555,2952.3555,2952.3555,0.0,2.0,2017-05-15,CC,CCK17
2015-06-10,2990.4409,2990.4409,2990.4409,2990.4409,0.0,2.0,2017-05-15,CC,CCK17
2015-06-11,2993.1323,2993.1323,2993.1323,2993.1323,0.0,2.0,2017-05-15,CC,CCK17
2015-06-12,3026.6554,3026.6554,3026.6554,3026.6554,0.0,2.0,2017-05-15,CC,CCK17
2015-06-15,2987.9142,2987.9142,2987.9142,2987.9142,0.0,2.0,2017-05-15,CC,CCK17
2015-06-16,3060.2217,3060.2217,3060.2217,3060.2217,0.0,2.0,2017-05-15,CC,CCK17
2015-06-17,3008.81,3008.81,3008.81,3008.81,0.0,2.0,2017-05-15,CC,CCK17
2015-06-18,2997.3765,2997.3765,2997.3765,2997.3765,0.0,2.0,2017-05-15,CC,CCK17
2015-06-19,2935.9303,2935.9303,2935.9303,2935.9303,2.0,1.0,2017-05-15,CC,CCK17
2015-06-22,3010.2093,3010.2093,3010.2093,3010.2093,0.0,1.0,2017-05-15,CC,CCK17
2015-06-23,2950.6072,2950.6072,2950.6072,2950.6072,0.0,1.0,2017-05-15,CC,CCK17
2015-06-24,2871.5309,2871.5309,2871.5309,2871.5309,0.0,1.0,2017-05-15,CC,CCK17
2015-06-25,2855.7375,2855.7375,2855.7375,2855.7375,0.0,1.0,2017-05-15,CC,CCK17
2015-06-26,2879.7257,2879.7257,2879.7257,2879.7257,0.0,1.0,2017-05-15,CC,CCK17
2015-06-29,2861.0075,2861.0075,2861.0075,2861.0075,0.0,1.0,2017-05-15,CC,CCK17
2015-06-30,2912.5056,2912.5056,2912.5056,2912.5056,0.0,1.0,2017-05-15,CC,CCK17
2015-07-01,2944.8344,2944.8344,2944.8344,2944.8344,0.0,1.0,2017-05-15,CC,CCK17
2015-07-02,2878.2811,2878.2811,2878.2811,2878.2811,0.0,1.0,2017-05-15,CC,CCK17
2015-07-06,2796.5379,2796.5379,2796.5379,2796.5379,0.0,1.0,2017-05-15,CC,CCK17
2015-07-07,2724.6669,2724.6669,2724.6669,2724.6669,0.0,1.0,2017-05-15,CC,CCK17
2015-07-08,2718.4002,2718.4002,2718.4002,2718.4002,0.0,1.0,2017-05-15,CC,CCK17
2015-07-09,2735.798,2735.798,2735.798,2735.798,3.0,3.0,2017-05-15,CC,CCK17
2015-07-10,2736.3452,2736.3452,2736.3452,2736.3452,2.0,5.0,2017-05-15,CC,CCK17
2015-07-13,2800.3757,2800.3757,2800.3757,2800.3757,0.0,5.0,2017-05-15,CC,CCK17
2015-07-14,2847.142,2847.142,2847.142,2847.142,2.0,6.0,2017-05-15,CC,CCK17
2015-07-15,2821.233,2821.233,2821.233,2821.233,3.0,5.0,2017-05-15,CC,CCK17
2015-07-16,2783.7106,2783.7106,2783.7106,2783.7106,0.0,5.0,2017-05-15,CC,CCK17
2015-07-17,2809.3207,2809.3207,2809.3207,2809.3207,0.0,5.0,2017-05-15,CC,CCK17
2015-07-20,2814.3775,2814.3775,2814.3775,2814.3775,0.0,5.0,2017-05-15,CC,CCK17
2015-07-21,2853.2159,2853.2159,2853.2159,2853.2159,0.0,6.0,2017-05-15,CC,CCK17
2015-07-22,2892.305,2892.305,2892.305,2892.305,2.0,3.0,2017-05-15,CC,CCK17
2015-07-23,2813.9235,2813.9235,2813.9235,2813.9235,3.0,1.0,2017-05-15,CC,CCK17
2015-07-24,2856.1324,2856.1324,2856.1324,2856.1324,0.0,1.0,2017-05-15,CC,CCK17
2015-07-27,2859.5598,2859.5598,2859.5598,2859.5598,0.0,1.0,2017-05-15,CC,CCK17
2015-07-28,2941.9151,2941.9151,2941.9151,2941.9151,0.0,1.0,2017-05-15,CC,CCK17
2015-07-29,2858.0705,2858.0705,2858.0705,2858.0705,0.0,1.0,2017-05-15,CC,CCK17
2015-07-30,2884.9364,2884.9364,2884.9364,2884.9364,0.0,1.0,2017-05-15,CC,CCK17
2015-07-31,2967.1571,2967.1571,2967.1571,2967.1571,0.0,1.0,2017-05-15,CC,CCK17
2015-08-03,3041.0393,3041.0393,3041.0393,3041.0393,0.0,1.0,2017-05-15,CC,CCK17
2015-08-04,2983.2596,2983.2596,2983.2596,2983.2596,0.0,1.0,2017-05-15,CC,CCK17
2015-08-05,3027.4118,3027.4118,3027.4118,3027.4118,0.0,1.0,2017-05-15,CC,CCK17
2015-08-06,2946.8826,2946.8826,2946.8826,2946.8826,409.0,575.0,2017-05-15,CC,CCK17
2015-08-07,2968.1002,2968.1002,2968.1002,2968.1002,7.0,556.0,2017-05-15,CC,CCK17
2015-08-10,2981.1598,2981.1598,2981.1598,2981.1598,2.0,572.0,2017-05-15,CC,CCK17
2015-08-11,2957.6086,2957.6086,2957.6086,2957.6086,0.0,597.0,2017-05-15,CC,CCK17
2015-08-12,3001.677,3001.677,3001.677,3001.677,0.0,552.0,2017-05-15,CC,CCK17
2015-08-13,2987.5691,2987.5691,2987.5691,2987.5691,0.0,541.0,2017-05-15,CC,CCK17
2015-08-14,3003.4032,3003.4032,3003.4032,3003.4032,0.0,445.0,2017-05-15,CC,CCK17
2015-08-17,3013.9151,3013.9151,3013.9151,3013.9151,0.0,582.0,2017-05-15,CC,CCK17
2015-08-18,3004.8734,3004.8734,3004.8734,3004.8734,1.0,505.0,2017-05-15,CC,CCK17
2015-08-19,3015.3905,3015.3905,3015.3905,3015.3905,0.0,520.0,2017-05-15,CC,CCK17
2015-08-20,2979.8089,2979.8089,2979.8089,2979.8089,0.0,409.0,2017-05-15,CC,CCK17
2015-08-21,2992.0261,2992.0261,2992.0261,2992.0261,0.0,601.0,2017-05-15,CC,CCK17
2015-08-24,3032.4185,3032.4185,3032.4185,3032.4185,0.0,460.0,2017-05-15,CC,CCK17
2015-08-25,3054.8584,3054.8584,3054.8584,3054.8584,0.0,515.0,2017-05-15,CC,CCK17
2015-08-26,3083.2686,3083.2686,3083.2686,3083.2686,340.0,965.0,2017-05-15,CC,CCK17
2015-08-27,3019.4449,3019.4449,3019.4449,3019.4449,0.0,1001.0,2017-05-15,CC,CCK17
2015-08-28,2951.5074,2951.5074,2951.5074,2951.5074,0.0,755.0,2017-05-15,CC,CCK17
2015-08-31,2886.5742,2886.5742,2886.5742,2886.5742,0.0,846.0,2017-05-15,CC,CCK17
2015-09-01,2872.43,2872.43,2872.43,2872.43,0.0,983.0,2017-05-15,CC,CCK17
2015-09-02,2825.3221,2825.3221,2825.3221,2825.3221,0.0,819.0,2017-05-15,CC,CCK17
2015-09-03,2887.7617,2887.7617,2887.7617,2887.7617,0.0,874.0,2017-05-15,CC,CCK17
2015-09-04,2821.632,2821.632,2821.632,2821.632,0.0,783.0,2017-05-15,CC,CCK17
2015-09-08,2852.9521,2852.9521,2852.9521,2852.9521,87.0,965.0,2017-05-15,CC,CCK17
2015-09-09,2779.0606,2779.0606,2779.0606,2779.0606,49.0,816.0,2017-05-15,CC,CCK17
2015-09-10,2702.3585,2702.3585,2702.3585,2702.3585,3.0,853.0,2017-05-15,CC,CCK17
2015-09-11,2759.108,2759.108,2759.108,2759.108,2.0,1103.0,2017-05-15,CC,CCK17
2015-09-14,2769.0408,2769.0408,2769.0408,2769.0408,62.0,1085.0,2017-05-15,CC,CCK17
2015-09-15,2810.0226,2810.0226,2810.0226,2810.0226,17.0,751.0,2017-05-15,CC,CCK17
2015-09-16,2772.0873,2772.0873,2772.0873,2772.0873,6.0,983.0,2017-05-15,CC,CCK17
2015-09-17,2751.5739,2751.5739,2751.5739,2751.5739,82.0,993.0,2017-05-15,CC,CCK17
2015-09-18,2822.0142,2822.0142,2822.0142,2822.0142,52.0,881.0,2017-05-15,CC,CCK17
2015-09-21,2784.7636,2784.7636,2784.7636,2784.7636,60.0,885.0,2017-05-15,CC,CCK17
2015-09-22,2857.1675,2857.1675,2857.1675,2857.1675,225.0,1328.0,2017-05-15,CC,CCK17
2015-09-23,2814.8814,2814.8814,2814.8814,2814.8814,4.0,1134.0,2017-05-15,CC,CCK17
2015-09-24,2778.8509,2778.8509,2778.8509,2778.8509,0.0,1258.0,2017-05-15,CC,CCK17
2015-09-25,2707.1565,2707.1565,2707.1565,2707.1565,0.0,1209.0,2017-05-15,CC,CCK17
2015-09-28,2770.504,2770.504,2770.504,2770.504,0.0,1134.0,2017-05-15,CC,CCK17
2015-09-29,2734.7645,2734.7645,2734.7645,2734.7645,0.0,1121.0,2017-05-15,CC,CCK17
2015-09-30,2661.4728,2661.4728,2661.4728,2661.4728,66.0,1437.0,2017-05-15,CC,CCK17
2015-10-01,2641.2456,2641.2456,2641.2456,2641.2456,0.0,1254.0,2017-05-15,CC,CCK17
2015-10-02,2588.6848,2588.6848,2588.6848,2588.6848,0.0,1319.0,2017-05-15,CC,CCK17
2015-10-05,2515.9428,2515.9428,2515.9428,2515.9428,0.0,1384.0,2017-05-15,CC,CCK17
2015-10-06,2541.857,2541.857,2541.857,2541.857,7.0,1421.0,2017-05-15,CC,CCK17
2015-10-07,2583.7976,2583.7976,2583.7976,2583.7976,12.0,1320.0,2017-05-15,CC,CCK17
2015-10-08,2657.4358,2657.4358,2657.4358,2657.4358,0.0,1190.0,2017-05-15,CC,CCK17
2015-10-09,2718.8226,2718.8226,2718.8226,2718.8226,2.0,1216.0,2017-05-15,CC,CCK17
2015-10-12,2694.0813,2694.0813,2694.0813,2694.0813,0.0,1126.0,2017-05-15,CC,CCK17
2015-10-13,2728.5655,2728.5655,2728.5655,2728.5655,2.0,1410.0,2017-05-15,CC,CCK17
2015-10-14,2741.6626,2741.6626,2741.6626,2741.6626,0.0,1035.0,2017-05-15,CC,CCK17
2015-10-15,2771.8209,2771.8209,2771.8209,2771.8209,0.0,1540.0,2017-05-15,CC,CCK17
2015-10-16,2764.8913,2764.8913,2764.8913,2764.8913,0.0,1449.0,2017-05-15,CC,CCK17
2015-10-19,2816.8713,2816.8713,2816.8713,2816.8713,1.0,1307.0,2017-05-15,CC,CCK17
2015-10-20,2781.3787,2781.3787,2781.3787,2781.3787,105.0,1294.0,2017-05-15,CC,CCK17
2015-10-21,2840.6221,2840.6221,2840.6221,2840.6221,119.0,1237.0,2017-05-15,CC,CCK17
2015-10-22,2915.8986,2915.8986,2915.8986,2915.8986,0.0,1644.0,2017-05-15,CC,CCK17
2015-10-23,2896.9453,2896.9453,2896.9453,2896.9453,8.0,1493.0,2017-05-15,CC,CCK17
2015-10-26,2952.5666,2952.5666,2952.5666,2952.5666,0.0,1342.0,2017-05-15,CC,CCK17
2015-10-27,2884.0671,2884.0671,2884.0671,2884.0671,26.0,1645.0,2017-05-15,CC,CCK17
2015-10-28,2833.5959,2833.5959,2833.5959,2833.5959,61.0,1307.0,2017-05-15,CC,CCK17
2015-10-29,2860.7984,2860.7984,2860.7984,2860.7984,20.0,1685.0,2017-05-15,CC,CCK17
2015-10-30,2800.4356,2800.4356,2800.4356,2800.4356,3.0,1812.0,2017-05-15,CC,CCK17
2015-11-02,2846.6428,2846.6428,2846.6428,2846.6428,0.0,1270.0,2017-05-15,CC,CCK17
2015-11-03,2893.3277,2893.3277,2893.3277,2893.3277,7.0,1735.0,2017-05-15,CC,CCK17
2015-11-04,2831.1212,2831.1212,2831.1212,2831.1212,8.0,1719.0,2017-05-15,CC,CCK17
2015-11-05,2766.0054,2766.0054,2766.0054,2766.0054,0.0,1812.0,2017-05-15,CC,CCK17
2015-11-06,2827.9639,2827.9639,2827.9639,2827.9639,159.0,1294.0,2017-05-15,CC,CCK17
2015-11-09,2822.308,2822.308,2822.308,2822.308,0.0,1637.0,2017-05-15,CC,CCK17
2015-11-10,2812.9944,2812.9944,2812.9944,2812.9944,59.0,1550.0,2017-05-15,CC,CCK17
2015-11-11,2759.8288,2759.8288,2759.8288,2759.8288,2.0,1472.0,2017-05-15,CC,CCK17
2015-11-12,2684.2095,2684.2095,2684.2095,2684.2095,0.0,1442.0,2017-05-15,CC,CCK17
2015-11-13,2669.4463,2669.4463,2669.4463,2669.4463,1.0,1844.0,2017-05-15,CC,CCK17
2015-11-16,2715.8947,2715.8947,2715.8947,2715.8947,2.0,1566.0,2017-05-15,CC,CCK17
2015-11-17,2640.1212,2640.1212,2640.1212,2640.1212,1.0,1456.0,2017-05-15,CC,CCK17
2015-11-18,2669.1625,2669.1625,2669.1625,2669.1625,1.0,1780.0,2017-05-15,CC,CCK17
2015-11-19,2670.2302,2670.2302,2670.2302,2670.2302,5.0,1315.0,2017-05-15,CC,CCK17
2015-11-20,2607.7468,2607.7468,2607.7468,2607.7468,7.0,1392.0,2017-05-15,CC,CCK17
2015-11-23,2588.7102,2588.7102,2588.7102,2588.7102,0.0,1841.0,2017-05-15,CC,CCK17
2015-11-24,2643.332,2643.332,2643.332,2643.332,0.0,1578.0,2017-05-15,CC,CCK17
2015-11-25,2677.6953,2677.6953,2677.6953,2677.6953,0.0,1253.0,2017-05-15,CC,CCK17
2015-11-27,2656.5415,2656.5415,2656.5415,2656.5415,1.0,1639.0,2017-05-15,CC,CCK17
2015-11-30,2632.8983,2632.8983,2632.8983,2632.8983,0.0,1608.0,2017-05-15,CC,CCK17
2015-12-01,2684.5031,2684.5031,2684.5031,2684.5031,0.0,1299.0,2017-05-15,CC,CCK17
2015-12-02,2734.7033,2734.7033,2734.7033,2734.7033,0.0,1438.0,2017-05-15,CC,CCK17
2015-12-03,2749.7442,2749.7442,2749.7442,2749.7442,21.0,1249.0,2017-05-15,CC,CCK17
2015-12-04,2777.5166,2777.5166,2777.5166,2777.5166,17.0,1451.0,2017-05-15,CC,CCK17
