,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-08-01,2857.8777,2857.8777,2857.8777,2857.8777,0.0,0.0,2018-07-16,CC,CCN18
2016-08-02,2954.1882,2954.1882,2954.1882,2954.1882,0.0,0.0,2018-07-16,CC,CCN18
2016-08-03,2908.1029,2908.1029,2908.1029,2908.1029,0.0,0.0,2018-07-16,CC,CCN18
2016-08-04,2855.1754,2855.1754,2855.1754,2855.1754,0.0,0.0,2018-07-16,CC,CCN18
2016-08-05,2780.3698,2780.3698,2780.3698,2780.3698,0.0,0.0,2018-07-16,CC,CCN18
2016-08-08,2735.6058,2735.6058,2735.6058,2735.6058,0.0,0.0,2018-07-16,CC,CCN18
2016-08-09,2741.8977,2741.8977,2741.8977,2741.8977,0.0,0.0,2018-07-16,CC,CCN18
2016-08-10,2727.3656,2727.3656,2727.3656,2727.3656,0.0,0.0,2018-07-16,CC,CCN18
2016-08-11,2732.0021,2732.0021,2732.0021,2732.0021,0.0,0.0,2018-07-16,CC,CCN18
2016-08-12,2807.1322,2807.1322,2807.1322,2807.1322,0.0,0.0,2018-07-16,CC,CCN18
2016-08-15,2860.7484,2860.7484,2860.7484,2860.7484,0.0,0.0,2018-07-16,CC,CCN18
2016-08-16,2909.3811,2909.3811,2909.3811,2909.3811,0.0,0.0,2018-07-16,CC,CCN18
2016-08-17,2921.3096,2921.3096,2921.3096,2921.3096,0.0,0.0,2018-07-16,CC,CCN18
2016-08-18,2944.3879,2944.3879,2944.3879,2944.3879,0.0,0.0,2018-07-16,CC,CCN18
2016-08-19,2998.5646,2998.5646,2998.5646,2998.5646,0.0,0.0,2018-07-16,CC,CCN18
2016-08-22,3091.82,3091.82,3091.82,3091.82,0.0,0.0,2018-07-16,CC,CCN18
2016-08-23,3157.6758,3157.6758,3157.6758,3157.6758,0.0,0.0,2018-07-16,CC,CCN18
2016-08-24,3187.9895,3187.9895,3187.9895,3187.9895,0.0,0.0,2018-07-16,CC,CCN18
2016-08-25,3139.2133,3139.2133,3139.2133,3139.2133,0.0,0.0,2018-07-16,CC,CCN18
2016-08-26,3146.4335,3146.4335,3146.4335,3146.4335,0.0,0.0,2018-07-16,CC,CCN18
2016-08-29,3188.5957,3188.5957,3188.5957,3188.5957,0.0,0.0,2018-07-16,CC,CCN18
2016-08-30,3096.4453,3096.4453,3096.4453,3096.4453,0.0,0.0,2018-07-16,CC,CCN18
2016-08-31,2990.8565,2990.8565,2990.8565,2990.8565,0.0,0.0,2018-07-16,CC,CCN18
2016-09-01,2998.0346,2998.0346,2998.0346,2998.0346,0.0,0.0,2018-07-16,CC,CCN18
2016-09-02,3070.2872,3070.2872,3070.2872,3070.2872,0.0,0.0,2018-07-16,CC,CCN18
2016-09-06,3122.1751,3122.1751,3122.1751,3122.1751,0.0,0.0,2018-07-16,CC,CCN18
2016-09-07,3097.8221,3097.8221,3097.8221,3097.8221,0.0,0.0,2018-07-16,CC,CCN18
2016-09-08,3022.8548,3022.8548,3022.8548,3022.8548,0.0,0.0,2018-07-16,CC,CCN18
2016-09-09,3073.3365,3073.3365,3073.3365,3073.3365,0.0,0.0,2018-07-16,CC,CCN18
2016-09-12,3101.6112,3101.6112,3101.6112,3101.6112,0.0,0.0,2018-07-16,CC,CCN18
2016-09-13,3018.488,3018.488,3018.488,3018.488,1.0,1.0,2018-07-16,CC,CCN18
2016-09-14,3002.1882,3002.1882,3002.1882,3002.1882,0.0,1.0,2018-07-16,CC,CCN18
