,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-01,2988.0743,2988.0743,2988.0743,2988.0743,0.0,0.0,2017-09-14,CC,CCU17
2015-10-02,3050.2262,3050.2262,3050.2262,3050.2262,0.0,0.0,2017-09-14,CC,CCU17
2015-10-05,3087.744,3087.744,3087.744,3087.744,0.0,0.0,2017-09-14,CC,CCU17
2015-10-06,3101.3301,3101.3301,3101.3301,3101.3301,0.0,0.0,2017-09-14,CC,CCU17
2015-10-07,3145.6791,3145.6791,3145.6791,3145.6791,2.0,2.0,2017-09-14,CC,CCU17
2015-10-08,3122.7156,3122.7156,3122.7156,3122.7156,0.0,2.0,2017-09-14,CC,CCU17
2015-10-09,3111.1616,3111.1616,3111.1616,3111.1616,2.0,4.0,2017-09-14,CC,CCU17
2015-10-12,3027.7825,3027.7825,3027.7825,3027.7825,0.0,4.0,2017-09-14,CC,CCU17
2015-10-13,3061.6937,3061.6937,3061.6937,3061.6937,0.0,5.0,2017-09-14,CC,CCU17
2015-10-14,3088.6366,3088.6366,3088.6366,3088.6366,0.0,3.0,2017-09-14,CC,CCU17
2015-10-15,3158.1309,3158.1309,3158.1309,3158.1309,0.0,4.0,2017-09-14,CC,CCU17
2015-10-16,3231.3995,3231.3995,3231.3995,3231.3995,4800.0,5204.0,2017-09-14,CC,CCU17
2015-10-19,3255.3119,3255.3119,3255.3119,3255.3119,0.0,5705.0,2017-09-14,CC,CCU17
2015-10-20,3331.8117,3331.8117,3331.8117,3331.8117,0.0,4654.0,2017-09-14,CC,CCU17
2015-10-21,3238.1878,3238.1878,3238.1878,3238.1878,0.0,5705.0,2017-09-14,CC,CCU17
2015-10-22,3257.9407,3257.9407,3257.9407,3257.9407,0.0,4303.0,2017-09-14,CC,CCU17
2015-10-23,3263.4792,3263.4792,3263.4792,3263.4792,0.0,4203.0,2017-09-14,CC,CCU17
2015-10-26,3332.0123,3332.0123,3332.0123,3332.0123,0.0,5104.0,2017-09-14,CC,CCU17
2015-10-27,3418.3114,3418.3114,3418.3114,3418.3114,1.0,4003.0,2017-09-14,CC,CCU17
2015-10-28,3523.2536,3523.2536,3523.2536,3523.2536,4.0,5155.0,2017-09-14,CC,CCU17
2015-10-29,3551.0873,3551.0873,3551.0873,3551.0873,0.0,4154.0,2017-09-14,CC,CCU17
2015-10-30,3476.1594,3476.1594,3476.1594,3476.1594,0.0,5205.0,2017-09-14,CC,CCU17
2015-11-02,3380.565,3380.565,3380.565,3380.565,0.0,4254.0,2017-09-14,CC,CCU17
2015-11-03,3371.7755,3371.7755,3371.7755,3371.7755,0.0,5506.0,2017-09-14,CC,CCU17
2015-11-04,3473.6031,3473.6031,3473.6031,3473.6031,6.0,5604.0,2017-09-14,CC,CCU17
2015-11-05,3411.773,3411.773,3411.773,3411.773,0.0,4454.0,2017-09-14,CC,CCU17
2015-11-06,3331.9375,3331.9375,3331.9375,3331.9375,0.0,4954.0,2017-09-14,CC,CCU17
2015-11-09,3427.5641,3427.5641,3427.5641,3427.5641,3.0,4054.0,2017-09-14,CC,CCU17
2015-11-10,3480.3486,3480.3486,3480.3486,3480.3486,0.0,4004.0,2017-09-14,CC,CCU17
2015-11-11,3447.9814,3447.9814,3447.9814,3447.9814,0.0,5906.0,2017-09-14,CC,CCU17
2015-11-12,3440.051,3440.051,3440.051,3440.051,0.0,5506.0,2017-09-14,CC,CCU17
2015-11-13,3346.8256,3346.8256,3346.8256,3346.8256,2.0,5758.0,2017-09-14,CC,CCU17
2015-11-16,3385.6488,3385.6488,3385.6488,3385.6488,6.0,5314.0,2017-09-14,CC,CCU17
2015-11-17,3443.882,3443.882,3443.882,3443.882,0.0,5214.0,2017-09-14,CC,CCU17
2015-11-18,3480.7315,3480.7315,3480.7315,3480.7315,0.0,4061.0,2017-09-14,CC,CCU17
2015-11-19,3372.4808,3372.4808,3372.4808,3372.4808,0.0,4010.0,2017-09-14,CC,CCU17
2015-11-20,3274.3416,3274.3416,3274.3416,3274.3416,1.0,5515.0,2017-09-14,CC,CCU17
2015-11-23,3370.6072,3370.6072,3370.6072,3370.6072,0.0,4763.0,2017-09-14,CC,CCU17
2015-11-24,3356.1136,3356.1136,3356.1136,3356.1136,2.0,5817.0,2017-09-14,CC,CCU17
