,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-01-04,3048.7717,3048.7717,3048.7717,3048.7717,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-05,3097.2472,3097.2472,3097.2472,3097.2472,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-06,3058.2219,3058.2219,3058.2219,3058.2219,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-07,2977.179,2977.179,2977.179,2977.179,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-08,2905.7267,2905.7267,2905.7267,2905.7267,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-11,2816.8115,2816.8115,2816.8115,2816.8115,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-12,2768.0807,2768.0807,2768.0807,2768.0807,0.0,0.0,2017-12-13,CC,CCZ17
2016-01-13,2833.1306,2833.1306,2833.1306,2833.1306,15.0,15.0,2017-12-13,CC,CCZ17
2016-01-14,2878.1774,2878.1774,2878.1774,2878.1774,0.0,17.0,2017-12-13,CC,CCZ17
2016-01-15,2929.409,2929.409,2929.409,2929.409,0.0,16.0,2017-12-13,CC,CCZ17
2016-01-19,3005.8666,3005.8666,3005.8666,3005.8666,0.0,16.0,2017-12-13,CC,CCZ17
2016-01-20,3029.6129,3029.6129,3029.6129,3029.6129,3.0,14.0,2017-12-13,CC,CCZ17
2016-01-21,3105.9591,3105.9591,3105.9591,3105.9591,0.0,13.0,2017-12-13,CC,CCZ17
2016-01-22,3021.7876,3021.7876,3021.7876,3021.7876,0.0,15.0,2017-12-13,CC,CCZ17
2016-01-25,3053.8185,3053.8185,3053.8185,3053.8185,0.0,12.0,2017-12-13,CC,CCZ17
2016-01-26,3125.2779,3125.2779,3125.2779,3125.2779,0.0,17.0,2017-12-13,CC,CCZ17
2016-01-27,3175.5949,3175.5949,3175.5949,3175.5949,9.0,25.0,2017-12-13,CC,CCZ17
2016-01-28,3203.5401,3203.5401,3203.5401,3203.5401,2.0,23.0,2017-12-13,CC,CCZ17
2016-01-29,3300.287,3300.287,3300.287,3300.287,0.0,20.0,2017-12-13,CC,CCZ17
2016-02-01,3359.3621,3359.3621,3359.3621,3359.3621,0.0,24.0,2017-12-13,CC,CCZ17
2016-02-02,3365.7449,3365.7449,3365.7449,3365.7449,0.0,24.0,2017-12-13,CC,CCZ17
2016-02-03,3451.2348,3451.2348,3451.2348,3451.2348,0.0,25.0,2017-12-13,CC,CCZ17
2016-02-04,3560.9841,3560.9841,3560.9841,3560.9841,0.0,21.0,2017-12-13,CC,CCZ17
2016-02-05,3596.5939,3596.5939,3596.5939,3596.5939,0.0,22.0,2017-12-13,CC,CCZ17
2016-02-08,3582.9268,3582.9268,3582.9268,3582.9268,2.0,23.0,2017-12-13,CC,CCZ17
2016-02-09,3610.157,3610.157,3610.157,3610.157,0.0,24.0,2017-12-13,CC,CCZ17
2016-02-10,3678.389,3678.389,3678.389,3678.389,1.0,23.0,2017-12-13,CC,CCZ17
2016-02-11,3612.178,3612.178,3612.178,3612.178,0.0,32.0,2017-12-13,CC,CCZ17
2016-02-12,3581.8357,3581.8357,3581.8357,3581.8357,3.0,33.0,2017-12-13,CC,CCZ17
2016-02-16,3472.9479,3472.9479,3472.9479,3472.9479,12.0,33.0,2017-12-13,CC,CCZ17
2016-02-17,3402.0998,3402.0998,3402.0998,3402.0998,0.0,39.0,2017-12-13,CC,CCZ17
2016-02-18,3354.1302,3354.1302,3354.1302,3354.1302,0.0,36.0,2017-12-13,CC,CCZ17
2016-02-19,3266.252,3266.252,3266.252,3266.252,2.0,41.0,2017-12-13,CC,CCZ17
2016-02-22,3316.8789,3316.8789,3316.8789,3316.8789,0.0,42.0,2017-12-13,CC,CCZ17
2016-02-23,3356.6814,3356.6814,3356.6814,3356.6814,0.0,45.0,2017-12-13,CC,CCZ17
2016-02-24,3321.4362,3321.4362,3321.4362,3321.4362,1.0,36.0,2017-12-13,CC,CCZ17
2016-02-25,3318.1148,3318.1148,3318.1148,3318.1148,2.0,51.0,2017-12-13,CC,CCZ17
2016-02-26,3420.3127,3420.3127,3420.3127,3420.3127,11.0,59.0,2017-12-13,CC,CCZ17
2016-02-29,3315.3091,3315.3091,3315.3091,3315.3091,1.0,42.0,2017-12-13,CC,CCZ17
2016-03-01,3262.2642,3262.2642,3262.2642,3262.2642,0.0,57.0,2017-12-13,CC,CCZ17
2016-03-02,3251.4987,3251.4987,3251.4987,3251.4987,20.0,55.0,2017-12-13,CC,CCZ17
2016-03-03,3194.9226,3194.9226,3194.9226,3194.9226,14.0,70.0,2017-12-13,CC,CCZ17
2016-03-04,3231.3447,3231.3447,3231.3447,3231.3447,44.0,94.0,2017-12-13,CC,CCZ17
2016-03-07,3198.0618,3198.0618,3198.0618,3198.0618,2.0,121.0,2017-12-13,CC,CCZ17
2016-03-08,3205.0975,3205.0975,3205.0975,3205.0975,0.0,131.0,2017-12-13,CC,CCZ17
2016-03-09,3237.7895,3237.7895,3237.7895,3237.7895,2.0,119.0,2017-12-13,CC,CCZ17
2016-03-10,3197.3171,3197.3171,3197.3171,3197.3171,0.0,94.0,2017-12-13,CC,CCZ17
2016-03-11,3200.8341,3200.8341,3200.8341,3200.8341,2.0,101.0,2017-12-13,CC,CCZ17
2016-03-14,3278.2943,3278.2943,3278.2943,3278.2943,2.0,95.0,2017-12-13,CC,CCZ17
2016-03-15,3290.0962,3290.0962,3290.0962,3290.0962,1.0,98.0,2017-12-13,CC,CCZ17
2016-03-16,3264.7625,3264.7625,3264.7625,3264.7625,0.0,109.0,2017-12-13,CC,CCZ17
2016-03-17,3300.3484,3300.3484,3300.3484,3300.3484,2.0,117.0,2017-12-13,CC,CCZ17
2016-03-18,3277.576,3277.576,3277.576,3277.576,2.0,135.0,2017-12-13,CC,CCZ17
2016-03-21,3276.5927,3276.5927,3276.5927,3276.5927,3.0,95.0,2017-12-13,CC,CCZ17
2016-03-22,3216.6311,3216.6311,3216.6311,3216.6311,0.0,128.0,2017-12-13,CC,CCZ17
2016-03-23,3160.9834,3160.9834,3160.9834,3160.9834,1.0,115.0,2017-12-13,CC,CCZ17
2016-03-24,3173.9434,3173.9434,3173.9434,3173.9434,9.0,113.0,2017-12-13,CC,CCZ17
2016-03-28,3146.0127,3146.0127,3146.0127,3146.0127,2.0,126.0,2017-12-13,CC,CCZ17
2016-03-29,3169.9224,3169.9224,3169.9224,3169.9224,1.0,112.0,2017-12-13,CC,CCZ17
2016-03-30,3196.8667,3196.8667,3196.8667,3196.8667,1.0,111.0,2017-12-13,CC,CCZ17
2016-03-31,3292.1333,3292.1333,3292.1333,3292.1333,13.0,120.0,2017-12-13,CC,CCZ17
2016-04-01,3308.594,3308.594,3308.594,3308.594,1.0,139.0,2017-12-13,CC,CCZ17
2016-04-04,3399.2495,3399.2495,3399.2495,3399.2495,1.0,113.0,2017-12-13,CC,CCZ17
2016-04-05,3383.9529,3383.9529,3383.9529,3383.9529,1.0,137.0,2017-12-13,CC,CCZ17
2016-04-06,3349.4366,3349.4366,3349.4366,3349.4366,3.0,111.0,2017-12-13,CC,CCZ17
2016-04-07,3294.5058,3294.5058,3294.5058,3294.5058,9.0,143.0,2017-12-13,CC,CCZ17
2016-04-08,3301.7537,3301.7537,3301.7537,3301.7537,7.0,126.0,2017-12-13,CC,CCZ17
2016-04-11,3380.3354,3380.3354,3380.3354,3380.3354,0.0,112.0,2017-12-13,CC,CCZ17
2016-04-12,3482.7596,3482.7596,3482.7596,3482.7596,2.0,131.0,2017-12-13,CC,CCZ17
2016-04-13,3446.1906,3446.1906,3446.1906,3446.1906,3.0,150.0,2017-12-13,CC,CCZ17
2016-04-14,3547.5086,3547.5086,3547.5086,3547.5086,1.0,142.0,2017-12-13,CC,CCZ17
2016-04-15,3637.6153,3637.6153,3637.6153,3637.6153,77.0,152.0,2017-12-13,CC,CCZ17
2016-04-18,3578.6859,3578.6859,3578.6859,3578.6859,79.0,222.0,2017-12-13,CC,CCZ17
2016-04-19,3566.5184,3566.5184,3566.5184,3566.5184,23.0,197.0,2017-12-13,CC,CCZ17
2016-04-20,3512.3073,3512.3073,3512.3073,3512.3073,10.0,230.0,2017-12-13,CC,CCZ17
2016-04-21,3512.3073,3512.3073,3512.3073,3512.3073,27.0,295.0,2017-12-13,CC,CCZ17
2016-04-22,3533.3811,3533.3811,3533.3811,3533.3811,57.0,336.0,2017-12-13,CC,CCZ17
2016-04-25,3524.5476,3524.5476,3524.5476,3524.5476,9.0,248.0,2017-12-13,CC,CCZ17
2016-04-26,3501.2856,3501.2856,3501.2856,3501.2856,12.0,258.0,2017-12-13,CC,CCZ17
2016-04-27,3565.009,3565.009,3565.009,3565.009,2.0,254.0,2017-12-13,CC,CCZ17
2016-04-28,3491.5698,3491.5698,3491.5698,3491.5698,3.0,330.0,2017-12-13,CC,CCZ17
2016-04-29,3484.2375,3484.2375,3484.2375,3484.2375,4.0,300.0,2017-12-13,CC,CCZ17
2016-05-02,3561.2391,3561.2391,3561.2391,3561.2391,5.0,244.0,2017-12-13,CC,CCZ17
2016-05-03,3581.8943,3581.8943,3581.8943,3581.8943,3.0,328.0,2017-12-13,CC,CCZ17
2016-05-04,3519.9275,3519.9275,3519.9275,3519.9275,0.0,340.0,2017-12-13,CC,CCZ17
2016-05-05,3507.6078,3507.6078,3507.6078,3507.6078,1.0,308.0,2017-12-13,CC,CCZ17
2016-05-06,3590.3873,3590.3873,3590.3873,3590.3873,5.0,248.0,2017-12-13,CC,CCZ17
2016-05-09,3518.2205,3518.2205,3518.2205,3518.2205,0.0,242.0,2017-12-13,CC,CCZ17
2016-05-10,3437.3014,3437.3014,3437.3014,3437.3014,1.0,252.0,2017-12-13,CC,CCZ17
2016-05-11,3388.8355,3388.8355,3388.8355,3388.8355,151.0,308.0,2017-12-13,CC,CCZ17
2016-05-12,3433.2292,3433.2292,3433.2292,3433.2292,2.0,343.0,2017-12-13,CC,CCZ17
2016-05-13,3442.8422,3442.8422,3442.8422,3442.8422,8.0,258.0,2017-12-13,CC,CCZ17
2016-05-16,3339.2126,3339.2126,3339.2126,3339.2126,21.0,301.0,2017-12-13,CC,CCZ17
2016-05-17,3363.5889,3363.5889,3363.5889,3363.5889,54.0,212.0,2017-12-13,CC,CCZ17
2016-05-18,3333.3166,3333.3166,3333.3166,3333.3166,92.0,214.0,2017-12-13,CC,CCZ17
