,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-20,0.7712,0.7712,0.7712,0.7712,0.0,0.0,2018-09-26,CD,CDM23
2018-06-21,0.7731,0.7731,0.7731,0.7731,0.0,0.0,2018-09-26,CD,CDM23
2018-06-22,0.7746,0.7746,0.7746,0.7746,0.0,0.0,2018-09-26,CD,CDM23
2018-06-25,0.7729,0.7729,0.7729,0.7729,0.0,0.0,2018-09-26,CD,CDM23
2018-06-26,0.777,0.777,0.777,0.777,0.0,0.0,2018-09-26,CD,CDM23
2018-06-27,0.7731,0.7731,0.7731,0.7731,0.0,0.0,2018-09-26,CD,CDM23
2018-06-28,0.7713,0.7713,0.7713,0.7713,0.0,0.0,2018-09-26,CD,CDM23
2018-06-29,0.7705,0.7705,0.7705,0.7705,0.0,0.0,2018-09-26,CD,CDM23
2018-07-02,0.7749,0.7749,0.7749,0.7749,0.0,0.0,2018-09-26,CD,CDM23
2018-07-03,0.7768,0.7768,0.7768,0.7768,0.0,0.0,2018-09-26,CD,CDM23
2018-07-05,0.7803,0.7803,0.7803,0.7803,0.0,0.0,2018-09-26,CD,CDM23
2018-07-06,0.7805,0.7805,0.7805,0.7805,0.0,0.0,2018-09-26,CD,CDM23
2018-07-09,0.7785,0.7785,0.7785,0.7785,0.0,0.0,2018-09-26,CD,CDM23
2018-07-10,0.7771,0.7771,0.7771,0.7771,0.0,0.0,2018-09-26,CD,CDM23
2018-07-11,0.7757,0.7757,0.7757,0.7757,0.0,0.0,2018-09-26,CD,CDM23
2018-07-12,0.7784,0.7784,0.7784,0.7784,0.0,0.0,2018-09-26,CD,CDM23
2018-07-13,0.7746,0.7746,0.7746,0.7746,0.0,0.0,2018-09-26,CD,CDM23
2018-07-16,0.7795,0.7795,0.7795,0.7795,0.0,0.0,2018-09-26,CD,CDM23
2018-07-17,0.7806,0.7806,0.7806,0.7806,0.0,0.0,2018-09-26,CD,CDM23
2018-07-18,0.7814,0.7814,0.7814,0.7814,0.0,0.0,2018-09-26,CD,CDM23
2018-07-19,0.7779,0.7779,0.7779,0.7779,0.0,0.0,2018-09-26,CD,CDM23
2018-07-20,0.7804,0.7804,0.7804,0.7804,0.0,0.0,2018-09-26,CD,CDM23
2018-07-23,0.7799,0.7799,0.7799,0.7799,0.0,0.0,2018-09-26,CD,CDM23
2018-07-24,0.7774,0.7774,0.7774,0.7774,0.0,0.0,2018-09-26,CD,CDM23
2018-07-25,0.7771,0.7771,0.7771,0.7771,0.0,0.0,2018-09-26,CD,CDM23
2018-07-26,0.7756,0.7756,0.7756,0.7756,0.0,0.0,2018-09-26,CD,CDM23
2018-07-27,0.7738,0.7738,0.7738,0.7738,0.0,0.0,2018-09-26,CD,CDM23
2018-07-30,0.7692,0.7692,0.7692,0.7692,0.0,0.0,2018-09-26,CD,CDM23
2018-07-31,0.7649,0.7649,0.7649,0.7649,0.0,0.0,2018-09-26,CD,CDM23
2018-08-01,0.7599,0.7599,0.7599,0.7599,0.0,0.0,2018-09-26,CD,CDM23
2018-08-02,0.7553,0.7553,0.7553,0.7553,0.0,0.0,2018-09-26,CD,CDM23
2018-08-03,0.7537,0.7537,0.7537,0.7537,0.0,0.0,2018-09-26,CD,CDM23
2018-08-06,0.7591,0.7591,0.7591,0.7591,0.0,0.0,2018-09-26,CD,CDM23
2018-08-07,0.7553,0.7553,0.7553,0.7553,0.0,0.0,2018-09-26,CD,CDM23
2018-08-08,0.7572,0.7572,0.7572,0.7572,0.0,0.0,2018-09-26,CD,CDM23
2018-08-09,0.7549,0.7549,0.7549,0.7549,0.0,0.0,2018-09-26,CD,CDM23
2018-08-10,0.7551,0.7551,0.7551,0.7551,0.0,0.0,2018-09-26,CD,CDM23
2018-08-13,0.756,0.756,0.756,0.756,0.0,0.0,2018-09-26,CD,CDM23
2018-08-14,0.7588,0.7588,0.7588,0.7588,0.0,0.0,2018-09-26,CD,CDM23
2018-08-15,0.7626,0.7626,0.7626,0.7626,0.0,0.0,2018-09-26,CD,CDM23
2018-08-16,0.759,0.759,0.759,0.759,0.0,0.0,2018-09-26,CD,CDM23
2018-08-17,0.7642,0.7642,0.7642,0.7642,0.0,0.0,2018-09-26,CD,CDM23
2018-08-20,0.7628,0.7628,0.7628,0.7628,0.0,0.0,2018-09-26,CD,CDM23
2018-08-21,0.7591,0.7591,0.7591,0.7591,0.0,0.0,2018-09-26,CD,CDM23
2018-08-22,0.7635,0.7635,0.7635,0.7635,0.0,0.0,2018-09-26,CD,CDM23
2018-08-23,0.7659,0.7659,0.7659,0.7659,0.0,0.0,2018-09-26,CD,CDM23
2018-08-24,0.7648,0.7648,0.7648,0.7648,0.0,0.0,2018-09-26,CD,CDM23
2018-08-27,0.7687,0.7687,0.7687,0.7687,0.0,0.0,2018-09-26,CD,CDM23
2018-08-28,0.7675,0.7675,0.7675,0.7675,0.0,0.0,2018-09-26,CD,CDM23
2018-08-29,0.7693,0.7693,0.7693,0.7693,0.0,0.0,2018-09-26,CD,CDM23
2018-08-30,0.7707,0.7707,0.7707,0.7707,0.0,0.0,2018-09-26,CD,CDM23
