,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-04-01,61.8269,61.8269,61.8269,61.8269,0.0,0.0,2019-03-07,CT,CTH19
2016-04-04,61.7527,61.7527,61.7527,61.7527,0.0,0.0,2019-03-07,CT,CTH19
2016-04-05,61.5551,61.5551,61.5551,61.5551,0.0,0.0,2019-03-07,CT,CTH19
2016-04-06,60.4964,60.4964,60.4964,60.4964,0.0,0.0,2019-03-07,CT,CTH19
2016-04-07,61.1256,61.1256,61.1256,61.1256,0.0,0.0,2019-03-07,CT,CTH19
2016-04-08,61.2479,61.2479,61.2479,61.2479,0.0,0.0,2019-03-07,CT,CTH19
2016-04-11,61.9033,61.9033,61.9033,61.9033,0.0,0.0,2019-03-07,CT,CTH19
2016-04-12,62.0209,62.0209,62.0209,62.0209,0.0,0.0,2019-03-07,CT,CTH19
2016-04-13,62.0643,62.0643,62.0643,62.0643,0.0,0.0,2019-03-07,CT,CTH19
2016-04-14,62.0829,62.0829,62.0829,62.0829,0.0,0.0,2019-03-07,CT,CTH19
2016-04-15,62.592,62.592,62.592,62.592,0.0,0.0,2019-03-07,CT,CTH19
2016-04-18,61.5405,61.5405,61.5405,61.5405,0.0,0.0,2019-03-07,CT,CTH19
2016-04-19,60.9866,60.9866,60.9866,60.9866,0.0,0.0,2019-03-07,CT,CTH19
2016-04-20,60.9256,60.9256,60.9256,60.9256,0.0,0.0,2019-03-07,CT,CTH19
2016-04-21,60.0909,60.0909,60.0909,60.0909,0.0,0.0,2019-03-07,CT,CTH19
2016-04-22,59.0093,59.0093,59.0093,59.0093,0.0,0.0,2019-03-07,CT,CTH19
2016-04-25,58.4546,58.4546,58.4546,58.4546,0.0,0.0,2019-03-07,CT,CTH19
2016-04-26,59.2905,59.2905,59.2905,59.2905,0.0,0.0,2019-03-07,CT,CTH19
2016-04-27,58.9466,58.9466,58.9466,58.9466,0.0,0.0,2019-03-07,CT,CTH19
2016-04-28,59.1293,59.1293,59.1293,59.1293,0.0,0.0,2019-03-07,CT,CTH19
2016-04-29,59.1116,59.1116,59.1116,59.1116,0.0,0.0,2019-03-07,CT,CTH19
2016-05-02,60.1047,60.1047,60.1047,60.1047,0.0,0.0,2019-03-07,CT,CTH19
2016-05-03,59.0288,59.0288,59.0288,59.0288,0.0,0.0,2019-03-07,CT,CTH19
2016-05-04,59.4243,59.4243,59.4243,59.4243,0.0,0.0,2019-03-07,CT,CTH19
2016-05-05,59.0083,59.0083,59.0083,59.0083,0.0,0.0,2019-03-07,CT,CTH19
2016-05-06,59.7577,59.7577,59.7577,59.7577,0.0,0.0,2019-03-07,CT,CTH19
2016-05-09,59.1422,59.1422,59.1422,59.1422,0.0,0.0,2019-03-07,CT,CTH19
2016-05-10,59.5739,59.5739,59.5739,59.5739,0.0,0.0,2019-03-07,CT,CTH19
2016-05-11,60.3067,60.3067,60.3067,60.3067,0.0,0.0,2019-03-07,CT,CTH19
2016-05-12,60.8676,60.8676,60.8676,60.8676,0.0,0.0,2019-03-07,CT,CTH19
2016-05-13,60.0094,60.0094,60.0094,60.0094,0.0,0.0,2019-03-07,CT,CTH19
2016-05-16,59.5413,59.5413,59.5413,59.5413,0.0,0.0,2019-03-07,CT,CTH19
2016-05-17,60.1963,60.1963,60.1963,60.1963,0.0,0.0,2019-03-07,CT,CTH19
2016-05-18,59.197,59.197,59.197,59.197,0.0,0.0,2019-03-07,CT,CTH19
2016-05-19,58.83,58.83,58.83,58.83,0.0,0.0,2019-03-07,CT,CTH19
2016-05-20,57.8828,57.8828,57.8828,57.8828,0.0,0.0,2019-03-07,CT,CTH19
2016-05-23,58.4964,58.4964,58.4964,58.4964,0.0,0.0,2019-03-07,CT,CTH19
2016-05-24,59.4499,59.4499,59.4499,59.4499,0.0,0.0,2019-03-07,CT,CTH19
2016-05-25,58.3857,58.3857,58.3857,58.3857,0.0,0.0,2019-03-07,CT,CTH19
2016-05-26,59.3082,59.3082,59.3082,59.3082,0.0,0.0,2019-03-07,CT,CTH19
2016-05-27,59.6107,59.6107,59.6107,59.6107,0.0,0.0,2019-03-07,CT,CTH19
2016-05-31,60.5943,60.5943,60.5943,60.5943,0.0,0.0,2019-03-07,CT,CTH19
2016-06-01,60.6125,60.6125,60.6125,60.6125,0.0,0.0,2019-03-07,CT,CTH19
2016-06-02,61.0428,61.0428,61.0428,61.0428,0.0,0.0,2019-03-07,CT,CTH19
2016-06-03,61.6593,61.6593,61.6593,61.6593,0.0,0.0,2019-03-07,CT,CTH19
2016-06-06,62.1834,62.1834,62.1834,62.1834,0.0,0.0,2019-03-07,CT,CTH19
2016-06-07,61.773,61.773,61.773,61.773,0.0,0.0,2019-03-07,CT,CTH19
