,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-01,75.6208,75.6208,75.6208,75.6208,0.0,0.0,2019-04-01,CT,CTK21
2018-06-04,75.651,75.651,75.651,75.651,0.0,0.0,2019-04-01,CT,CTK21
2018-06-05,74.7281,74.7281,74.7281,74.7281,0.0,0.0,2019-04-01,CT,CTK21
2018-06-06,75.0868,75.0868,75.0868,75.0868,0.0,0.0,2019-04-01,CT,CTK21
2018-06-07,73.9004,73.9004,73.9004,73.9004,0.0,0.0,2019-04-01,CT,CTK21
2018-06-08,74.5433,74.5433,74.5433,74.5433,0.0,0.0,2019-04-01,CT,CTK21
2018-06-11,73.8128,73.8128,73.8128,73.8128,0.0,0.0,2019-04-01,CT,CTK21
2018-06-12,74.0564,74.0564,74.0564,74.0564,0.0,0.0,2019-04-01,CT,CTK21
2018-06-13,74.1601,74.1601,74.1601,74.1601,0.0,0.0,2019-04-01,CT,CTK21
2018-06-14,72.9735,72.9735,72.9735,72.9735,0.0,0.0,2019-04-01,CT,CTK21
2018-06-15,73.5573,73.5573,73.5573,73.5573,0.0,0.0,2019-04-01,CT,CTK21
2018-06-18,73.9913,73.9913,73.9913,73.9913,0.0,0.0,2019-04-01,CT,CTK21
2018-06-19,74.487,74.487,74.487,74.487,0.0,0.0,2019-04-01,CT,CTK21
2018-06-20,75.217,75.217,75.217,75.217,0.0,0.0,2019-04-01,CT,CTK21
2018-06-21,74.6905,74.6905,74.6905,74.6905,0.0,0.0,2019-04-01,CT,CTK21
2018-06-22,74.2349,74.2349,74.2349,74.2349,0.0,0.0,2019-04-01,CT,CTK21
2018-06-25,73.9677,73.9677,73.9677,73.9677,0.0,0.0,2019-04-01,CT,CTK21
2018-06-26,72.8138,72.8138,72.8138,72.8138,0.0,0.0,2019-04-01,CT,CTK21
2018-06-27,72.508,72.508,72.508,72.508,0.0,0.0,2019-04-01,CT,CTK21
2018-06-28,72.4137,72.4137,72.4137,72.4137,0.0,0.0,2019-04-01,CT,CTK21
2018-06-29,72.4354,72.4354,72.4354,72.4354,0.0,0.0,2019-04-01,CT,CTK21
2018-07-02,72.3992,72.3992,72.3992,72.3992,0.0,0.0,2019-04-01,CT,CTK21
2018-07-03,72.2399,72.2399,72.2399,72.2399,0.0,0.0,2019-04-01,CT,CTK21
2018-07-05,71.8065,71.8065,71.8065,71.8065,0.0,0.0,2019-04-01,CT,CTK21
2018-07-06,72.5461,72.5461,72.5461,72.5461,0.0,0.0,2019-04-01,CT,CTK21
2018-07-09,71.6973,71.6973,71.6973,71.6973,0.0,0.0,2019-04-01,CT,CTK21
2018-07-10,70.7509,70.7509,70.7509,70.7509,0.0,0.0,2019-04-01,CT,CTK21
2018-07-11,69.8665,69.8665,69.8665,69.8665,0.0,0.0,2019-04-01,CT,CTK21
2018-07-12,70.0971,70.0971,70.0971,70.0971,0.0,0.0,2019-04-01,CT,CTK21
