,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-08-01,76.0148,76.0148,76.0148,76.0148,0.0,0.0,2019-04-01,CT,CTN21
2018-08-02,75.5359,75.5359,75.5359,75.5359,0.0,0.0,2019-04-01,CT,CTN21
2018-08-03,74.8334,74.8334,74.8334,74.8334,0.0,0.0,2019-04-01,CT,CTN21
2018-08-06,74.1749,74.1749,74.1749,74.1749,0.0,0.0,2019-04-01,CT,CTN21
2018-08-07,74.9315,74.9315,74.9315,74.9315,0.0,0.0,2019-04-01,CT,CTN21
2018-08-08,74.2421,74.2421,74.2421,74.2421,0.0,0.0,2019-04-01,CT,CTN21
2018-08-09,75.0588,75.0588,75.0588,75.0588,0.0,0.0,2019-04-01,CT,CTN21
2018-08-10,74.068,74.068,74.068,74.068,0.0,0.0,2019-04-01,CT,CTN21
2018-08-13,73.3866,73.3866,73.3866,73.3866,0.0,0.0,2019-04-01,CT,CTN21
2018-08-14,73.8269,73.8269,73.8269,73.8269,0.0,0.0,2019-04-01,CT,CTN21
2018-08-15,73.5242,73.5242,73.5242,73.5242,0.0,0.0,2019-04-01,CT,CTN21
2018-08-16,73.7374,73.7374,73.7374,73.7374,0.0,0.0,2019-04-01,CT,CTN21
2018-08-17,74.2609,74.2609,74.2609,74.2609,0.0,0.0,2019-04-01,CT,CTN21
2018-08-20,74.8104,74.8104,74.8104,74.8104,0.0,0.0,2019-04-01,CT,CTN21
2018-08-21,74.4588,74.4588,74.4588,74.4588,0.0,0.0,2019-04-01,CT,CTN21
2018-08-22,75.3746,75.3746,75.3746,75.3746,0.0,0.0,2019-04-01,CT,CTN21
2018-08-23,76.0605,76.0605,76.0605,76.0605,0.0,0.0,2019-04-01,CT,CTN21
2018-08-24,75.3988,75.3988,75.3988,75.3988,0.0,0.0,2019-04-01,CT,CTN21
2018-08-27,75.2782,75.2782,75.2782,75.2782,0.0,0.0,2019-04-01,CT,CTN21
2018-08-28,74.8115,74.8115,74.8115,74.8115,0.0,0.0,2019-04-01,CT,CTN21
2018-08-29,73.839,73.839,73.839,73.839,0.0,0.0,2019-04-01,CT,CTN21
2018-08-30,74.1713,74.1713,74.1713,74.1713,0.0,0.0,2019-04-01,CT,CTN21
2018-08-31,73.8449,73.8449,73.8449,73.8449,0.0,0.0,2019-04-01,CT,CTN21
2018-09-04,73.0769,73.0769,73.0769,73.0769,0.0,0.0,2019-04-01,CT,CTN21
2018-09-05,72.2657,72.2657,72.2657,72.2657,0.0,0.0,2019-04-01,CT,CTN21
2018-09-06,72.3886,72.3886,72.3886,72.3886,0.0,0.0,2019-04-01,CT,CTN21
2018-09-07,72.1932,72.1932,72.1932,72.1932,0.0,0.0,2019-04-01,CT,CTN21
2018-09-10,72.3448,72.3448,72.3448,72.3448,0.0,0.0,2019-04-01,CT,CTN21
2018-09-11,72.6993,72.6993,72.6993,72.6993,0.0,0.0,2019-04-01,CT,CTN21
2018-09-12,72.9828,72.9828,72.9828,72.9828,0.0,0.0,2019-04-01,CT,CTN21
2018-09-13,73.0704,73.0704,73.0704,73.0704,0.0,0.0,2019-04-01,CT,CTN21
2018-09-14,73.8669,73.8669,73.8669,73.8669,0.0,0.0,2019-04-01,CT,CTN21
2018-09-17,73.697,73.697,73.697,73.697,0.0,0.0,2019-04-01,CT,CTN21
2018-09-18,73.5717,73.5717,73.5717,73.5717,0.0,0.0,2019-04-01,CT,CTN21
2018-09-19,74.1676,74.1676,74.1676,74.1676,0.0,0.0,2019-04-01,CT,CTN21
2018-09-20,74.9241,74.9241,74.9241,74.9241,0.0,0.0,2019-04-01,CT,CTN21
2018-09-21,75.6359,75.6359,75.6359,75.6359,0.0,0.0,2019-04-01,CT,CTN21
2018-09-24,75.3107,75.3107,75.3107,75.3107,0.0,0.0,2019-04-01,CT,CTN21
2018-09-25,75.4086,75.4086,75.4086,75.4086,0.0,0.0,2019-04-01,CT,CTN21
2018-09-26,75.484,75.484,75.484,75.484,0.0,0.0,2019-04-01,CT,CTN21
2018-09-27,75.4312,75.4312,75.4312,75.4312,0.0,0.0,2019-04-01,CT,CTN21
2018-09-28,74.5637,74.5637,74.5637,74.5637,0.0,0.0,2019-04-01,CT,CTN21
2018-10-01,74.4444,74.4444,74.4444,74.4444,0.0,0.0,2019-04-01,CT,CTN21
2018-10-02,74.8613,74.8613,74.8613,74.8613,0.0,0.0,2019-04-01,CT,CTN21
2018-10-03,74.2549,74.2549,74.2549,74.2549,0.0,0.0,2019-04-01,CT,CTN21
2018-10-04,74.1881,74.1881,74.1881,74.1881,0.0,0.0,2019-04-01,CT,CTN21
2018-10-05,73.6614,73.6614,73.6614,73.6614,0.0,0.0,2019-04-01,CT,CTN21
2018-10-08,74.5527,74.5527,74.5527,74.5527,0.0,0.0,2019-04-01,CT,CTN21
2018-10-09,74.8435,74.8435,74.8435,74.8435,0.0,0.0,2019-04-01,CT,CTN21
2018-10-10,75.7491,75.7491,75.7491,75.7491,0.0,0.0,2019-04-01,CT,CTN21
2018-10-11,75.6961,75.6961,75.6961,75.6961,0.0,0.0,2019-04-01,CT,CTN21
2018-10-12,75.8324,75.8324,75.8324,75.8324,0.0,0.0,2019-04-01,CT,CTN21
2018-10-15,75.4987,75.4987,75.4987,75.4987,0.0,0.0,2019-04-01,CT,CTN21
2018-10-16,75.8611,75.8611,75.8611,75.8611,0.0,0.0,2019-04-01,CT,CTN21
2018-10-17,76.0432,76.0432,76.0432,76.0432,0.0,0.0,2019-04-01,CT,CTN21
2018-10-18,77.0166,77.0166,77.0166,77.0166,0.0,0.0,2019-04-01,CT,CTN21
2018-10-19,77.0551,77.0551,77.0551,77.0551,0.0,0.0,2019-04-01,CT,CTN21
2018-10-22,77.1784,77.1784,77.1784,77.1784,0.0,0.0,2019-04-01,CT,CTN21
2018-10-23,77.9039,77.9039,77.9039,77.9039,0.0,0.0,2019-04-01,CT,CTN21
2018-10-24,78.8621,78.8621,78.8621,78.8621,0.0,0.0,2019-04-01,CT,CTN21
2018-10-25,79.4062,79.4062,79.4062,79.4062,0.0,0.0,2019-04-01,CT,CTN21
2018-10-26,80.2876,80.2876,80.2876,80.2876,0.0,0.0,2019-04-01,CT,CTN21
2018-10-29,79.3643,79.3643,79.3643,79.3643,0.0,0.0,2019-04-01,CT,CTN21
2018-10-30,79.1183,79.1183,79.1183,79.1183,0.0,0.0,2019-04-01,CT,CTN21
2018-10-31,78.6911,78.6911,78.6911,78.6911,0.0,0.0,2019-04-01,CT,CTN21
2018-11-01,79.3128,79.3128,79.3128,79.3128,0.0,0.0,2019-04-01,CT,CTN21
2018-11-02,78.3373,78.3373,78.3373,78.3373,0.0,0.0,2019-04-01,CT,CTN21
2018-11-05,78.3216,78.3216,78.3216,78.3216,0.0,0.0,2019-04-01,CT,CTN21
2018-11-06,78.5879,78.5879,78.5879,78.5879,0.0,0.0,2019-04-01,CT,CTN21
2018-11-07,79.0359,79.0359,79.0359,79.0359,0.0,0.0,2019-04-01,CT,CTN21
2018-11-08,78.8778,78.8778,78.8778,78.8778,0.0,0.0,2019-04-01,CT,CTN21
2018-11-09,78.3966,78.3966,78.3966,78.3966,0.0,0.0,2019-04-01,CT,CTN21
2018-11-12,77.448,77.448,77.448,77.448,0.0,0.0,2019-04-01,CT,CTN21
2018-11-13,77.843,77.843,77.843,77.843,0.0,0.0,2019-04-01,CT,CTN21
2018-11-14,77.2125,77.2125,77.2125,77.2125,0.0,0.0,2019-04-01,CT,CTN21
2018-11-15,78.0001,78.0001,78.0001,78.0001,0.0,0.0,2019-04-01,CT,CTN21
2018-11-16,77.2669,77.2669,77.2669,77.2669,0.0,0.0,2019-04-01,CT,CTN21
2018-11-19,77.9468,77.9468,77.9468,77.9468,0.0,0.0,2019-04-01,CT,CTN21
2018-11-20,78.7107,78.7107,78.7107,78.7107,0.0,0.0,2019-04-01,CT,CTN21
2018-11-21,78.0417,78.0417,78.0417,78.0417,0.0,0.0,2019-04-01,CT,CTN21
2018-11-23,78.8767,78.8767,78.8767,78.8767,0.0,0.0,2019-04-01,CT,CTN21
2018-11-26,78.0958,78.0958,78.0958,78.0958,0.0,0.0,2019-04-01,CT,CTN21
2018-11-27,78.0099,78.0099,78.0099,78.0099,0.0,0.0,2019-04-01,CT,CTN21
2018-11-28,77.3546,77.3546,77.3546,77.3546,0.0,0.0,2019-04-01,CT,CTN21
2018-11-29,76.4263,76.4263,76.4263,76.4263,0.0,0.0,2019-04-01,CT,CTN21
2018-11-30,75.6468,75.6468,75.6468,75.6468,0.0,0.0,2019-04-01,CT,CTN21
2018-12-03,75.4426,75.4426,75.4426,75.4426,0.0,0.0,2019-04-01,CT,CTN21
2018-12-04,74.5373,74.5373,74.5373,74.5373,0.0,0.0,2019-04-01,CT,CTN21
2018-12-05,75.1634,75.1634,75.1634,75.1634,0.0,0.0,2019-04-01,CT,CTN21
2018-12-06,75.8173,75.8173,75.8173,75.8173,0.0,0.0,2019-04-01,CT,CTN21
2018-12-07,75.4534,75.4534,75.4534,75.4534,0.0,0.0,2019-04-01,CT,CTN21
2018-12-10,75.3025,75.3025,75.3025,75.3025,0.0,0.0,2019-04-01,CT,CTN21
2018-12-11,76.1835,76.1835,76.1835,76.1835,0.0,0.0,2019-04-01,CT,CTN21
2018-12-12,76.9987,76.9987,76.9987,76.9987,0.0,0.0,2019-04-01,CT,CTN21
2018-12-13,76.1748,76.1748,76.1748,76.1748,0.0,0.0,2019-04-01,CT,CTN21
2018-12-14,76.7613,76.7613,76.7613,76.7613,0.0,0.0,2019-04-01,CT,CTN21
2018-12-17,77.1605,77.1605,77.1605,77.1605,0.0,0.0,2019-04-01,CT,CTN21
2018-12-18,77.2068,77.2068,77.2068,77.2068,0.0,0.0,2019-04-01,CT,CTN21
2018-12-19,76.8825,76.8825,76.8825,76.8825,0.0,0.0,2019-04-01,CT,CTN21
2018-12-20,75.8984,75.8984,75.8984,75.8984,0.0,0.0,2019-04-01,CT,CTN21
2018-12-21,76.2172,76.2172,76.2172,76.2172,0.0,0.0,2019-04-01,CT,CTN21
2018-12-24,75.9581,75.9581,75.9581,75.9581,0.0,0.0,2019-04-01,CT,CTN21
2018-12-26,76.0189,76.0189,76.0189,76.0189,0.0,0.0,2019-04-01,CT,CTN21
2018-12-27,76.2698,76.2698,76.2698,76.2698,0.0,0.0,2019-04-01,CT,CTN21
2018-12-28,76.6206,76.6206,76.6206,76.6206,0.0,0.0,2019-04-01,CT,CTN21
2018-12-31,76.5363,76.5363,76.5363,76.5363,0.0,0.0,2019-04-01,CT,CTN21
2019-01-02,76.4291,76.4291,76.4291,76.4291,0.0,0.0,2019-04-01,CT,CTN21
2019-01-03,75.6342,75.6342,75.6342,75.6342,0.0,0.0,2019-04-01,CT,CTN21
2019-01-04,74.8174,74.8174,74.8174,74.8174,0.0,0.0,2019-04-01,CT,CTN21
2019-01-07,74.0318,74.0318,74.0318,74.0318,0.0,0.0,2019-04-01,CT,CTN21
2019-01-08,73.062,73.062,73.062,73.062,0.0,0.0,2019-04-01,CT,CTN21
2019-01-09,72.6675,72.6675,72.6675,72.6675,0.0,0.0,2019-04-01,CT,CTN21
2019-01-10,73.2706,73.2706,73.2706,73.2706,0.0,0.0,2019-04-01,CT,CTN21
2019-01-11,73.615,73.615,73.615,73.615,0.0,0.0,2019-04-01,CT,CTN21
2019-01-14,73.0114,73.0114,73.0114,73.0114,0.0,0.0,2019-04-01,CT,CTN21
2019-01-15,73.2085,73.2085,73.2085,73.2085,0.0,0.0,2019-04-01,CT,CTN21
2019-01-16,73.2158,73.2158,73.2158,73.2158,0.0,0.0,2019-04-01,CT,CTN21
2019-01-17,73.1865,73.1865,73.1865,73.1865,0.0,0.0,2019-04-01,CT,CTN21
2019-01-18,72.5205,72.5205,72.5205,72.5205,0.0,0.0,2019-04-01,CT,CTN21
2019-01-22,71.9258,71.9258,71.9258,71.9258,0.0,0.0,2019-04-01,CT,CTN21
2019-01-23,72.0409,72.0409,72.0409,72.0409,0.0,0.0,2019-04-01,CT,CTN21
2019-01-24,72.502,72.502,72.502,72.502,0.0,0.0,2019-04-01,CT,CTN21
2019-01-25,72.4802,72.4802,72.4802,72.4802,0.0,0.0,2019-04-01,CT,CTN21
2019-01-28,72.1758,72.1758,72.1758,72.1758,0.0,0.0,2019-04-01,CT,CTN21
2019-01-29,72.9048,72.9048,72.9048,72.9048,0.0,0.0,2019-04-01,CT,CTN21
2019-01-30,73.4953,73.4953,73.4953,73.4953,0.0,0.0,2019-04-01,CT,CTN21
2019-01-31,74.0759,74.0759,74.0759,74.0759,0.0,0.0,2019-04-01,CT,CTN21
2019-02-01,73.5055,73.5055,73.5055,73.5055,0.0,0.0,2019-04-01,CT,CTN21
2019-02-04,73.454,73.454,73.454,73.454,0.0,0.0,2019-04-01,CT,CTN21
2019-02-05,73.4173,73.4173,73.4173,73.4173,0.0,0.0,2019-04-01,CT,CTN21
2019-02-06,73.476,73.476,73.476,73.476,0.0,0.0,2019-04-01,CT,CTN21
2019-02-07,72.6825,72.6825,72.6825,72.6825,0.0,0.0,2019-04-01,CT,CTN21
2019-02-08,72.5735,72.5735,72.5735,72.5735,0.0,0.0,2019-04-01,CT,CTN21
2019-02-11,72.6533,72.6533,72.6533,72.6533,0.0,0.0,2019-04-01,CT,CTN21
2019-02-12,73.1328,73.1328,73.1328,73.1328,0.0,0.0,2019-04-01,CT,CTN21
2019-02-13,72.3649,72.3649,72.3649,72.3649,0.0,0.0,2019-04-01,CT,CTN21
2019-02-14,73.0162,73.0162,73.0162,73.0162,0.0,0.0,2019-04-01,CT,CTN21
2019-02-15,72.3664,72.3664,72.3664,72.3664,0.0,0.0,2019-04-01,CT,CTN21
2019-02-19,71.8381,71.8381,71.8381,71.8381,0.0,0.0,2019-04-01,CT,CTN21
2019-02-20,71.0407,71.0407,71.0407,71.0407,0.0,0.0,2019-04-01,CT,CTN21
2019-02-21,71.6019,71.6019,71.6019,71.6019,0.0,0.0,2019-04-01,CT,CTN21
2019-02-22,71.874,71.874,71.874,71.874,0.0,0.0,2019-04-01,CT,CTN21
2019-02-25,71.3996,71.3996,71.3996,71.3996,0.0,0.0,2019-04-01,CT,CTN21
2019-02-26,71.8566,71.8566,71.8566,71.8566,0.0,0.0,2019-04-01,CT,CTN21
2019-02-27,71.0949,71.0949,71.0949,71.0949,0.0,0.0,2019-04-01,CT,CTN21
2019-02-28,71.5144,71.5144,71.5144,71.5144,0.0,0.0,2019-04-01,CT,CTN21
2019-03-01,71.071,71.071,71.071,71.071,0.0,0.0,2019-04-01,CT,CTN21
2019-03-04,70.6233,70.6233,70.6233,70.6233,0.0,0.0,2019-04-01,CT,CTN21
2019-03-05,69.7829,69.7829,69.7829,69.7829,0.0,0.0,2019-04-01,CT,CTN21
2019-03-06,70.1039,70.1039,70.1039,70.1039,0.0,0.0,2019-04-01,CT,CTN21
2019-03-07,70.9592,70.9592,70.9592,70.9592,0.0,0.0,2019-04-01,CT,CTN21
2019-03-08,71.0585,71.0585,71.0585,71.0585,0.0,0.0,2019-04-01,CT,CTN21
2019-03-11,70.3621,70.3621,70.3621,70.3621,0.0,0.0,2019-04-01,CT,CTN21
2019-03-12,69.7218,69.7218,69.7218,69.7218,0.0,0.0,2019-04-01,CT,CTN21
2019-03-13,69.8891,69.8891,69.8891,69.8891,0.0,0.0,2019-04-01,CT,CTN21
2019-03-14,69.3929,69.3929,69.3929,69.3929,0.0,0.0,2019-04-01,CT,CTN21
2019-03-15,69.837,69.837,69.837,69.837,0.0,0.0,2019-04-01,CT,CTN21
2019-03-18,70.5843,70.5843,70.5843,70.5843,0.0,0.0,2019-04-01,CT,CTN21
2019-03-19,69.8079,69.8079,69.8079,69.8079,0.0,0.0,2019-04-01,CT,CTN21
2019-03-20,69.054,69.054,69.054,69.054,0.0,0.0,2019-04-01,CT,CTN21
2019-03-21,69.8067,69.8067,69.8067,69.8067,0.0,0.0,2019-04-01,CT,CTN21
2019-03-22,69.4786,69.4786,69.4786,69.4786,0.0,0.0,2019-04-01,CT,CTN21
2019-03-25,68.6101,68.6101,68.6101,68.6101,0.0,0.0,2019-04-01,CT,CTN21
2019-03-26,67.9514,67.9514,67.9514,67.9514,0.0,0.0,2019-04-01,CT,CTN21
2019-03-27,67.1768,67.1768,67.1768,67.1768,0.0,0.0,2019-04-01,CT,CTN21
2019-03-28,66.7603,66.7603,66.7603,66.7603,0.0,0.0,2019-04-01,CT,CTN21
2019-03-29,66.6935,66.6935,66.6935,66.6935,0.0,0.0,2019-04-01,CT,CTN21
2019-04-01,67.1403,67.1403,67.1403,67.1403,0.0,0.0,2019-04-01,CT,CTN21
2019-04-02,67.2813,67.2813,67.2813,67.2813,0.0,0.0,2019-04-01,CT,CTN21
2019-04-03,67.4764,67.4764,67.4764,67.4764,0.0,0.0,2019-04-01,CT,CTN21
2019-04-04,68.1309,68.1309,68.1309,68.1309,0.0,0.0,2019-04-01,CT,CTN21
2019-04-05,67.5245,67.5245,67.5245,67.5245,0.0,0.0,2019-04-01,CT,CTN21
2019-04-08,68.2875,68.2875,68.2875,68.2875,0.0,0.0,2019-04-01,CT,CTN21
2019-04-09,68.4172,68.4172,68.4172,68.4172,0.0,0.0,2019-04-01,CT,CTN21
2019-04-10,68.2667,68.2667,68.2667,68.2667,0.0,0.0,2019-04-01,CT,CTN21
2019-04-11,68.4237,68.4237,68.4237,68.4237,0.0,0.0,2019-04-01,CT,CTN21
2019-04-12,69.0806,69.0806,69.0806,69.0806,0.0,0.0,2019-04-01,CT,CTN21
2019-04-15,70.0063,70.0063,70.0063,70.0063,0.0,0.0,2019-04-01,CT,CTN21
2019-04-16,69.1942,69.1942,69.1942,69.1942,0.0,0.0,2019-04-01,CT,CTN21
2019-04-17,69.4433,69.4433,69.4433,69.4433,0.0,0.0,2019-04-01,CT,CTN21
2019-04-18,70.1377,70.1377,70.1377,70.1377,0.0,0.0,2019-04-01,CT,CTN21
2019-04-22,70.0676,70.0676,70.0676,70.0676,0.0,0.0,2019-04-01,CT,CTN21
2019-04-23,70.1096,70.1096,70.1096,70.1096,0.0,0.0,2019-04-01,CT,CTN21
2019-04-24,70.2709,70.2709,70.2709,70.2709,0.0,0.0,2019-04-01,CT,CTN21
2019-04-25,70.1374,70.1374,70.1374,70.1374,0.0,0.0,2019-04-01,CT,CTN21
2019-04-26,69.7867,69.7867,69.7867,69.7867,0.0,0.0,2019-04-01,CT,CTN21
2019-04-29,70.7149,70.7149,70.7149,70.7149,0.0,0.0,2019-04-01,CT,CTN21
2019-04-30,71.3796,71.3796,71.3796,71.3796,0.0,0.0,2019-04-01,CT,CTN21
2019-05-01,71.5224,71.5224,71.5224,71.5224,0.0,0.0,2019-04-01,CT,CTN21
2019-05-02,71.1147,71.1147,71.1147,71.1147,0.0,0.0,2019-04-01,CT,CTN21
2019-05-03,71.2214,71.2214,71.2214,71.2214,0.0,0.0,2019-04-01,CT,CTN21
2019-05-06,70.2955,70.2955,70.2955,70.2955,0.0,0.0,2019-04-01,CT,CTN21
2019-05-07,69.452,69.452,69.452,69.452,0.0,0.0,2019-04-01,CT,CTN21
2019-05-08,68.945,68.945,68.945,68.945,0.0,0.0,2019-04-01,CT,CTN21
2019-05-09,68.1039,68.1039,68.1039,68.1039,0.0,0.0,2019-04-01,CT,CTN21
2019-05-10,68.458,68.458,68.458,68.458,0.0,0.0,2019-04-01,CT,CTN21
2019-05-13,67.7392,67.7392,67.7392,67.7392,0.0,0.0,2019-04-01,CT,CTN21
2019-05-14,67.4005,67.4005,67.4005,67.4005,0.0,0.0,2019-04-01,CT,CTN21
2019-05-15,68.061,68.061,68.061,68.061,0.0,0.0,2019-04-01,CT,CTN21
2019-05-16,68.5919,68.5919,68.5919,68.5919,0.0,0.0,2019-04-01,CT,CTN21
2019-05-17,69.0035,69.0035,69.0035,69.0035,0.0,0.0,2019-04-01,CT,CTN21
2019-05-20,68.9207,68.9207,68.9207,68.9207,0.0,0.0,2019-04-01,CT,CTN21
2019-05-21,68.4245,68.4245,68.4245,68.4245,0.0,0.0,2019-04-01,CT,CTN21
2019-05-22,69.1566,69.1566,69.1566,69.1566,0.0,0.0,2019-04-01,CT,CTN21
2019-05-23,68.2921,68.2921,68.2921,68.2921,0.0,0.0,2019-04-01,CT,CTN21
2019-05-24,68.1419,68.1419,68.1419,68.1419,0.0,0.0,2019-04-01,CT,CTN21
2019-05-28,68.8574,68.8574,68.8574,68.8574,0.0,0.0,2019-04-01,CT,CTN21
2019-05-29,68.0931,68.0931,68.0931,68.0931,0.0,0.0,2019-04-01,CT,CTN21
