,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-01,68.1841,68.1841,68.1841,68.1841,0.0,0.0,2019-10-09,CT,CTV19
2016-11-02,68.3614,68.3614,68.3614,68.3614,0.0,0.0,2019-10-09,CT,CTV19
2016-11-03,68.4093,68.4093,68.4093,68.4093,0.0,0.0,2019-10-09,CT,CTV19
2016-11-04,67.4379,67.4379,67.4379,67.4379,0.0,0.0,2019-10-09,CT,CTV19
2016-11-07,66.5545,66.5545,66.5545,66.5545,0.0,0.0,2019-10-09,CT,CTV19
2016-11-08,65.6826,65.6826,65.6826,65.6826,0.0,0.0,2019-10-09,CT,CTV19
2016-11-09,65.8468,65.8468,65.8468,65.8468,0.0,0.0,2019-10-09,CT,CTV19
2016-11-10,65.9785,65.9785,65.9785,65.9785,0.0,0.0,2019-10-09,CT,CTV19
2016-11-11,65.5496,65.5496,65.5496,65.5496,0.0,0.0,2019-10-09,CT,CTV19
2016-11-14,65.3333,65.3333,65.3333,65.3333,0.0,0.0,2019-10-09,CT,CTV19
2016-11-15,64.5493,64.5493,64.5493,64.5493,0.0,0.0,2019-10-09,CT,CTV19
2016-11-16,63.6714,63.6714,63.6714,63.6714,0.0,0.0,2019-10-09,CT,CTV19
2016-11-17,63.0984,63.0984,63.0984,63.0984,0.0,0.0,2019-10-09,CT,CTV19
2016-11-18,64.0133,64.0133,64.0133,64.0133,0.0,0.0,2019-10-09,CT,CTV19
2016-11-21,63.8149,63.8149,63.8149,63.8149,0.0,0.0,2019-10-09,CT,CTV19
2016-11-22,62.9279,62.9279,62.9279,62.9279,0.0,0.0,2019-10-09,CT,CTV19
2016-11-23,62.2986,62.2986,62.2986,62.2986,0.0,0.0,2019-10-09,CT,CTV19
2016-11-25,62.5042,62.5042,62.5042,62.5042,0.0,0.0,2019-10-09,CT,CTV19
2016-11-28,61.5479,61.5479,61.5479,61.5479,0.0,0.0,2019-10-09,CT,CTV19
2016-11-29,61.2279,61.2279,61.2279,61.2279,0.0,0.0,2019-10-09,CT,CTV19
2016-11-30,61.9932,61.9932,61.9932,61.9932,0.0,0.0,2019-10-09,CT,CTV19
2016-12-01,62.7495,62.7495,62.7495,62.7495,0.0,0.0,2019-10-09,CT,CTV19
2016-12-02,62.0969,62.0969,62.0969,62.0969,0.0,0.0,2019-10-09,CT,CTV19
2016-12-05,62.4322,62.4322,62.4322,62.4322,0.0,0.0,2019-10-09,CT,CTV19
2016-12-06,62.5633,62.5633,62.5633,62.5633,0.0,0.0,2019-10-09,CT,CTV19
2016-12-07,63.2077,63.2077,63.2077,63.2077,0.0,0.0,2019-10-09,CT,CTV19
2016-12-08,63.6438,63.6438,63.6438,63.6438,0.0,0.0,2019-10-09,CT,CTV19
2016-12-09,63.8156,63.8156,63.8156,63.8156,0.0,0.0,2019-10-09,CT,CTV19
2016-12-12,64.3963,64.3963,64.3963,64.3963,0.0,0.0,2019-10-09,CT,CTV19
2016-12-13,65.227,65.227,65.227,65.227,0.0,0.0,2019-10-09,CT,CTV19
2016-12-14,65.1031,65.1031,65.1031,65.1031,0.0,0.0,2019-10-09,CT,CTV19
2016-12-15,65.689,65.689,65.689,65.689,0.0,0.0,2019-10-09,CT,CTV19
2016-12-16,64.6708,64.6708,64.6708,64.6708,0.0,0.0,2019-10-09,CT,CTV19
2016-12-19,65.3304,65.3304,65.3304,65.3304,0.0,0.0,2019-10-09,CT,CTV19
2016-12-20,65.5395,65.5395,65.5395,65.5395,0.0,0.0,2019-10-09,CT,CTV19
2016-12-21,64.6023,64.6023,64.6023,64.6023,0.0,0.0,2019-10-09,CT,CTV19
2016-12-22,64.1759,64.1759,64.1759,64.1759,0.0,0.0,2019-10-09,CT,CTV19
2016-12-23,63.1683,63.1683,63.1683,63.1683,0.0,0.0,2019-10-09,CT,CTV19
2016-12-27,63.8442,63.8442,63.8442,63.8442,0.0,0.0,2019-10-09,CT,CTV19
2016-12-28,63.0908,63.0908,63.0908,63.0908,0.0,0.0,2019-10-09,CT,CTV19
2016-12-29,62.6996,62.6996,62.6996,62.6996,0.0,0.0,2019-10-09,CT,CTV19
