,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-01-04,63.6308,63.6308,63.6308,63.6308,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-05,63.7899,63.7899,63.7899,63.7899,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-06,62.7246,62.7246,62.7246,62.7246,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-07,62.342,62.342,62.342,62.342,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-08,63.1026,63.1026,63.1026,63.1026,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-11,62.8754,62.8754,62.8754,62.8754,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-12,62.7999,62.7999,62.7999,62.7999,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-13,63.7168,63.7168,63.7168,63.7168,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-14,64.3603,64.3603,64.3603,64.3603,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-15,64.2831,64.2831,64.2831,64.2831,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-19,64.386,64.386,64.386,64.386,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-20,63.6005,63.6005,63.6005,63.6005,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-21,63.4351,63.4351,63.4351,63.4351,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-22,63.4034,63.4034,63.4034,63.4034,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-25,63.9106,63.9106,63.9106,63.9106,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-26,64.6392,64.6392,64.6392,64.6392,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-27,63.9023,63.9023,63.9023,63.9023,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-28,64.5477,64.5477,64.5477,64.5477,0.0,0.0,2018-12-06,CT,CTZ18
2016-01-29,64.5477,64.5477,64.5477,64.5477,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-01,65.0124,65.0124,65.0124,65.0124,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-02,65.2529,65.2529,65.2529,65.2529,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-03,65.7684,65.7684,65.7684,65.7684,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-04,66.5445,66.5445,66.5445,66.5445,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-05,65.4532,65.4532,65.4532,65.4532,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-08,66.291,66.291,66.291,66.291,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-09,65.1574,65.1574,65.1574,65.1574,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-10,65.6591,65.6591,65.6591,65.6591,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-11,64.6676,64.6676,64.6676,64.6676,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-12,65.657,65.657,65.657,65.657,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-16,66.202,66.202,66.202,66.202,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-17,66.4469,66.4469,66.4469,66.4469,0.0,0.0,2018-12-06,CT,CTZ18
2016-02-18,66.8788,66.8788,66.8788,66.8788,0.0,0.0,2018-12-06,CT,CTZ18
