,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-19,1.3414,1.3414,1.3414,1.3414,0.0,0.0,2018-09-26,CU,CUM23
2018-06-20,1.3456,1.3456,1.3456,1.3456,0.0,0.0,2018-09-26,CU,CUM23
2018-06-21,1.3499,1.3499,1.3499,1.3499,0.0,0.0,2018-09-26,CU,CUM23
2018-06-22,1.3399,1.3399,1.3399,1.3399,0.0,0.0,2018-09-26,CU,CUM23
2018-06-25,1.3398,1.3398,1.3398,1.3398,0.0,0.0,2018-09-26,CU,CUM23
2018-06-26,1.345,1.345,1.345,1.345,0.0,0.0,2018-09-26,CU,CUM23
2018-06-27,1.3426,1.3426,1.3426,1.3426,0.0,0.0,2018-09-26,CU,CUM23
2018-06-28,1.3465,1.3465,1.3465,1.3465,0.0,0.0,2018-09-26,CU,CUM23
2018-06-29,1.3557,1.3557,1.3557,1.3557,0.0,0.0,2018-09-26,CU,CUM23
2018-07-02,1.3606,1.3606,1.3606,1.3606,0.0,0.0,2018-09-26,CU,CUM23
2018-07-03,1.363,1.363,1.363,1.363,0.0,0.0,2018-09-26,CU,CUM23
2018-07-05,1.3731,1.3731,1.3731,1.3731,0.0,0.0,2018-09-26,CU,CUM23
2018-07-06,1.3771,1.3771,1.3771,1.3771,0.0,0.0,2018-09-26,CU,CUM23
2018-07-09,1.376,1.376,1.376,1.376,0.0,0.0,2018-09-26,CU,CUM23
2018-07-10,1.3732,1.3732,1.3732,1.3732,0.0,0.0,2018-09-26,CU,CUM23
2018-07-11,1.3817,1.3817,1.3817,1.3817,0.0,0.0,2018-09-26,CU,CUM23
2018-07-12,1.3918,1.3918,1.3918,1.3918,0.0,0.0,2018-09-26,CU,CUM23
2018-07-13,1.3914,1.3914,1.3914,1.3914,0.0,0.0,2018-09-26,CU,CUM23
2018-07-16,1.3817,1.3817,1.3817,1.3817,0.0,0.0,2018-09-26,CU,CUM23
2018-07-17,1.3831,1.3831,1.3831,1.3831,0.0,0.0,2018-09-26,CU,CUM23
2018-07-18,1.3885,1.3885,1.3885,1.3885,0.0,0.0,2018-09-26,CU,CUM23
2018-07-19,1.3961,1.3961,1.3961,1.3961,0.0,0.0,2018-09-26,CU,CUM23
2018-07-20,1.4063,1.4063,1.4063,1.4063,0.0,0.0,2018-09-26,CU,CUM23
2018-07-23,1.4084,1.4084,1.4084,1.4084,0.0,0.0,2018-09-26,CU,CUM23
2018-07-24,1.4187,1.4187,1.4187,1.4187,0.0,0.0,2018-09-26,CU,CUM23
2018-07-25,1.423,1.423,1.423,1.423,0.0,0.0,2018-09-26,CU,CUM23
2018-07-26,1.4254,1.4254,1.4254,1.4254,0.0,0.0,2018-09-26,CU,CUM23
2018-07-27,1.4207,1.4207,1.4207,1.4207,0.0,0.0,2018-09-26,CU,CUM23
2018-07-30,1.4261,1.4261,1.4261,1.4261,0.0,0.0,2018-09-26,CU,CUM23
2018-07-31,1.4331,1.4331,1.4331,1.4331,0.0,0.0,2018-09-26,CU,CUM23
2018-08-01,1.4287,1.4287,1.4287,1.4287,0.0,0.0,2018-09-26,CU,CUM23
2018-08-02,1.4266,1.4266,1.4266,1.4266,0.0,0.0,2018-09-26,CU,CUM23
2018-08-03,1.4229,1.4229,1.4229,1.4229,0.0,0.0,2018-09-26,CU,CUM23
2018-08-06,1.4329,1.4329,1.4329,1.4329,0.0,0.0,2018-09-26,CU,CUM23
2018-08-07,1.4257,1.4257,1.4257,1.4257,0.0,0.0,2018-09-26,CU,CUM23
2018-08-08,1.4368,1.4368,1.4368,1.4368,0.0,0.0,2018-09-26,CU,CUM23
2018-08-09,1.4441,1.4441,1.4441,1.4441,0.0,0.0,2018-09-26,CU,CUM23
2018-08-10,1.445,1.445,1.445,1.445,0.0,0.0,2018-09-26,CU,CUM23
2018-08-13,1.4531,1.4531,1.4531,1.4531,0.0,0.0,2018-09-26,CU,CUM23
2018-08-14,1.464,1.464,1.464,1.464,0.0,0.0,2018-09-26,CU,CUM23
2018-08-15,1.4671,1.4671,1.4671,1.4671,0.0,0.0,2018-09-26,CU,CUM23
2018-08-16,1.473,1.473,1.473,1.473,0.0,0.0,2018-09-26,CU,CUM23
2018-08-17,1.4678,1.4678,1.4678,1.4678,0.0,0.0,2018-09-26,CU,CUM23
2018-08-20,1.4684,1.4684,1.4684,1.4684,0.0,0.0,2018-09-26,CU,CUM23
2018-08-21,1.4619,1.4619,1.4619,1.4619,0.0,0.0,2018-09-26,CU,CUM23
2018-08-22,1.4714,1.4714,1.4714,1.4714,0.0,0.0,2018-09-26,CU,CUM23
2018-08-23,1.4746,1.4746,1.4746,1.4746,0.0,0.0,2018-09-26,CU,CUM23
2018-08-24,1.4837,1.4837,1.4837,1.4837,0.0,0.0,2018-09-26,CU,CUM23
2018-08-27,1.4841,1.4841,1.4841,1.4841,0.0,0.0,2018-09-26,CU,CUM23
2018-08-28,1.485,1.485,1.485,1.485,0.0,0.0,2018-09-26,CU,CUM23
2018-08-29,1.4742,1.4742,1.4742,1.4742,0.0,0.0,2018-09-26,CU,CUM23
2018-08-30,1.4836,1.4836,1.4836,1.4836,0.0,0.0,2018-09-26,CU,CUM23
2018-08-31,1.4769,1.4769,1.4769,1.4769,0.0,0.0,2018-09-26,CU,CUM23
2018-09-04,1.4707,1.4707,1.4707,1.4707,0.0,0.0,2018-09-26,CU,CUM23
2018-09-05,1.4653,1.4653,1.4653,1.4653,0.0,0.0,2018-09-26,CU,CUM23
2018-09-06,1.4652,1.4652,1.4652,1.4652,0.0,0.0,2018-09-26,CU,CUM23
2018-09-07,1.4744,1.4744,1.4744,1.4744,0.0,0.0,2018-09-26,CU,CUM23
2018-09-10,1.4645,1.4645,1.4645,1.4645,0.0,0.0,2018-09-26,CU,CUM23
2018-09-11,1.4723,1.4723,1.4723,1.4723,0.0,0.0,2018-09-26,CU,CUM23
2018-09-12,1.4614,1.4614,1.4614,1.4614,0.0,0.0,2018-09-26,CU,CUM23
2018-09-13,1.4706,1.4706,1.4706,1.4706,0.0,0.0,2018-09-26,CU,CUM23
2018-09-14,1.4744,1.4744,1.4744,1.4744,0.0,0.0,2018-09-26,CU,CUM23
2018-09-17,1.4773,1.4773,1.4773,1.4773,0.0,0.0,2018-09-26,CU,CUM23
2018-09-18,1.4774,1.4774,1.4774,1.4774,0.0,0.0,2018-09-26,CU,CUM23
2018-09-19,1.4663,1.4663,1.4663,1.4663,0.0,0.0,2018-09-26,CU,CUM23
2018-09-20,1.4584,1.4584,1.4584,1.4584,0.0,0.0,2018-09-26,CU,CUM23
2018-09-21,1.4542,1.4542,1.4542,1.4542,0.0,0.0,2018-09-26,CU,CUM23
2018-09-24,1.452,1.452,1.452,1.452,0.0,0.0,2018-09-26,CU,CUM23
2018-09-25,1.4523,1.4523,1.4523,1.4523,0.0,0.0,2018-09-26,CU,CUM23
2018-09-26,1.4629,1.4629,1.4629,1.4629,0.0,0.0,2018-09-26,CU,CUM23
2018-09-27,1.4527,1.4527,1.4527,1.4527,0.0,0.0,2018-09-26,CU,CUM23
2018-09-28,1.4422,1.4422,1.4422,1.4422,0.0,0.0,2018-09-26,CU,CUM23
2018-10-01,1.4533,1.4533,1.4533,1.4533,0.0,0.0,2018-09-26,CU,CUM23
2018-10-02,1.4439,1.4439,1.4439,1.4439,0.0,0.0,2018-09-26,CU,CUM23
2018-10-03,1.4387,1.4387,1.4387,1.4387,0.0,0.0,2018-09-26,CU,CUM23
2018-10-04,1.4309,1.4309,1.4309,1.4309,0.0,0.0,2018-09-26,CU,CUM23
2018-10-05,1.4288,1.4288,1.4288,1.4288,0.0,0.0,2018-09-26,CU,CUM23
2018-10-08,1.4271,1.4271,1.4271,1.4271,0.0,0.0,2018-09-26,CU,CUM23
2018-10-09,1.4275,1.4275,1.4275,1.4275,0.0,0.0,2018-09-26,CU,CUM23
2018-10-10,1.4318,1.4318,1.4318,1.4318,0.0,0.0,2018-09-26,CU,CUM23
2018-10-11,1.4294,1.4294,1.4294,1.4294,0.0,0.0,2018-09-26,CU,CUM23
2018-10-12,1.4368,1.4368,1.4368,1.4368,0.0,0.0,2018-09-26,CU,CUM23
2018-10-15,1.4482,1.4482,1.4482,1.4482,0.0,0.0,2018-09-26,CU,CUM23
2018-10-16,1.4402,1.4402,1.4402,1.4402,0.0,0.0,2018-09-26,CU,CUM23
2018-10-17,1.45,1.45,1.45,1.45,0.0,0.0,2018-09-26,CU,CUM23
2018-10-18,1.4541,1.4541,1.4541,1.4541,0.0,0.0,2018-09-26,CU,CUM23
2018-10-19,1.4429,1.4429,1.4429,1.4429,0.0,0.0,2018-09-26,CU,CUM23
2018-10-22,1.4357,1.4357,1.4357,1.4357,0.0,0.0,2018-09-26,CU,CUM23
2018-10-23,1.4292,1.4292,1.4292,1.4292,0.0,0.0,2018-09-26,CU,CUM23
2018-10-24,1.4355,1.4355,1.4355,1.4355,0.0,0.0,2018-09-26,CU,CUM23
2018-10-25,1.4292,1.4292,1.4292,1.4292,0.0,0.0,2018-09-26,CU,CUM23
2018-10-26,1.4221,1.4221,1.4221,1.4221,0.0,0.0,2018-09-26,CU,CUM23
2018-10-29,1.4181,1.4181,1.4181,1.4181,0.0,0.0,2018-09-26,CU,CUM23
2018-10-30,1.4086,1.4086,1.4086,1.4086,0.0,0.0,2018-09-26,CU,CUM23
2018-10-31,1.3987,1.3987,1.3987,1.3987,0.0,0.0,2018-09-26,CU,CUM23
2018-11-01,1.4057,1.4057,1.4057,1.4057,0.0,0.0,2018-09-26,CU,CUM23
