,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-03-20,88.9999,88.9999,88.9999,88.9999,0.0,0.0,2019-03-18,DX,DXH19
2018-03-21,88.5282,88.5282,88.5282,88.5282,6.0,8.0,2019-03-18,DX,DXH19
2018-03-22,88.7938,88.7938,88.7938,88.7938,0.0,6.0,2019-03-18,DX,DXH19
2018-03-23,89.2378,89.2378,89.2378,89.2378,0.0,9.0,2019-03-18,DX,DXH19
2018-03-26,89.8089,89.8089,89.8089,89.8089,1.0,10.0,2019-03-18,DX,DXH19
2018-03-27,89.746,89.746,89.746,89.746,1.0,8.0,2019-03-18,DX,DXH19
2018-03-28,90.3383,90.3383,90.3383,90.3383,1.0,9.0,2019-03-18,DX,DXH19
2018-03-29,89.9408,89.9408,89.9408,89.9408,1.0,8.0,2019-03-18,DX,DXH19
2018-04-02,90.1117,90.1117,90.1117,90.1117,0.0,13.0,2019-03-18,DX,DXH19
2018-04-03,90.5532,90.5532,90.5532,90.5532,1.0,12.0,2019-03-18,DX,DXH19
2018-04-04,90.7705,90.7705,90.7705,90.7705,0.0,9.0,2019-03-18,DX,DXH19
2018-04-05,90.4437,90.4437,90.4437,90.4437,4.0,9.0,2019-03-18,DX,DXH19
2018-04-06,91.0859,91.0859,91.0859,91.0859,0.0,9.0,2019-03-18,DX,DXH19
2018-04-09,91.1861,91.1861,91.1861,91.1861,1.0,9.0,2019-03-18,DX,DXH19
2018-04-10,90.8396,90.8396,90.8396,90.8396,4.0,11.0,2019-03-18,DX,DXH19
2018-04-11,90.9214,90.9214,90.9214,90.9214,0.0,10.0,2019-03-18,DX,DXH19
2018-04-12,90.976,90.976,90.976,90.976,0.0,12.0,2019-03-18,DX,DXH19
2018-04-13,90.6212,90.6212,90.6212,90.6212,0.0,8.0,2019-03-18,DX,DXH19
2018-04-16,91.2102,91.2102,91.2102,91.2102,0.0,8.0,2019-03-18,DX,DXH19
2018-04-17,90.5991,90.5991,90.5991,90.5991,0.0,12.0,2019-03-18,DX,DXH19
2018-04-18,90.1914,90.1914,90.1914,90.1914,0.0,10.0,2019-03-18,DX,DXH19
2018-04-19,89.8667,89.8667,89.8667,89.8667,0.0,10.0,2019-03-18,DX,DXH19
2018-04-20,89.9835,89.9835,89.9835,89.9835,0.0,12.0,2019-03-18,DX,DXH19
2018-04-23,89.5246,89.5246,89.5246,89.5246,1.0,8.0,2019-03-18,DX,DXH19
2018-04-24,90.0797,90.0797,90.0797,90.0797,0.0,9.0,2019-03-18,DX,DXH19
2018-04-25,90.6922,90.6922,90.6922,90.6922,1.0,10.0,2019-03-18,DX,DXH19
2018-04-26,90.402,90.402,90.402,90.402,0.0,10.0,2019-03-18,DX,DXH19
2018-04-27,90.0404,90.0404,90.0404,90.0404,6.0,8.0,2019-03-18,DX,DXH19
2018-04-30,90.2475,90.2475,90.2475,90.2475,0.0,11.0,2019-03-18,DX,DXH19
2018-05-01,90.3287,90.3287,90.3287,90.3287,0.0,8.0,2019-03-18,DX,DXH19
2018-05-02,90.0306,90.0306,90.0306,90.0306,5.0,15.0,2019-03-18,DX,DXH19
2018-05-03,90.2647,90.2647,90.2647,90.2647,3.0,17.0,2019-03-18,DX,DXH19
2018-05-04,90.7792,90.7792,90.7792,90.7792,3.0,19.0,2019-03-18,DX,DXH19
2018-05-07,91.0243,91.0243,91.0243,91.0243,2.0,20.0,2019-03-18,DX,DXH19
2018-05-08,91.261,91.261,91.261,91.261,1.0,19.0,2019-03-18,DX,DXH19
2018-05-09,91.5348,91.5348,91.5348,91.5348,1.0,20.0,2019-03-18,DX,DXH19
2018-05-10,91.2053,91.2053,91.2053,91.2053,0.0,17.0,2019-03-18,DX,DXH19
2018-05-11,91.6522,91.6522,91.6522,91.6522,3.0,20.0,2019-03-18,DX,DXH19
