,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-06-14,97.0718,97.0718,97.0718,97.0718,0.0,0.0,2017-06-19,DX,DXM17
2016-06-15,97.0718,97.0718,97.0718,97.0718,0.0,0.0,2017-06-19,DX,DXM17
2016-06-16,96.9941,96.9941,96.9941,96.9941,0.0,0.0,2017-06-19,DX,DXM17
2016-06-17,96.8098,96.8098,96.8098,96.8098,0.0,0.0,2017-06-19,DX,DXM17
2016-06-20,97.5456,97.5456,97.5456,97.5456,1.0,1.0,2017-06-19,DX,DXM17
2016-06-21,96.9018,96.9018,96.9018,96.9018,1.0,2.0,2017-06-19,DX,DXM17
2016-06-22,97.6286,97.6286,97.6286,97.6286,0.0,2.0,2017-06-19,DX,DXM17
2016-06-23,98.0777,98.0777,98.0777,98.0777,3.0,6.0,2017-06-19,DX,DXM17
2016-06-24,98.0385,98.0385,98.0385,98.0385,0.0,5.0,2017-06-19,DX,DXM17
2016-06-27,97.7542,97.7542,97.7542,97.7542,9.0,13.0,2017-06-19,DX,DXM17
2016-06-28,98.2625,98.2625,98.2625,98.2625,0.0,12.0,2017-06-19,DX,DXM17
2016-06-29,98.6949,98.6949,98.6949,98.6949,1.0,12.0,2017-06-19,DX,DXM17
2016-06-30,98.5765,98.5765,98.5765,98.5765,2.0,15.0,2017-06-19,DX,DXM17
2016-07-01,97.7879,97.7879,97.7879,97.7879,0.0,17.0,2017-06-19,DX,DXM17
2016-07-04,98.4333,98.4333,98.4333,98.4333,0.0,19.0,2017-06-19,DX,DXM17
2016-07-05,97.8722,97.8722,97.8722,97.8722,0.0,14.0,2017-06-19,DX,DXM17
2016-07-06,97.6765,97.6765,97.6765,97.6765,0.0,19.0,2017-06-19,DX,DXM17
2016-07-07,97.1686,97.1686,97.1686,97.1686,0.0,17.0,2017-06-19,DX,DXM17
2016-07-08,97.2852,97.2852,97.2852,97.2852,0.0,16.0,2017-06-19,DX,DXM17
2016-07-11,97.3922,97.3922,97.3922,97.3922,0.0,19.0,2017-06-19,DX,DXM17
2016-07-12,97.9571,97.9571,97.9571,97.9571,0.0,14.0,2017-06-19,DX,DXM17
2016-07-13,97.7906,97.7906,97.7906,97.7906,0.0,16.0,2017-06-19,DX,DXM17
2016-07-14,98.348,98.348,98.348,98.348,0.0,13.0,2017-06-19,DX,DXM17
2016-07-15,97.5514,97.5514,97.5514,97.5514,0.0,16.0,2017-06-19,DX,DXM17
2016-07-18,96.7905,96.7905,96.7905,96.7905,0.0,19.0,2017-06-19,DX,DXM17
2016-07-19,96.3065,96.3065,96.3065,96.3065,0.0,13.0,2017-06-19,DX,DXM17
2016-07-20,96.1331,96.1331,96.1331,96.1331,0.0,18.0,2017-06-19,DX,DXM17
2016-07-21,96.7099,96.7099,96.7099,96.7099,0.0,17.0,2017-06-19,DX,DXM17
2016-07-22,97.1838,97.1838,97.1838,97.1838,0.0,18.0,2017-06-19,DX,DXM17
2016-07-25,97.0477,97.0477,97.0477,97.0477,0.0,14.0,2017-06-19,DX,DXM17
2016-07-26,97.8726,97.8726,97.8726,97.8726,16.0,39.0,2017-06-19,DX,DXM17
2016-07-27,97.7258,97.7258,97.7258,97.7258,1.0,31.0,2017-06-19,DX,DXM17
2016-07-28,97.7356,97.7356,97.7356,97.7356,0.0,34.0,2017-06-19,DX,DXM17
2016-07-29,98.195,98.195,98.195,98.195,10.0,45.0,2017-06-19,DX,DXM17
2016-08-01,97.7138,97.7138,97.7138,97.7138,2.0,49.0,2017-06-19,DX,DXM17
2016-08-02,97.2057,97.2057,97.2057,97.2057,12.0,67.0,2017-06-19,DX,DXM17
2016-08-03,97.3612,97.3612,97.3612,97.3612,0.0,73.0,2017-06-19,DX,DXM17
2016-08-04,97.8772,97.8772,97.8772,97.8772,0.0,58.0,2017-06-19,DX,DXM17
2016-08-05,98.4351,98.4351,98.4351,98.4351,1.0,62.0,2017-06-19,DX,DXM17
2016-08-08,98.9568,98.9568,98.9568,98.9568,0.0,68.0,2017-06-19,DX,DXM17
2016-08-09,98.2839,98.2839,98.2839,98.2839,0.0,70.0,2017-06-19,DX,DXM17
2016-08-10,97.8515,97.8515,97.8515,97.8515,2.0,60.0,2017-06-19,DX,DXM17
2016-08-11,98.0081,98.0081,98.0081,98.0081,0.0,63.0,2017-06-19,DX,DXM17
2016-08-12,98.8412,98.8412,98.8412,98.8412,17.0,54.0,2017-06-19,DX,DXM17
2016-08-15,99.2563,99.2563,99.2563,99.2563,0.0,58.0,2017-06-19,DX,DXM17
2016-08-16,99.0876,99.0876,99.0876,99.0876,15.0,64.0,2017-06-19,DX,DXM17
2016-08-17,99.4344,99.4344,99.4344,99.4344,43.0,119.0,2017-06-19,DX,DXM17
2016-08-18,99.3549,99.3549,99.3549,99.3549,18.0,157.0,2017-06-19,DX,DXM17
2016-08-19,99.6728,99.6728,99.6728,99.6728,29.0,153.0,2017-06-19,DX,DXM17
2016-08-22,99.7824,99.7824,99.7824,99.7824,2.0,179.0,2017-06-19,DX,DXM17
2016-08-23,100.0518,100.0518,100.0518,100.0518,6.0,170.0,2017-06-19,DX,DXM17
2016-08-24,99.9317,99.9317,99.9317,99.9317,3.0,134.0,2017-06-19,DX,DXM17
2016-08-25,99.1522,99.1522,99.1522,99.1522,15.0,170.0,2017-06-19,DX,DXM17
2016-08-26,98.6763,98.6763,98.6763,98.6763,2.0,200.0,2017-06-19,DX,DXM17
2016-08-29,99.1697,99.1697,99.1697,99.1697,2.0,178.0,2017-06-19,DX,DXM17
2016-08-30,98.8325,98.8325,98.8325,98.8325,2.0,159.0,2017-06-19,DX,DXM17
2016-08-31,99.3069,99.3069,99.3069,99.3069,3.0,190.0,2017-06-19,DX,DXM17
2016-09-01,99.4857,99.4857,99.4857,99.4857,43.0,178.0,2017-06-19,DX,DXM17
2016-09-02,99.9533,99.9533,99.9533,99.9533,28.0,149.0,2017-06-19,DX,DXM17
2016-09-05,99.6035,99.6035,99.6035,99.6035,0.0,147.0,2017-06-19,DX,DXM17
2016-09-06,98.7369,98.7369,98.7369,98.7369,26.0,194.0,2017-06-19,DX,DXM17
2016-09-07,98.4802,98.4802,98.4802,98.4802,8.0,219.0,2017-06-19,DX,DXM17
2016-09-08,98.1552,98.1552,98.1552,98.1552,13.0,208.0,2017-06-19,DX,DXM17
2016-09-09,98.2632,98.2632,98.2632,98.2632,0.0,253.0,2017-06-19,DX,DXM17
2016-09-12,99.1083,99.1083,99.1083,99.1083,10.0,206.0,2017-06-19,DX,DXM17
2016-09-13,99.6732,99.6732,99.6732,99.6732,4.0,216.0,2017-06-19,DX,DXM17
2016-09-14,100.2613,100.2613,100.2613,100.2613,2.0,212.0,2017-06-19,DX,DXM17
2016-09-15,99.6497,99.6497,99.6497,99.6497,23.0,247.0,2017-06-19,DX,DXM17
2016-09-16,99.3209,99.3209,99.3209,99.3209,22.0,208.0,2017-06-19,DX,DXM17
2016-09-19,98.4965,98.4965,98.4965,98.4965,22.0,221.0,2017-06-19,DX,DXM17
2016-09-20,98.8117,98.8117,98.8117,98.8117,5.0,262.0,2017-06-19,DX,DXM17
2016-09-21,98.7722,98.7722,98.7722,98.7722,1.0,246.0,2017-06-19,DX,DXM17
2016-09-22,98.6438,98.6438,98.6438,98.6438,11.0,298.0,2017-06-19,DX,DXM17
2016-09-23,98.9003,98.9003,98.9003,98.9003,2.0,250.0,2017-06-19,DX,DXM17
2016-09-26,98.0794,98.0794,98.0794,98.0794,2.0,226.0,2017-06-19,DX,DXM17
2016-09-27,98.5894,98.5894,98.5894,98.5894,19.0,303.0,2017-06-19,DX,DXM17
2016-09-28,98.1162,98.1162,98.1162,98.1162,13.0,302.0,2017-06-19,DX,DXM17
2016-09-29,97.4294,97.4294,97.4294,97.4294,22.0,260.0,2017-06-19,DX,DXM17
2016-09-30,97.4879,97.4879,97.4879,97.4879,5.0,318.0,2017-06-19,DX,DXM17
2016-10-03,97.8681,97.8681,97.8681,97.8681,0.0,312.0,2017-06-19,DX,DXM17
2016-10-04,97.3983,97.3983,97.3983,97.3983,9.0,343.0,2017-06-19,DX,DXM17
2016-10-05,97.1256,97.1256,97.1256,97.1256,1.0,350.0,2017-06-19,DX,DXM17
2016-10-06,96.7565,96.7565,96.7565,96.7565,4.0,303.0,2017-06-19,DX,DXM17
2016-10-07,97.3661,97.3661,97.3661,97.3661,5.0,353.0,2017-06-19,DX,DXM17
2016-10-10,96.9182,96.9182,96.9182,96.9182,0.0,257.0,2017-06-19,DX,DXM17
2016-10-11,96.7728,96.7728,96.7728,96.7728,2.0,334.0,2017-06-19,DX,DXM17
2016-10-12,96.0567,96.0567,96.0567,96.0567,11.0,292.0,2017-06-19,DX,DXM17
2016-10-13,95.8262,95.8262,95.8262,95.8262,7.0,258.0,2017-06-19,DX,DXM17
2016-10-14,96.5161,96.5161,96.5161,96.5161,6.0,305.0,2017-06-19,DX,DXM17
2016-10-17,96.2072,96.2072,96.2072,96.2072,8.0,293.0,2017-06-19,DX,DXM17
2016-10-18,95.9859,95.9859,95.9859,95.9859,3.0,306.0,2017-06-19,DX,DXM17
2016-10-19,95.2756,95.2756,95.2756,95.2756,0.0,291.0,2017-06-19,DX,DXM17
2016-10-20,95.771,95.771,95.771,95.771,10.0,274.0,2017-06-19,DX,DXM17
2016-10-21,95.8189,95.8189,95.8189,95.8189,42.0,252.0,2017-06-19,DX,DXM17
2016-10-24,95.2248,95.2248,95.2248,95.2248,44.0,267.0,2017-06-19,DX,DXM17
2016-10-25,94.4059,94.4059,94.4059,94.4059,10.0,264.0,2017-06-19,DX,DXM17
2016-10-26,94.1132,94.1132,94.1132,94.1132,34.0,176.0,2017-06-19,DX,DXM17
2016-10-27,94.5179,94.5179,94.5179,94.5179,1.0,172.0,2017-06-19,DX,DXM17
2016-10-28,93.9319,93.9319,93.9319,93.9319,17.0,201.0,2017-06-19,DX,DXM17
2016-10-31,93.8474,93.8474,93.8474,93.8474,46.0,200.0,2017-06-19,DX,DXM17
2016-11-01,93.5565,93.5565,93.5565,93.5565,29.0,233.0,2017-06-19,DX,DXM17
2016-11-02,94.2488,94.2488,94.2488,94.2488,33.0,245.0,2017-06-19,DX,DXM17
2016-11-03,94.8614,94.8614,94.8614,94.8614,52.0,236.0,2017-06-19,DX,DXM17
2016-11-04,95.2408,95.2408,95.2408,95.2408,4.0,275.0,2017-06-19,DX,DXM17
2016-11-07,95.0217,95.0217,95.0217,95.0217,27.0,310.0,2017-06-19,DX,DXM17
2016-11-08,95.0217,95.0217,95.0217,95.0217,8.0,233.0,2017-06-19,DX,DXM17
2016-11-09,94.8222,94.8222,94.8222,94.8222,174.0,367.0,2017-06-19,DX,DXM17
2016-11-10,94.2153,94.2153,94.2153,94.2153,26.0,380.0,2017-06-19,DX,DXM17
2016-11-11,94.9313,94.9313,94.9313,94.9313,18.0,402.0,2017-06-19,DX,DXM17
2016-11-14,94.3902,94.3902,94.3902,94.3902,114.0,368.0,2017-06-19,DX,DXM17
2016-11-15,94.7678,94.7678,94.7678,94.7678,35.0,479.0,2017-06-19,DX,DXM17
2016-11-16,94.3319,94.3319,94.3319,94.3319,92.0,432.0,2017-06-19,DX,DXM17
2016-11-17,93.7187,93.7187,93.7187,93.7187,77.0,603.0,2017-06-19,DX,DXM17
2016-11-18,94.281,94.281,94.281,94.281,53.0,592.0,2017-06-19,DX,DXM17
2016-11-21,94.8561,94.8561,94.8561,94.8561,55.0,620.0,2017-06-19,DX,DXM17
2016-11-22,94.7423,94.7423,94.7423,94.7423,13.0,591.0,2017-06-19,DX,DXM17
2016-11-23,94.0791,94.0791,94.0791,94.0791,50.0,597.0,2017-06-19,DX,DXM17
2016-11-24,94.2673,94.2673,94.2673,94.2673,7.0,620.0,2017-06-19,DX,DXM17
2016-11-25,93.9279,93.9279,93.9279,93.9279,21.0,587.0,2017-06-19,DX,DXM17
2016-11-28,93.1765,93.1765,93.1765,93.1765,22.0,501.0,2017-06-19,DX,DXM17
2016-11-29,93.2417,93.2417,93.2417,93.2417,19.0,574.0,2017-06-19,DX,DXM17
2016-11-30,92.9713,92.9713,92.9713,92.9713,23.0,580.0,2017-06-19,DX,DXM17
2016-12-01,93.0364,93.0364,93.0364,93.0364,84.0,540.0,2017-06-19,DX,DXM17
2016-12-02,93.269,93.269,93.269,93.269,15.0,607.0,2017-06-19,DX,DXM17
2016-12-05,92.756,92.756,92.756,92.756,104.0,773.0,2017-06-19,DX,DXM17
2016-12-06,92.1624,92.1624,92.1624,92.1624,34.0,793.0,2017-06-19,DX,DXM17
2016-12-07,91.4804,91.4804,91.4804,91.4804,31.0,839.0,2017-06-19,DX,DXM17
2016-12-08,91.6085,91.6085,91.6085,91.6085,164.0,791.0,2017-06-19,DX,DXM17
2016-12-09,90.9581,90.9581,90.9581,90.9581,90.0,749.0,2017-06-19,DX,DXM17
2016-12-12,91.0945,91.0945,91.0945,91.0945,82.0,965.0,2017-06-19,DX,DXM17
2016-12-13,91.14,91.14,91.14,91.14,50.0,902.0,2017-06-19,DX,DXM17
2016-12-14,90.8939,90.8939,90.8939,90.8939,130.0,840.0,2017-06-19,DX,DXM17
2016-12-15,90.5576,90.5576,90.5576,90.5576,567.0,1090.0,2017-06-19,DX,DXM17
2016-12-16,90.1229,90.1229,90.1229,90.1229,219.0,944.0,2017-06-19,DX,DXM17
2016-12-19,90.186,90.186,90.186,90.186,58.0,1018.0,2017-06-19,DX,DXM17
2016-12-20,89.4555,89.4555,89.4555,89.4555,245.0,1245.0,2017-06-19,DX,DXM17
2016-12-21,89.6344,89.6344,89.6344,89.6344,54.0,1316.0,2017-06-19,DX,DXM17
2016-12-22,89.5896,89.5896,89.5896,89.5896,83.0,1256.0,2017-06-19,DX,DXM17
2016-12-23,89.4731,89.4731,89.4731,89.4731,47.0,1527.0,2017-06-19,DX,DXM17
2016-12-27,90.1799,90.1799,90.1799,90.1799,68.0,1451.0,2017-06-19,DX,DXM17
2016-12-28,89.4855,89.4855,89.4855,89.4855,57.0,1454.0,2017-06-19,DX,DXM17
2016-12-29,89.6108,89.6108,89.6108,89.6108,91.0,1231.0,2017-06-19,DX,DXM17
2016-12-30,89.8079,89.8079,89.8079,89.8079,124.0,1436.0,2017-06-19,DX,DXM17
