,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-09-19,90.2081,90.2081,90.2081,90.2081,0.0,0.0,2018-09-17,DX,DXU18
2017-09-20,89.748,89.748,89.748,89.748,0.0,0.0,2018-09-17,DX,DXU18
2017-09-21,89.9006,89.9006,89.9006,89.9006,0.0,0.0,2018-09-17,DX,DXU18
2017-09-22,89.3342,89.3342,89.3342,89.3342,0.0,0.0,2018-09-17,DX,DXU18
2017-09-25,89.5575,89.5575,89.5575,89.5575,11.0,21.0,2018-09-17,DX,DXU18
2017-09-26,89.0202,89.0202,89.0202,89.0202,0.0,19.0,2018-09-17,DX,DXU18
2017-09-27,89.4119,89.4119,89.4119,89.4119,0.0,20.0,2018-09-17,DX,DXU18
2017-09-28,88.9023,88.9023,88.9023,88.9023,1.0,19.0,2018-09-17,DX,DXU18
2017-09-29,89.1868,89.1868,89.1868,89.1868,1.0,28.0,2018-09-17,DX,DXU18
2017-10-02,88.8836,88.8836,88.8836,88.8836,1.0,22.0,2018-09-17,DX,DXU18
2017-10-03,88.6969,88.6969,88.6969,88.6969,0.0,28.0,2018-09-17,DX,DXU18
2017-10-04,88.6082,88.6082,88.6082,88.6082,0.0,26.0,2018-09-17,DX,DXU18
2017-10-05,88.4133,88.4133,88.4133,88.4133,1.0,25.0,2018-09-17,DX,DXU18
2017-10-06,88.9791,88.9791,88.9791,88.9791,6.0,29.0,2018-09-17,DX,DXU18
2017-10-09,88.3296,88.3296,88.3296,88.3296,2.0,27.0,2018-09-17,DX,DXU18
2017-10-10,88.5063,88.5063,88.5063,88.5063,0.0,25.0,2018-09-17,DX,DXU18
2017-10-11,88.9134,88.9134,88.9134,88.9134,0.0,29.0,2018-09-17,DX,DXU18
2017-10-12,88.8423,88.8423,88.8423,88.8423,0.0,35.0,2018-09-17,DX,DXU18
2017-10-13,88.5402,88.5402,88.5402,88.5402,1.0,34.0,2018-09-17,DX,DXU18
2017-10-16,88.8855,88.8855,88.8855,88.8855,1.0,32.0,2018-09-17,DX,DXU18
2017-10-17,89.3388,89.3388,89.3388,89.3388,3.0,27.0,2018-09-17,DX,DXU18
2017-10-18,88.7224,88.7224,88.7224,88.7224,3.0,28.0,2018-09-17,DX,DXU18
2017-10-19,88.3675,88.3675,88.3675,88.3675,0.0,32.0,2018-09-17,DX,DXU18
2017-10-20,87.8196,87.8196,87.8196,87.8196,7.0,37.0,2018-09-17,DX,DXU18
2017-10-23,87.1873,87.1873,87.1873,87.1873,6.0,39.0,2018-09-17,DX,DXU18
2017-10-24,87.0652,87.0652,87.0652,87.0652,0.0,78.0,2018-09-17,DX,DXU18
2017-10-25,87.2567,87.2567,87.2567,87.2567,9.0,101.0,2018-09-17,DX,DXU18
2017-10-26,87.789,87.789,87.789,87.789,5.0,82.0,2018-09-17,DX,DXU18
2017-10-27,88.2016,88.2016,88.2016,88.2016,24.0,131.0,2018-09-17,DX,DXU18
2017-10-30,88.0428,88.0428,88.0428,88.0428,1.0,96.0,2018-09-17,DX,DXU18
2017-10-31,88.0516,88.0516,88.0516,88.0516,0.0,132.0,2018-09-17,DX,DXU18
2017-11-01,88.4919,88.4919,88.4919,88.4919,2.0,135.0,2018-09-17,DX,DXU18
2017-11-02,87.8725,87.8725,87.8725,87.8725,8.0,143.0,2018-09-17,DX,DXU18
2017-11-03,88.3294,88.3294,88.3294,88.3294,3.0,122.0,2018-09-17,DX,DXU18
2017-11-06,87.8613,87.8613,87.8613,87.8613,2.0,116.0,2018-09-17,DX,DXU18
2017-11-07,87.2551,87.2551,87.2551,87.2551,1.0,151.0,2018-09-17,DX,DXU18
2017-11-08,87.7874,87.7874,87.7874,87.7874,32.0,110.0,2018-09-17,DX,DXU18
2017-11-09,87.7874,87.7874,87.7874,87.7874,1.0,156.0,2018-09-17,DX,DXU18
2017-11-10,87.4099,87.4099,87.4099,87.4099,12.0,154.0,2018-09-17,DX,DXU18
2017-11-13,86.833,86.833,86.833,86.833,1.0,164.0,2018-09-17,DX,DXU18
2017-11-14,86.4336,86.4336,86.4336,86.4336,12.0,121.0,2018-09-17,DX,DXU18
2017-11-15,86.278,86.278,86.278,86.278,7.0,176.0,2018-09-17,DX,DXU18
2017-11-16,86.3643,86.3643,86.3643,86.3643,2.0,151.0,2018-09-17,DX,DXU18
2017-11-17,85.9843,85.9843,85.9843,85.9843,5.0,137.0,2018-09-17,DX,DXU18
2017-11-20,85.9843,85.9843,85.9843,85.9843,0.0,183.0,2018-09-17,DX,DXU18
2017-11-21,85.5974,85.5974,85.5974,85.5974,0.0,131.0,2018-09-17,DX,DXU18
2017-11-22,85.6744,85.6744,85.6744,85.6744,8.0,169.0,2018-09-17,DX,DXU18
