,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-20,102.2076,102.2076,102.2076,102.2076,0.0,0.0,2017-12-18,DX,DXZ17
2016-12-21,101.7988,101.7988,101.7988,101.7988,0.0,0.0,2017-12-18,DX,DXZ17
2016-12-22,102.43,102.43,102.43,102.43,0.0,0.0,2017-12-18,DX,DXZ17
2016-12-23,101.9178,101.9178,101.9178,101.9178,0.0,0.0,2017-12-18,DX,DXZ17
2016-12-27,101.3267,101.3267,101.3267,101.3267,0.0,0.0,2017-12-18,DX,DXZ17
2016-12-28,101.732,101.732,101.732,101.732,0.0,0.0,2017-12-18,DX,DXZ17
2016-12-29,101.2132,101.2132,101.2132,101.2132,5.0,4.0,2017-12-18,DX,DXZ17
2016-12-30,100.6565,100.6565,100.6565,100.6565,5.0,5.0,2017-12-18,DX,DXZ17
2017-01-03,100.0626,100.0626,100.0626,100.0626,2.0,7.0,2017-12-18,DX,DXZ17
2017-01-04,100.1126,100.1126,100.1126,100.1126,7.0,11.0,2017-12-18,DX,DXZ17
2017-01-05,99.5219,99.5219,99.5219,99.5219,25.0,38.0,2017-12-18,DX,DXZ17
2017-01-06,98.8949,98.8949,98.8949,98.8949,2.0,40.0,2017-12-18,DX,DXZ17
2017-01-09,99.1619,99.1619,99.1619,99.1619,0.0,39.0,2017-12-18,DX,DXZ17
2017-01-10,98.6264,98.6264,98.6264,98.6264,2.0,40.0,2017-12-18,DX,DXZ17
2017-01-11,98.4982,98.4982,98.4982,98.4982,34.0,58.0,2017-12-18,DX,DXZ17
2017-01-12,98.3406,98.3406,98.3406,98.3406,23.0,64.0,2017-12-18,DX,DXZ17
2017-01-13,97.9177,97.9177,97.9177,97.9177,8.0,65.0,2017-12-18,DX,DXZ17
2017-01-16,97.4379,97.4379,97.4379,97.4379,3.0,60.0,2017-12-18,DX,DXZ17
2017-01-17,97.0676,97.0676,97.0676,97.0676,46.0,122.0,2017-12-18,DX,DXZ17
2017-01-18,97.3491,97.3491,97.3491,97.3491,6.0,87.0,2017-12-18,DX,DXZ17
2017-01-19,97.904,97.904,97.904,97.904,2.0,90.0,2017-12-18,DX,DXZ17
2017-01-20,97.483,97.483,97.483,97.483,2.0,95.0,2017-12-18,DX,DXZ17
2017-01-23,98.1654,98.1654,98.1654,98.1654,10.0,132.0,2017-12-18,DX,DXZ17
2017-01-24,97.5371,97.5371,97.5371,97.5371,7.0,102.0,2017-12-18,DX,DXZ17
2017-01-25,97.4396,97.4396,97.4396,97.4396,7.0,140.0,2017-12-18,DX,DXZ17
2017-01-26,96.9816,96.9816,96.9816,96.9816,2.0,138.0,2017-12-18,DX,DXZ17
2017-01-27,96.7876,96.7876,96.7876,96.7876,2.0,136.0,2017-12-18,DX,DXZ17
2017-01-30,96.594,96.594,96.594,96.594,31.0,171.0,2017-12-18,DX,DXZ17
2017-01-31,96.7968,96.7968,96.7968,96.7968,24.0,143.0,2017-12-18,DX,DXZ17
2017-02-01,97.4066,97.4066,97.4066,97.4066,0.0,169.0,2017-12-18,DX,DXZ17
2017-02-02,96.8514,96.8514,96.8514,96.8514,13.0,189.0,2017-12-18,DX,DXZ17
2017-02-03,97.3163,97.3163,97.3163,97.3163,0.0,169.0,2017-12-18,DX,DXZ17
2017-02-06,97.1995,97.1995,97.1995,97.1995,3.0,148.0,2017-12-18,DX,DXZ17
