,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-07-14,98.2861,98.2861,98.2861,98.2861,0.0,0.0,2018-01-16,ED,EDF18
2017-07-17,98.2664,98.2664,98.2664,98.2664,0.0,0.0,2018-01-16,ED,EDF18
2017-07-18,98.2467,98.2467,98.2467,98.2467,318.0,327.0,2018-01-16,ED,EDF18
2017-07-19,98.2271,98.2271,98.2271,98.2271,0.0,255.0,2018-01-16,ED,EDF18
2017-07-20,98.2369,98.2369,98.2369,98.2369,4.0,244.0,2018-01-16,ED,EDF18
2017-07-21,98.2271,98.2271,98.2271,98.2271,189.0,512.0,2018-01-16,ED,EDF18
2017-07-24,98.2075,98.2075,98.2075,98.2075,0.0,516.0,2018-01-16,ED,EDF18
2017-07-25,98.1977,98.1977,98.1977,98.1977,0.0,549.0,2018-01-16,ED,EDF18
2017-07-26,98.1977,98.1977,98.1977,98.1977,0.0,530.0,2018-01-16,ED,EDF18
2017-07-27,98.1977,98.1977,98.1977,98.1977,0.0,470.0,2018-01-16,ED,EDF18
2017-07-28,98.2075,98.2075,98.2075,98.2075,10.0,556.0,2018-01-16,ED,EDF18
2017-07-31,98.2173,98.2173,98.2173,98.2173,0.0,399.0,2018-01-16,ED,EDF18
2017-08-01,98.2173,98.2173,98.2173,98.2173,0.0,551.0,2018-01-16,ED,EDF18
2017-08-02,98.2075,98.2075,98.2075,98.2075,28.0,460.0,2018-01-16,ED,EDF18
2017-08-03,98.2173,98.2173,98.2173,98.2173,163.0,743.0,2018-01-16,ED,EDF18
2017-08-04,98.2173,98.2173,98.2173,98.2173,0.0,682.0,2018-01-16,ED,EDF18
2017-08-07,98.2075,98.2075,98.2075,98.2075,0.0,594.0,2018-01-16,ED,EDF18
2017-08-08,98.2075,98.2075,98.2075,98.2075,0.0,769.0,2018-01-16,ED,EDF18
2017-08-09,98.2173,98.2173,98.2173,98.2173,0.0,796.0,2018-01-16,ED,EDF18
2017-08-10,98.1977,98.1977,98.1977,98.1977,0.0,756.0,2018-01-16,ED,EDF18
2017-08-11,98.1977,98.1977,98.1977,98.1977,0.0,601.0,2018-01-16,ED,EDF18
2017-08-14,98.1879,98.1879,98.1879,98.1879,0.0,634.0,2018-01-16,ED,EDF18
2017-08-15,98.1781,98.1781,98.1781,98.1781,0.0,749.0,2018-01-16,ED,EDF18
2017-08-16,98.1683,98.1683,98.1683,98.1683,0.0,702.0,2018-01-16,ED,EDF18
2017-08-17,98.1683,98.1683,98.1683,98.1683,0.0,547.0,2018-01-16,ED,EDF18
2017-08-18,98.1487,98.1487,98.1487,98.1487,0.0,574.0,2018-01-16,ED,EDF18
2017-08-21,98.1487,98.1487,98.1487,98.1487,0.0,769.0,2018-01-16,ED,EDF18
2017-08-22,98.1585,98.1585,98.1585,98.1585,0.0,587.0,2018-01-16,ED,EDF18
2017-08-23,98.1389,98.1389,98.1389,98.1389,0.0,790.0,2018-01-16,ED,EDF18
2017-08-24,98.1193,98.1193,98.1193,98.1193,0.0,729.0,2018-01-16,ED,EDF18
2017-08-25,98.1095,98.1095,98.1095,98.1095,0.0,736.0,2018-01-16,ED,EDF18
2017-08-28,98.0899,98.0899,98.0899,98.0899,0.0,783.0,2018-01-16,ED,EDF18
2017-08-29,98.0997,98.0997,98.0997,98.0997,71.0,861.0,2018-01-16,ED,EDF18
2017-08-30,98.0899,98.0899,98.0899,98.0899,745.0,1382.0,2018-01-16,ED,EDF18
2017-08-31,98.0997,98.0997,98.0997,98.0997,0.0,1094.0,2018-01-16,ED,EDF18
2017-09-01,98.0899,98.0899,98.0899,98.0899,0.0,1628.0,2018-01-16,ED,EDF18
2017-09-05,98.0997,98.0997,98.0997,98.0997,0.0,1135.0,2018-01-16,ED,EDF18
2017-09-06,98.0997,98.0997,98.0997,98.0997,0.0,1108.0,2018-01-16,ED,EDF18
2017-09-07,98.0801,98.0801,98.0801,98.0801,0.0,1491.0,2018-01-16,ED,EDF18
2017-09-08,98.0703,98.0703,98.0703,98.0703,56.0,1248.0,2018-01-16,ED,EDF18
2017-09-11,98.0703,98.0703,98.0703,98.0703,0.0,1517.0,2018-01-16,ED,EDF18
2017-09-12,98.0703,98.0703,98.0703,98.0703,0.0,1687.0,2018-01-16,ED,EDF18
2017-09-13,98.0507,98.0507,98.0507,98.0507,0.0,1234.0,2018-01-16,ED,EDF18
2017-09-14,98.0507,98.0507,98.0507,98.0507,119.0,1973.0,2018-01-16,ED,EDF18
2017-09-15,98.0507,98.0507,98.0507,98.0507,78.0,1872.0,2018-01-16,ED,EDF18
2017-09-18,98.0507,98.0507,98.0507,98.0507,58.0,1386.0,2018-01-16,ED,EDF18
2017-09-19,98.0311,98.0311,98.0311,98.0311,0.0,1646.0,2018-01-16,ED,EDF18
2017-09-20,98.0115,98.0115,98.0115,98.0115,0.0,2045.0,2018-01-16,ED,EDF18
2017-09-21,97.9919,97.9919,97.9919,97.9919,170.0,1627.0,2018-01-16,ED,EDF18
2017-09-22,97.9919,97.9919,97.9919,97.9919,8.0,1786.0,2018-01-16,ED,EDF18
2017-09-25,98.0017,98.0017,98.0017,98.0017,0.0,1766.0,2018-01-16,ED,EDF18
2017-09-26,98.0017,98.0017,98.0017,98.0017,0.0,1882.0,2018-01-16,ED,EDF18
2017-09-27,98.0115,98.0115,98.0115,98.0115,0.0,1632.0,2018-01-16,ED,EDF18
2017-09-28,98.0017,98.0017,98.0017,98.0017,17.0,2287.0,2018-01-16,ED,EDF18
2017-09-29,97.9919,97.9919,97.9919,97.9919,63.0,1993.0,2018-01-16,ED,EDF18
2017-10-02,98.0017,98.0017,98.0017,98.0017,0.0,1914.0,2018-01-16,ED,EDF18
2017-10-03,98.0115,98.0115,98.0115,98.0115,5.0,1889.0,2018-01-16,ED,EDF18
2017-10-04,98.0017,98.0017,98.0017,98.0017,5.0,2047.0,2018-01-16,ED,EDF18
2017-10-05,97.9919,97.9919,97.9919,97.9919,23.0,2312.0,2018-01-16,ED,EDF18
2017-10-06,97.9919,97.9919,97.9919,97.9919,593.0,2094.0,2018-01-16,ED,EDF18
2017-10-09,97.9821,97.9821,97.9821,97.9821,52.0,1958.0,2018-01-16,ED,EDF18
2017-10-10,97.9723,97.9723,97.9723,97.9723,0.0,1881.0,2018-01-16,ED,EDF18
2017-10-11,97.9821,97.9821,97.9821,97.9821,0.0,1571.0,2018-01-16,ED,EDF18
2017-10-12,97.9919,97.9919,97.9919,97.9919,140.0,1558.0,2018-01-16,ED,EDF18
2017-10-13,97.9919,97.9919,97.9919,97.9919,997.0,2151.0,2018-01-16,ED,EDF18
2017-10-16,97.9723,97.9723,97.9723,97.9723,740.0,2356.0,2018-01-16,ED,EDF18
2017-10-17,97.9723,97.9723,97.9723,97.9723,5046.0,4874.0,2018-01-16,ED,EDF18
2017-10-18,97.9821,97.9821,97.9821,97.9821,11347.0,12050.0,2018-01-16,ED,EDF18
2017-10-19,97.9723,97.9723,97.9723,97.9723,5748.0,29798.0,2018-01-16,ED,EDF18
2017-10-20,97.9723,97.9723,97.9723,97.9723,3293.0,29085.0,2018-01-16,ED,EDF18
2017-10-23,97.9821,97.9821,97.9821,97.9821,1563.0,30569.0,2018-01-16,ED,EDF18
2017-10-24,97.9821,97.9821,97.9821,97.9821,2615.0,25058.0,2018-01-16,ED,EDF18
2017-10-25,97.9821,97.9821,97.9821,97.9821,2294.0,30052.0,2018-01-16,ED,EDF18
2017-10-26,97.9625,97.9625,97.9625,97.9625,2398.0,27324.0,2018-01-16,ED,EDF18
2017-10-27,97.9625,97.9625,97.9625,97.9625,4110.0,34269.0,2018-01-16,ED,EDF18
2017-10-30,97.9429,97.9429,97.9429,97.9429,1337.0,37365.0,2018-01-16,ED,EDF18
2017-10-31,97.9233,97.9233,97.9233,97.9233,6487.0,33696.0,2018-01-16,ED,EDF18
2017-11-01,97.9233,97.9233,97.9233,97.9233,13978.0,43677.0,2018-01-16,ED,EDF18
2017-11-02,97.9135,97.9135,97.9135,97.9135,3377.0,59071.0,2018-01-16,ED,EDF18
2017-11-03,97.8939,97.8939,97.8939,97.8939,5688.0,63836.0,2018-01-16,ED,EDF18
2017-11-06,97.9037,97.9037,97.9037,97.9037,10322.0,58763.0,2018-01-16,ED,EDF18
2017-11-07,97.8841,97.8841,97.8841,97.8841,8322.0,58750.0,2018-01-16,ED,EDF18
2017-11-08,97.8939,97.8939,97.8939,97.8939,3723.0,55028.0,2018-01-16,ED,EDF18
2017-11-09,97.8939,97.8939,97.8939,97.8939,10784.0,66217.0,2018-01-16,ED,EDF18
2017-11-10,97.8841,97.8841,97.8841,97.8841,14309.0,63212.0,2018-01-16,ED,EDF18
2017-11-13,97.8743,97.8743,97.8743,97.8743,13330.0,70911.0,2018-01-16,ED,EDF18
2017-11-14,97.8841,97.8841,97.8841,97.8841,6952.0,84528.0,2018-01-16,ED,EDF18
2017-11-15,97.8743,97.8743,97.8743,97.8743,8631.0,92501.0,2018-01-16,ED,EDF18
2017-11-16,97.8547,97.8547,97.8547,97.8547,7715.0,64527.0,2018-01-16,ED,EDF18
2017-11-17,97.8645,97.8645,97.8645,97.8645,507.0,65331.0,2018-01-16,ED,EDF18
2017-11-20,97.8449,97.8449,97.8449,97.8449,34553.0,83046.0,2018-01-16,ED,EDF18
