,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-08-14,99.2842,99.2842,99.2842,99.2842,0.0,0.0,2016-02-16,ED,EDG16
2015-08-17,99.2743,99.2743,99.2743,99.2743,0.0,0.0,2016-02-16,ED,EDG16
2015-08-18,99.2743,99.2743,99.2743,99.2743,0.0,0.0,2016-02-16,ED,EDG16
2015-08-19,99.2644,99.2644,99.2644,99.2644,0.0,0.0,2016-02-16,ED,EDG16
2015-08-20,99.2843,99.2843,99.2843,99.2843,0.0,0.0,2016-02-16,ED,EDG16
2015-08-21,99.2744,99.2744,99.2744,99.2744,0.0,0.0,2016-02-16,ED,EDG16
2015-08-24,99.2545,99.2545,99.2545,99.2545,0.0,0.0,2016-02-16,ED,EDG16
2015-08-25,99.2744,99.2744,99.2744,99.2744,0.0,0.0,2016-02-16,ED,EDG16
2015-08-26,99.2744,99.2744,99.2744,99.2744,530.0,555.0,2016-02-16,ED,EDG16
2015-08-27,99.2645,99.2645,99.2645,99.2645,93.0,600.0,2016-02-16,ED,EDG16
2015-08-28,99.2446,99.2446,99.2446,99.2446,0.0,714.0,2016-02-16,ED,EDG16
2015-08-31,99.2148,99.2148,99.2148,99.2148,0.0,672.0,2016-02-16,ED,EDG16
2015-09-01,99.195,99.195,99.195,99.195,56.0,734.0,2016-02-16,ED,EDG16
2015-09-02,99.2049,99.2049,99.2049,99.2049,80.0,862.0,2016-02-16,ED,EDG16
2015-09-03,99.195,99.195,99.195,99.195,0.0,712.0,2016-02-16,ED,EDG16
2015-09-04,99.1851,99.1851,99.1851,99.1851,0.0,802.0,2016-02-16,ED,EDG16
2015-09-08,99.195,99.195,99.195,99.195,0.0,1140.0,2016-02-16,ED,EDG16
2015-09-09,99.2148,99.2148,99.2148,99.2148,0.0,1100.0,2016-02-16,ED,EDG16
2015-09-10,99.195,99.195,99.195,99.195,0.0,920.0,2016-02-16,ED,EDG16
2015-09-11,99.1752,99.1752,99.1752,99.1752,0.0,1030.0,2016-02-16,ED,EDG16
2015-09-14,99.195,99.195,99.195,99.195,0.0,1170.0,2016-02-16,ED,EDG16
2015-09-15,99.1752,99.1752,99.1752,99.1752,181.0,851.0,2016-02-16,ED,EDG16
2015-09-16,99.195,99.195,99.195,99.195,810.0,1891.0,2016-02-16,ED,EDG16
2015-09-17,99.1752,99.1752,99.1752,99.1752,448.0,1406.0,2016-02-16,ED,EDG16
2015-09-18,99.1554,99.1554,99.1554,99.1554,0.0,1652.0,2016-02-16,ED,EDG16
2015-09-21,99.1257,99.1257,99.1257,99.1257,267.0,1125.0,2016-02-16,ED,EDG16
2015-09-22,99.1455,99.1455,99.1455,99.1455,0.0,1281.0,2016-02-16,ED,EDG16
2015-09-23,99.1158,99.1158,99.1158,99.1158,0.0,1365.0,2016-02-16,ED,EDG16
2015-09-24,99.1356,99.1356,99.1356,99.1356,0.0,1053.0,2016-02-16,ED,EDG16
2015-09-25,99.1455,99.1455,99.1455,99.1455,0.0,1245.0,2016-02-16,ED,EDG16
2015-09-28,99.1455,99.1455,99.1455,99.1455,0.0,1233.0,2016-02-16,ED,EDG16
2015-09-29,99.1356,99.1356,99.1356,99.1356,272.0,1061.0,2016-02-16,ED,EDG16
2015-09-30,99.1158,99.1158,99.1158,99.1158,0.0,1013.0,2016-02-16,ED,EDG16
2015-10-01,99.096,99.096,99.096,99.096,0.0,909.0,2016-02-16,ED,EDG16
2015-10-02,99.0861,99.0861,99.0861,99.0861,94.0,1194.0,2016-02-16,ED,EDG16
2015-10-05,99.0861,99.0861,99.0861,99.0861,0.0,984.0,2016-02-16,ED,EDG16
2015-10-06,99.0861,99.0861,99.0861,99.0861,0.0,942.0,2016-02-16,ED,EDG16
2015-10-07,99.096,99.096,99.096,99.096,0.0,995.0,2016-02-16,ED,EDG16
2015-10-08,99.096,99.096,99.096,99.096,0.0,974.0,2016-02-16,ED,EDG16
2015-10-09,99.1158,99.1158,99.1158,99.1158,0.0,879.0,2016-02-16,ED,EDG16
2015-10-12,99.1356,99.1356,99.1356,99.1356,0.0,1235.0,2016-02-16,ED,EDG16
2015-10-13,99.1257,99.1257,99.1257,99.1257,723.0,2129.0,2016-02-16,ED,EDG16
2015-10-14,99.1158,99.1158,99.1158,99.1158,0.0,1820.0,2016-02-16,ED,EDG16
2015-10-15,99.1158,99.1158,99.1158,99.1158,0.0,1929.0,2016-02-16,ED,EDG16
2015-10-16,99.0861,99.0861,99.0861,99.0861,1686.0,2115.0,2016-02-16,ED,EDG16
2015-10-19,99.0663,99.0663,99.0663,99.0663,0.0,2369.0,2016-02-16,ED,EDG16
2015-10-20,99.0861,99.0861,99.0861,99.0861,21.0,1798.0,2016-02-16,ED,EDG16
2015-10-21,99.0861,99.0861,99.0861,99.0861,164.0,2326.0,2016-02-16,ED,EDG16
2015-10-22,99.1059,99.1059,99.1059,99.1059,5.0,1967.0,2016-02-16,ED,EDG16
2015-10-23,99.1059,99.1059,99.1059,99.1059,0.0,2326.0,2016-02-16,ED,EDG16
2015-10-26,99.0861,99.0861,99.0861,99.0861,0.0,2115.0,2016-02-16,ED,EDG16
