,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-16,99.2327,99.2327,99.2327,99.2327,0.0,0.0,2016-04-18,ED,EDJ16
2015-10-19,99.2228,99.2228,99.2228,99.2228,0.0,0.0,2016-04-18,ED,EDJ16
2015-10-20,99.2129,99.2129,99.2129,99.2129,0.0,0.0,2016-04-18,ED,EDJ16
2015-10-21,99.2327,99.2327,99.2327,99.2327,388.0,365.0,2016-04-18,ED,EDJ16
2015-10-22,99.2426,99.2426,99.2426,99.2426,0.0,357.0,2016-04-18,ED,EDJ16
2015-10-23,99.2525,99.2525,99.2525,99.2525,0.0,338.0,2016-04-18,ED,EDJ16
2015-10-26,99.2426,99.2426,99.2426,99.2426,202.0,598.0,2016-04-18,ED,EDJ16
2015-10-27,99.2525,99.2525,99.2525,99.2525,321.0,1069.0,2016-04-18,ED,EDJ16
2015-10-28,99.2624,99.2624,99.2624,99.2624,165.0,1130.0,2016-04-18,ED,EDJ16
2015-10-29,99.2723,99.2723,99.2723,99.2723,98.0,1087.0,2016-04-18,ED,EDJ16
2015-10-30,99.2524,99.2524,99.2524,99.2524,252.0,1342.0,2016-04-18,ED,EDJ16
2015-11-02,99.2325,99.2325,99.2325,99.2325,0.0,1608.0,2016-04-18,ED,EDJ16
2015-11-03,99.2325,99.2325,99.2325,99.2325,48.0,1394.0,2016-04-18,ED,EDJ16
2015-11-04,99.2424,99.2424,99.2424,99.2424,8.0,1616.0,2016-04-18,ED,EDJ16
2015-11-05,99.2523,99.2523,99.2523,99.2523,0.0,1815.0,2016-04-18,ED,EDJ16
2015-11-06,99.2523,99.2523,99.2523,99.2523,0.0,1586.0,2016-04-18,ED,EDJ16
2015-11-09,99.2324,99.2324,99.2324,99.2324,0.0,1601.0,2016-04-18,ED,EDJ16
2015-11-10,99.2225,99.2225,99.2225,99.2225,0.0,1510.0,2016-04-18,ED,EDJ16
2015-11-11,99.2225,99.2225,99.2225,99.2225,0.0,1494.0,2016-04-18,ED,EDJ16
2015-11-12,99.2324,99.2324,99.2324,99.2324,1.0,1478.0,2016-04-18,ED,EDJ16
2015-11-13,99.2522,99.2522,99.2522,99.2522,0.0,1326.0,2016-04-18,ED,EDJ16
2015-11-16,99.2323,99.2323,99.2323,99.2323,7.0,1463.0,2016-04-18,ED,EDJ16
2015-11-17,99.2025,99.2025,99.2025,99.2025,115.0,1637.0,2016-04-18,ED,EDJ16
2015-11-18,99.2025,99.2025,99.2025,99.2025,0.0,1458.0,2016-04-18,ED,EDJ16
2015-11-19,99.2025,99.2025,99.2025,99.2025,0.0,1280.0,2016-04-18,ED,EDJ16
2015-11-20,99.1827,99.1827,99.1827,99.1827,266.0,1552.0,2016-04-18,ED,EDJ16
2015-11-23,99.1827,99.1827,99.1827,99.1827,0.0,2094.0,2016-04-18,ED,EDJ16
2015-11-24,99.1629,99.1629,99.1629,99.1629,0.0,1462.0,2016-04-18,ED,EDJ16
2015-11-25,99.153,99.153,99.153,99.153,0.0,2004.0,2016-04-18,ED,EDJ16
2015-11-27,99.1431,99.1431,99.1431,99.1431,8.0,2045.0,2016-04-18,ED,EDJ16
2015-11-30,99.1629,99.1629,99.1629,99.1629,108.0,1902.0,2016-04-18,ED,EDJ16
2015-12-01,99.1827,99.1827,99.1827,99.1827,38.0,1654.0,2016-04-18,ED,EDJ16
2015-12-02,99.2025,99.2025,99.2025,99.2025,3.0,1805.0,2016-04-18,ED,EDJ16
2015-12-03,99.1827,99.1827,99.1827,99.1827,0.0,1880.0,2016-04-18,ED,EDJ16
2015-12-04,99.1529,99.1529,99.1529,99.1529,0.0,2028.0,2016-04-18,ED,EDJ16
2015-12-07,99.1529,99.1529,99.1529,99.1529,0.0,1973.0,2016-04-18,ED,EDJ16
2015-12-08,99.1529,99.1529,99.1529,99.1529,147.0,1543.0,2016-04-18,ED,EDJ16
2015-12-09,99.1331,99.1331,99.1331,99.1331,4.0,1598.0,2016-04-18,ED,EDJ16
2015-12-10,99.1331,99.1331,99.1331,99.1331,0.0,1959.0,2016-04-18,ED,EDJ16
2015-12-11,99.1331,99.1331,99.1331,99.1331,1.0,1994.0,2016-04-18,ED,EDJ16
2015-12-14,99.1133,99.1133,99.1133,99.1133,5.0,1722.0,2016-04-18,ED,EDJ16
2015-12-15,99.1331,99.1331,99.1331,99.1331,146.0,1557.0,2016-04-18,ED,EDJ16
