,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-11,99.1313,99.1313,99.1313,99.1313,0.0,0.0,2017-05-15,ED,EDK17
2016-11-14,99.1214,99.1214,99.1214,99.1214,0.0,0.0,2017-05-15,ED,EDK17
2016-11-15,99.1016,99.1016,99.1016,99.1016,0.0,0.0,2017-05-15,ED,EDK17
2016-11-16,99.0917,99.0917,99.0917,99.0917,0.0,0.0,2017-05-15,ED,EDK17
2016-11-17,99.1016,99.1016,99.1016,99.1016,0.0,0.0,2017-05-15,ED,EDK17
2016-11-18,99.1115,99.1115,99.1115,99.1115,0.0,0.0,2017-05-15,ED,EDK17
2016-11-21,99.1115,99.1115,99.1115,99.1115,0.0,0.0,2017-05-15,ED,EDK17
2016-11-22,99.1115,99.1115,99.1115,99.1115,0.0,0.0,2017-05-15,ED,EDK17
2016-11-23,99.1214,99.1214,99.1214,99.1214,0.0,0.0,2017-05-15,ED,EDK17
2016-11-25,99.1016,99.1016,99.1016,99.1016,0.0,0.0,2017-05-15,ED,EDK17
2016-11-28,99.1016,99.1016,99.1016,99.1016,86.0,73.0,2017-05-15,ED,EDK17
2016-11-29,99.1016,99.1016,99.1016,99.1016,0.0,74.0,2017-05-15,ED,EDK17
2016-11-30,99.0818,99.0818,99.0818,99.0818,0.0,88.0,2017-05-15,ED,EDK17
2016-12-01,99.0719,99.0719,99.0719,99.0719,0.0,83.0,2017-05-15,ED,EDK17
2016-12-02,99.0521,99.0521,99.0521,99.0521,0.0,89.0,2017-05-15,ED,EDK17
2016-12-05,99.062,99.062,99.062,99.062,0.0,86.0,2017-05-15,ED,EDK17
2016-12-06,99.0719,99.0719,99.0719,99.0719,0.0,69.0,2017-05-15,ED,EDK17
2016-12-07,99.062,99.062,99.062,99.062,0.0,68.0,2017-05-15,ED,EDK17
2016-12-08,99.0521,99.0521,99.0521,99.0521,0.0,63.0,2017-05-15,ED,EDK17
2016-12-09,99.0323,99.0323,99.0323,99.0323,0.0,88.0,2017-05-15,ED,EDK17
2016-12-12,99.0125,99.0125,99.0125,99.0125,0.0,71.0,2017-05-15,ED,EDK17
2016-12-13,98.9927,98.9927,98.9927,98.9927,0.0,74.0,2017-05-15,ED,EDK17
2016-12-14,98.9927,98.9927,98.9927,98.9927,0.0,80.0,2017-05-15,ED,EDK17
