,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-01-15,99.6709,99.6709,99.6709,99.6709,0.0,0.0,2016-07-18,ED,EDN16
2016-01-19,99.6809,99.6809,99.6809,99.6809,0.0,0.0,2016-07-18,ED,EDN16
2016-01-20,99.6909,99.6909,99.6909,99.6909,0.0,0.0,2016-07-18,ED,EDN16
2016-01-21,99.6809,99.6809,99.6809,99.6809,0.0,0.0,2016-07-18,ED,EDN16
2016-01-22,99.6909,99.6909,99.6909,99.6909,0.0,0.0,2016-07-18,ED,EDN16
2016-01-25,99.661,99.661,99.661,99.661,0.0,0.0,2016-07-18,ED,EDN16
2016-01-26,99.6411,99.6411,99.6411,99.6411,0.0,0.0,2016-07-18,ED,EDN16
2016-01-27,99.6112,99.6112,99.6112,99.6112,0.0,0.0,2016-07-18,ED,EDN16
2016-01-28,99.5813,99.5813,99.5813,99.5813,0.0,0.0,2016-07-18,ED,EDN16
2016-01-29,99.6012,99.6012,99.6012,99.6012,0.0,0.0,2016-07-18,ED,EDN16
2016-02-01,99.5713,99.5713,99.5713,99.5713,0.0,0.0,2016-07-18,ED,EDN16
2016-02-02,99.5912,99.5912,99.5912,99.5912,0.0,0.0,2016-07-18,ED,EDN16
2016-02-03,99.5812,99.5812,99.5812,99.5812,15.0,3.0,2016-07-18,ED,EDN16
2016-02-04,99.5812,99.5812,99.5812,99.5812,0.0,3.0,2016-07-18,ED,EDN16
2016-02-05,99.5513,99.5513,99.5513,99.5513,0.0,3.0,2016-07-18,ED,EDN16
2016-02-08,99.5613,99.5613,99.5613,99.5613,259.0,243.0,2016-07-18,ED,EDN16
2016-02-09,99.5513,99.5513,99.5513,99.5513,0.0,281.0,2016-07-18,ED,EDN16
2016-02-10,99.5214,99.5214,99.5214,99.5214,0.0,299.0,2016-07-18,ED,EDN16
2016-02-11,99.5214,99.5214,99.5214,99.5214,78.0,295.0,2016-07-18,ED,EDN16
2016-02-12,99.5214,99.5214,99.5214,99.5214,85.0,224.0,2016-07-18,ED,EDN16
2016-02-16,99.5114,99.5114,99.5114,99.5114,0.0,204.0,2016-07-18,ED,EDN16
2016-02-17,99.5313,99.5313,99.5313,99.5313,2.0,297.0,2016-07-18,ED,EDN16
2016-02-18,99.5512,99.5512,99.5512,99.5512,0.0,257.0,2016-07-18,ED,EDN16
2016-02-19,99.5412,99.5412,99.5412,99.5412,0.0,292.0,2016-07-18,ED,EDN16
2016-02-22,99.5611,99.5611,99.5611,99.5611,1.0,237.0,2016-07-18,ED,EDN16
2016-02-23,99.581,99.581,99.581,99.581,0.0,222.0,2016-07-18,ED,EDN16
2016-02-24,99.581,99.581,99.581,99.581,0.0,224.0,2016-07-18,ED,EDN16
2016-02-25,99.571,99.571,99.571,99.571,0.0,219.0,2016-07-18,ED,EDN16
2016-02-26,99.5909,99.5909,99.5909,99.5909,50.0,341.0,2016-07-18,ED,EDN16
2016-02-29,99.5909,99.5909,99.5909,99.5909,0.0,332.0,2016-07-18,ED,EDN16
2016-03-01,99.6009,99.6009,99.6009,99.6009,0.0,332.0,2016-07-18,ED,EDN16
2016-03-02,99.581,99.581,99.581,99.581,0.0,269.0,2016-07-18,ED,EDN16
2016-03-03,99.5611,99.5611,99.5611,99.5611,2817.0,2584.0,2016-07-18,ED,EDN16
2016-03-04,99.5412,99.5412,99.5412,99.5412,24.0,2360.0,2016-07-18,ED,EDN16
2016-03-07,99.5611,99.5611,99.5611,99.5611,1.0,2331.0,2016-07-18,ED,EDN16
2016-03-08,99.5511,99.5511,99.5511,99.5511,700.0,3826.0,2016-07-18,ED,EDN16
2016-03-09,99.5411,99.5411,99.5411,99.5411,5.0,3530.0,2016-07-18,ED,EDN16
2016-03-10,99.5411,99.5411,99.5411,99.5411,762.0,3730.0,2016-07-18,ED,EDN16
2016-03-11,99.561,99.561,99.561,99.561,526.0,4367.0,2016-07-18,ED,EDN16
2016-03-14,99.571,99.571,99.571,99.571,0.0,5003.0,2016-07-18,ED,EDN16
2016-03-15,99.561,99.561,99.561,99.561,1053.0,4832.0,2016-07-18,ED,EDN16
2016-03-16,99.551,99.551,99.551,99.551,285.0,4614.0,2016-07-18,ED,EDN16
2016-03-17,99.541,99.541,99.541,99.541,2717.0,9831.0,2016-07-18,ED,EDN16
2016-03-18,99.541,99.541,99.541,99.541,88.0,8295.0,2016-07-18,ED,EDN16
2016-03-21,99.541,99.541,99.541,99.541,96.0,9614.0,2016-07-18,ED,EDN16
2016-03-22,99.541,99.541,99.541,99.541,4.0,7430.0,2016-07-18,ED,EDN16
2016-03-23,99.531,99.531,99.531,99.531,63.0,9496.0,2016-07-18,ED,EDN16
2016-03-24,99.541,99.541,99.541,99.541,2.0,7123.0,2016-07-18,ED,EDN16
2016-03-28,99.5609,99.5609,99.5609,99.5609,8.0,8716.0,2016-07-18,ED,EDN16
2016-03-29,99.541,99.541,99.541,99.541,708.0,11241.0,2016-07-18,ED,EDN16
2016-03-30,99.531,99.531,99.531,99.531,193.0,10089.0,2016-07-18,ED,EDN16
2016-03-31,99.521,99.521,99.521,99.521,9.0,8072.0,2016-07-18,ED,EDN16
2016-04-01,99.5011,99.5011,99.5011,99.5011,175.0,9553.0,2016-07-18,ED,EDN16
2016-04-04,99.4712,99.4712,99.4712,99.4712,138.0,8643.0,2016-07-18,ED,EDN16
2016-04-05,99.4712,99.4712,99.4712,99.4712,339.0,9140.0,2016-07-18,ED,EDN16
2016-04-06,99.4811,99.4811,99.4811,99.4811,950.0,8938.0,2016-07-18,ED,EDN16
2016-04-07,99.4811,99.4811,99.4811,99.4811,49.0,11683.0,2016-07-18,ED,EDN16
2016-04-08,99.501,99.501,99.501,99.501,186.0,9073.0,2016-07-18,ED,EDN16
2016-04-11,99.4811,99.4811,99.4811,99.4811,1036.0,12522.0,2016-07-18,ED,EDN16
2016-04-12,99.4811,99.4811,99.4811,99.4811,9.0,12516.0,2016-07-18,ED,EDN16
2016-04-13,99.4612,99.4612,99.4612,99.4612,167.0,9592.0,2016-07-18,ED,EDN16
2016-04-14,99.4413,99.4413,99.4413,99.4413,677.0,9595.0,2016-07-18,ED,EDN16
