,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-02-13,99.1242,99.1242,99.1242,99.1242,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-17,99.144,99.144,99.144,99.144,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-18,99.144,99.144,99.144,99.144,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-19,99.1539,99.1539,99.1539,99.1539,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-20,99.1539,99.1539,99.1539,99.1539,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-23,99.1539,99.1539,99.1539,99.1539,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-24,99.1539,99.1539,99.1539,99.1539,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-25,99.1737,99.1737,99.1737,99.1737,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-26,99.1836,99.1836,99.1836,99.1836,0.0,0.0,2015-08-17,ED,EDQ15
2015-02-27,99.1737,99.1737,99.1737,99.1737,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-02,99.1439,99.1439,99.1439,99.1439,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-03,99.1637,99.1637,99.1637,99.1637,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-04,99.134,99.134,99.134,99.134,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-05,99.1043,99.1043,99.1043,99.1043,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-06,99.1241,99.1241,99.1241,99.1241,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-09,99.134,99.134,99.134,99.134,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-10,99.1241,99.1241,99.1241,99.1241,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-11,99.134,99.134,99.134,99.134,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-12,99.1439,99.1439,99.1439,99.1439,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-13,99.134,99.134,99.134,99.134,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-16,99.134,99.134,99.134,99.134,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-17,99.1538,99.1538,99.1538,99.1538,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-18,99.1736,99.1736,99.1736,99.1736,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-19,99.1438,99.1438,99.1438,99.1438,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-20,99.1438,99.1438,99.1438,99.1438,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-23,99.1537,99.1537,99.1537,99.1537,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-24,99.1339,99.1339,99.1339,99.1339,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-25,99.1438,99.1438,99.1438,99.1438,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-26,99.1438,99.1438,99.1438,99.1438,0.0,0.0,2015-08-17,ED,EDQ15
2015-03-27,99.124,99.124,99.124,99.124,106.0,110.0,2015-08-17,ED,EDQ15
2015-03-30,99.124,99.124,99.124,99.124,923.0,882.0,2015-08-17,ED,EDQ15
2015-03-31,99.1141,99.1141,99.1141,99.1141,288.0,1315.0,2015-08-17,ED,EDQ15
2015-04-01,99.0943,99.0943,99.0943,99.0943,410.0,1625.0,2015-08-17,ED,EDQ15
2015-04-02,99.0844,99.0844,99.0844,99.0844,575.0,1238.0,2015-08-17,ED,EDQ15
2015-04-03,99.0547,99.0547,99.0547,99.0547,217.0,1730.0,2015-08-17,ED,EDQ15
2015-04-06,99.0349,99.0349,99.0349,99.0349,1130.0,2142.0,2015-08-17,ED,EDQ15
2015-04-07,99.0448,99.0448,99.0448,99.0448,1143.0,3054.0,2015-08-17,ED,EDQ15
2015-04-08,99.0646,99.0646,99.0646,99.0646,1.0,3909.0,2015-08-17,ED,EDQ15
2015-04-09,99.0745,99.0745,99.0745,99.0745,24.0,3273.0,2015-08-17,ED,EDQ15
2015-04-10,99.0448,99.0448,99.0448,99.0448,238.0,3401.0,2015-08-17,ED,EDQ15
2015-04-13,99.0547,99.0547,99.0547,99.0547,0.0,3892.0,2015-08-17,ED,EDQ15
