,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-09-14,96.3127,96.3127,96.3127,96.3127,0.0,0.0,2018-09-26,ED,EDU28
2018-09-17,96.3512,96.3512,96.3512,96.3512,0.0,0.0,2018-09-26,ED,EDU28
2018-09-18,96.3801,96.3801,96.3801,96.3801,0.0,0.0,2018-09-26,ED,EDU28
2018-09-19,96.4379,96.4379,96.4379,96.4379,0.0,0.0,2018-09-26,ED,EDU28
2018-09-20,96.3897,96.3897,96.3897,96.3897,0.0,0.0,2018-09-26,ED,EDU28
2018-09-21,96.3993,96.3993,96.3993,96.3993,0.0,0.0,2018-09-26,ED,EDU28
2018-09-24,96.3607,96.3607,96.3607,96.3607,0.0,0.0,2018-09-26,ED,EDU28
2018-09-25,96.2932,96.2932,96.2932,96.2932,0.0,0.0,2018-09-26,ED,EDU28
2018-09-26,96.2739,96.2739,96.2739,96.2739,0.0,0.0,2018-09-26,ED,EDU28
2018-09-27,96.3124,96.3124,96.3124,96.3124,0.0,0.0,2018-09-26,ED,EDU28
2018-09-28,96.3606,96.3606,96.3606,96.3606,0.0,0.0,2018-09-26,ED,EDU28
2018-10-01,96.4184,96.4184,96.4184,96.4184,0.0,0.0,2018-09-26,ED,EDU28
2018-10-02,96.3798,96.3798,96.3798,96.3798,0.0,0.0,2018-09-26,ED,EDU28
2018-10-03,96.4184,96.4184,96.4184,96.4184,0.0,0.0,2018-09-26,ED,EDU28
2018-10-04,96.3895,96.3895,96.3895,96.3895,0.0,0.0,2018-09-26,ED,EDU28
2018-10-05,96.3317,96.3317,96.3317,96.3317,0.0,0.0,2018-09-26,ED,EDU28
2018-10-08,96.3221,96.3221,96.3221,96.3221,0.0,0.0,2018-09-26,ED,EDU28
2018-10-09,96.2932,96.2932,96.2932,96.2932,0.0,0.0,2018-09-26,ED,EDU28
2018-10-10,96.3221,96.3221,96.3221,96.3221,0.0,0.0,2018-09-26,ED,EDU28
2018-10-11,96.2547,96.2547,96.2547,96.2547,0.0,0.0,2018-09-26,ED,EDU28
2018-10-12,96.2643,96.2643,96.2643,96.2643,0.0,0.0,2018-09-26,ED,EDU28
2018-10-15,96.2162,96.2162,96.2162,96.2162,0.0,0.0,2018-09-26,ED,EDU28
2018-10-16,96.1777,96.1777,96.1777,96.1777,0.0,0.0,2018-09-26,ED,EDU28
2018-10-17,96.1873,96.1873,96.1873,96.1873,0.0,0.0,2018-09-26,ED,EDU28
2018-10-18,96.1392,96.1392,96.1392,96.1392,0.0,0.0,2018-09-26,ED,EDU28
2018-10-19,96.1104,96.1104,96.1104,96.1104,0.0,0.0,2018-09-26,ED,EDU28
2018-10-22,96.1392,96.1392,96.1392,96.1392,0.0,0.0,2018-09-26,ED,EDU28
2018-10-23,96.0815,96.0815,96.0815,96.0815,0.0,0.0,2018-09-26,ED,EDU28
2018-10-24,96.0142,96.0142,96.0142,96.0142,0.0,0.0,2018-09-26,ED,EDU28
2018-10-25,95.9566,95.9566,95.9566,95.9566,0.0,0.0,2018-09-26,ED,EDU28
2018-10-26,95.9374,95.9374,95.9374,95.9374,0.0,0.0,2018-09-26,ED,EDU28
2018-10-29,95.9278,95.9278,95.9278,95.9278,0.0,0.0,2018-09-26,ED,EDU28
2018-10-30,95.9662,95.9662,95.9662,95.9662,0.0,0.0,2018-09-26,ED,EDU28
2018-10-31,95.9566,95.9566,95.9566,95.9566,0.0,0.0,2018-09-26,ED,EDU28
2018-11-01,95.9374,95.9374,95.9374,95.9374,0.0,0.0,2018-09-26,ED,EDU28
2018-11-02,95.9566,95.9566,95.9566,95.9566,0.0,0.0,2018-09-26,ED,EDU28
2018-11-05,95.9758,95.9758,95.9758,95.9758,0.0,0.0,2018-09-26,ED,EDU28
2018-11-06,95.9662,95.9662,95.9662,95.9662,0.0,0.0,2018-09-26,ED,EDU28
2018-11-07,95.899,95.899,95.899,95.899,0.0,0.0,2018-09-26,ED,EDU28
2018-11-08,95.9565,95.9565,95.9565,95.9565,0.0,0.0,2018-09-26,ED,EDU28
2018-11-09,95.9949,95.9949,95.9949,95.9949,0.0,0.0,2018-09-26,ED,EDU28
2018-11-12,95.9373,95.9373,95.9373,95.9373,0.0,0.0,2018-09-26,ED,EDU28
2018-11-13,95.9757,95.9757,95.9757,95.9757,0.0,0.0,2018-09-26,ED,EDU28
2018-11-14,96.0045,96.0045,96.0045,96.0045,0.0,0.0,2018-09-26,ED,EDU28
2018-11-15,96.0429,96.0429,96.0429,96.0429,0.0,0.0,2018-09-26,ED,EDU28
2018-11-16,95.9853,95.9853,95.9853,95.9853,0.0,0.0,2018-09-26,ED,EDU28
2018-11-19,96.0045,96.0045,96.0045,96.0045,0.0,0.0,2018-09-26,ED,EDU28
2018-11-20,96.0429,96.0429,96.0429,96.0429,0.0,0.0,2018-09-26,ED,EDU28
2018-11-21,96.0237,96.0237,96.0237,96.0237,0.0,0.0,2018-09-26,ED,EDU28
2018-11-23,96.0045,96.0045,96.0045,96.0045,0.0,0.0,2018-09-26,ED,EDU28
2018-11-26,96.0429,96.0429,96.0429,96.0429,0.0,0.0,2018-09-26,ED,EDU28
2018-11-27,95.9949,95.9949,95.9949,95.9949,0.0,0.0,2018-09-26,ED,EDU28
2018-11-28,96.0525,96.0525,96.0525,96.0525,0.0,0.0,2018-09-26,ED,EDU28
2018-11-29,96.1101,96.1101,96.1101,96.1101,0.0,0.0,2018-09-26,ED,EDU28
2018-11-30,96.1678,96.1678,96.1678,96.1678,0.0,0.0,2018-09-26,ED,EDU28
2018-12-03,96.1486,96.1486,96.1486,96.1486,0.0,0.0,2018-09-26,ED,EDU28
2018-12-04,96.1871,96.1871,96.1871,96.1871,0.0,0.0,2018-09-26,ED,EDU28
2018-12-06,96.2256,96.2256,96.2256,96.2256,0.0,0.0,2018-09-26,ED,EDU28
2018-12-07,96.2064,96.2064,96.2064,96.2064,0.0,0.0,2018-09-26,ED,EDU28
2018-12-10,96.2256,96.2256,96.2256,96.2256,0.0,0.0,2018-09-26,ED,EDU28
2018-12-11,96.2737,96.2737,96.2737,96.2737,0.0,0.0,2018-09-26,ED,EDU28
2018-12-12,96.2544,96.2544,96.2544,96.2544,0.0,0.0,2018-09-26,ED,EDU28
2018-12-13,96.2544,96.2544,96.2544,96.2544,0.0,0.0,2018-09-26,ED,EDU28
2018-12-14,96.187,96.187,96.187,96.187,0.0,0.0,2018-09-26,ED,EDU28
2018-12-17,96.1678,96.1678,96.1678,96.1678,0.0,0.0,2018-09-26,ED,EDU28
2018-12-18,96.1005,96.1005,96.1005,96.1005,0.0,0.0,2018-09-26,ED,EDU28
2018-12-19,96.0332,96.0332,96.0332,96.0332,0.0,0.0,2018-09-26,ED,EDU28
2018-12-20,95.9756,95.9756,95.9756,95.9756,0.0,0.0,2018-09-26,ED,EDU28
2018-12-21,96.0236,96.0236,96.0236,96.0236,0.0,0.0,2018-09-26,ED,EDU28
2018-12-24,95.966,95.966,95.966,95.966,0.0,0.0,2018-09-26,ED,EDU28
2018-12-26,96.0044,96.0044,96.0044,96.0044,0.0,0.0,2018-09-26,ED,EDU28
2018-12-27,95.9948,95.9948,95.9948,95.9948,0.0,0.0,2018-09-26,ED,EDU28
2018-12-28,95.9564,95.9564,95.9564,95.9564,0.0,0.0,2018-09-26,ED,EDU28
2018-12-31,95.918,95.918,95.918,95.918,0.0,0.0,2018-09-26,ED,EDU28
2019-01-02,95.8509,95.8509,95.8509,95.8509,0.0,0.0,2018-09-26,ED,EDU28
2019-01-03,95.8317,95.8317,95.8317,95.8317,0.0,0.0,2018-09-26,ED,EDU28
2019-01-04,95.8221,95.8221,95.8221,95.8221,0.0,0.0,2018-09-26,ED,EDU28
2019-01-07,95.8796,95.8796,95.8796,95.8796,0.0,0.0,2018-09-26,ED,EDU28
2019-01-08,95.8796,95.8796,95.8796,95.8796,0.0,0.0,2018-09-26,ED,EDU28
2019-01-09,95.918,95.918,95.918,95.918,0.0,0.0,2018-09-26,ED,EDU28
2019-01-10,95.8796,95.8796,95.8796,95.8796,0.0,0.0,2018-09-26,ED,EDU28
2019-01-11,95.8412,95.8412,95.8412,95.8412,0.0,0.0,2018-09-26,ED,EDU28
2019-01-14,95.8124,95.8124,95.8124,95.8124,0.0,0.0,2018-09-26,ED,EDU28
2019-01-15,95.7741,95.7741,95.7741,95.7741,0.0,0.0,2018-09-26,ED,EDU28
2019-01-16,95.7741,95.7741,95.7741,95.7741,0.0,0.0,2018-09-26,ED,EDU28
2019-01-17,95.7549,95.7549,95.7549,95.7549,0.0,0.0,2018-09-26,ED,EDU28
2019-01-18,95.6974,95.6974,95.6974,95.6974,0.0,0.0,2018-09-26,ED,EDU28
2019-01-22,95.7165,95.7165,95.7165,95.7165,0.0,0.0,2018-09-26,ED,EDU28
2019-01-23,95.7261,95.7261,95.7261,95.7261,0.0,0.0,2018-09-26,ED,EDU28
2019-01-24,95.6687,95.6687,95.6687,95.6687,0.0,0.0,2018-09-26,ED,EDU28
2019-01-25,95.6304,95.6304,95.6304,95.6304,0.0,0.0,2018-09-26,ED,EDU28
2019-01-28,95.6208,95.6208,95.6208,95.6208,0.0,0.0,2018-09-26,ED,EDU28
2019-01-29,95.6782,95.6782,95.6782,95.6782,0.0,0.0,2018-09-26,ED,EDU28
2019-01-30,95.6399,95.6399,95.6399,95.6399,0.0,0.0,2018-09-26,ED,EDU28
2019-01-31,95.5825,95.5825,95.5825,95.5825,0.0,0.0,2018-09-26,ED,EDU28
2019-02-01,95.5825,95.5825,95.5825,95.5825,0.0,0.0,2018-09-26,ED,EDU28
2019-02-04,95.5252,95.5252,95.5252,95.5252,0.0,0.0,2018-09-26,ED,EDU28
2019-02-05,95.4965,95.4965,95.4965,95.4965,0.0,0.0,2018-09-26,ED,EDU28
2019-02-06,95.4297,95.4297,95.4297,95.4297,0.0,0.0,2018-09-26,ED,EDU28
2019-02-07,95.4774,95.4774,95.4774,95.4774,0.0,0.0,2018-09-26,ED,EDU28
2019-02-08,95.4106,95.4106,95.4106,95.4106,0.0,0.0,2018-09-26,ED,EDU28
2019-02-11,95.3915,95.3915,95.3915,95.3915,0.0,0.0,2018-09-26,ED,EDU28
2019-02-12,95.4106,95.4106,95.4106,95.4106,0.0,0.0,2018-09-26,ED,EDU28
2019-02-13,95.4201,95.4201,95.4201,95.4201,0.0,0.0,2018-09-26,ED,EDU28
2019-02-14,95.4106,95.4106,95.4106,95.4106,0.0,0.0,2018-09-26,ED,EDU28
2019-02-15,95.4392,95.4392,95.4392,95.4392,0.0,0.0,2018-09-26,ED,EDU28
2019-02-19,95.4869,95.4869,95.4869,95.4869,0.0,0.0,2018-09-26,ED,EDU28
2019-02-20,95.4201,95.4201,95.4201,95.4201,0.0,0.0,2018-09-26,ED,EDU28
2019-02-21,95.4774,95.4774,95.4774,95.4774,0.0,0.0,2018-09-26,ED,EDU28
2019-02-22,95.4583,95.4583,95.4583,95.4583,0.0,0.0,2018-09-26,ED,EDU28
2019-02-25,95.401,95.401,95.401,95.401,0.0,0.0,2018-09-26,ED,EDU28
2019-02-26,95.4296,95.4296,95.4296,95.4296,0.0,0.0,2018-09-26,ED,EDU28
2019-02-27,95.4773,95.4773,95.4773,95.4773,0.0,0.0,2018-09-26,ED,EDU28
