,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-04-13,97.2101,97.2101,97.2101,97.2101,0.0,0.0,2018-10-15,ED,EDV18
2018-04-16,97.2101,97.2101,97.2101,97.2101,0.0,0.0,2018-10-15,ED,EDV18
2018-04-17,97.2101,97.2101,97.2101,97.2101,0.0,0.0,2018-10-15,ED,EDV18
2018-04-18,97.1907,97.1907,97.1907,97.1907,0.0,0.0,2018-10-15,ED,EDV18
2018-04-19,97.2004,97.2004,97.2004,97.2004,0.0,0.0,2018-10-15,ED,EDV18
2018-04-20,97.2101,97.2101,97.2101,97.2101,0.0,0.0,2018-10-15,ED,EDV18
2018-04-23,97.2101,97.2101,97.2101,97.2101,0.0,0.0,2018-10-15,ED,EDV18
2018-04-24,97.2004,97.2004,97.2004,97.2004,0.0,0.0,2018-10-15,ED,EDV18
2018-04-25,97.181,97.181,97.181,97.181,0.0,0.0,2018-10-15,ED,EDV18
2018-04-26,97.1713,97.1713,97.1713,97.1713,0.0,0.0,2018-10-15,ED,EDV18
2018-04-27,97.1616,97.1616,97.1616,97.1616,0.0,0.0,2018-10-15,ED,EDV18
2018-04-30,97.1616,97.1616,97.1616,97.1616,0.0,0.0,2018-10-15,ED,EDV18
2018-05-01,97.1519,97.1519,97.1519,97.1519,0.0,0.0,2018-10-15,ED,EDV18
2018-05-02,97.1616,97.1616,97.1616,97.1616,0.0,0.0,2018-10-15,ED,EDV18
2018-05-03,97.1616,97.1616,97.1616,97.1616,0.0,0.0,2018-10-15,ED,EDV18
2018-05-04,97.1616,97.1616,97.1616,97.1616,0.0,0.0,2018-10-15,ED,EDV18
2018-05-07,97.1519,97.1519,97.1519,97.1519,0.0,0.0,2018-10-15,ED,EDV18
2018-05-08,97.1422,97.1422,97.1422,97.1422,0.0,0.0,2018-10-15,ED,EDV18
2018-05-09,97.1325,97.1325,97.1325,97.1325,0.0,0.0,2018-10-15,ED,EDV18
2018-05-10,97.1325,97.1325,97.1325,97.1325,0.0,0.0,2018-10-15,ED,EDV18
2018-05-11,97.1228,97.1228,97.1228,97.1228,0.0,0.0,2018-10-15,ED,EDV18
2018-05-14,97.1034,97.1034,97.1034,97.1034,0.0,0.0,2018-10-15,ED,EDV18
2018-05-15,97.1131,97.1131,97.1131,97.1131,0.0,0.0,2018-10-15,ED,EDV18
2018-05-16,97.1131,97.1131,97.1131,97.1131,0.0,0.0,2018-10-15,ED,EDV18
2018-05-17,97.1034,97.1034,97.1034,97.1034,0.0,0.0,2018-10-15,ED,EDV18
2018-05-18,97.0937,97.0937,97.0937,97.0937,0.0,0.0,2018-10-15,ED,EDV18
2018-05-21,97.0937,97.0937,97.0937,97.0937,0.0,0.0,2018-10-15,ED,EDV18
2018-05-22,97.0743,97.0743,97.0743,97.0743,0.0,0.0,2018-10-15,ED,EDV18
2018-05-23,97.084,97.084,97.084,97.084,0.0,0.0,2018-10-15,ED,EDV18
2018-05-24,97.084,97.084,97.084,97.084,0.0,0.0,2018-10-15,ED,EDV18
2018-05-25,97.0743,97.0743,97.0743,97.0743,0.0,0.0,2018-10-15,ED,EDV18
2018-05-29,97.084,97.084,97.084,97.084,0.0,0.0,2018-10-15,ED,EDV18
