,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-05-11,97.3155,97.3155,97.3155,97.3155,0.0,0.0,2018-11-19,ED,EDX18
2018-05-14,97.296,97.296,97.296,97.296,0.0,0.0,2018-11-19,ED,EDX18
2018-05-15,97.2863,97.2863,97.2863,97.2863,0.0,0.0,2018-11-19,ED,EDX18
2018-05-16,97.2668,97.2668,97.2668,97.2668,0.0,0.0,2018-11-19,ED,EDX18
2018-05-17,97.2473,97.2473,97.2473,97.2473,0.0,0.0,2018-11-19,ED,EDX18
2018-05-18,97.2473,97.2473,97.2473,97.2473,0.0,0.0,2018-11-19,ED,EDX18
2018-05-21,97.257,97.257,97.257,97.257,0.0,0.0,2018-11-19,ED,EDX18
2018-05-22,97.2473,97.2473,97.2473,97.2473,0.0,0.0,2018-11-19,ED,EDX18
2018-05-23,97.2376,97.2376,97.2376,97.2376,0.0,0.0,2018-11-19,ED,EDX18
2018-05-24,97.2473,97.2473,97.2473,97.2473,0.0,0.0,2018-11-19,ED,EDX18
2018-05-25,97.2376,97.2376,97.2376,97.2376,0.0,0.0,2018-11-19,ED,EDX18
2018-05-29,97.2279,97.2279,97.2279,97.2279,0.0,0.0,2018-11-19,ED,EDX18
2018-05-30,97.2279,97.2279,97.2279,97.2279,0.0,0.0,2018-11-19,ED,EDX18
2018-05-31,97.2182,97.2182,97.2182,97.2182,0.0,0.0,2018-11-19,ED,EDX18
2018-06-01,97.2182,97.2182,97.2182,97.2182,0.0,0.0,2018-11-19,ED,EDX18
2018-06-04,97.2279,97.2279,97.2279,97.2279,0.0,0.0,2018-11-19,ED,EDX18
2018-06-05,97.2182,97.2182,97.2182,97.2182,0.0,0.0,2018-11-19,ED,EDX18
2018-06-06,97.2182,97.2182,97.2182,97.2182,0.0,0.0,2018-11-19,ED,EDX18
2018-06-07,97.2279,97.2279,97.2279,97.2279,0.0,0.0,2018-11-19,ED,EDX18
2018-06-08,97.2182,97.2182,97.2182,97.2182,0.0,0.0,2018-11-19,ED,EDX18
2018-06-11,97.2085,97.2085,97.2085,97.2085,0.0,0.0,2018-11-19,ED,EDX18
2018-06-12,97.1891,97.1891,97.1891,97.1891,0.0,0.0,2018-11-19,ED,EDX18
2018-06-13,97.1988,97.1988,97.1988,97.1988,0.0,0.0,2018-11-19,ED,EDX18
2018-06-14,97.1988,97.1988,97.1988,97.1988,0.0,0.0,2018-11-19,ED,EDX18
2018-06-15,97.1891,97.1891,97.1891,97.1891,0.0,0.0,2018-11-19,ED,EDX18
2018-06-18,97.1794,97.1794,97.1794,97.1794,0.0,0.0,2018-11-19,ED,EDX18
2018-06-19,97.1794,97.1794,97.1794,97.1794,0.0,0.0,2018-11-19,ED,EDX18
2018-06-20,97.1794,97.1794,97.1794,97.1794,0.0,0.0,2018-11-19,ED,EDX18
2018-06-21,97.16,97.16,97.16,97.16,0.0,0.0,2018-11-19,ED,EDX18
2018-06-22,97.1697,97.1697,97.1697,97.1697,0.0,0.0,2018-11-19,ED,EDX18
2018-06-25,97.1794,97.1794,97.1794,97.1794,0.0,0.0,2018-11-19,ED,EDX18
2018-06-26,97.16,97.16,97.16,97.16,0.0,0.0,2018-11-19,ED,EDX18
2018-06-27,97.1697,97.1697,97.1697,97.1697,0.0,0.0,2018-11-19,ED,EDX18
2018-06-28,97.16,97.16,97.16,97.16,0.0,0.0,2018-11-19,ED,EDX18
2018-06-29,97.1697,97.1697,97.1697,97.1697,0.0,0.0,2018-11-19,ED,EDX18
2018-07-02,97.1697,97.1697,97.1697,97.1697,0.0,0.0,2018-11-19,ED,EDX18
2018-07-03,97.16,97.16,97.16,97.16,0.0,0.0,2018-11-19,ED,EDX18
2018-07-05,97.1406,97.1406,97.1406,97.1406,0.0,0.0,2018-11-19,ED,EDX18
2018-07-06,97.1503,97.1503,97.1503,97.1503,0.0,0.0,2018-11-19,ED,EDX18
2018-07-09,97.1406,97.1406,97.1406,97.1406,0.0,0.0,2018-11-19,ED,EDX18
2018-07-10,97.1503,97.1503,97.1503,97.1503,0.0,0.0,2018-11-19,ED,EDX18
2018-07-11,97.1503,97.1503,97.1503,97.1503,0.0,0.0,2018-11-19,ED,EDX18
2018-07-12,97.1309,97.1309,97.1309,97.1309,0.0,0.0,2018-11-19,ED,EDX18
2018-07-13,97.1212,97.1212,97.1212,97.1212,0.0,0.0,2018-11-19,ED,EDX18
2018-07-16,97.1018,97.1018,97.1018,97.1018,0.0,0.0,2018-11-19,ED,EDX18
2018-07-17,97.1018,97.1018,97.1018,97.1018,495.0,573.0,2018-11-19,ED,EDX18
2018-07-18,97.1018,97.1018,97.1018,97.1018,4576.0,3252.0,2018-11-19,ED,EDX18
2018-07-19,97.1018,97.1018,97.1018,97.1018,1336.0,4843.0,2018-11-19,ED,EDX18
2018-07-20,97.1018,97.1018,97.1018,97.1018,2693.0,8332.0,2018-11-19,ED,EDX18
2018-07-23,97.0921,97.0921,97.0921,97.0921,5049.0,12262.0,2018-11-19,ED,EDX18
2018-07-24,97.0824,97.0824,97.0824,97.0824,3116.0,11817.0,2018-11-19,ED,EDX18
2018-07-25,97.0921,97.0921,97.0921,97.0921,438.0,15516.0,2018-11-19,ED,EDX18
2018-07-26,97.0824,97.0824,97.0824,97.0824,220.0,13182.0,2018-11-19,ED,EDX18
2018-07-27,97.0824,97.0824,97.0824,97.0824,415.0,16079.0,2018-11-19,ED,EDX18
2018-07-30,97.0921,97.0921,97.0921,97.0921,300.0,12233.0,2018-11-19,ED,EDX18
2018-07-31,97.1018,97.1018,97.1018,97.1018,3179.0,17018.0,2018-11-19,ED,EDX18
2018-08-01,97.1115,97.1115,97.1115,97.1115,4263.0,18311.0,2018-11-19,ED,EDX18
2018-08-02,97.0921,97.0921,97.0921,97.0921,2211.0,21509.0,2018-11-19,ED,EDX18
2018-08-03,97.0921,97.0921,97.0921,97.0921,1417.0,17676.0,2018-11-19,ED,EDX18
2018-08-06,97.0727,97.0727,97.0727,97.0727,313.0,22431.0,2018-11-19,ED,EDX18
2018-08-07,97.0533,97.0533,97.0533,97.0533,0.0,18335.0,2018-11-19,ED,EDX18
2018-08-08,97.0533,97.0533,97.0533,97.0533,4321.0,23986.0,2018-11-19,ED,EDX18
2018-08-09,97.063,97.063,97.063,97.063,13315.0,24478.0,2018-11-19,ED,EDX18
2018-08-10,97.0436,97.0436,97.0436,97.0436,11143.0,26651.0,2018-11-19,ED,EDX18
2018-08-13,97.0242,97.0242,97.0242,97.0242,3520.0,23786.0,2018-11-19,ED,EDX18
2018-08-14,97.0048,97.0048,97.0048,97.0048,22028.0,33416.0,2018-11-19,ED,EDX18
2018-08-15,96.9854,96.9854,96.9854,96.9854,25752.0,44132.0,2018-11-19,ED,EDX18
2018-08-16,96.9757,96.9757,96.9757,96.9757,26559.0,50210.0,2018-11-19,ED,EDX18
2018-08-17,96.966,96.966,96.966,96.966,8711.0,67311.0,2018-11-19,ED,EDX18
2018-08-20,96.966,96.966,96.966,96.966,13685.0,72551.0,2018-11-19,ED,EDX18
2018-08-21,96.9563,96.9563,96.9563,96.9563,17534.0,93697.0,2018-11-19,ED,EDX18
2018-08-22,96.966,96.966,96.966,96.966,14811.0,106028.0,2018-11-19,ED,EDX18
2018-08-23,96.966,96.966,96.966,96.966,10360.0,80603.0,2018-11-19,ED,EDX18
2018-08-24,96.966,96.966,96.966,96.966,11626.0,112616.0,2018-11-19,ED,EDX18
2018-08-27,96.9757,96.9757,96.9757,96.9757,7897.0,99062.0,2018-11-19,ED,EDX18
2018-08-28,96.966,96.966,96.966,96.966,7649.0,85732.0,2018-11-19,ED,EDX18
2018-08-29,96.966,96.966,96.966,96.966,11890.0,119284.0,2018-11-19,ED,EDX18
2018-08-30,96.9466,96.9466,96.9466,96.9466,16096.0,101456.0,2018-11-19,ED,EDX18
2018-08-31,96.9466,96.9466,96.9466,96.9466,7400.0,124937.0,2018-11-19,ED,EDX18
2018-09-04,96.9369,96.9369,96.9369,96.9369,12722.0,139329.0,2018-11-19,ED,EDX18
2018-09-05,96.9369,96.9369,96.9369,96.9369,14390.0,149220.0,2018-11-19,ED,EDX18
2018-09-06,96.9272,96.9272,96.9272,96.9272,20506.0,128266.0,2018-11-19,ED,EDX18
2018-09-07,96.9272,96.9272,96.9272,96.9272,14739.0,133570.0,2018-11-19,ED,EDX18
2018-09-10,96.9175,96.9175,96.9175,96.9175,12230.0,155979.0,2018-11-19,ED,EDX18
2018-09-11,96.8981,96.8981,96.8981,96.8981,12642.0,137240.0,2018-11-19,ED,EDX18
2018-09-12,96.8981,96.8981,96.8981,96.8981,11915.0,161130.0,2018-11-19,ED,EDX18
2018-09-13,96.8787,96.8787,96.8787,96.8787,14442.0,133815.0,2018-11-19,ED,EDX18
2018-09-14,96.8884,96.8884,96.8884,96.8884,13085.0,186697.0,2018-11-19,ED,EDX18
2018-09-17,96.869,96.869,96.869,96.869,24660.0,187396.0,2018-11-19,ED,EDX18
2018-09-18,96.869,96.869,96.869,96.869,23819.0,187254.0,2018-11-19,ED,EDX18
2018-09-19,96.8593,96.8593,96.8593,96.8593,30158.0,183001.0,2018-11-19,ED,EDX18
2018-09-20,96.8593,96.8593,96.8593,96.8593,39218.0,196313.0,2018-11-19,ED,EDX18
2018-09-21,96.869,96.869,96.869,96.869,39288.0,158210.0,2018-11-19,ED,EDX18
2018-09-24,96.8593,96.8593,96.8593,96.8593,28780.0,156246.0,2018-11-19,ED,EDX18
2018-09-25,96.869,96.869,96.869,96.869,22922.0,182911.0,2018-11-19,ED,EDX18
2018-09-26,96.8496,96.8496,96.8496,96.8496,29110.0,213725.0,2018-11-19,ED,EDX18
2018-09-27,96.8399,96.8399,96.8399,96.8399,49540.0,205233.0,2018-11-19,ED,EDX18
2018-09-28,96.8399,96.8399,96.8399,96.8399,26506.0,185873.0,2018-11-19,ED,EDX18
2018-10-01,96.8205,96.8205,96.8205,96.8205,17825.0,213478.0,2018-11-19,ED,EDX18
2018-10-02,96.8108,96.8108,96.8108,96.8108,32902.0,241662.0,2018-11-19,ED,EDX18
2018-10-03,96.8011,96.8011,96.8011,96.8011,42684.0,194871.0,2018-11-19,ED,EDX18
2018-10-04,96.7817,96.7817,96.7817,96.7817,25123.0,241653.0,2018-11-19,ED,EDX18
