,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-16,2256.8991,2256.8991,2256.8991,2256.8991,0.0,0.0,2018-03-16,ES,ESH18
2016-12-19,2230.2677,2230.2677,2230.2677,2230.2677,0.0,0.0,2018-03-16,ES,ESH18
2016-12-20,2205.5117,2205.5117,2205.5117,2205.5117,0.0,0.0,2018-03-16,ES,ESH18
2016-12-21,2232.86,2232.86,2232.86,2232.86,0.0,0.0,2018-03-16,ES,ESH18
2016-12-22,2234.1997,2234.1997,2234.1997,2234.1997,0.0,0.0,2018-03-16,ES,ESH18
2016-12-23,2212.528,2212.528,2212.528,2212.528,0.0,0.0,2018-03-16,ES,ESH18
2016-12-27,2222.4844,2222.4844,2222.4844,2222.4844,0.0,0.0,2018-03-16,ES,ESH18
2016-12-28,2246.4872,2246.4872,2246.4872,2246.4872,0.0,0.0,2018-03-16,ES,ESH18
2016-12-29,2269.4014,2269.4014,2269.4014,2269.4014,0.0,0.0,2018-03-16,ES,ESH18
2016-12-30,2243.9841,2243.9841,2243.9841,2243.9841,0.0,0.0,2018-03-16,ES,ESH18
2017-01-03,2249.1453,2249.1453,2249.1453,2249.1453,0.0,0.0,2018-03-16,ES,ESH18
2017-01-04,2226.8788,2226.8788,2226.8788,2226.8788,0.0,0.0,2018-03-16,ES,ESH18
2017-01-05,2220.4209,2220.4209,2220.4209,2220.4209,0.0,0.0,2018-03-16,ES,ESH18
2017-01-06,2203.7677,2203.7677,2203.7677,2203.7677,1.0,1.0,2018-03-16,ES,ESH18
2017-01-09,2187.2394,2187.2394,2187.2394,2187.2394,0.0,1.0,2018-03-16,ES,ESH18
2017-01-10,2176.0845,2176.0845,2176.0845,2176.0845,0.0,1.0,2018-03-16,ES,ESH18
2017-01-11,2199.3686,2199.3686,2199.3686,2199.3686,0.0,1.0,2018-03-16,ES,ESH18
2017-01-12,2181.7737,2181.7737,2181.7737,2181.7737,0.0,1.0,2018-03-16,ES,ESH18
2017-01-13,2167.5922,2167.5922,2167.5922,2167.5922,0.0,1.0,2018-03-16,ES,ESH18
2017-01-17,2189.7016,2189.7016,2189.7016,2189.7016,0.0,1.0,2018-03-16,ES,ESH18
2017-01-18,2177.2203,2177.2203,2177.2203,2177.2203,0.0,1.0,2018-03-16,ES,ESH18
2017-01-19,2181.7925,2181.7925,2181.7925,2181.7925,0.0,1.0,2018-03-16,ES,ESH18
2017-01-20,2171.1017,2171.1017,2171.1017,2171.1017,2.0,3.0,2018-03-16,ES,ESH18
2017-01-23,2149.6078,2149.6078,2149.6078,2149.6078,0.0,4.0,2018-03-16,ES,ESH18
2017-01-24,2144.0188,2144.0188,2144.0188,2144.0188,1.0,5.0,2018-03-16,ES,ESH18
2017-01-25,2126.8666,2126.8666,2126.8666,2126.8666,0.0,4.0,2018-03-16,ES,ESH18
2017-01-26,2114.7435,2114.7435,2114.7435,2114.7435,0.0,5.0,2018-03-16,ES,ESH18
2017-01-27,2094.019,2094.019,2094.019,2094.019,0.0,4.0,2018-03-16,ES,ESH18
2017-01-30,2106.3737,2106.3737,2106.3737,2106.3737,4.0,1.0,2018-03-16,ES,ESH18
2017-01-31,2131.2289,2131.2289,2131.2289,2131.2289,1.0,1.0,2018-03-16,ES,ESH18
2017-02-01,2128.4583,2128.4583,2128.4583,2128.4583,1.0,2.0,2018-03-16,ES,ESH18
2017-02-02,2136.5464,2136.5464,2136.5464,2136.5464,1.0,3.0,2018-03-16,ES,ESH18
2017-02-03,2122.6588,2122.6588,2122.6588,2122.6588,4.0,4.0,2018-03-16,ES,ESH18
2017-02-06,2137.5174,2137.5174,2137.5174,2137.5174,1.0,4.0,2018-03-16,ES,ESH18
2017-02-07,2161.0301,2161.0301,2161.0301,2161.0301,0.0,5.0,2018-03-16,ES,ESH18
2017-02-08,2142.013,2142.013,2142.013,2142.013,1.0,4.0,2018-03-16,ES,ESH18
2017-02-09,2122.7349,2122.7349,2122.7349,2122.7349,1.0,5.0,2018-03-16,ES,ESH18
2017-02-10,2146.5095,2146.5095,2146.5095,2146.5095,1.0,4.0,2018-03-16,ES,ESH18
2017-02-13,2126.9763,2126.9763,2126.9763,2126.9763,1.0,6.0,2018-03-16,ES,ESH18
2017-02-14,2127.6144,2127.6144,2127.6144,2127.6144,1.0,5.0,2018-03-16,ES,ESH18
2017-02-15,2133.5717,2133.5717,2133.5717,2133.5717,2.0,8.0,2018-03-16,ES,ESH18
2017-02-16,2133.9984,2133.9984,2133.9984,2133.9984,0.0,7.0,2018-03-16,ES,ESH18
2017-02-17,2119.7006,2119.7006,2119.7006,2119.7006,0.0,6.0,2018-03-16,ES,ESH18
2017-02-21,2130.5111,2130.5111,2130.5111,2130.5111,1.0,8.0,2018-03-16,ES,ESH18
2017-02-22,2148.6204,2148.6204,2148.6204,2148.6204,0.0,6.0,2018-03-16,ES,ESH18
2017-02-23,2166.4539,2166.4539,2166.4539,2166.4539,0.0,8.0,2018-03-16,ES,ESH18
2017-02-24,2188.985,2188.985,2188.985,2188.985,0.0,6.0,2018-03-16,ES,ESH18
2017-02-27,2215.4717,2215.4717,2215.4717,2215.4717,0.0,8.0,2018-03-16,ES,ESH18
2017-02-28,2225.4413,2225.4413,2225.4413,2225.4413,0.0,7.0,2018-03-16,ES,ESH18
2017-03-01,2216.317,2216.317,2216.317,2216.317,2.0,10.0,2018-03-16,ES,ESH18
2017-03-02,2231.388,2231.388,2231.388,2231.388,2.0,9.0,2018-03-16,ES,ESH18
2017-03-03,2237.1896,2237.1896,2237.1896,2237.1896,0.0,7.0,2018-03-16,ES,ESH18
2017-03-06,2223.0953,2223.0953,2223.0953,2223.0953,0.0,10.0,2018-03-16,ES,ESH18
2017-03-07,2220.6499,2220.6499,2220.6499,2220.6499,0.0,11.0,2018-03-16,ES,ESH18
2017-03-08,2200.2199,2200.2199,2200.2199,2200.2199,1.0,9.0,2018-03-16,ES,ESH18
2017-03-09,2211.661,2211.661,2211.661,2211.661,0.0,11.0,2018-03-16,ES,ESH18
2017-03-10,2227.1426,2227.1426,2227.1426,2227.1426,0.0,10.0,2018-03-16,ES,ESH18
2017-03-13,2243.178,2243.178,2243.178,2243.178,1.0,10.0,2018-03-16,ES,ESH18
2017-03-14,2233.981,2233.981,2233.981,2233.981,0.0,10.0,2018-03-16,ES,ESH18
2017-03-15,2214.322,2214.322,2214.322,2214.322,0.0,8.0,2018-03-16,ES,ESH18
