,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-18,2054.0509,2054.0509,2054.0509,2054.0509,0.0,0.0,2016-06-17,ES,ESM16
2015-03-19,2062.0617,2062.0617,2062.0617,2062.0617,0.0,0.0,2016-06-17,ES,ESM16
2015-03-20,2080.2078,2080.2078,2080.2078,2080.2078,0.0,0.0,2016-06-17,ES,ESM16
2015-03-23,2065.4383,2065.4383,2065.4383,2065.4383,0.0,0.0,2016-06-17,ES,ESM16
2015-03-24,2067.2972,2067.2972,2067.2972,2067.2972,0.0,0.0,2016-06-17,ES,ESM16
2015-03-25,2074.326,2074.326,2074.326,2074.326,0.0,0.0,2016-06-17,ES,ESM16
2015-03-26,2101.9145,2101.9145,2101.9145,2101.9145,0.0,0.0,2016-06-17,ES,ESM16
2015-03-27,2118.5196,2118.5196,2118.5196,2118.5196,0.0,0.0,2016-06-17,ES,ESM16
2015-03-30,2130.1715,2130.1715,2130.1715,2130.1715,0.0,0.0,2016-06-17,ES,ESM16
2015-03-31,2139.3312,2139.3312,2139.3312,2139.3312,0.0,0.0,2016-06-17,ES,ESM16
2015-04-01,2170.3515,2170.3515,2170.3515,2170.3515,0.0,0.0,2016-06-17,ES,ESM16
2015-04-02,2170.1345,2170.1345,2170.1345,2170.1345,0.0,0.0,2016-06-17,ES,ESM16
2015-04-06,2157.5477,2157.5477,2157.5477,2157.5477,0.0,0.0,2016-06-17,ES,ESM16
2015-04-07,2174.8081,2174.8081,2174.8081,2174.8081,0.0,0.0,2016-06-17,ES,ESM16
2015-04-08,2161.7593,2161.7593,2161.7593,2161.7593,0.0,0.0,2016-06-17,ES,ESM16
2015-04-09,2185.1063,2185.1063,2185.1063,2185.1063,0.0,0.0,2016-06-17,ES,ESM16
2015-04-10,2144.9003,2144.9003,2144.9003,2144.9003,0.0,0.0,2016-06-17,ES,ESM16
2015-04-13,2151.1205,2151.1205,2151.1205,2151.1205,2.0,2.0,2016-06-17,ES,ESM16
2015-04-14,2142.9462,2142.9462,2142.9462,2142.9462,0.0,2.0,2016-06-17,ES,ESM16
2015-04-15,2118.7309,2118.7309,2118.7309,2118.7309,0.0,2.0,2016-06-17,ES,ESM16
2015-04-16,2084.8312,2084.8312,2084.8312,2084.8312,34.0,21.0,2016-06-17,ES,ESM16
2015-04-17,2068.9865,2068.9865,2068.9865,2068.9865,23.0,17.0,2016-06-17,ES,ESM16
2015-04-20,2059.4692,2059.4692,2059.4692,2059.4692,0.0,22.0,2016-06-17,ES,ESM16
2015-04-21,2027.9593,2027.9593,2027.9593,2027.9593,1.0,20.0,2016-06-17,ES,ESM16
2015-04-22,2013.9664,2013.9664,2013.9664,2013.9664,0.0,22.0,2016-06-17,ES,ESM16
2015-04-23,1977.1108,1977.1108,1977.1108,1977.1108,0.0,22.0,2016-06-17,ES,ESM16
2015-04-24,1963.8642,1963.8642,1963.8642,1963.8642,0.0,21.0,2016-06-17,ES,ESM16
2015-04-27,1984.2884,1984.2884,1984.2884,1984.2884,1.0,20.0,2016-06-17,ES,ESM16
2015-04-28,2019.2119,2019.2119,2019.2119,2019.2119,0.0,22.0,2016-06-17,ES,ESM16
2015-04-29,2027.0868,2027.0868,2027.0868,2027.0868,1.0,20.0,2016-06-17,ES,ESM16
2015-04-30,2054.4525,2054.4525,2054.4525,2054.4525,1.0,21.0,2016-06-17,ES,ESM16
2015-05-01,2058.5614,2058.5614,2058.5614,2058.5614,0.0,24.0,2016-06-17,ES,ESM16
2015-05-04,2060.4141,2060.4141,2060.4141,2060.4141,2.0,23.0,2016-06-17,ES,ESM16
2015-05-05,2075.8672,2075.8672,2075.8672,2075.8672,1.0,28.0,2016-06-17,ES,ESM16
2015-05-06,2065.903,2065.903,2065.903,2065.903,0.0,27.0,2016-06-17,ES,ESM16
2015-05-07,2046.8967,2046.8967,2046.8967,2046.8967,0.0,26.0,2016-06-17,ES,ESM16
2015-05-08,2011.076,2011.076,2011.076,2011.076,1.0,23.0,2016-06-17,ES,ESM16
2015-05-11,1993.7807,1993.7807,1993.7807,1993.7807,10.0,29.0,2016-06-17,ES,ESM16
2015-05-12,1955.8989,1955.8989,1955.8989,1955.8989,0.0,30.0,2016-06-17,ES,ESM16
2015-05-13,1951.4003,1951.4003,1951.4003,1951.4003,0.0,27.0,2016-06-17,ES,ESM16
2015-05-14,1971.3046,1971.3046,1971.3046,1971.3046,164.0,166.0,2016-06-17,ES,ESM16
