,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-14,2456.8922,2456.8922,2456.8922,2456.8922,0.0,0.0,2018-09-21,ES,ESU18
2017-06-15,2480.7241,2480.7241,2480.7241,2480.7241,0.0,0.0,2018-09-21,ES,ESU18
2017-06-16,2488.4143,2488.4143,2488.4143,2488.4143,0.0,0.0,2018-09-21,ES,ESU18
2017-06-19,2523.7498,2523.7498,2523.7498,2523.7498,0.0,0.0,2018-09-21,ES,ESU18
2017-06-20,2498.5123,2498.5123,2498.5123,2498.5123,0.0,0.0,2018-09-21,ES,ESU18
2017-06-21,2469.7794,2469.7794,2469.7794,2469.7794,0.0,0.0,2018-09-21,ES,ESU18
2017-06-22,2466.0747,2466.0747,2466.0747,2466.0747,0.0,0.0,2018-09-21,ES,ESU18
2017-06-23,2492.4617,2492.4617,2492.4617,2492.4617,0.0,0.0,2018-09-21,ES,ESU18
2017-06-26,2491.9632,2491.9632,2491.9632,2491.9632,0.0,0.0,2018-09-21,ES,ESU18
2017-06-27,2491.2156,2491.2156,2491.2156,2491.2156,0.0,0.0,2018-09-21,ES,ESU18
2017-06-28,2493.2086,2493.2086,2493.2086,2493.2086,0.0,0.0,2018-09-21,ES,ESU18
2017-06-29,2477.5014,2477.5014,2477.5014,2477.5014,0.0,0.0,2018-09-21,ES,ESU18
2017-06-30,2461.1499,2461.1499,2461.1499,2461.1499,0.0,0.0,2018-09-21,ES,ESU18
2017-07-03,2433.8311,2433.8311,2433.8311,2433.8311,0.0,0.0,2018-09-21,ES,ESU18
2017-07-05,2438.9421,2438.9421,2438.9421,2438.9421,0.0,0.0,2018-09-21,ES,ESU18
2017-07-06,2464.7949,2464.7949,2464.7949,2464.7949,0.0,0.0,2018-09-21,ES,ESU18
2017-07-07,2446.8019,2446.8019,2446.8019,2446.8019,0.0,0.0,2018-09-21,ES,ESU18
2017-07-10,2428.2062,2428.2062,2428.2062,2428.2062,0.0,0.0,2018-09-21,ES,ESU18
2017-07-11,2401.2531,2401.2531,2401.2531,2401.2531,0.0,0.0,2018-09-21,ES,ESU18
2017-07-12,2370.0368,2370.0368,2370.0368,2370.0368,0.0,0.0,2018-09-21,ES,ESU18
2017-07-13,2392.7892,2392.7892,2392.7892,2392.7892,3.0,1.0,2018-09-21,ES,ESU18
2017-07-14,2398.5319,2398.5319,2398.5319,2398.5319,0.0,1.0,2018-09-21,ES,ESU18
2017-07-17,2384.3806,2384.3806,2384.3806,2384.3806,0.0,1.0,2018-09-21,ES,ESU18
2017-07-18,2349.8071,2349.8071,2349.8071,2349.8071,3.0,2.0,2018-09-21,ES,ESU18
2017-07-19,2346.0474,2346.0474,2346.0474,2346.0474,0.0,2.0,2018-09-21,ES,ESU18
2017-07-20,2351.2087,2351.2087,2351.2087,2351.2087,0.0,2.0,2018-09-21,ES,ESU18
2017-07-21,2348.1521,2348.1521,2348.1521,2348.1521,0.0,2.0,2018-09-21,ES,ESU18
2017-07-24,2318.8002,2318.8002,2318.8002,2318.8002,0.0,2.0,2018-09-21,ES,ESU18
2017-07-25,2287.9602,2287.9602,2287.9602,2287.9602,0.0,2.0,2018-09-21,ES,ESU18
2017-07-26,2271.9445,2271.9445,2271.9445,2271.9445,0.0,2.0,2018-09-21,ES,ESU18
2017-07-27,2246.7259,2246.7259,2246.7259,2246.7259,0.0,2.0,2018-09-21,ES,ESU18
2017-07-28,2251.6687,2251.6687,2251.6687,2251.6687,0.0,2.0,2018-09-21,ES,ESU18
2017-07-31,2234.3309,2234.3309,2234.3309,2234.3309,0.0,2.0,2018-09-21,ES,ESU18
2017-08-01,2213.7751,2213.7751,2213.7751,2213.7751,0.0,2.0,2018-09-21,ES,ESU18
2017-08-02,2204.6986,2204.6986,2204.6986,2204.6986,0.0,2.0,2018-09-21,ES,ESU18
2017-08-03,2190.809,2190.809,2190.809,2190.809,0.0,2.0,2018-09-21,ES,ESU18
2017-08-04,2194.5334,2194.5334,2194.5334,2194.5334,0.0,2.0,2018-09-21,ES,ESU18
2017-08-07,2220.2094,2220.2094,2220.2094,2220.2094,0.0,2.0,2018-09-21,ES,ESU18
2017-08-08,2220.6534,2220.6534,2220.6534,2220.6534,0.0,2.0,2018-09-21,ES,ESU18
2017-08-09,2209.7722,2209.7722,2209.7722,2209.7722,0.0,2.0,2018-09-21,ES,ESU18
2017-08-10,2213.3078,2213.3078,2213.3078,2213.3078,0.0,2.0,2018-09-21,ES,ESU18
2017-08-11,2201.1346,2201.1346,2201.1346,2201.1346,0.0,16.0,2018-09-21,ES,ESU18
2017-08-14,2191.8898,2191.8898,2191.8898,2191.8898,0.0,14.0,2018-09-21,ES,ESU18
2017-08-15,2171.5052,2171.5052,2171.5052,2171.5052,0.0,15.0,2018-09-21,ES,ESU18
2017-08-16,2146.75,2146.75,2146.75,2146.75,0.0,17.0,2018-09-21,ES,ESU18
2017-08-17,2124.4238,2124.4238,2124.4238,2124.4238,2.0,13.0,2018-09-21,ES,ESU18
2017-08-18,2105.9413,2105.9413,2105.9413,2105.9413,0.0,14.0,2018-09-21,ES,ESU18
2017-08-21,2098.9917,2098.9917,2098.9917,2098.9917,0.0,13.0,2018-09-21,ES,ESU18
2017-08-22,2112.0054,2112.0054,2112.0054,2112.0054,0.0,16.0,2018-09-21,ES,ESU18
2017-08-23,2136.0823,2136.0823,2136.0823,2136.0823,0.0,17.0,2018-09-21,ES,ESU18
2017-08-24,2158.2976,2158.2976,2158.2976,2158.2976,0.0,14.0,2018-09-21,ES,ESU18
2017-08-25,2157.2185,2157.2185,2157.2185,2157.2185,0.0,17.0,2018-09-21,ES,ESU18
2017-08-28,2175.1234,2175.1234,2175.1234,2175.1234,0.0,16.0,2018-09-21,ES,ESU18
2017-08-29,2148.5869,2148.5869,2148.5869,2148.5869,0.0,15.0,2018-09-21,ES,ESU18
2017-08-30,2173.7254,2173.7254,2173.7254,2173.7254,5.0,18.0,2018-09-21,ES,ESU18
2017-08-31,2182.855,2182.855,2182.855,2182.855,0.0,20.0,2018-09-21,ES,ESU18
2017-09-01,2212.1053,2212.1053,2212.1053,2212.1053,0.0,19.0,2018-09-21,ES,ESU18
2017-09-05,2181.1358,2181.1358,2181.1358,2181.1358,0.0,15.0,2018-09-21,ES,ESU18
2017-09-06,2198.5849,2198.5849,2198.5849,2198.5849,0.0,21.0,2018-09-21,ES,ESU18
2017-09-07,2184.9537,2184.9537,2184.9537,2184.9537,0.0,16.0,2018-09-21,ES,ESU18
2017-09-08,2195.8785,2195.8785,2195.8785,2195.8785,0.0,16.0,2018-09-21,ES,ESU18
2017-09-11,2183.5816,2183.5816,2183.5816,2183.5816,0.0,16.0,2018-09-21,ES,ESU18
2017-09-12,2176.8125,2176.8125,2176.8125,2176.8125,0.0,16.0,2018-09-21,ES,ESU18
2017-09-13,2198.1453,2198.1453,2198.1453,2198.1453,1.0,20.0,2018-09-21,ES,ESU18
2017-09-14,2180.78,2180.78,2180.78,2180.78,0.0,18.0,2018-09-21,ES,ESU18
2017-09-15,2178.5992,2178.5992,2178.5992,2178.5992,2.0,19.0,2018-09-21,ES,ESU18
