,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-09-16,2123.5543,2123.5543,2123.5543,2123.5543,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-19,2122.9172,2122.9172,2122.9172,2122.9172,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-20,2135.6547,2135.6547,2135.6547,2135.6547,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-21,2152.0992,2152.0992,2152.0992,2152.0992,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-22,2148.6558,2148.6558,2148.6558,2148.6558,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-23,2151.2342,2151.2342,2151.2342,2151.2342,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-26,2154.0308,2154.0308,2154.0308,2154.0308,0.0,0.0,2017-12-15,ES,ESZ17
2016-09-27,2166.5242,2166.5242,2166.5242,2166.5242,18.0,15.0,2017-12-15,ES,ESZ17
2016-09-28,2153.0917,2153.0917,2153.0917,2153.0917,0.0,17.0,2017-12-15,ES,ESZ17
2016-09-29,2140.6038,2140.6038,2140.6038,2140.6038,0.0,18.0,2017-12-15,ES,ESZ17
2016-09-30,2138.2491,2138.2491,2138.2491,2138.2491,0.0,17.0,2017-12-15,ES,ESZ17
2016-10-03,2120.5016,2120.5016,2120.5016,2120.5016,0.0,15.0,2017-12-15,ES,ESZ17
2016-10-04,2105.0219,2105.0219,2105.0219,2105.0219,0.0,18.0,2017-12-15,ES,ESZ17
2016-10-05,2104.3904,2104.3904,2104.3904,2104.3904,0.0,15.0,2017-12-15,ES,ESZ17
2016-10-06,2100.8129,2100.8129,2100.8129,2100.8129,0.0,19.0,2017-12-15,ES,ESZ17
2016-10-07,2083.5862,2083.5862,2083.5862,2083.5862,0.0,15.0,2017-12-15,ES,ESZ17
2016-10-10,2084.4196,2084.4196,2084.4196,2084.4196,0.0,16.0,2017-12-15,ES,ESZ17
2016-10-11,2101.9287,2101.9287,2101.9287,2101.9287,0.0,401.0,2017-12-15,ES,ESZ17
2016-10-12,2098.986,2098.986,2098.986,2098.986,0.0,14.0,2017-12-15,ES,ESZ17
2016-10-13,2093.9484,2093.9484,2093.9484,2093.9484,0.0,20.0,2017-12-15,ES,ESZ17
2016-10-14,2077.6156,2077.6156,2077.6156,2077.6156,0.0,20.0,2017-12-15,ES,ESZ17
2016-10-17,2079.6932,2079.6932,2079.6932,2079.6932,0.0,15.0,2017-12-15,ES,ESZ17
2016-10-18,2071.5824,2071.5824,2071.5824,2071.5824,2.0,17.0,2017-12-15,ES,ESZ17
2016-10-19,2070.7538,2070.7538,2070.7538,2070.7538,11.0,25.0,2017-12-15,ES,ESZ17
2016-10-20,2087.1128,2087.1128,2087.1128,2087.1128,0.0,33.0,2017-12-15,ES,ESZ17
2016-10-21,2081.6863,2081.6863,2081.6863,2081.6863,0.0,31.0,2017-12-15,ES,ESZ17
2016-10-24,2094.3846,2094.3846,2094.3846,2094.3846,0.0,33.0,2017-12-15,ES,ESZ17
2016-10-25,2093.128,2093.128,2093.128,2093.128,0.0,25.0,2017-12-15,ES,ESZ17
2016-10-26,2092.2907,2092.2907,2092.2907,2092.2907,0.0,30.0,2017-12-15,ES,ESZ17
2016-10-27,2089.1523,2089.1523,2089.1523,2089.1523,0.0,33.0,2017-12-15,ES,ESZ17
2016-10-28,2100.4337,2100.4337,2100.4337,2100.4337,0.0,28.0,2017-12-15,ES,ESZ17
2016-10-31,2115.3468,2115.3468,2115.3468,2115.3468,0.0,28.0,2017-12-15,ES,ESZ17
2016-11-01,2131.0004,2131.0004,2131.0004,2131.0004,0.0,34.0,2017-12-15,ES,ESZ17
2016-11-02,2112.6738,2112.6738,2112.6738,2112.6738,0.0,24.0,2017-12-15,ES,ESZ17
2016-11-03,2118.378,2118.378,2118.378,2118.378,0.0,30.0,2017-12-15,ES,ESZ17
2016-11-04,2114.7768,2114.7768,2114.7768,2114.7768,0.0,35.0,2017-12-15,ES,ESZ17
2016-11-07,2107.1636,2107.1636,2107.1636,2107.1636,11.0,29.0,2017-12-15,ES,ESZ17
2016-11-08,2114.5387,2114.5387,2114.5387,2114.5387,0.0,32.0,2017-12-15,ES,ESZ17
2016-11-09,2129.9748,2129.9748,2129.9748,2129.9748,3.0,38.0,2017-12-15,ES,ESZ17
2016-11-10,2133.1698,2133.1698,2133.1698,2133.1698,4.0,41.0,2017-12-15,ES,ESZ17
2016-11-11,2126.557,2126.557,2126.557,2126.557,2.0,31.0,2017-12-15,ES,ESZ17
2016-11-14,2145.058,2145.058,2145.058,2145.058,27.0,11.0,2017-12-15,ES,ESZ17
2016-11-15,2162.862,2162.862,2162.862,2162.862,0.0,10.0,2017-12-15,ES,ESZ17
2016-11-16,2149.236,2149.236,2149.236,2149.236,0.0,15.0,2017-12-15,ES,ESZ17
2016-11-17,2145.7972,2145.7972,2145.7972,2145.7972,0.0,11.0,2017-12-15,ES,ESZ17
2016-11-18,2158.0282,2158.0282,2158.0282,2158.0282,0.0,15.0,2017-12-15,ES,ESZ17
2016-11-21,2150.0435,2150.0435,2150.0435,2150.0435,13.0,21.0,2017-12-15,ES,ESZ17
2016-11-22,2142.0883,2142.0883,2142.0883,2142.0883,2.0,20.0,2017-12-15,ES,ESZ17
2016-11-23,2130.3068,2130.3068,2130.3068,2130.3068,2.0,20.0,2017-12-15,ES,ESZ17
2016-11-25,2124.3419,2124.3419,2124.3419,2124.3419,2.0,18.0,2017-12-15,ES,ESZ17
2016-11-28,2123.4922,2123.4922,2123.4922,2123.4922,0.0,22.0,2017-12-15,ES,ESZ17
2016-11-29,2141.3295,2141.3295,2141.3295,2141.3295,0.0,18.0,2017-12-15,ES,ESZ17
2016-11-30,2157.3895,2157.3895,2157.3895,2157.3895,0.0,18.0,2017-12-15,ES,ESZ17
2016-12-01,2162.783,2162.783,2162.783,2162.783,11.0,26.0,2017-12-15,ES,ESZ17
2016-12-02,2170.3527,2170.3527,2170.3527,2170.3527,0.0,22.0,2017-12-15,ES,ESZ17
2016-12-05,2160.8031,2160.8031,2160.8031,2160.8031,0.0,26.0,2017-12-15,ES,ESZ17
2016-12-06,2162.7478,2162.7478,2162.7478,2162.7478,0.0,22.0,2017-12-15,ES,ESZ17
2016-12-07,2177.4545,2177.4545,2177.4545,2177.4545,9.0,26.0,2017-12-15,ES,ESZ17
2016-12-08,2187.253,2187.253,2187.253,2187.253,0.0,32.0,2017-12-15,ES,ESZ17
2016-12-09,2200.814,2200.814,2200.814,2200.814,0.0,33.0,2017-12-15,ES,ESZ17
2016-12-12,2184.3079,2184.3079,2184.3079,2184.3079,2.0,35.0,2017-12-15,ES,ESZ17
2016-12-13,2176.8813,2176.8813,2176.8813,2176.8813,0.0,29.0,2017-12-15,ES,ESZ17
2016-12-14,2166.8676,2166.8676,2166.8676,2166.8676,7.0,35.0,2017-12-15,ES,ESZ17
2016-12-15,2180.0855,2180.0855,2180.0855,2180.0855,31.0,49.0,2017-12-15,ES,ESZ17
2016-12-16,2197.9622,2197.9622,2197.9622,2197.9622,0.0,51.0,2017-12-15,ES,ESZ17
