,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-01-28,145.6963,145.6963,145.6963,145.6963,0.0,0.0,2017-01-27,FC,FCF17
2016-01-29,143.0883,143.0883,143.0883,143.0883,1.0,1.0,2017-01-27,FC,FCF17
2016-02-01,141.4857,141.4857,141.4857,141.4857,6.0,7.0,2017-01-27,FC,FCF17
2016-02-02,140.0708,140.0708,140.0708,140.0708,0.0,7.0,2017-01-27,FC,FCF17
2016-02-03,137.3254,137.3254,137.3254,137.3254,0.0,6.0,2017-01-27,FC,FCF17
2016-02-04,135.0321,135.0321,135.0321,135.0321,2.0,8.0,2017-01-27,FC,FCF17
2016-02-05,135.9368,135.9368,135.9368,135.9368,22.0,30.0,2017-01-27,FC,FCF17
2016-02-08,132.7015,132.7015,132.7015,132.7015,1.0,31.0,2017-01-27,FC,FCF17
2016-02-09,131.0029,131.0029,131.0029,131.0029,17.0,35.0,2017-01-27,FC,FCF17
2016-02-10,128.278,128.278,128.278,128.278,2.0,43.0,2017-01-27,FC,FCF17
2016-02-11,128.9066,128.9066,128.9066,128.9066,15.0,31.0,2017-01-27,FC,FCF17
2016-02-12,128.0171,128.0171,128.0171,128.0171,10.0,39.0,2017-01-27,FC,FCF17
2016-02-16,129.5405,129.5405,129.5405,129.5405,7.0,37.0,2017-01-27,FC,FCF17
2016-02-17,128.3099,128.3099,128.3099,128.3099,11.0,47.0,2017-01-27,FC,FCF17
2016-02-18,129.8111,129.8111,129.8111,129.8111,9.0,50.0,2017-01-27,FC,FCF17
2016-02-19,127.3057,127.3057,127.3057,127.3057,8.0,56.0,2017-01-27,FC,FCF17
2016-02-22,124.1867,124.1867,124.1867,124.1867,7.0,58.0,2017-01-27,FC,FCF17
2016-02-23,122.0259,122.0259,122.0259,122.0259,0.0,50.0,2017-01-27,FC,FCF17
2016-02-24,124.2712,124.2712,124.2712,124.2712,21.0,58.0,2017-01-27,FC,FCF17
2016-02-25,125.5388,125.5388,125.5388,125.5388,3.0,58.0,2017-01-27,FC,FCF17
2016-02-26,124.5722,124.5722,124.5722,124.5722,5.0,74.0,2017-01-27,FC,FCF17
2016-02-29,124.9459,124.9459,124.9459,124.9459,1.0,57.0,2017-01-27,FC,FCF17
2016-03-01,126.4078,126.4078,126.4078,126.4078,6.0,77.0,2017-01-27,FC,FCF17
2016-03-02,124.9794,124.9794,124.9794,124.9794,0.0,58.0,2017-01-27,FC,FCF17
2016-03-03,125.2544,125.2544,125.2544,125.2544,7.0,85.0,2017-01-27,FC,FCF17
2016-03-04,125.0289,125.0289,125.0289,125.0289,13.0,80.0,2017-01-27,FC,FCF17
2016-03-07,124.4788,124.4788,124.4788,124.4788,15.0,88.0,2017-01-27,FC,FCF17
2016-03-08,125.7858,125.7858,125.7858,125.7858,5.0,76.0,2017-01-27,FC,FCF17
2016-03-09,123.3456,123.3456,123.3456,123.3456,1.0,92.0,2017-01-27,FC,FCF17
2016-03-10,120.3606,120.3606,120.3606,120.3606,1.0,96.0,2017-01-27,FC,FCF17
2016-03-11,118.832,118.832,118.832,118.832,26.0,96.0,2017-01-27,FC,FCF17
2016-03-14,119.9966,119.9966,119.9966,119.9966,7.0,104.0,2017-01-27,FC,FCF17
2016-03-15,121.7606,121.7606,121.7606,121.7606,6.0,86.0,2017-01-27,FC,FCF17
2016-03-16,120.7987,120.7987,120.7987,120.7987,4.0,107.0,2017-01-27,FC,FCF17
2016-03-17,118.5518,118.5518,118.5518,118.5518,18.0,108.0,2017-01-27,FC,FCF17
2016-03-18,120.7687,120.7687,120.7687,120.7687,27.0,104.0,2017-01-27,FC,FCF17
2016-03-21,122.0609,122.0609,122.0609,122.0609,16.0,121.0,2017-01-27,FC,FCF17
2016-03-22,120.352,120.352,120.352,120.352,21.0,93.0,2017-01-27,FC,FCF17
2016-03-23,120.027,120.027,120.027,120.027,17.0,101.0,2017-01-27,FC,FCF17
2016-03-24,121.6834,121.6834,121.6834,121.6834,4.0,110.0,2017-01-27,FC,FCF17
2016-03-28,123.533,123.533,123.533,123.533,3.0,105.0,2017-01-27,FC,FCF17
2016-03-29,122.6436,122.6436,122.6436,122.6436,12.0,121.0,2017-01-27,FC,FCF17
2016-03-30,121.27,121.27,121.27,121.27,9.0,114.0,2017-01-27,FC,FCF17
2016-03-31,121.0396,121.0396,121.0396,121.0396,13.0,103.0,2017-01-27,FC,FCF17
2016-04-01,120.2286,120.2286,120.2286,120.2286,26.0,122.0,2017-01-27,FC,FCF17
2016-04-04,118.341,118.341,118.341,118.341,14.0,129.0,2017-01-27,FC,FCF17
2016-04-05,121.0865,121.0865,121.0865,121.0865,19.0,101.0,2017-01-27,FC,FCF17
2016-04-06,121.6798,121.6798,121.6798,121.6798,33.0,107.0,2017-01-27,FC,FCF17
2016-04-07,118.8082,118.8082,118.8082,118.8082,43.0,169.0,2017-01-27,FC,FCF17
2016-04-08,119.0458,119.0458,119.0458,119.0458,15.0,166.0,2017-01-27,FC,FCF17
2016-04-11,116.7006,116.7006,116.7006,116.7006,33.0,141.0,2017-01-27,FC,FCF17
2016-04-12,118.6962,118.6962,118.6962,118.6962,25.0,208.0,2017-01-27,FC,FCF17
2016-04-13,118.8505,118.8505,118.8505,118.8505,32.0,201.0,2017-01-27,FC,FCF17
2016-04-14,120.1579,120.1579,120.1579,120.1579,25.0,183.0,2017-01-27,FC,FCF17
2016-04-15,117.5745,117.5745,117.5745,117.5745,38.0,193.0,2017-01-27,FC,FCF17
2016-04-18,119.0677,119.0677,119.0677,119.0677,37.0,182.0,2017-01-27,FC,FCF17
2016-04-19,122.0444,122.0444,122.0444,122.0444,110.0,221.0,2017-01-27,FC,FCF17
2016-04-20,119.0177,119.0177,119.0177,119.0177,48.0,220.0,2017-01-27,FC,FCF17
2016-04-21,120.1484,120.1484,120.1484,120.1484,120.0,247.0,2017-01-27,FC,FCF17
2016-04-22,119.4035,119.4035,119.4035,119.4035,105.0,343.0,2017-01-27,FC,FCF17
2016-04-25,121.9707,121.9707,121.9707,121.9707,99.0,304.0,2017-01-27,FC,FCF17
2016-04-26,120.2509,120.2509,120.2509,120.2509,25.0,244.0,2017-01-27,FC,FCF17
2016-04-27,122.0306,122.0306,122.0306,122.0306,57.0,337.0,2017-01-27,FC,FCF17
2016-04-28,125.1302,125.1302,125.1302,125.1302,25.0,356.0,2017-01-27,FC,FCF17
2016-04-29,122.3648,122.3648,122.3648,122.3648,33.0,312.0,2017-01-27,FC,FCF17
2016-05-02,124.2982,124.2982,124.2982,124.2982,79.0,305.0,2017-01-27,FC,FCF17
2016-05-03,125.6903,125.6903,125.6903,125.6903,72.0,318.0,2017-01-27,FC,FCF17
2016-05-04,127.9527,127.9527,127.9527,127.9527,52.0,467.0,2017-01-27,FC,FCF17
2016-05-05,130.0383,130.0383,130.0383,130.0383,48.0,328.0,2017-01-27,FC,FCF17
2016-05-06,128.1397,128.1397,128.1397,128.1397,55.0,398.0,2017-01-27,FC,FCF17
2016-05-09,125.9485,125.9485,125.9485,125.9485,110.0,529.0,2017-01-27,FC,FCF17
2016-05-10,128.4297,128.4297,128.4297,128.4297,51.0,403.0,2017-01-27,FC,FCF17
2016-05-11,127.1069,127.1069,127.1069,127.1069,78.0,399.0,2017-01-27,FC,FCF17
2016-05-12,129.255,129.255,129.255,129.255,50.0,419.0,2017-01-27,FC,FCF17
2016-05-13,130.9095,130.9095,130.9095,130.9095,73.0,400.0,2017-01-27,FC,FCF17
2016-05-16,131.8913,131.8913,131.8913,131.8913,67.0,481.0,2017-01-27,FC,FCF17
2016-05-17,128.6863,128.6863,128.6863,128.6863,65.0,545.0,2017-01-27,FC,FCF17
2016-05-18,128.1844,128.1844,128.1844,128.1844,30.0,570.0,2017-01-27,FC,FCF17
2016-05-19,125.3772,125.3772,125.3772,125.3772,79.0,455.0,2017-01-27,FC,FCF17
2016-05-20,123.2709,123.2709,123.2709,123.2709,52.0,498.0,2017-01-27,FC,FCF17
2016-05-23,125.5021,125.5021,125.5021,125.5021,105.0,603.0,2017-01-27,FC,FCF17
2016-05-24,126.8199,126.8199,126.8199,126.8199,107.0,629.0,2017-01-27,FC,FCF17
2016-05-25,129.6353,129.6353,129.6353,129.6353,65.0,540.0,2017-01-27,FC,FCF17
2016-05-26,132.6169,132.6169,132.6169,132.6169,87.0,684.0,2017-01-27,FC,FCF17
2016-05-27,131.8875,131.8875,131.8875,131.8875,61.0,554.0,2017-01-27,FC,FCF17
2016-05-31,134.6308,134.6308,134.6308,134.6308,150.0,708.0,2017-01-27,FC,FCF17
2016-06-01,137.6735,137.6735,137.6735,137.6735,171.0,570.0,2017-01-27,FC,FCF17
2016-06-02,139.6973,139.6973,139.6973,139.6973,186.0,559.0,2017-01-27,FC,FCF17
2016-06-03,141.8766,141.8766,141.8766,141.8766,96.0,588.0,2017-01-27,FC,FCF17
2016-06-06,142.9123,142.9123,142.9123,142.9123,147.0,734.0,2017-01-27,FC,FCF17
2016-06-07,144.1985,144.1985,144.1985,144.1985,37.0,564.0,2017-01-27,FC,FCF17
