,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-26,202.1357,202.1357,202.1357,202.1357,0.0,0.0,2016-03-28,FC,FCH16
2015-03-27,201.9134,201.9134,201.9134,201.9134,0.0,0.0,2016-03-28,FC,FCH16
2015-03-30,205.4469,205.4469,205.4469,205.4469,1.0,1.0,2016-03-28,FC,FCH16
2015-03-31,200.5778,200.5778,200.5778,200.5778,0.0,1.0,2016-03-28,FC,FCH16
2015-04-01,199.7153,199.7153,199.7153,199.7153,7.0,10.0,2016-03-28,FC,FCH16
2015-04-02,202.8908,202.8908,202.8908,202.8908,0.0,8.0,2016-03-28,FC,FCH16
2015-04-06,198.9953,198.9953,198.9953,198.9953,2.0,12.0,2016-03-28,FC,FCH16
2015-04-07,203.612,203.612,203.612,203.612,0.0,13.0,2016-03-28,FC,FCH16
2015-04-08,198.8882,198.8882,198.8882,198.8882,0.0,11.0,2016-03-28,FC,FCH16
2015-04-09,199.6639,199.6639,199.6639,199.6639,5.0,14.0,2016-03-28,FC,FCH16
2015-04-10,201.6006,201.6006,201.6006,201.6006,5.0,18.0,2016-03-28,FC,FCH16
2015-04-13,203.3545,203.3545,203.3545,203.3545,2.0,15.0,2016-03-28,FC,FCH16
2015-04-14,205.4287,205.4287,205.4287,205.4287,0.0,20.0,2016-03-28,FC,FCH16
2015-04-15,200.8066,200.8066,200.8066,200.8066,0.0,17.0,2016-03-28,FC,FCH16
2015-04-16,202.9552,202.9552,202.9552,202.9552,0.0,20.0,2016-03-28,FC,FCH16
2015-04-17,204.3353,204.3353,204.3353,204.3353,3.0,21.0,2016-03-28,FC,FCH16
2015-04-20,208.8511,208.8511,208.8511,208.8511,2.0,17.0,2016-03-28,FC,FCH16
2015-04-21,213.3832,213.3832,213.3832,213.3832,4.0,25.0,2016-03-28,FC,FCH16
2015-04-22,211.164,211.164,211.164,211.164,2.0,26.0,2016-03-28,FC,FCH16
2015-04-23,208.4822,208.4822,208.4822,208.4822,17.0,37.0,2016-03-28,FC,FCH16
2015-04-24,207.273,207.273,207.273,207.273,5.0,36.0,2016-03-28,FC,FCH16
2015-04-27,205.9257,205.9257,205.9257,205.9257,6.0,50.0,2016-03-28,FC,FCH16
2015-04-28,204.6284,204.6284,204.6284,204.6284,8.0,50.0,2016-03-28,FC,FCH16
2015-04-29,203.6053,203.6053,203.6053,203.6053,10.0,73.0,2016-03-28,FC,FCH16
2015-04-30,201.1213,201.1213,201.1213,201.1213,11.0,78.0,2016-03-28,FC,FCH16
2015-05-01,200.2967,200.2967,200.2967,200.2967,18.0,72.0,2016-03-28,FC,FCH16
2015-05-04,203.0007,203.0007,203.0007,203.0007,18.0,90.0,2016-03-28,FC,FCH16
2015-05-05,199.6918,199.6918,199.6918,199.6918,119.0,146.0,2016-03-28,FC,FCH16
2015-05-06,198.4337,198.4337,198.4337,198.4337,59.0,222.0,2016-03-28,FC,FCH16
2015-05-07,195.3381,195.3381,195.3381,195.3381,49.0,251.0,2016-03-28,FC,FCH16
2015-05-08,190.9821,190.9821,190.9821,190.9821,24.0,290.0,2016-03-28,FC,FCH16
2015-05-11,186.4558,186.4558,186.4558,186.4558,20.0,252.0,2016-03-28,FC,FCH16
2015-05-12,186.0829,186.0829,186.0829,186.0829,20.0,213.0,2016-03-28,FC,FCH16
2015-05-13,189.4324,189.4324,189.4324,189.4324,14.0,304.0,2016-03-28,FC,FCH16
2015-05-14,189.7734,189.7734,189.7734,189.7734,14.0,222.0,2016-03-28,FC,FCH16
2015-05-15,191.7281,191.7281,191.7281,191.7281,7.0,267.0,2016-03-28,FC,FCH16
2015-05-18,191.2871,191.2871,191.2871,191.2871,10.0,337.0,2016-03-28,FC,FCH16
2015-05-19,192.9896,192.9896,192.9896,192.9896,9.0,268.0,2016-03-28,FC,FCH16
2015-05-20,194.437,194.437,194.437,194.437,14.0,275.0,2016-03-28,FC,FCH16
2015-05-21,197.7035,197.7035,197.7035,197.7035,21.0,274.0,2016-03-28,FC,FCH16
2015-05-22,202.4088,202.4088,202.4088,202.4088,7.0,357.0,2016-03-28,FC,FCH16
2015-05-26,205.7283,205.7283,205.7283,205.7283,50.0,307.0,2016-03-28,FC,FCH16
2015-05-27,202.2926,202.2926,202.2926,202.2926,261.0,540.0,2016-03-28,FC,FCH16
2015-05-28,203.7289,203.7289,203.7289,203.7289,122.0,725.0,2016-03-28,FC,FCH16
2015-05-29,202.2009,202.2009,202.2009,202.2009,61.0,526.0,2016-03-28,FC,FCH16
2015-06-01,205.6383,205.6383,205.6383,205.6383,38.0,535.0,2016-03-28,FC,FCH16
2015-06-02,202.1013,202.1013,202.1013,202.1013,52.0,631.0,2016-03-28,FC,FCH16
2015-06-03,200.6664,200.6664,200.6664,200.6664,43.0,809.0,2016-03-28,FC,FCH16
2015-06-04,204.459,204.459,204.459,204.459,34.0,574.0,2016-03-28,FC,FCH16
2015-06-05,200.5129,200.5129,200.5129,200.5129,51.0,681.0,2016-03-28,FC,FCH16
2015-06-08,195.9613,195.9613,195.9613,195.9613,54.0,811.0,2016-03-28,FC,FCH16
2015-06-09,200.2137,200.2137,200.2137,200.2137,247.0,606.0,2016-03-28,FC,FCH16
2015-06-10,201.6552,201.6552,201.6552,201.6552,171.0,702.0,2016-03-28,FC,FCH16
2015-06-11,199.8,199.8,199.8,199.8,45.0,645.0,2016-03-28,FC,FCH16
2015-06-12,195.2246,195.2246,195.2246,195.2246,53.0,897.0,2016-03-28,FC,FCH16
2015-06-15,195.7517,195.7517,195.7517,195.7517,16.0,701.0,2016-03-28,FC,FCH16
2015-06-16,194.5185,194.5185,194.5185,194.5185,20.0,880.0,2016-03-28,FC,FCH16
2015-06-17,196.95,196.95,196.95,196.95,18.0,729.0,2016-03-28,FC,FCH16
2015-06-18,193.267,193.267,193.267,193.267,52.0,981.0,2016-03-28,FC,FCH16
2015-06-19,188.6866,188.6866,188.6866,188.6866,69.0,771.0,2016-03-28,FC,FCH16
2015-06-22,190.5169,190.5169,190.5169,190.5169,117.0,1048.0,2016-03-28,FC,FCH16
2015-06-23,190.4026,190.4026,190.4026,190.4026,36.0,830.0,2016-03-28,FC,FCH16
2015-06-24,193.7346,193.7346,193.7346,193.7346,54.0,844.0,2016-03-28,FC,FCH16
2015-06-25,192.9015,192.9015,192.9015,192.9015,91.0,1191.0,2016-03-28,FC,FCH16
2015-06-26,194.5412,194.5412,194.5412,194.5412,88.0,836.0,2016-03-28,FC,FCH16
2015-06-29,192.518,192.518,192.518,192.518,36.0,1047.0,2016-03-28,FC,FCH16
2015-06-30,192.98,192.98,192.98,192.98,94.0,1180.0,2016-03-28,FC,FCH16
2015-07-01,191.3976,191.3976,191.3976,191.3976,114.0,1009.0,2016-03-28,FC,FCH16
2015-07-02,187.4931,187.4931,187.4931,187.4931,43.0,1031.0,2016-03-28,FC,FCH16
2015-07-06,187.6618,187.6618,187.6618,187.6618,52.0,1141.0,2016-03-28,FC,FCH16
2015-07-07,191.0585,191.0585,191.0585,191.0585,77.0,938.0,2016-03-28,FC,FCH16
2015-07-08,194.9561,194.9561,194.9561,194.9561,134.0,1168.0,2016-03-28,FC,FCH16
2015-07-09,190.5306,190.5306,190.5306,190.5306,102.0,1417.0,2016-03-28,FC,FCH16
2015-07-10,191.8643,191.8643,191.8643,191.8643,171.0,1120.0,2016-03-28,FC,FCH16
2015-07-13,194.6847,194.6847,194.6847,194.6847,108.0,1038.0,2016-03-28,FC,FCH16
2015-07-14,195.0157,195.0157,195.0157,195.0157,156.0,1184.0,2016-03-28,FC,FCH16
2015-07-15,196.4003,196.4003,196.4003,196.4003,146.0,1319.0,2016-03-28,FC,FCH16
2015-07-16,199.4838,199.4838,199.4838,199.4838,50.0,1233.0,2016-03-28,FC,FCH16
2015-07-17,203.3937,203.3937,203.3937,203.3937,406.0,1602.0,2016-03-28,FC,FCH16
2015-07-20,206.709,206.709,206.709,206.709,136.0,1229.0,2016-03-28,FC,FCH16
2015-07-21,202.4301,202.4301,202.4301,202.4301,243.0,1497.0,2016-03-28,FC,FCH16
2015-07-22,200.0414,200.0414,200.0414,200.0414,154.0,1588.0,2016-03-28,FC,FCH16
2015-07-23,200.9616,200.9616,200.9616,200.9616,124.0,1507.0,2016-03-28,FC,FCH16
2015-07-24,197.4649,197.4649,197.4649,197.4649,116.0,1965.0,2016-03-28,FC,FCH16
2015-07-27,198.156,198.156,198.156,198.156,107.0,1526.0,2016-03-28,FC,FCH16
2015-07-28,195.8772,195.8772,195.8772,195.8772,140.0,1802.0,2016-03-28,FC,FCH16
2015-07-29,200.2844,200.2844,200.2844,200.2844,168.0,1994.0,2016-03-28,FC,FCH16
2015-07-30,197.6206,197.6206,197.6206,197.6206,126.0,1751.0,2016-03-28,FC,FCH16
2015-07-31,195.0515,195.0515,195.0515,195.0515,163.0,1972.0,2016-03-28,FC,FCH16
2015-08-03,192.8279,192.8279,192.8279,192.8279,200.0,2041.0,2016-03-28,FC,FCH16
2015-08-04,192.8857,192.8857,192.8857,192.8857,106.0,1921.0,2016-03-28,FC,FCH16
2015-08-05,192.2299,192.2299,192.2299,192.2299,239.0,1596.0,2016-03-28,FC,FCH16
2015-08-06,189.7501,189.7501,189.7501,189.7501,86.0,1682.0,2016-03-28,FC,FCH16
2015-08-07,186.752,186.752,186.752,186.752,136.0,1821.0,2016-03-28,FC,FCH16
2015-08-10,186.7333,186.7333,186.7333,186.7333,134.0,1616.0,2016-03-28,FC,FCH16
2015-08-11,187.9844,187.9844,187.9844,187.9844,112.0,2060.0,2016-03-28,FC,FCH16
2015-08-12,185.9166,185.9166,185.9166,185.9166,287.0,1551.0,2016-03-28,FC,FCH16
2015-08-13,186.5301,186.5301,186.5301,186.5301,211.0,2316.0,2016-03-28,FC,FCH16
2015-08-14,184.8327,184.8327,184.8327,184.8327,73.0,1723.0,2016-03-28,FC,FCH16
2015-08-17,186.2005,186.2005,186.2005,186.2005,94.0,2193.0,2016-03-28,FC,FCH16
2015-08-18,187.5225,187.5225,187.5225,187.5225,151.0,2086.0,2016-03-28,FC,FCH16
2015-08-19,188.6101,188.6101,188.6101,188.6101,166.0,2154.0,2016-03-28,FC,FCH16
2015-08-20,187.6482,187.6482,187.6482,187.6482,194.0,1805.0,2016-03-28,FC,FCH16
2015-08-21,190.2565,190.2565,190.2565,190.2565,289.0,2271.0,2016-03-28,FC,FCH16
2015-08-24,190.4848,190.4848,190.4848,190.4848,436.0,2364.0,2016-03-28,FC,FCH16
2015-08-25,190.1229,190.1229,190.1229,190.1229,321.0,2496.0,2016-03-28,FC,FCH16
2015-08-26,188.0886,188.0886,188.0886,188.0886,534.0,2220.0,2016-03-28,FC,FCH16
2015-08-27,185.8315,185.8315,185.8315,185.8315,406.0,2097.0,2016-03-28,FC,FCH16
2015-08-28,186.8536,186.8536,186.8536,186.8536,604.0,2702.0,2016-03-28,FC,FCH16
2015-08-31,187.1713,187.1713,187.1713,187.1713,581.0,2199.0,2016-03-28,FC,FCH16
2015-09-01,187.4895,187.4895,187.4895,187.4895,484.0,2234.0,2016-03-28,FC,FCH16
2015-09-02,187.8645,187.8645,187.8645,187.8645,395.0,3427.0,2016-03-28,FC,FCH16
2015-09-03,191.5466,191.5466,191.5466,191.5466,533.0,2512.0,2016-03-28,FC,FCH16
2015-09-04,194.9178,194.9178,194.9178,194.9178,279.0,3683.0,2016-03-28,FC,FCH16
2015-09-08,196.8085,196.8085,196.8085,196.8085,562.0,2790.0,2016-03-28,FC,FCH16
