,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-04-27,139.5281,139.5281,139.5281,139.5281,0.0,0.0,2018-04-27,FC,FCJ18
2017-04-28,141.8861,141.8861,141.8861,141.8861,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-01,138.5234,138.5234,138.5234,138.5234,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-02,135.9192,135.9192,135.9192,135.9192,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-03,136.1639,136.1639,136.1639,136.1639,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-04,137.1034,137.1034,137.1034,137.1034,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-05,138.8309,138.8309,138.8309,138.8309,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-08,136.4708,136.4708,136.4708,136.4708,0.0,0.0,2018-04-27,FC,FCJ18
2017-05-09,135.1607,135.1607,135.1607,135.1607,4.0,2.0,2018-04-27,FC,FCJ18
2017-05-10,137.7828,137.7828,137.7828,137.7828,7.0,7.0,2018-04-27,FC,FCJ18
2017-05-11,137.8379,137.8379,137.8379,137.8379,0.0,5.0,2018-04-27,FC,FCJ18
2017-05-12,136.6801,136.6801,136.6801,136.6801,1.0,7.0,2018-04-27,FC,FCJ18
2017-05-15,136.5024,136.5024,136.5024,136.5024,2.0,9.0,2018-04-27,FC,FCJ18
2017-05-16,137.9357,137.9357,137.9357,137.9357,0.0,9.0,2018-04-27,FC,FCJ18
2017-05-17,139.0254,139.0254,139.0254,139.0254,0.0,8.0,2018-04-27,FC,FCJ18
2017-05-18,141.792,141.792,141.792,141.792,1.0,9.0,2018-04-27,FC,FCJ18
2017-05-19,140.3741,140.3741,140.3741,140.3741,0.0,9.0,2018-04-27,FC,FCJ18
2017-05-22,142.0024,142.0024,142.0024,142.0024,1.0,8.0,2018-04-27,FC,FCJ18
2017-05-23,144.5016,144.5016,144.5016,144.5016,2.0,9.0,2018-04-27,FC,FCJ18
2017-05-24,143.3311,143.3311,143.3311,143.3311,0.0,9.0,2018-04-27,FC,FCJ18
2017-05-25,145.7534,145.7534,145.7534,145.7534,4.0,10.0,2018-04-27,FC,FCJ18
2017-05-26,146.5405,146.5405,146.5405,146.5405,3.0,16.0,2018-04-27,FC,FCJ18
2017-05-30,147.112,147.112,147.112,147.112,1.0,13.0,2018-04-27,FC,FCJ18
