,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-05-21,206.6062,206.6062,206.6062,206.6062,0.0,0.0,2016-05-27,FC,FCK16
2015-05-22,202.4328,202.4328,202.4328,202.4328,1.0,1.0,2016-05-27,FC,FCK16
2015-05-26,199.3558,199.3558,199.3558,199.3558,0.0,1.0,2016-05-27,FC,FCK16
2015-05-27,199.1564,199.1564,199.1564,199.1564,4.0,6.0,2016-05-27,FC,FCK16
2015-05-28,201.7653,201.7653,201.7653,201.7653,14.0,13.0,2016-05-27,FC,FCK16
2015-05-29,199.6266,199.6266,199.6266,199.6266,4.0,17.0,2016-05-27,FC,FCK16
2015-06-01,196.3128,196.3128,196.3128,196.3128,11.0,25.0,2016-05-27,FC,FCK16
2015-06-02,198.1189,198.1189,198.1189,198.1189,1.0,32.0,2016-05-27,FC,FCK16
2015-06-03,197.8019,197.8019,197.8019,197.8019,1.0,25.0,2016-05-27,FC,FCK16
2015-06-04,197.5843,197.5843,197.5843,197.5843,0.0,27.0,2016-05-27,FC,FCK16
2015-06-05,198.019,198.019,198.019,198.019,4.0,24.0,2016-05-27,FC,FCK16
2015-06-08,196.0388,196.0388,196.0388,196.0388,0.0,27.0,2016-05-27,FC,FCK16
2015-06-09,193.0394,193.0394,193.0394,193.0394,6.0,27.0,2016-05-27,FC,FCK16
2015-06-10,192.5761,192.5761,192.5761,192.5761,11.0,36.0,2016-05-27,FC,FCK16
2015-06-11,187.8387,187.8387,187.8387,187.8387,0.0,30.0,2016-05-27,FC,FCK16
2015-06-12,190.337,190.337,190.337,190.337,4.0,40.0,2016-05-27,FC,FCK16
2015-06-15,194.8861,194.8861,194.8861,194.8861,1.0,32.0,2016-05-27,FC,FCK16
2015-06-16,196.6596,196.6596,196.6596,196.6596,0.0,35.0,2016-05-27,FC,FCK16
2015-06-17,197.5249,197.5249,197.5249,197.5249,1.0,41.0,2016-05-27,FC,FCK16
2015-06-18,196.241,196.241,196.241,196.241,2.0,42.0,2016-05-27,FC,FCK16
2015-06-19,198.0268,198.0268,198.0268,198.0268,8.0,51.0,2016-05-27,FC,FCK16
2015-06-22,200.4427,200.4427,200.4427,200.4427,22.0,66.0,2016-05-27,FC,FCK16
2015-06-23,202.7478,202.7478,202.7478,202.7478,6.0,75.0,2016-05-27,FC,FCK16
2015-06-24,204.4509,204.4509,204.4509,204.4509,4.0,76.0,2016-05-27,FC,FCK16
2015-06-25,207.3745,207.3745,207.3745,207.3745,16.0,97.0,2016-05-27,FC,FCK16
2015-06-26,207.4989,207.4989,207.4989,207.4989,18.0,102.0,2016-05-27,FC,FCK16
2015-06-29,210.9849,210.9849,210.9849,210.9849,13.0,88.0,2016-05-27,FC,FCK16
2015-06-30,207.3349,207.3349,207.3349,207.3349,7.0,113.0,2016-05-27,FC,FCK16
2015-07-01,210.1339,210.1339,210.1339,210.1339,18.0,96.0,2016-05-27,FC,FCK16
2015-07-02,208.5579,208.5579,208.5579,208.5579,15.0,127.0,2016-05-27,FC,FCK16
2015-07-06,206.1595,206.1595,206.1595,206.1595,0.0,131.0,2016-05-27,FC,FCK16
2015-07-07,203.1496,203.1496,203.1496,203.1496,12.0,129.0,2016-05-27,FC,FCK16
2015-07-08,206.1156,206.1156,206.1156,206.1156,4.0,122.0,2016-05-27,FC,FCK16
2015-07-09,207.4554,207.4554,207.4554,207.4554,5.0,158.0,2016-05-27,FC,FCK16
2015-07-10,209.9656,209.9656,209.9656,209.9656,15.0,159.0,2016-05-27,FC,FCK16
2015-07-13,208.7058,208.7058,208.7058,208.7058,10.0,115.0,2016-05-27,FC,FCK16
2015-07-14,213.9234,213.9234,213.9234,213.9234,27.0,130.0,2016-05-27,FC,FCK16
2015-07-15,209.8589,209.8589,209.8589,209.8589,75.0,192.0,2016-05-27,FC,FCK16
2015-07-16,214.8955,214.8955,214.8955,214.8955,19.0,215.0,2016-05-27,FC,FCK16
2015-07-17,211.0704,211.0704,211.0704,211.0704,92.0,233.0,2016-05-27,FC,FCK16
2015-07-20,212.2946,212.2946,212.2946,212.2946,10.0,273.0,2016-05-27,FC,FCK16
2015-07-21,210.4476,210.4476,210.4476,210.4476,12.0,228.0,2016-05-27,FC,FCK16
2015-07-22,208.0275,208.0275,208.0275,208.0275,22.0,227.0,2016-05-27,FC,FCK16
2015-07-23,209.1925,209.1925,209.1925,209.1925,18.0,274.0,2016-05-27,FC,FCK16
2015-07-24,213.6274,213.6274,213.6274,213.6274,10.0,314.0,2016-05-27,FC,FCK16
2015-07-27,215.4646,215.4646,215.4646,215.4646,41.0,238.0,2016-05-27,FC,FCK16
2015-07-28,211.9741,211.9741,211.9741,211.9741,4.0,268.0,2016-05-27,FC,FCK16
2015-07-29,211.8893,211.8893,211.8893,211.8893,14.0,273.0,2016-05-27,FC,FCK16
2015-07-30,211.6562,211.6562,211.6562,211.6562,36.0,357.0,2016-05-27,FC,FCK16
2015-07-31,207.0421,207.0421,207.0421,207.0421,28.0,292.0,2016-05-27,FC,FCK16
2015-08-03,206.3175,206.3175,206.3175,206.3175,12.0,282.0,2016-05-27,FC,FCK16
2015-08-04,208.6695,208.6695,208.6695,208.6695,14.0,320.0,2016-05-27,FC,FCK16
2015-08-05,208.6904,208.6904,208.6904,208.6904,6.0,348.0,2016-05-27,FC,FCK16
2015-08-06,210.1512,210.1512,210.1512,210.1512,11.0,294.0,2016-05-27,FC,FCK16
2015-08-07,213.7238,213.7238,213.7238,213.7238,24.0,307.0,2016-05-27,FC,FCK16
2015-08-10,214.942,214.942,214.942,214.942,13.0,351.0,2016-05-27,FC,FCK16
2015-08-11,220.2511,220.2511,220.2511,220.2511,21.0,327.0,2016-05-27,FC,FCK16
2015-08-12,224.0174,224.0174,224.0174,224.0174,39.0,327.0,2016-05-27,FC,FCK16
2015-08-13,219.2682,219.2682,219.2682,219.2682,33.0,366.0,2016-05-27,FC,FCK16
2015-08-14,224.0263,224.0263,224.0263,224.0263,16.0,313.0,2016-05-27,FC,FCK16
2015-08-17,221.226,221.226,221.226,221.226,16.0,310.0,2016-05-27,FC,FCK16
2015-08-18,217.5536,217.5536,217.5536,217.5536,37.0,388.0,2016-05-27,FC,FCK16
2015-08-19,220.2295,220.2295,220.2295,220.2295,42.0,470.0,2016-05-27,FC,FCK16
2015-08-20,218.2034,218.2034,218.2034,218.2034,12.0,468.0,2016-05-27,FC,FCK16
