,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-08-31,140.172,140.172,140.172,140.172,0.0,0.0,2018-08-30,FC,FCQ18
2017-09-01,142.8493,142.8493,142.8493,142.8493,20.0,11.0,2018-08-30,FC,FCQ18
2017-09-05,143.1207,143.1207,143.1207,143.1207,12.0,22.0,2018-08-30,FC,FCQ18
2017-09-06,141.4033,141.4033,141.4033,141.4033,29.0,36.0,2018-08-30,FC,FCQ18
2017-09-07,140.4983,140.4983,140.4983,140.4983,26.0,64.0,2018-08-30,FC,FCQ18
2017-09-08,138.3346,138.3346,138.3346,138.3346,39.0,80.0,2018-08-30,FC,FCQ18
2017-09-11,141.046,141.046,141.046,141.046,18.0,65.0,2018-08-30,FC,FCQ18
2017-09-12,139.8048,139.8048,139.8048,139.8048,22.0,73.0,2018-08-30,FC,FCQ18
2017-09-13,137.9454,137.9454,137.9454,137.9454,32.0,97.0,2018-08-30,FC,FCQ18
2017-09-14,139.2421,139.2421,139.2421,139.2421,30.0,128.0,2018-08-30,FC,FCQ18
2017-09-15,140.8712,140.8712,140.8712,140.8712,53.0,156.0,2018-08-30,FC,FCQ18
2017-09-18,143.1674,143.1674,143.1674,143.1674,58.0,179.0,2018-08-30,FC,FCQ18
2017-09-19,144.9427,144.9427,144.9427,144.9427,56.0,231.0,2018-08-30,FC,FCQ18
2017-09-20,144.8412,144.8412,144.8412,144.8412,89.0,236.0,2018-08-30,FC,FCQ18
2017-09-21,144.2908,144.2908,144.2908,144.2908,90.0,271.0,2018-08-30,FC,FCQ18
2017-09-22,141.405,141.405,141.405,141.405,89.0,290.0,2018-08-30,FC,FCQ18
2017-09-25,140.6556,140.6556,140.6556,140.6556,33.0,422.0,2018-08-30,FC,FCQ18
2017-09-26,139.671,139.671,139.671,139.671,44.0,380.0,2018-08-30,FC,FCQ18
2017-09-27,140.928,140.928,140.928,140.928,50.0,437.0,2018-08-30,FC,FCQ18
2017-09-28,138.4477,138.4477,138.4477,138.4477,29.0,345.0,2018-08-30,FC,FCQ18
2017-09-29,136.011,136.011,136.011,136.011,78.0,371.0,2018-08-30,FC,FCQ18
2017-10-02,136.2014,136.2014,136.2014,136.2014,132.0,437.0,2018-08-30,FC,FCQ18
2017-10-03,137.2093,137.2093,137.2093,137.2093,50.0,481.0,2018-08-30,FC,FCQ18
2017-10-04,137.9914,137.9914,137.9914,137.9914,99.0,554.0,2018-08-30,FC,FCQ18
2017-10-05,137.812,137.812,137.812,137.812,79.0,564.0,2018-08-30,FC,FCQ18
2017-10-06,136.048,136.048,136.048,136.048,156.0,786.0,2018-08-30,FC,FCQ18
2017-10-09,134.5107,134.5107,134.5107,134.5107,74.0,657.0,2018-08-30,FC,FCQ18
2017-10-10,133.0311,133.0311,133.0311,133.0311,135.0,745.0,2018-08-30,FC,FCQ18
2017-10-11,135.1862,135.1862,135.1862,135.1862,77.0,799.0,2018-08-30,FC,FCQ18
2017-10-12,133.7262,133.7262,133.7262,133.7262,107.0,695.0,2018-08-30,FC,FCQ18
2017-10-13,134.1006,134.1006,134.1006,134.1006,99.0,683.0,2018-08-30,FC,FCQ18
2017-10-16,136.6619,136.6619,136.6619,136.6619,34.0,778.0,2018-08-30,FC,FCQ18
2017-10-17,136.3202,136.3202,136.3202,136.3202,170.0,989.0,2018-08-30,FC,FCQ18
2017-10-18,138.9103,138.9103,138.9103,138.9103,86.0,837.0,2018-08-30,FC,FCQ18
2017-10-19,139.9382,139.9382,139.9382,139.9382,86.0,1038.0,2018-08-30,FC,FCQ18
2017-10-20,138.049,138.049,138.049,138.049,392.0,839.0,2018-08-30,FC,FCQ18
2017-10-23,138.4493,138.4493,138.4493,138.4493,204.0,1134.0,2018-08-30,FC,FCQ18
2017-10-24,141.2875,141.2875,141.2875,141.2875,406.0,1394.0,2018-08-30,FC,FCQ18
2017-10-25,140.242,140.242,140.242,140.242,312.0,1145.0,2018-08-30,FC,FCQ18
2017-10-26,141.1115,141.1115,141.1115,141.1115,312.0,1773.0,2018-08-30,FC,FCQ18
2017-10-27,142.2545,142.2545,142.2545,142.2545,174.0,1438.0,2018-08-30,FC,FCQ18
2017-10-30,144.6728,144.6728,144.6728,144.6728,330.0,1438.0,2018-08-30,FC,FCQ18
2017-10-31,142.3146,142.3146,142.3146,142.3146,154.0,1606.0,2018-08-30,FC,FCQ18
2017-11-01,144.2643,144.2643,144.2643,144.2643,178.0,1606.0,2018-08-30,FC,FCQ18
2017-11-02,147.0197,147.0197,147.0197,147.0197,184.0,1510.0,2018-08-30,FC,FCQ18
2017-11-03,148.0341,148.0341,148.0341,148.0341,252.0,2081.0,2018-08-30,FC,FCQ18
2017-11-06,148.6114,148.6114,148.6114,148.6114,238.0,2336.0,2018-08-30,FC,FCQ18
2017-11-07,148.0318,148.0318,148.0318,148.0318,224.0,1692.0,2018-08-30,FC,FCQ18
2017-11-08,149.2605,149.2605,149.2605,149.2605,306.0,2423.0,2018-08-30,FC,FCQ18
2017-11-09,150.1561,150.1561,150.1561,150.1561,302.0,1861.0,2018-08-30,FC,FCQ18
2017-11-10,152.0481,152.0481,152.0481,152.0481,283.0,1988.0,2018-08-30,FC,FCQ18
2017-11-13,150.0563,150.0563,150.0563,150.0563,258.0,2080.0,2018-08-30,FC,FCQ18
2017-11-14,148.6158,148.6158,148.6158,148.6158,294.0,2355.0,2018-08-30,FC,FCQ18
2017-11-15,145.807,145.807,145.807,145.807,133.0,2895.0,2018-08-30,FC,FCQ18
2017-11-16,143.095,143.095,143.095,143.095,172.0,2066.0,2018-08-30,FC,FCQ18
2017-11-17,142.6085,142.6085,142.6085,142.6085,123.0,2330.0,2018-08-30,FC,FCQ18
2017-11-20,140.2697,140.2697,140.2697,140.2697,290.0,2063.0,2018-08-30,FC,FCQ18
2017-11-21,140.3118,140.3118,140.3118,140.3118,302.0,2905.0,2018-08-30,FC,FCQ18
2017-11-22,141.743,141.743,141.743,141.743,298.0,2039.0,2018-08-30,FC,FCQ18
2017-11-24,140.4531,140.4531,140.4531,140.4531,114.0,3077.0,2018-08-30,FC,FCQ18
2017-11-27,139.3576,139.3576,139.3576,139.3576,240.0,3000.0,2018-08-30,FC,FCQ18
2017-11-28,140.7233,140.7233,140.7233,140.7233,418.0,2796.0,2018-08-30,FC,FCQ18
2017-11-29,139.893,139.893,139.893,139.893,379.0,3145.0,2018-08-30,FC,FCQ18
2017-11-30,141.5857,141.5857,141.5857,141.5857,905.0,2427.0,2018-08-30,FC,FCQ18
2017-12-01,142.8033,142.8033,142.8033,142.8033,702.0,3541.0,2018-08-30,FC,FCQ18
2017-12-04,142.7605,142.7605,142.7605,142.7605,355.0,3589.0,2018-08-30,FC,FCQ18
2017-12-05,140.2051,140.2051,140.2051,140.2051,651.0,3800.0,2018-08-30,FC,FCQ18
2017-12-06,142.883,142.883,142.883,142.883,499.0,3303.0,2018-08-30,FC,FCQ18
2017-12-07,144.5976,144.5976,144.5976,144.5976,243.0,2829.0,2018-08-30,FC,FCQ18
2017-12-08,147.4896,147.4896,147.4896,147.4896,311.0,3343.0,2018-08-30,FC,FCQ18
2017-12-11,145.9262,145.9262,145.9262,145.9262,226.0,3600.0,2018-08-30,FC,FCQ18
2017-12-12,146.9623,146.9623,146.9623,146.9623,416.0,3323.0,2018-08-30,FC,FCQ18
2017-12-13,145.2134,145.2134,145.2134,145.2134,412.0,3351.0,2018-08-30,FC,FCQ18
2017-12-14,142.7303,142.7303,142.7303,142.7303,396.0,3034.0,2018-08-30,FC,FCQ18
2017-12-15,143.1442,143.1442,143.1442,143.1442,412.0,4035.0,2018-08-30,FC,FCQ18
2017-12-18,141.9418,141.9418,141.9418,141.9418,450.0,2931.0,2018-08-30,FC,FCQ18
2017-12-19,141.6295,141.6295,141.6295,141.6295,373.0,3289.0,2018-08-30,FC,FCQ18
2017-12-20,141.7003,141.7003,141.7003,141.7003,788.0,3859.0,2018-08-30,FC,FCQ18
2017-12-21,140.6942,140.6942,140.6942,140.6942,657.0,3806.0,2018-08-30,FC,FCQ18
2017-12-22,138.4009,138.4009,138.4009,138.4009,566.0,3618.0,2018-08-30,FC,FCQ18
2017-12-26,138.5116,138.5116,138.5116,138.5116,361.0,4575.0,2018-08-30,FC,FCQ18
2017-12-27,138.4146,138.4146,138.4146,138.4146,367.0,4842.0,2018-08-30,FC,FCQ18
2017-12-28,140.7676,140.7676,140.7676,140.7676,609.0,4837.0,2018-08-30,FC,FCQ18
2017-12-29,140.0215,140.0215,140.0215,140.0215,591.0,4872.0,2018-08-30,FC,FCQ18
2018-01-02,139.8255,139.8255,139.8255,139.8255,824.0,4526.0,2018-08-30,FC,FCQ18
2018-01-03,137.7421,137.7421,137.7421,137.7421,462.0,3907.0,2018-08-30,FC,FCQ18
2018-01-04,135.1388,135.1388,135.1388,135.1388,702.0,5106.0,2018-08-30,FC,FCQ18
2018-01-05,137.3551,137.3551,137.3551,137.3551,520.0,5515.0,2018-08-30,FC,FCQ18
2018-01-08,138.138,138.138,138.138,138.138,885.0,4974.0,2018-08-30,FC,FCQ18
2018-01-09,135.7758,135.7758,135.7758,135.7758,900.0,4553.0,2018-08-30,FC,FCQ18
2018-01-10,133.6849,133.6849,133.6849,133.6849,863.0,4226.0,2018-08-30,FC,FCQ18
2018-01-11,136.1581,136.1581,136.1581,136.1581,1118.0,4833.0,2018-08-30,FC,FCQ18
2018-01-12,134.4153,134.4153,134.4153,134.4153,840.0,5261.0,2018-08-30,FC,FCQ18
2018-01-16,133.8239,133.8239,133.8239,133.8239,703.0,5951.0,2018-08-30,FC,FCQ18
