,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-09-24,167.3816,167.3816,167.3816,167.3816,0.0,0.0,2016-09-30,FC,FCU16
2015-09-25,169.5743,169.5743,169.5743,169.5743,0.0,0.0,2016-09-30,FC,FCU16
2015-09-28,172.5758,172.5758,172.5758,172.5758,0.0,0.0,2016-09-30,FC,FCU16
2015-09-29,176.1309,176.1309,176.1309,176.1309,12.0,3.0,2016-09-30,FC,FCU16
2015-09-30,174.1758,174.1758,174.1758,174.1758,15.0,12.0,2016-09-30,FC,FCU16
2015-10-01,170.4484,170.4484,170.4484,170.4484,5.0,13.0,2016-09-30,FC,FCU16
2015-10-02,173.8233,173.8233,173.8233,173.8233,3.0,17.0,2016-09-30,FC,FCU16
2015-10-05,174.0493,174.0493,174.0493,174.0493,5.0,16.0,2016-09-30,FC,FCU16
2015-10-06,171.3689,171.3689,171.3689,171.3689,4.0,22.0,2016-09-30,FC,FCU16
2015-10-07,169.9465,169.9465,169.9465,169.9465,10.0,22.0,2016-09-30,FC,FCU16
2015-10-08,170.0655,170.0655,170.0655,170.0655,17.0,23.0,2016-09-30,FC,FCU16
2015-10-09,168.1438,168.1438,168.1438,168.1438,1.0,29.0,2016-09-30,FC,FCU16
2015-10-12,169.0854,169.0854,169.0854,169.0854,18.0,45.0,2016-09-30,FC,FCU16
2015-10-13,173.1265,173.1265,173.1265,173.1265,8.0,45.0,2016-09-30,FC,FCU16
2015-10-14,174.6846,174.6846,174.6846,174.6846,25.0,70.0,2016-09-30,FC,FCU16
2015-10-15,175.8899,175.8899,175.8899,175.8899,12.0,72.0,2016-09-30,FC,FCU16
2015-10-16,179.9178,179.9178,179.9178,179.9178,17.0,74.0,2016-09-30,FC,FCU16
2015-10-19,181.3032,181.3032,181.3032,181.3032,16.0,52.0,2016-09-30,FC,FCU16
2015-10-20,183.0437,183.0437,183.0437,183.0437,6.0,55.0,2016-09-30,FC,FCU16
2015-10-21,185.1853,185.1853,185.1853,185.1853,3.0,71.0,2016-09-30,FC,FCU16
2015-10-22,186.5372,186.5372,186.5372,186.5372,12.0,66.0,2016-09-30,FC,FCU16
2015-10-23,185.3061,185.3061,185.3061,185.3061,5.0,63.0,2016-09-30,FC,FCU16
2015-10-26,189.8646,189.8646,189.8646,189.8646,3.0,50.0,2016-09-30,FC,FCU16
2015-10-27,190.4342,190.4342,190.4342,190.4342,0.0,74.0,2016-09-30,FC,FCU16
2015-10-28,188.5489,188.5489,188.5489,188.5489,5.0,78.0,2016-09-30,FC,FCU16
2015-10-29,192.301,192.301,192.301,192.301,19.0,68.0,2016-09-30,FC,FCU16
2015-10-30,191.9741,191.9741,191.9741,191.9741,15.0,89.0,2016-09-30,FC,FCU16
2015-11-02,188.1922,188.1922,188.1922,188.1922,8.0,98.0,2016-09-30,FC,FCU16
2015-11-03,185.5387,185.5387,185.5387,185.5387,3.0,105.0,2016-09-30,FC,FCU16
2015-11-04,182.6257,182.6257,182.6257,182.6257,1.0,113.0,2016-09-30,FC,FCU16
2015-11-05,178.1514,178.1514,178.1514,178.1514,5.0,81.0,2016-09-30,FC,FCU16
2015-11-06,177.1894,177.1894,177.1894,177.1894,70.0,99.0,2016-09-30,FC,FCU16
2015-11-09,180.5383,180.5383,180.5383,180.5383,33.0,106.0,2016-09-30,FC,FCU16
2015-11-10,181.8743,181.8743,181.8743,181.8743,31.0,106.0,2016-09-30,FC,FCU16
2015-11-11,185.53,185.53,185.53,185.53,9.0,87.0,2016-09-30,FC,FCU16
2015-11-12,180.7804,180.7804,180.7804,180.7804,29.0,93.0,2016-09-30,FC,FCU16
2015-11-13,177.4721,177.4721,177.4721,177.4721,3.0,106.0,2016-09-30,FC,FCU16
2015-11-16,179.3178,179.3178,179.3178,179.3178,18.0,108.0,2016-09-30,FC,FCU16
2015-11-17,177.6501,177.6501,177.6501,177.6501,29.0,113.0,2016-09-30,FC,FCU16
2015-11-18,176.3888,176.3888,176.3888,176.3888,30.0,106.0,2016-09-30,FC,FCU16
2015-11-19,172.3848,172.3848,172.3848,172.3848,16.0,121.0,2016-09-30,FC,FCU16
2015-11-20,172.1952,172.1952,172.1952,172.1952,23.0,124.0,2016-09-30,FC,FCU16
2015-11-23,167.942,167.942,167.942,167.942,38.0,98.0,2016-09-30,FC,FCU16
2015-11-24,167.6565,167.6565,167.6565,167.6565,30.0,113.0,2016-09-30,FC,FCU16
2015-11-25,170.054,170.054,170.054,170.054,21.0,111.0,2016-09-30,FC,FCU16
2015-11-27,169.5778,169.5778,169.5778,169.5778,10.0,119.0,2016-09-30,FC,FCU16
2015-11-30,172.6811,172.6811,172.6811,172.6811,66.0,111.0,2016-09-30,FC,FCU16
2015-12-01,173.7345,173.7345,173.7345,173.7345,79.0,173.0,2016-09-30,FC,FCU16
2015-12-02,172.3967,172.3967,172.3967,172.3967,31.0,139.0,2016-09-30,FC,FCU16
2015-12-03,173.4656,173.4656,173.4656,173.4656,125.0,136.0,2016-09-30,FC,FCU16
2015-12-04,176.8482,176.8482,176.8482,176.8482,29.0,170.0,2016-09-30,FC,FCU16
2015-12-07,179.6778,179.6778,179.6778,179.6778,80.0,172.0,2016-09-30,FC,FCU16
2015-12-08,181.6543,181.6543,181.6543,181.6543,59.0,166.0,2016-09-30,FC,FCU16
2015-12-09,185.3782,185.3782,185.3782,185.3782,63.0,155.0,2016-09-30,FC,FCU16
2015-12-10,185.8602,185.8602,185.8602,185.8602,98.0,193.0,2016-09-30,FC,FCU16
2015-12-11,189.8934,189.8934,189.8934,189.8934,51.0,207.0,2016-09-30,FC,FCU16
2015-12-14,192.6848,192.6848,192.6848,192.6848,35.0,217.0,2016-09-30,FC,FCU16
