,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-10-26,151.6756,151.6756,151.6756,151.6756,0.0,0.0,2018-10-25,FC,FCV18
2017-10-27,154.2541,154.2541,154.2541,154.2541,0.0,0.0,2018-10-25,FC,FCV18
2017-10-30,154.3775,154.3775,154.3775,154.3775,1.0,1.0,2018-10-25,FC,FCV18
2017-10-31,153.0962,153.0962,153.0962,153.0962,4.0,4.0,2018-10-25,FC,FCV18
2017-11-01,150.9222,150.9222,150.9222,150.9222,0.0,4.0,2018-10-25,FC,FCV18
2017-11-02,149.6846,149.6846,149.6846,149.6846,2.0,6.0,2018-10-25,FC,FCV18
2017-11-03,149.475,149.475,149.475,149.475,19.0,19.0,2018-10-25,FC,FCV18
2017-11-06,149.4152,149.4152,149.4152,149.4152,2.0,15.0,2018-10-25,FC,FCV18
2017-11-07,147.7417,147.7417,147.7417,147.7417,0.0,19.0,2018-10-25,FC,FCV18
2017-11-08,148.2292,148.2292,148.2292,148.2292,6.0,15.0,2018-10-25,FC,FCV18
2017-11-09,148.9407,148.9407,148.9407,148.9407,1.0,17.0,2018-10-25,FC,FCV18
2017-11-10,147.0938,147.0938,147.0938,147.0938,0.0,17.0,2018-10-25,FC,FCV18
2017-11-13,146.1083,146.1083,146.1083,146.1083,1.0,17.0,2018-10-25,FC,FCV18
2017-11-14,146.7073,146.7073,146.7073,146.7073,1.0,20.0,2018-10-25,FC,FCV18
2017-11-15,147.6169,147.6169,147.6169,147.6169,5.0,25.0,2018-10-25,FC,FCV18
2017-11-16,147.5579,147.5579,147.5579,147.5579,0.0,17.0,2018-10-25,FC,FCV18
2017-11-17,150.0664,150.0664,150.0664,150.0664,0.0,21.0,2018-10-25,FC,FCV18
2017-11-20,147.6053,147.6053,147.6053,147.6053,4.0,18.0,2018-10-25,FC,FCV18
2017-11-21,146.0997,146.0997,146.0997,146.0997,0.0,20.0,2018-10-25,FC,FCV18
2017-11-22,148.2766,148.2766,148.2766,148.2766,0.0,19.0,2018-10-25,FC,FCV18
2017-11-24,148.9587,148.9587,148.9587,148.9587,0.0,20.0,2018-10-25,FC,FCV18
2017-11-27,148.1543,148.1543,148.1543,148.1543,1.0,18.0,2018-10-25,FC,FCV18
2017-11-28,148.0358,148.0358,148.0358,148.0358,2.0,26.0,2018-10-25,FC,FCV18
2017-11-29,147.9914,147.9914,147.9914,147.9914,6.0,26.0,2018-10-25,FC,FCV18
2017-11-30,149.2937,149.2937,149.2937,149.2937,12.0,21.0,2018-10-25,FC,FCV18
2017-12-01,148.9802,148.9802,148.9802,148.9802,70.0,48.0,2018-10-25,FC,FCV18
2017-12-04,147.0435,147.0435,147.0435,147.0435,36.0,71.0,2018-10-25,FC,FCV18
2017-12-05,144.8231,144.8231,144.8231,144.8231,113.0,131.0,2018-10-25,FC,FCV18
2017-12-06,147.2851,147.2851,147.2851,147.2851,98.0,161.0,2018-10-25,FC,FCV18
2017-12-07,145.2378,145.2378,145.2378,145.2378,15.0,157.0,2018-10-25,FC,FCV18
2017-12-08,143.553,143.553,143.553,143.553,12.0,200.0,2018-10-25,FC,FCV18
2017-12-11,145.29,145.29,145.29,145.29,20.0,200.0,2018-10-25,FC,FCV18
2017-12-12,144.1132,144.1132,144.1132,144.1132,7.0,161.0,2018-10-25,FC,FCV18
2017-12-13,145.9723,145.9723,145.9723,145.9723,17.0,159.0,2018-10-25,FC,FCV18
2017-12-14,146.9065,146.9065,146.9065,146.9065,7.0,153.0,2018-10-25,FC,FCV18
2017-12-15,144.3209,144.3209,144.3209,144.3209,32.0,160.0,2018-10-25,FC,FCV18
2017-12-18,145.36,145.36,145.36,145.36,17.0,206.0,2018-10-25,FC,FCV18
2017-12-19,147.7439,147.7439,147.7439,147.7439,15.0,164.0,2018-10-25,FC,FCV18
2017-12-20,148.8668,148.8668,148.8668,148.8668,14.0,212.0,2018-10-25,FC,FCV18
2017-12-21,148.45,148.45,148.45,148.45,36.0,215.0,2018-10-25,FC,FCV18
2017-12-22,147.9304,147.9304,147.9304,147.9304,16.0,155.0,2018-10-25,FC,FCV18
2017-12-26,145.7706,145.7706,145.7706,145.7706,12.0,197.0,2018-10-25,FC,FCV18
2017-12-27,146.1204,146.1204,146.1204,146.1204,7.0,171.0,2018-10-25,FC,FCV18
2017-12-28,144.2062,144.2062,144.2062,144.2062,22.0,176.0,2018-10-25,FC,FCV18
2017-12-29,145.3598,145.3598,145.3598,145.3598,26.0,200.0,2018-10-25,FC,FCV18
2018-01-02,143.6155,143.6155,143.6155,143.6155,27.0,215.0,2018-10-25,FC,FCV18
2018-01-03,142.0214,142.0214,142.0214,142.0214,18.0,184.0,2018-10-25,FC,FCV18
2018-01-04,144.4358,144.4358,144.4358,144.4358,29.0,191.0,2018-10-25,FC,FCV18
2018-01-05,143.1648,143.1648,143.1648,143.1648,46.0,201.0,2018-10-25,FC,FCV18
2018-01-08,141.4898,141.4898,141.4898,141.4898,44.0,194.0,2018-10-25,FC,FCV18
2018-01-09,139.5231,139.5231,139.5231,139.5231,97.0,216.0,2018-10-25,FC,FCV18
2018-01-10,138.4488,138.4488,138.4488,138.4488,100.0,225.0,2018-10-25,FC,FCV18
2018-01-11,136.1644,136.1644,136.1644,136.1644,85.0,191.0,2018-10-25,FC,FCV18
2018-01-12,134.19,134.19,134.19,134.19,49.0,193.0,2018-10-25,FC,FCV18
2018-01-16,135.9076,135.9076,135.9076,135.9076,59.0,180.0,2018-10-25,FC,FCV18
2018-01-17,135.9756,135.9756,135.9756,135.9756,40.0,166.0,2018-10-25,FC,FCV18
2018-01-18,138.3688,138.3688,138.3688,138.3688,62.0,203.0,2018-10-25,FC,FCV18
2018-01-19,136.8052,136.8052,136.8052,136.8052,148.0,230.0,2018-10-25,FC,FCV18
2018-01-22,135.1909,135.1909,135.1909,135.1909,182.0,271.0,2018-10-25,FC,FCV18
2018-01-23,135.3396,135.3396,135.3396,135.3396,244.0,382.0,2018-10-25,FC,FCV18
2018-01-24,135.3125,135.3125,135.3125,135.3125,104.0,315.0,2018-10-25,FC,FCV18
