,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-19,159.1771,159.1771,159.1771,159.1771,0.0,0.0,2016-11-18,FC,FCX16
2015-11-20,161.7717,161.7717,161.7717,161.7717,37.0,28.0,2016-11-18,FC,FCX16
2015-11-23,162.7909,162.7909,162.7909,162.7909,28.0,55.0,2016-11-18,FC,FCX16
2015-11-24,158.4281,158.4281,158.4281,158.4281,14.0,60.0,2016-11-18,FC,FCX16
2015-11-25,159.6005,159.6005,159.6005,159.6005,13.0,65.0,2016-11-18,FC,FCX16
2015-11-27,162.1062,162.1062,162.1062,162.1062,3.0,74.0,2016-11-18,FC,FCX16
2015-11-30,163.4193,163.4193,163.4193,163.4193,14.0,86.0,2016-11-18,FC,FCX16
2015-12-01,164.171,164.171,164.171,164.171,15.0,82.0,2016-11-18,FC,FCX16
2015-12-02,162.2009,162.2009,162.2009,162.2009,10.0,91.0,2016-11-18,FC,FCX16
2015-12-03,164.0176,164.0176,164.0176,164.0176,7.0,111.0,2016-11-18,FC,FCX16
2015-12-04,162.443,162.443,162.443,162.443,22.0,117.0,2016-11-18,FC,FCX16
2015-12-07,159.2266,159.2266,159.2266,159.2266,22.0,149.0,2016-11-18,FC,FCX16
2015-12-08,157.9369,157.9369,157.9369,157.9369,32.0,154.0,2016-11-18,FC,FCX16
2015-12-09,155.8837,155.8837,155.8837,155.8837,26.0,181.0,2016-11-18,FC,FCX16
2015-12-10,152.1425,152.1425,152.1425,152.1425,56.0,202.0,2016-11-18,FC,FCX16
2015-12-11,151.0014,151.0014,151.0014,151.0014,11.0,144.0,2016-11-18,FC,FCX16
2015-12-14,147.8606,147.8606,147.8606,147.8606,16.0,178.0,2016-11-18,FC,FCX16
2015-12-15,145.8645,145.8645,145.8645,145.8645,27.0,199.0,2016-11-18,FC,FCX16
2015-12-16,146.1416,146.1416,146.1416,146.1416,41.0,165.0,2016-11-18,FC,FCX16
2015-12-17,149.1813,149.1813,149.1813,149.1813,56.0,222.0,2016-11-18,FC,FCX16
2015-12-18,152.5677,152.5677,152.5677,152.5677,32.0,260.0,2016-11-18,FC,FCX16
2015-12-21,155.8784,155.8784,155.8784,155.8784,34.0,228.0,2016-11-18,FC,FCX16
2015-12-22,153.8832,153.8832,153.8832,153.8832,37.0,248.0,2016-11-18,FC,FCX16
2015-12-23,156.7916,156.7916,156.7916,156.7916,28.0,228.0,2016-11-18,FC,FCX16
2015-12-24,157.3717,157.3717,157.3717,157.3717,12.0,232.0,2016-11-18,FC,FCX16
2015-12-28,155.8924,155.8924,155.8924,155.8924,9.0,277.0,2016-11-18,FC,FCX16
2015-12-29,156.516,156.516,156.516,156.516,14.0,247.0,2016-11-18,FC,FCX16
2015-12-30,160.0376,160.0376,160.0376,160.0376,8.0,232.0,2016-11-18,FC,FCX16
2015-12-31,162.0701,162.0701,162.0701,162.0701,15.0,328.0,2016-11-18,FC,FCX16
2016-01-04,158.9746,158.9746,158.9746,158.9746,18.0,325.0,2016-11-18,FC,FCX16
2016-01-05,158.5295,158.5295,158.5295,158.5295,24.0,294.0,2016-11-18,FC,FCX16
2016-01-06,161.7952,161.7952,161.7952,161.7952,45.0,328.0,2016-11-18,FC,FCX16
2016-01-07,165.2414,165.2414,165.2414,165.2414,30.0,306.0,2016-11-18,FC,FCX16
2016-01-08,164.0847,164.0847,164.0847,164.0847,33.0,354.0,2016-11-18,FC,FCX16
2016-01-11,163.0181,163.0181,163.0181,163.0181,42.0,401.0,2016-11-18,FC,FCX16
2016-01-12,165.1047,165.1047,165.1047,165.1047,64.0,342.0,2016-11-18,FC,FCX16
2016-01-13,166.0623,166.0623,166.0623,166.0623,17.0,416.0,2016-11-18,FC,FCX16
2016-01-14,169.5662,169.5662,169.5662,169.5662,41.0,422.0,2016-11-18,FC,FCX16
2016-01-15,171.7027,171.7027,171.7027,171.7027,60.0,357.0,2016-11-18,FC,FCX16
2016-01-19,173.6945,173.6945,173.6945,173.6945,73.0,307.0,2016-11-18,FC,FCX16
2016-01-20,172.8087,172.8087,172.8087,172.8087,32.0,306.0,2016-11-18,FC,FCX16
