,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-30,117.2592,117.2592,117.2592,117.2592,0.0,0.0,2018-03-29,FV,FVH18
2017-07-03,117.1185,117.1185,117.1185,117.1185,0.0,0.0,2018-03-29,FV,FVH18
2017-07-05,117.2239,117.2239,117.2239,117.2239,0.0,0.0,2018-03-29,FV,FVH18
2017-07-06,117.2708,117.2708,117.2708,117.2708,0.0,0.0,2018-03-29,FV,FVH18
2017-07-07,117.3412,117.3412,117.3412,117.3412,0.0,0.0,2018-03-29,FV,FVH18
2017-07-10,117.5055,117.5055,117.5055,117.5055,0.0,0.0,2018-03-29,FV,FVH18
2017-07-11,117.4585,117.4585,117.4585,117.4585,0.0,0.0,2018-03-29,FV,FVH18
2017-07-12,117.2823,117.2823,117.2823,117.2823,0.0,0.0,2018-03-29,FV,FVH18
2017-07-13,117.3409,117.3409,117.3409,117.3409,0.0,0.0,2018-03-29,FV,FVH18
2017-07-14,117.4582,117.4582,117.4582,117.4582,0.0,0.0,2018-03-29,FV,FVH18
2017-07-17,117.376,117.376,117.376,117.376,0.0,0.0,2018-03-29,FV,FVH18
2017-07-18,117.376,117.376,117.376,117.376,0.0,0.0,2018-03-29,FV,FVH18
2017-07-19,117.4347,117.4347,117.4347,117.4347,0.0,0.0,2018-03-29,FV,FVH18
2017-07-20,117.1763,117.1763,117.1763,117.1763,0.0,0.0,2018-03-29,FV,FVH18
2017-07-21,117.2935,117.2935,117.2935,117.2935,0.0,0.0,2018-03-29,FV,FVH18
2017-07-24,117.317,117.317,117.317,117.317,0.0,0.0,2018-03-29,FV,FVH18
2017-07-25,117.1058,117.1058,117.1058,117.1058,0.0,0.0,2018-03-29,FV,FVH18
2017-07-26,116.9536,116.9536,116.9536,116.9536,0.0,0.0,2018-03-29,FV,FVH18
2017-07-27,117.0822,117.0822,117.0822,117.0822,0.0,0.0,2018-03-29,FV,FVH18
2017-07-28,117.0002,117.0002,117.0002,117.0002,0.0,0.0,2018-03-29,FV,FVH18
2017-07-31,117.0821,117.0821,117.0821,117.0821,0.0,0.0,2018-03-29,FV,FVH18
2017-08-01,117.2577,117.2577,117.2577,117.2577,0.0,0.0,2018-03-29,FV,FVH18
2017-08-02,117.1756,117.1756,117.1756,117.1756,0.0,0.0,2018-03-29,FV,FVH18
2017-08-03,117.117,117.117,117.117,117.117,0.0,0.0,2018-03-29,FV,FVH18
2017-08-04,117.0819,117.0819,117.0819,117.0819,0.0,0.0,2018-03-29,FV,FVH18
2017-08-07,116.8009,116.8009,116.8009,116.8009,0.0,0.0,2018-03-29,FV,FVH18
2017-08-08,116.8943,116.8943,116.8943,116.8943,0.0,0.0,2018-03-29,FV,FVH18
2017-08-09,116.6722,116.6722,116.6722,116.6722,0.0,0.0,2018-03-29,FV,FVH18
2017-08-10,116.5439,116.5439,116.5439,116.5439,0.0,0.0,2018-03-29,FV,FVH18
2017-08-11,116.6138,116.6138,116.6138,116.6138,0.0,0.0,2018-03-29,FV,FVH18
2017-08-14,116.3572,116.3572,116.3572,116.3572,0.0,0.0,2018-03-29,FV,FVH18
2017-08-15,116.1361,116.1361,116.1361,116.1361,0.0,0.0,2018-03-29,FV,FVH18
2017-08-16,115.9619,115.9619,115.9619,115.9619,0.0,0.0,2018-03-29,FV,FVH18
2017-08-17,115.7648,115.7648,115.7648,115.7648,0.0,0.0,2018-03-29,FV,FVH18
2017-08-18,115.7532,115.7532,115.7532,115.7532,0.0,0.0,2018-03-29,FV,FVH18
2017-08-21,115.4638,115.4638,115.4638,115.4638,0.0,0.0,2018-03-29,FV,FVH18
2017-08-22,115.4176,115.4176,115.4176,115.4176,0.0,0.0,2018-03-29,FV,FVH18
2017-08-23,115.2098,115.2098,115.2098,115.2098,0.0,0.0,2018-03-29,FV,FVH18
2017-08-24,115.1868,115.1868,115.1868,115.1868,0.0,0.0,2018-03-29,FV,FVH18
2017-08-25,114.9679,114.9679,114.9679,114.9679,0.0,0.0,2018-03-29,FV,FVH18
2017-08-28,115.1518,115.1518,115.1518,115.1518,0.0,0.0,2018-03-29,FV,FVH18
2017-08-29,115.3936,115.3936,115.3936,115.3936,0.0,0.0,2018-03-29,FV,FVH18
2017-08-30,115.3128,115.3128,115.3128,115.3128,0.0,0.0,2018-03-29,FV,FVH18
2017-08-31,115.3243,115.3243,115.3243,115.3243,0.0,0.0,2018-03-29,FV,FVH18
2017-09-01,115.4281,115.4281,115.4281,115.4281,0.0,0.0,2018-03-29,FV,FVH18
2017-09-05,115.3935,115.3935,115.3935,115.3935,0.0,0.0,2018-03-29,FV,FVH18
2017-09-06,115.1281,115.1281,115.1281,115.1281,0.0,0.0,2018-03-29,FV,FVH18
2017-09-07,115.2663,115.2663,115.2663,115.2663,0.0,0.0,2018-03-29,FV,FVH18
2017-09-08,115.1626,115.1626,115.1626,115.1626,0.0,0.0,2018-03-29,FV,FVH18
2017-09-11,115.1511,115.1511,115.1511,115.1511,0.0,0.0,2018-03-29,FV,FVH18
2017-09-12,115.4159,115.4159,115.4159,115.4159,0.0,0.0,2018-03-29,FV,FVH18
2017-09-13,115.5775,115.5775,115.5775,115.5775,0.0,0.0,2018-03-29,FV,FVH18
2017-09-14,115.5428,115.5428,115.5428,115.5428,0.0,0.0,2018-03-29,FV,FVH18
2017-09-15,115.5312,115.5312,115.5312,115.5312,0.0,0.0,2018-03-29,FV,FVH18
2017-09-18,115.6698,115.6698,115.6698,115.6698,0.0,0.0,2018-03-29,FV,FVH18
2017-09-19,115.5426,115.5426,115.5426,115.5426,0.0,0.0,2018-03-29,FV,FVH18
2017-09-20,115.6697,115.6697,115.6697,115.6697,0.0,0.0,2018-03-29,FV,FVH18
2017-09-21,115.5078,115.5078,115.5078,115.5078,0.0,0.0,2018-03-29,FV,FVH18
2017-09-22,115.7735,115.7735,115.7735,115.7735,0.0,0.0,2018-03-29,FV,FVH18
2017-09-25,115.7735,115.7735,115.7735,115.7735,0.0,0.0,2018-03-29,FV,FVH18
2017-09-26,115.9124,115.9124,115.9124,115.9124,0.0,0.0,2018-03-29,FV,FVH18
2017-09-27,115.9935,115.9935,115.9935,115.9935,0.0,0.0,2018-03-29,FV,FVH18
2017-09-28,116.1443,116.1443,116.1443,116.1443,0.0,0.0,2018-03-29,FV,FVH18
2017-09-29,116.0282,116.0282,116.0282,116.0282,6.0,4.0,2018-03-29,FV,FVH18
2017-10-02,116.1094,116.1094,116.1094,116.1094,0.0,5.0,2018-03-29,FV,FVH18
2017-10-03,116.2487,116.2487,116.2487,116.2487,0.0,4.0,2018-03-29,FV,FVH18
2017-10-04,116.3301,116.3301,116.3301,116.3301,0.0,5.0,2018-03-29,FV,FVH18
2017-10-05,116.4697,116.4697,116.4697,116.4697,243.0,176.0,2018-03-29,FV,FVH18
2017-10-06,116.7026,116.7026,116.7026,116.7026,1.0,183.0,2018-03-29,FV,FVH18
2017-10-09,116.7843,116.7843,116.7843,116.7843,0.0,208.0,2018-03-29,FV,FVH18
2017-10-10,116.8193,116.8193,116.8193,116.8193,2.0,252.0,2018-03-29,FV,FVH18
2017-10-11,116.7609,116.7609,116.7609,116.7609,0.0,192.0,2018-03-29,FV,FVH18
2017-10-12,116.9944,116.9944,116.9944,116.9944,0.0,253.0,2018-03-29,FV,FVH18
2017-10-13,117.0178,117.0178,117.0178,117.0178,5.0,198.0,2018-03-29,FV,FVH18
2017-10-16,117.2284,117.2284,117.2284,117.2284,3.0,255.0,2018-03-29,FV,FVH18
2017-10-17,117.3808,117.3808,117.3808,117.3808,121.0,234.0,2018-03-29,FV,FVH18
2017-10-18,117.416,117.416,117.416,117.416,6018.0,6227.0,2018-03-29,FV,FVH18
2017-10-19,117.4864,117.4864,117.4864,117.4864,264.0,6246.0,2018-03-29,FV,FVH18
2017-10-20,117.6391,117.6391,117.6391,117.6391,803.0,6232.0,2018-03-29,FV,FVH18
2017-10-23,117.8509,117.8509,117.8509,117.8509,425.0,6904.0,2018-03-29,FV,FVH18
2017-10-24,117.7095,117.7095,117.7095,117.7095,351.0,6582.0,2018-03-29,FV,FVH18
2017-10-25,117.9331,117.9331,117.9331,117.9331,773.0,7745.0,2018-03-29,FV,FVH18
2017-10-26,118.0746,118.0746,118.0746,118.0746,18386.0,13278.0,2018-03-29,FV,FVH18
2017-10-27,118.1336,118.1336,118.1336,118.1336,19098.0,18659.0,2018-03-29,FV,FVH18
2017-10-30,118.3226,118.3226,118.3226,118.3226,6005.0,20634.0,2018-03-29,FV,FVH18
2017-10-31,118.3108,118.3108,118.3108,118.3108,7413.0,25659.0,2018-03-29,FV,FVH18
2017-11-01,118.1097,118.1097,118.1097,118.1097,11098.0,31014.0,2018-03-29,FV,FVH18
2017-11-02,118.0625,118.0625,118.0625,118.0625,3316.0,38682.0,2018-03-29,FV,FVH18
2017-11-03,117.8146,117.8146,117.8146,117.8146,6026.0,35683.0,2018-03-29,FV,FVH18
2017-11-06,117.8735,117.8735,117.8735,117.8735,2608.0,42198.0,2018-03-29,FV,FVH18
2017-11-07,117.7792,117.7792,117.7792,117.7792,17989.0,52961.0,2018-03-29,FV,FVH18
2017-11-08,117.5083,117.5083,117.5083,117.5083,10107.0,63253.0,2018-03-29,FV,FVH18
2017-11-09,117.6376,117.6376,117.6376,117.6376,7808.0,53169.0,2018-03-29,FV,FVH18
