,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-31,119.8838,119.8838,119.8838,119.8838,0.0,0.0,2016-06-30,FV,FVM16
2015-04-01,119.9557,119.9557,119.9557,119.9557,0.0,0.0,2016-06-30,FV,FVM16
2015-04-02,120.0996,120.0996,120.0996,120.0996,0.0,0.0,2016-06-30,FV,FVM16
2015-04-03,119.9795,119.9795,119.9795,119.9795,0.0,0.0,2016-06-30,FV,FVM16
2015-04-06,120.2435,120.2435,120.2435,120.2435,0.0,0.0,2016-06-30,FV,FVM16
2015-04-07,120.6523,120.6523,120.6523,120.6523,0.0,0.0,2016-06-30,FV,FVM16
2015-04-08,120.7488,120.7488,120.7488,120.7488,0.0,0.0,2016-06-30,FV,FVM16
2015-04-09,120.2417,120.2417,120.2417,120.2417,0.0,0.0,2016-06-30,FV,FVM16
2015-04-10,120.5183,120.5183,120.5183,120.5183,0.0,0.0,2016-06-30,FV,FVM16
2015-04-13,120.7714,120.7714,120.7714,120.7714,0.0,0.0,2016-06-30,FV,FVM16
2015-04-14,121.2183,121.2183,121.2183,121.2183,0.0,0.0,2016-06-30,FV,FVM16
2015-04-15,121.6304,121.6304,121.6304,121.6304,0.0,0.0,2016-06-30,FV,FVM16
2015-04-16,121.7034,121.7034,121.7034,121.7034,0.0,0.0,2016-06-30,FV,FVM16
2015-04-17,121.7764,121.7764,121.7764,121.7764,0.0,0.0,2016-06-30,FV,FVM16
2015-04-20,121.3989,121.3989,121.3989,121.3989,0.0,0.0,2016-06-30,FV,FVM16
2015-04-21,121.2168,121.2168,121.2168,121.2168,0.0,0.0,2016-06-30,FV,FVM16
2015-04-22,121.3017,121.3017,121.3017,121.3017,0.0,0.0,2016-06-30,FV,FVM16
2015-04-23,121.4594,121.4594,121.4594,121.4594,0.0,0.0,2016-06-30,FV,FVM16
2015-04-24,121.6902,121.6902,121.6902,121.6902,0.0,0.0,2016-06-30,FV,FVM16
2015-04-27,121.2886,121.2886,121.2886,121.2886,0.0,0.0,2016-06-30,FV,FVM16
2015-04-28,121.7495,121.7495,121.7495,121.7495,0.0,0.0,2016-06-30,FV,FVM16
2015-04-29,121.2625,121.2625,121.2625,121.2625,0.0,0.0,2016-06-30,FV,FVM16
2015-04-30,121.3595,121.3595,121.3595,121.3595,0.0,0.0,2016-06-30,FV,FVM16
2015-05-01,121.1532,121.1532,121.1532,121.1532,0.0,0.0,2016-06-30,FV,FVM16
2015-05-04,121.129,121.129,121.129,121.129,0.0,0.0,2016-06-30,FV,FVM16
2015-05-05,120.8141,120.8141,120.8141,120.8141,0.0,0.0,2016-06-30,FV,FVM16
2015-05-06,120.5604,120.5604,120.5604,120.5604,0.0,0.0,2016-06-30,FV,FVM16
2015-05-07,120.9944,120.9944,120.9944,120.9944,0.0,0.0,2016-06-30,FV,FVM16
2015-05-08,121.0307,121.0307,121.0307,121.0307,0.0,0.0,2016-06-30,FV,FVM16
2015-05-11,120.8734,120.8734,120.8734,120.8734,0.0,0.0,2016-06-30,FV,FVM16
2015-05-12,120.4503,120.4503,120.4503,120.4503,0.0,0.0,2016-06-30,FV,FVM16
2015-05-13,120.4142,120.4142,120.4142,120.4142,0.0,0.0,2016-06-30,FV,FVM16
2015-05-14,120.4985,120.4985,120.4985,120.4985,0.0,0.0,2016-06-30,FV,FVM16
2015-05-15,120.6913,120.6913,120.6913,120.6913,0.0,0.0,2016-06-30,FV,FVM16
2015-05-18,120.6672,120.6672,120.6672,120.6672,0.0,0.0,2016-06-30,FV,FVM16
2015-05-19,120.9689,120.9689,120.9689,120.9689,0.0,0.0,2016-06-30,FV,FVM16
2015-05-20,121.1987,121.1987,121.1987,121.1987,0.0,0.0,2016-06-30,FV,FVM16
2015-05-21,121.4653,121.4653,121.4653,121.4653,0.0,0.0,2016-06-30,FV,FVM16
2015-05-22,121.5868,121.5868,121.5868,121.5868,0.0,0.0,2016-06-30,FV,FVM16
2015-05-26,121.1977,121.1977,121.1977,121.1977,0.0,0.0,2016-06-30,FV,FVM16
2015-05-27,121.6825,121.6825,121.6825,121.6825,0.0,0.0,2016-06-30,FV,FVM16
2015-05-28,121.8772,121.8772,121.8772,121.8772,0.0,0.0,2016-06-30,FV,FVM16
2015-05-29,121.7309,121.7309,121.7309,121.7309,0.0,0.0,2016-06-30,FV,FVM16
2015-06-01,121.2561,121.2561,121.2561,121.2561,0.0,0.0,2016-06-30,FV,FVM16
2015-06-02,121.1591,121.1591,121.1591,121.1591,0.0,0.0,2016-06-30,FV,FVM16
2015-06-03,121.353,121.353,121.353,121.353,0.0,0.0,2016-06-30,FV,FVM16
2015-06-04,120.8555,120.8555,120.8555,120.8555,0.0,0.0,2016-06-30,FV,FVM16
2015-06-05,121.3389,121.3389,121.3389,121.3389,0.0,0.0,2016-06-30,FV,FVM16
2015-06-08,121.6665,121.6665,121.6665,121.6665,0.0,0.0,2016-06-30,FV,FVM16
2015-06-09,121.2893,121.2893,121.2893,121.2893,0.0,0.0,2016-06-30,FV,FVM16
2015-06-10,120.8648,120.8648,120.8648,120.8648,0.0,0.0,2016-06-30,FV,FVM16
2015-06-11,120.9736,120.9736,120.9736,120.9736,0.0,0.0,2016-06-30,FV,FVM16
2015-06-12,120.8526,120.8526,120.8526,120.8526,0.0,0.0,2016-06-30,FV,FVM16
2015-06-15,120.9251,120.9251,120.9251,120.9251,0.0,0.0,2016-06-30,FV,FVM16
2015-06-16,121.2637,121.2637,121.2637,121.2637,0.0,0.0,2016-06-30,FV,FVM16
2015-06-17,121.482,121.482,121.482,121.482,0.0,0.0,2016-06-30,FV,FVM16
2015-06-18,121.1419,121.1419,121.1419,121.1419,0.0,0.0,2016-06-30,FV,FVM16
2015-06-19,120.6937,120.6937,120.6937,120.6937,0.0,0.0,2016-06-30,FV,FVM16
