,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-01-02,115.631,115.631,115.631,115.631,0.0,0.0,2018-09-28,FV,FVU18
2018-01-03,115.8507,115.8507,115.8507,115.8507,0.0,0.0,2018-09-28,FV,FVU18
2018-01-04,116.1403,116.1403,116.1403,116.1403,0.0,0.0,2018-09-28,FV,FVU18
2018-01-05,116.419,116.419,116.419,116.419,0.0,0.0,2018-09-28,FV,FVU18
2018-01-08,116.1745,116.1745,116.1745,116.1745,0.0,0.0,2018-09-28,FV,FVU18
2018-01-09,116.4766,116.4766,116.4766,116.4766,0.0,0.0,2018-09-28,FV,FVU18
2018-01-10,116.7096,116.7096,116.7096,116.7096,0.0,0.0,2018-09-28,FV,FVU18
2018-01-11,116.803,116.803,116.803,116.803,0.0,0.0,2018-09-28,FV,FVU18
2018-01-12,116.4876,116.4876,116.4876,116.4876,0.0,0.0,2018-09-28,FV,FVU18
2018-01-16,116.7905,116.7905,116.7905,116.7905,0.0,0.0,2018-09-28,FV,FVU18
2018-01-17,116.4752,116.4752,116.4752,116.4752,0.0,0.0,2018-09-28,FV,FVU18
2018-01-18,116.4636,116.4636,116.4636,116.4636,0.0,0.0,2018-09-28,FV,FVU18
2018-01-19,116.6266,116.6266,116.6266,116.6266,0.0,0.0,2018-09-28,FV,FVU18
2018-01-22,116.8715,116.8715,116.8715,116.8715,0.0,0.0,2018-09-28,FV,FVU18
2018-01-23,116.7546,116.7546,116.7546,116.7546,0.0,0.0,2018-09-28,FV,FVU18
2018-01-24,116.9881,116.9881,116.9881,116.9881,0.0,0.0,2018-09-28,FV,FVU18
2018-01-25,117.0934,117.0934,117.0934,117.0934,0.0,0.0,2018-09-28,FV,FVU18
2018-01-26,117.0934,117.0934,117.0934,117.0934,0.0,0.0,2018-09-28,FV,FVU18
2018-01-29,116.8592,116.8592,116.8592,116.8592,0.0,0.0,2018-09-28,FV,FVU18
2018-01-30,117.0462,117.0462,117.0462,117.0462,0.0,0.0,2018-09-28,FV,FVU18
2018-01-31,117.3739,117.3739,117.3739,117.3739,0.0,0.0,2018-09-28,FV,FVU18
2018-02-01,117.5617,117.5617,117.5617,117.5617,0.0,0.0,2018-09-28,FV,FVU18
2018-02-02,117.4677,117.4677,117.4677,117.4677,6.0,5.0,2018-09-28,FV,FVU18
2018-02-05,117.5264,117.5264,117.5264,117.5264,0.0,5.0,2018-09-28,FV,FVU18
2018-02-06,117.3854,117.3854,117.3854,117.3854,0.0,5.0,2018-09-28,FV,FVU18
2018-02-07,117.4206,117.4206,117.4206,117.4206,0.0,5.0,2018-09-28,FV,FVU18
2018-02-08,117.1388,117.1388,117.1388,117.1388,0.0,7.0,2018-09-28,FV,FVU18
2018-02-09,116.9748,116.9748,116.9748,116.9748,0.0,6.0,2018-09-28,FV,FVU18
2018-02-12,117.1971,117.1971,117.1971,117.1971,0.0,5.0,2018-09-28,FV,FVU18
2018-02-13,117.2088,117.2088,117.2088,117.2088,0.0,6.0,2018-09-28,FV,FVU18
2018-02-14,117.3963,117.3963,117.3963,117.3963,0.0,6.0,2018-09-28,FV,FVU18
2018-02-15,117.0911,117.0911,117.0911,117.0911,0.0,7.0,2018-09-28,FV,FVU18
2018-02-16,117.1848,117.1848,117.1848,117.1848,0.0,5.0,2018-09-28,FV,FVU18
2018-02-20,117.2551,117.2551,117.2551,117.2551,0.0,5.0,2018-09-28,FV,FVU18
2018-02-21,117.5834,117.5834,117.5834,117.5834,0.0,6.0,2018-09-28,FV,FVU18
2018-02-22,117.2659,117.2659,117.2659,117.2659,0.0,7.0,2018-09-28,FV,FVU18
2018-02-23,117.0079,117.0079,117.0079,117.0079,0.0,6.0,2018-09-28,FV,FVU18
2018-02-26,116.8558,116.8558,116.8558,116.8558,0.0,5.0,2018-09-28,FV,FVU18
2018-02-27,116.9843,116.9843,116.9843,116.9843,0.0,6.0,2018-09-28,FV,FVU18
2018-02-28,116.9726,116.9726,116.9726,116.9726,0.0,5.0,2018-09-28,FV,FVU18
2018-03-01,117.1364,117.1364,117.1364,117.1364,0.0,6.0,2018-09-28,FV,FVU18
2018-03-02,117.3004,117.3004,117.3004,117.3004,0.0,5.0,2018-09-28,FV,FVU18
2018-03-05,117.1127,117.1127,117.1127,117.1127,0.0,6.0,2018-09-28,FV,FVU18
2018-03-06,117.2649,117.2649,117.2649,117.2649,0.0,6.0,2018-09-28,FV,FVU18
2018-03-07,117.2766,117.2766,117.2766,117.2766,0.0,5.0,2018-09-28,FV,FVU18
2018-03-08,117.2062,117.2062,117.2062,117.2062,0.0,5.0,2018-09-28,FV,FVU18
2018-03-09,117.4875,117.4875,117.4875,117.4875,0.0,6.0,2018-09-28,FV,FVU18
2018-03-12,117.652,117.652,117.652,117.652,0.0,5.0,2018-09-28,FV,FVU18
2018-03-13,117.852,117.852,117.852,117.852,0.0,7.0,2018-09-28,FV,FVU18
2018-03-14,118.0288,118.0288,118.0288,118.0288,0.0,6.0,2018-09-28,FV,FVU18
2018-03-15,117.8045,117.8045,117.8045,117.8045,0.0,6.0,2018-09-28,FV,FVU18
2018-03-16,117.4746,117.4746,117.4746,117.4746,0.0,6.0,2018-09-28,FV,FVU18
2018-03-19,117.4746,117.4746,117.4746,117.4746,0.0,5.0,2018-09-28,FV,FVU18
2018-03-20,117.4629,117.4629,117.4629,117.4629,0.0,5.0,2018-09-28,FV,FVU18
2018-03-21,117.5099,117.5099,117.5099,117.5099,0.0,7.0,2018-09-28,FV,FVU18
2018-03-22,117.7332,117.7332,117.7332,117.7332,0.0,5.0,2018-09-28,FV,FVU18
2018-03-23,117.4624,117.4624,117.4624,117.4624,0.0,7.0,2018-09-28,FV,FVU18
2018-03-26,117.1335,117.1335,117.1335,117.1335,0.0,5.0,2018-09-28,FV,FVU18
2018-03-27,116.9578,116.9578,116.9578,116.9578,0.0,6.0,2018-09-28,FV,FVU18
2018-03-28,116.6888,116.6888,116.6888,116.6888,0.0,5.0,2018-09-28,FV,FVU18
2018-03-29,116.4438,116.4438,116.4438,116.4438,0.0,7.0,2018-09-28,FV,FVU18
2018-04-02,116.2691,116.2691,116.2691,116.2691,0.0,5.0,2018-09-28,FV,FVU18
2018-04-03,116.1296,116.1296,116.1296,116.1296,0.0,5.0,2018-09-28,FV,FVU18
2018-04-04,115.967,115.967,115.967,115.967,0.0,6.0,2018-09-28,FV,FVU18
2018-04-05,115.7235,115.7235,115.7235,115.7235,0.0,5.0,2018-09-28,FV,FVU18
2018-04-06,115.4342,115.4342,115.4342,115.4342,1.0,7.0,2018-09-28,FV,FVU18
2018-04-09,115.3419,115.3419,115.3419,115.3419,543.0,465.0,2018-09-28,FV,FVU18
2018-04-10,115.0881,115.0881,115.0881,115.0881,232.0,738.0,2018-09-28,FV,FVU18
2018-04-11,114.9845,114.9845,114.9845,114.9845,813.0,1305.0,2018-09-28,FV,FVU18
2018-04-12,114.973,114.973,114.973,114.973,640.0,1883.0,2018-09-28,FV,FVU18
2018-04-13,115.2144,115.2144,115.2144,115.2144,287.0,2161.0,2018-09-28,FV,FVU18
2018-04-16,115.3757,115.3757,115.3757,115.3757,3592.0,7220.0,2018-09-28,FV,FVU18
2018-04-17,115.6988,115.6988,115.6988,115.6988,7535.0,12513.0,2018-09-28,FV,FVU18
2018-04-18,115.5947,115.5947,115.5947,115.5947,10372.0,21376.0,2018-09-28,FV,FVU18
2018-04-19,115.6641,115.6641,115.6641,115.6641,3618.0,15186.0,2018-09-28,FV,FVU18
2018-04-20,115.7219,115.7219,115.7219,115.7219,3316.0,19374.0,2018-09-28,FV,FVU18
2018-04-23,115.8955,115.8955,115.8955,115.8955,5390.0,18410.0,2018-09-28,FV,FVU18
2018-04-24,115.7796,115.7796,115.7796,115.7796,393.0,26044.0,2018-09-28,FV,FVU18
2018-04-25,116.0227,116.0227,116.0227,116.0227,5265.0,22491.0,2018-09-28,FV,FVU18
2018-04-26,116.0923,116.0923,116.0923,116.0923,20057.0,29199.0,2018-09-28,FV,FVU18
2018-04-27,116.0575,116.0575,116.0575,116.0575,2974.0,28751.0,2018-09-28,FV,FVU18
2018-04-30,116.336,116.336,116.336,116.336,2004.0,31537.0,2018-09-28,FV,FVU18
2018-05-01,116.6617,116.6617,116.6617,116.6617,5638.0,32221.0,2018-09-28,FV,FVU18
2018-05-02,116.5917,116.5917,116.5917,116.5917,6857.0,35162.0,2018-09-28,FV,FVU18
2018-05-03,116.5217,116.5217,116.5217,116.5217,9899.0,45106.0,2018-09-28,FV,FVU18
2018-05-04,116.545,116.545,116.545,116.545,23784.0,54667.0,2018-09-28,FV,FVU18
2018-05-07,116.7548,116.7548,116.7548,116.7548,15023.0,41924.0,2018-09-28,FV,FVU18
2018-05-08,116.7665,116.7665,116.7665,116.7665,33544.0,53637.0,2018-09-28,FV,FVU18
2018-05-09,116.9183,116.9183,116.9183,116.9183,92653.0,149627.0,2018-09-28,FV,FVU18
2018-05-10,116.6143,116.6143,116.6143,116.6143,60898.0,208646.0,2018-09-28,FV,FVU18
2018-05-11,116.591,116.591,116.591,116.591,8775.0,181497.0,2018-09-28,FV,FVU18
2018-05-14,116.7309,116.7309,116.7309,116.7309,25468.0,168516.0,2018-09-28,FV,FVU18
2018-05-15,116.5091,116.5091,116.5091,116.5091,141702.0,350178.0,2018-09-28,FV,FVU18
2018-05-16,116.6839,116.6839,116.6839,116.6839,64511.0,308417.0,2018-09-28,FV,FVU18
2018-05-17,116.4505,116.4505,116.4505,116.4505,71739.0,329123.0,2018-09-28,FV,FVU18
2018-05-18,116.7533,116.7533,116.7533,116.7533,107261.0,480953.0,2018-09-28,FV,FVU18
2018-05-21,117.0452,117.0452,117.0452,117.0452,182304.0,499571.0,2018-09-28,FV,FVU18
2018-05-22,117.0803,117.0803,117.0803,117.0803,241610.0,784779.0,2018-09-28,FV,FVU18
2018-05-23,116.9983,116.9983,116.9983,116.9983,733757.0,1009938.0,2018-09-28,FV,FVU18
