,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-04-03,117.8245,117.8245,117.8245,117.8245,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-04,117.6124,117.6124,117.6124,117.6124,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-05,117.5654,117.5654,117.5654,117.5654,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-06,117.4008,117.4008,117.4008,117.4008,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-07,117.6004,117.6004,117.6004,117.6004,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-10,117.4358,117.4358,117.4358,117.4358,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-11,117.5415,117.5415,117.5415,117.5415,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-12,117.5885,117.5885,117.5885,117.5885,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-13,117.7178,117.7178,117.7178,117.7178,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-17,117.8355,117.8355,117.8355,117.8355,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-18,117.9769,117.9769,117.9769,117.9769,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-19,117.7291,117.7291,117.7291,117.7291,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-20,117.682,117.682,117.682,117.682,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-21,117.4937,117.4937,117.4937,117.4937,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-24,117.6699,117.6699,117.6699,117.6699,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-25,117.5875,117.5875,117.5875,117.5875,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-26,117.564,117.564,117.564,117.564,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-27,117.7756,117.7756,117.7756,117.7756,0.0,0.0,2017-12-29,FV,FVZ17
2017-04-28,117.964,117.964,117.964,117.964,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-01,117.6809,117.6809,117.6809,117.6809,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-02,117.7633,117.7633,117.7633,117.7633,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-03,118.0224,118.0224,118.0224,118.0224,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-04,118.105,118.105,118.105,118.105,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-05,118.1286,118.1286,118.1286,118.1286,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-08,118.3176,118.3176,118.3176,118.3176,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-09,118.0218,118.0218,118.0218,118.0218,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-10,118.0808,118.0808,118.0808,118.0808,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-11,118.069,118.069,118.069,118.069,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-12,117.8919,117.8919,117.8919,117.8919,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-15,118.1631,118.1631,118.1631,118.1631,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-16,118.364,118.364,118.364,118.364,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-17,118.2101,118.2101,118.2101,118.2101,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-18,118.482,118.482,118.482,118.482,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-19,118.7664,118.7664,118.7664,118.7664,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-22,118.612,118.612,118.612,118.612,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-23,118.6832,118.6832,118.6832,118.6832,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-24,118.6713,118.6713,118.6713,118.6713,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-25,118.6832,118.6832,118.6832,118.6832,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-26,118.6832,118.6832,118.6832,118.6832,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-30,118.4933,118.4933,118.4933,118.4933,0.0,0.0,2017-12-29,FV,FVZ17
2017-05-31,118.6355,118.6355,118.6355,118.6355,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-01,118.3389,118.3389,118.3389,118.3389,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-02,118.5046,118.5046,118.5046,118.5046,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-05,118.7416,118.7416,118.7416,118.7416,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-06,118.5872,118.5872,118.5872,118.5872,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-07,118.6821,118.6821,118.6821,118.6821,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-08,118.3854,118.3854,118.3854,118.3854,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-09,118.4919,118.4919,118.4919,118.4919,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-12,118.2549,118.2549,118.2549,118.2549,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-13,118.3613,118.3613,118.3613,118.3613,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-14,118.2548,118.2548,118.2548,118.2548,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-15,117.9592,117.9592,117.9592,117.9592,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-16,117.8648,117.8648,117.8648,117.8648,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-19,117.9709,117.9709,117.9709,117.9709,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-20,117.8883,117.8883,117.8883,117.8883,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-21,118.0062,118.0062,118.0062,118.0062,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-22,117.9118,117.9118,117.9118,117.9118,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-23,118.1476,118.1476,118.1476,118.1476,0.0,0.0,2017-12-29,FV,FVZ17
2017-06-26,118.183,118.183,118.183,118.183,101.0,101.0,2017-12-29,FV,FVZ17
2017-06-27,118.2185,118.2185,118.2185,118.2185,0.0,108.0,2017-12-29,FV,FVZ17
2017-06-28,118.4313,118.4313,118.4313,118.4313,172.0,133.0,2017-12-29,FV,FVZ17
2017-06-29,118.6563,118.6563,118.6563,118.6563,0.0,174.0,2017-12-29,FV,FVZ17
2017-06-30,118.7275,118.7275,118.7275,118.7275,0.0,126.0,2017-12-29,FV,FVZ17
2017-07-03,118.5375,118.5375,118.5375,118.5375,2.0,169.0,2017-12-29,FV,FVZ17
2017-07-05,118.739,118.739,118.739,118.739,2664.0,2354.0,2017-12-29,FV,FVZ17
2017-07-06,118.644,118.644,118.644,118.644,535.0,3465.0,2017-12-29,FV,FVZ17
2017-07-07,118.5491,118.5491,118.5491,118.5491,368.0,2953.0,2017-12-29,FV,FVZ17
2017-07-10,118.4306,118.4306,118.4306,118.4306,247.0,3294.0,2017-12-29,FV,FVZ17
2017-07-11,118.1582,118.1582,118.1582,118.1582,940.0,3237.0,2017-12-29,FV,FVZ17
2017-07-12,118.0519,118.0519,118.0519,118.0519,1131.0,4325.0,2017-12-29,FV,FVZ17
2017-07-13,117.8276,117.8276,117.8276,117.8276,612.0,4250.0,2017-12-29,FV,FVZ17
2017-07-14,117.6037,117.6037,117.6037,117.6037,244.0,5956.0,2017-12-29,FV,FVZ17
2017-07-17,117.5802,117.5802,117.5802,117.5802,24.0,5353.0,2017-12-29,FV,FVZ17
2017-07-18,117.6978,117.6978,117.6978,117.6978,1095.0,5983.0,2017-12-29,FV,FVZ17
2017-07-19,117.6978,117.6978,117.6978,117.6978,215.0,6322.0,2017-12-29,FV,FVZ17
2017-07-20,117.686,117.686,117.686,117.686,420.0,5940.0,2017-12-29,FV,FVZ17
2017-07-21,117.5565,117.5565,117.5565,117.5565,1368.0,6673.0,2017-12-29,FV,FVZ17
2017-07-24,117.6505,117.6505,117.6505,117.6505,958.0,7365.0,2017-12-29,FV,FVZ17
2017-07-25,117.474,117.474,117.474,117.474,1034.0,8848.0,2017-12-29,FV,FVZ17
2017-07-26,117.7207,117.7207,117.7207,117.7207,1964.0,7439.0,2017-12-29,FV,FVZ17
2017-07-27,117.9561,117.9561,117.9561,117.9561,514.0,10117.0,2017-12-29,FV,FVZ17
2017-07-28,117.6848,117.6848,117.6848,117.6848,760.0,9685.0,2017-12-29,FV,FVZ17
