,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-10-28,1259.9352,1259.9352,1259.9352,1259.9352,0.0,0.0,2017-01-27,GC,GCF17
2016-10-31,1272.9125,1272.9125,1272.9125,1272.9125,22.0,10.0,2017-01-27,GC,GCF17
2016-11-01,1266.1661,1266.1661,1266.1661,1266.1661,99.0,52.0,2017-01-27,GC,GCF17
2016-11-02,1289.3369,1289.3369,1289.3369,1289.3369,259.0,176.0,2017-01-27,GC,GCF17
2016-11-03,1303.6485,1303.6485,1303.6485,1303.6485,91.0,270.0,2017-01-27,GC,GCF17
2016-11-04,1318.6405,1318.6405,1318.6405,1318.6405,294.0,513.0,2017-01-27,GC,GCF17
2016-11-07,1302.5531,1302.5531,1302.5531,1302.5531,290.0,486.0,2017-01-27,GC,GCF17
2016-11-08,1326.1293,1326.1293,1326.1293,1326.1293,329.0,770.0,2017-01-27,GC,GCF17
2016-11-09,1345.6234,1345.6234,1345.6234,1345.6234,768.0,964.0,2017-01-27,GC,GCF17
2016-11-10,1363.2511,1363.2511,1363.2511,1363.2511,685.0,1287.0,2017-01-27,GC,GCF17
2016-11-11,1372.5212,1372.5212,1372.5212,1372.5212,457.0,1396.0,2017-01-27,GC,GCF17
2016-11-14,1350.2864,1350.2864,1350.2864,1350.2864,663.0,1068.0,2017-01-27,GC,GCF17
2016-11-15,1339.3491,1339.3491,1339.3491,1339.3491,254.0,1320.0,2017-01-27,GC,GCF17
2016-11-16,1346.4477,1346.4477,1346.4477,1346.4477,200.0,1143.0,2017-01-27,GC,GCF17
2016-11-17,1348.7367,1348.7367,1348.7367,1348.7367,654.0,1277.0,2017-01-27,GC,GCF17
2016-11-18,1367.8888,1367.8888,1367.8888,1367.8888,335.0,1178.0,2017-01-27,GC,GCF17
2016-11-21,1383.2092,1383.2092,1383.2092,1383.2092,761.0,1492.0,2017-01-27,GC,GCF17
2016-11-22,1366.334,1366.334,1366.334,1366.334,503.0,1426.0,2017-01-27,GC,GCF17
2016-11-23,1348.0251,1348.0251,1348.0251,1348.0251,976.0,1536.0,2017-01-27,GC,GCF17
2016-11-25,1368.5151,1368.5151,1368.5151,1368.5151,1766.0,2350.0,2017-01-27,GC,GCF17
2016-11-28,1383.5688,1383.5688,1383.5688,1383.5688,2719.0,2909.0,2017-01-27,GC,GCF17
2016-11-29,1370.1482,1370.1482,1370.1482,1370.1482,2490.0,2276.0,2017-01-27,GC,GCF17
2016-11-30,1393.9888,1393.9888,1393.9888,1393.9888,2199.0,2648.0,2017-01-27,GC,GCF17
2016-12-01,1391.3402,1391.3402,1391.3402,1391.3402,1818.0,2295.0,2017-01-27,GC,GCF17
2016-12-02,1393.8446,1393.8446,1393.8446,1393.8446,1148.0,2190.0,2017-01-27,GC,GCF17
2016-12-05,1404.7166,1404.7166,1404.7166,1404.7166,1921.0,2418.0,2017-01-27,GC,GCF17
2016-12-06,1420.7304,1420.7304,1420.7304,1420.7304,510.0,2124.0,2017-01-27,GC,GCF17
2016-12-07,1439.9103,1439.9103,1439.9103,1439.9103,854.0,2190.0,2017-01-27,GC,GCF17
2016-12-08,1419.0316,1419.0316,1419.0316,1419.0316,593.0,2785.0,2017-01-27,GC,GCF17
2016-12-09,1429.2486,1429.2486,1429.2486,1429.2486,686.0,2003.0,2017-01-27,GC,GCF17
2016-12-12,1454.8321,1454.8321,1454.8321,1454.8321,1006.0,2236.0,2017-01-27,GC,GCF17
2016-12-13,1477.673,1477.673,1477.673,1477.673,688.0,2142.0,2017-01-27,GC,GCF17
2016-12-14,1454.0302,1454.0302,1454.0302,1454.0302,1273.0,2621.0,2017-01-27,GC,GCF17
2016-12-15,1460.8641,1460.8641,1460.8641,1460.8641,1174.0,2478.0,2017-01-27,GC,GCF17
2016-12-16,1438.3668,1438.3668,1438.3668,1438.3668,1601.0,2784.0,2017-01-27,GC,GCF17
2016-12-19,1418.2297,1418.2297,1418.2297,1418.2297,933.0,2009.0,2017-01-27,GC,GCF17
2016-12-20,1403.9056,1403.9056,1403.9056,1403.9056,740.0,2203.0,2017-01-27,GC,GCF17
2016-12-21,1408.6789,1408.6789,1408.6789,1408.6789,369.0,2387.0,2017-01-27,GC,GCF17
2016-12-22,1425.4422,1425.4422,1425.4422,1425.4422,177.0,2391.0,2017-01-27,GC,GCF17
2016-12-23,1438.6988,1438.6988,1438.6988,1438.6988,115.0,2412.0,2017-01-27,GC,GCF17
2016-12-27,1419.708,1419.708,1419.708,1419.708,999.0,1337.0,2017-01-27,GC,GCF17
2016-12-28,1416.7266,1416.7266,1416.7266,1416.7266,1648.0,1374.0,2017-01-27,GC,GCF17
2016-12-29,1414.6015,1414.6015,1414.6015,1414.6015,1102.0,1086.0,2017-01-27,GC,GCF17
2016-12-30,1412.3381,1412.3381,1412.3381,1412.3381,978.0,926.0,2017-01-27,GC,GCF17
2017-01-03,1429.2862,1429.2862,1429.2862,1429.2862,46.0,1004.0,2017-01-27,GC,GCF17
2017-01-04,1407.704,1407.704,1407.704,1407.704,41.0,129.0,2017-01-27,GC,GCF17
2017-01-05,1393.0639,1393.0639,1393.0639,1393.0639,545.0,192.0,2017-01-27,GC,GCF17
2017-01-06,1382.4766,1382.4766,1382.4766,1382.4766,15.0,147.0,2017-01-27,GC,GCF17
2017-01-09,1379.0204,1379.0204,1379.0204,1379.0204,74.0,158.0,2017-01-27,GC,GCF17
2017-01-10,1386.8808,1386.8808,1386.8808,1386.8808,7.0,132.0,2017-01-27,GC,GCF17
2017-01-11,1385.2165,1385.2165,1385.2165,1385.2165,19.0,112.0,2017-01-27,GC,GCF17
2017-01-12,1397.6834,1397.6834,1397.6834,1397.6834,118.0,219.0,2017-01-27,GC,GCF17
2017-01-13,1402.0162,1402.0162,1402.0162,1402.0162,110.0,221.0,2017-01-27,GC,GCF17
2017-01-17,1394.4453,1394.4453,1394.4453,1394.4453,75.0,125.0,2017-01-27,GC,GCF17
2017-01-18,1407.832,1407.832,1407.832,1407.832,114.0,121.0,2017-01-27,GC,GCF17
2017-01-19,1409.9437,1409.9437,1409.9437,1409.9437,23.0,70.0,2017-01-27,GC,GCF17
2017-01-20,1391.8964,1391.8964,1391.8964,1391.8964,41.0,68.0,2017-01-27,GC,GCF17
2017-01-23,1408.7383,1408.7383,1408.7383,1408.7383,13.0,66.0,2017-01-27,GC,GCF17
2017-01-24,1394.3692,1394.3692,1394.3692,1394.3692,29.0,56.0,2017-01-27,GC,GCF17
2017-01-25,1402.596,1402.596,1402.596,1402.596,330.0,62.0,2017-01-27,GC,GCF17
2017-01-26,1384.783,1384.783,1384.783,1384.783,20.0,47.0,2017-01-27,GC,GCF17
2017-01-27,1396.5537,1396.5537,1396.5537,1396.5537,17.0,38.0,2017-01-27,GC,GCF17
