,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-30,1190.046,1190.046,1190.046,1190.046,0.0,0.0,2017-02-24,GC,GCG17
2015-03-31,1185.0478,1185.0478,1185.0478,1185.0478,0.0,0.0,2017-02-24,GC,GCG17
2015-04-01,1206.8527,1206.8527,1206.8527,1206.8527,0.0,0.0,2017-02-24,GC,GCG17
2015-04-02,1213.3697,1213.3697,1213.3697,1213.3697,0.0,0.0,2017-02-24,GC,GCG17
2015-04-06,1235.817,1235.817,1235.817,1235.817,0.0,0.0,2017-02-24,GC,GCG17
2015-04-07,1238.9065,1238.9065,1238.9065,1238.9065,0.0,0.0,2017-02-24,GC,GCG17
2015-04-08,1230.8536,1230.8536,1230.8536,1230.8536,0.0,0.0,2017-02-24,GC,GCG17
2015-04-09,1213.8678,1213.8678,1213.8678,1213.8678,0.0,0.0,2017-02-24,GC,GCG17
2015-04-10,1205.9777,1205.9777,1205.9777,1205.9777,0.0,0.0,2017-02-24,GC,GCG17
2015-04-13,1221.6554,1221.6554,1221.6554,1221.6554,0.0,0.0,2017-02-24,GC,GCG17
2015-04-14,1236.8039,1236.8039,1236.8039,1236.8039,0.0,0.0,2017-02-24,GC,GCG17
2015-04-15,1230.4962,1230.4962,1230.4962,1230.4962,207.0,158.0,2017-02-24,GC,GCG17
2015-04-16,1221.2675,1221.2675,1221.2675,1221.2675,0.0,135.0,2017-02-24,GC,GCG17
2015-04-17,1215.7718,1215.7718,1215.7718,1215.7718,0.0,160.0,2017-02-24,GC,GCG17
2015-04-20,1213.705,1213.705,1213.705,1213.705,0.0,136.0,2017-02-24,GC,GCG17
2015-04-21,1211.1562,1211.1562,1211.1562,1211.1562,0.0,158.0,2017-02-24,GC,GCG17
2015-04-22,1215.5164,1215.5164,1215.5164,1215.5164,0.0,159.0,2017-02-24,GC,GCG17
2015-04-23,1195.825,1195.825,1195.825,1195.825,0.0,129.0,2017-02-24,GC,GCG17
2015-04-24,1186.378,1186.378,1186.378,1186.378,0.0,138.0,2017-02-24,GC,GCG17
2015-04-27,1194.6826,1194.6826,1194.6826,1194.6826,2.0,161.0,2017-02-24,GC,GCG17
2015-04-28,1175.0898,1175.0898,1175.0898,1175.0898,0.0,172.0,2017-02-24,GC,GCG17
2015-04-29,1153.2331,1153.2331,1153.2331,1153.2331,1.0,149.0,2017-02-24,GC,GCG17
2015-04-30,1153.3484,1153.3484,1153.3484,1153.3484,0.0,164.0,2017-02-24,GC,GCG17
2015-05-01,1158.7691,1158.7691,1158.7691,1158.7691,0.0,158.0,2017-02-24,GC,GCG17
2015-05-04,1170.3568,1170.3568,1170.3568,1170.3568,0.0,126.0,2017-02-24,GC,GCG17
2015-05-05,1188.2633,1188.2633,1188.2633,1188.2633,0.0,137.0,2017-02-24,GC,GCG17
2015-05-06,1205.2555,1205.2555,1205.2555,1205.2555,2.0,169.0,2017-02-24,GC,GCG17
2015-05-07,1204.2913,1204.2913,1204.2913,1204.2913,0.0,141.0,2017-02-24,GC,GCG17
2015-05-08,1191.7667,1191.7667,1191.7667,1191.7667,1.0,172.0,2017-02-24,GC,GCG17
2015-05-11,1209.4048,1209.4048,1209.4048,1209.4048,0.0,137.0,2017-02-24,GC,GCG17
2015-05-12,1218.2335,1218.2335,1218.2335,1218.2335,0.0,136.0,2017-02-24,GC,GCG17
2015-05-13,1235.2888,1235.2888,1235.2888,1235.2888,1.0,157.0,2017-02-24,GC,GCG17
2015-05-14,1232.2006,1232.2006,1232.2006,1232.2006,0.0,165.0,2017-02-24,GC,GCG17
2015-05-15,1218.0303,1218.0303,1218.0303,1218.0303,0.0,177.0,2017-02-24,GC,GCG17
2015-05-18,1226.9219,1226.9219,1226.9219,1226.9219,0.0,172.0,2017-02-24,GC,GCG17
2015-05-19,1224.9588,1224.9588,1224.9588,1224.9588,4.0,174.0,2017-02-24,GC,GCG17
2015-05-20,1244.8031,1244.8031,1244.8031,1244.8031,0.0,168.0,2017-02-24,GC,GCG17
2015-05-21,1222.1477,1222.1477,1222.1477,1222.1477,0.0,178.0,2017-02-24,GC,GCG17
2015-05-22,1241.091,1241.091,1241.091,1241.091,0.0,131.0,2017-02-24,GC,GCG17
2015-05-26,1246.9241,1246.9241,1246.9241,1246.9241,0.0,162.0,2017-02-24,GC,GCG17
2015-05-27,1250.6649,1250.6649,1250.6649,1250.6649,0.0,166.0,2017-02-24,GC,GCG17
2015-05-28,1232.1551,1232.1551,1232.1551,1232.1551,3.0,136.0,2017-02-24,GC,GCG17
2015-05-29,1220.4496,1220.4496,1220.4496,1220.4496,0.0,157.0,2017-02-24,GC,GCG17
2015-06-01,1220.3276,1220.3276,1220.3276,1220.3276,61.0,124.0,2017-02-24,GC,GCG17
2015-06-02,1242.0494,1242.0494,1242.0494,1242.0494,0.0,172.0,2017-02-24,GC,GCG17
2015-06-03,1254.9667,1254.9667,1254.9667,1254.9667,2.0,154.0,2017-02-24,GC,GCG17
2015-06-04,1247.5624,1247.5624,1247.5624,1247.5624,0.0,156.0,2017-02-24,GC,GCG17
2015-06-05,1259.6638,1259.6638,1259.6638,1259.6638,0.0,145.0,2017-02-24,GC,GCG17
2015-06-08,1283.4714,1283.4714,1283.4714,1283.4714,0.0,177.0,2017-02-24,GC,GCG17
2015-06-09,1262.1658,1262.1658,1262.1658,1262.1658,0.0,165.0,2017-02-24,GC,GCG17
2015-06-10,1243.9906,1243.9906,1243.9906,1243.9906,1.0,171.0,2017-02-24,GC,GCG17
2015-06-11,1237.5218,1237.5218,1237.5218,1237.5218,0.0,124.0,2017-02-24,GC,GCG17
2015-06-12,1231.4579,1231.4579,1231.4579,1231.4579,0.0,172.0,2017-02-24,GC,GCG17
2015-06-15,1216.8036,1216.8036,1216.8036,1216.8036,0.0,140.0,2017-02-24,GC,GCG17
2015-06-16,1209.2594,1209.2594,1209.2594,1209.2594,0.0,177.0,2017-02-24,GC,GCG17
2015-06-17,1207.3246,1207.3246,1207.3246,1207.3246,0.0,165.0,2017-02-24,GC,GCG17
2015-06-18,1191.2672,1191.2672,1191.2672,1191.2672,0.0,154.0,2017-02-24,GC,GCG17
