,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-30,1152.6164,1152.6164,1152.6164,1152.6164,0.0,0.0,2017-03-29,GC,GCH17
2017-01-03,1147.5449,1147.5449,1147.5449,1147.5449,250.0,136.0,2017-03-29,GC,GCH17
2017-01-04,1157.0695,1157.0695,1157.0695,1157.0695,249.0,212.0,2017-03-29,GC,GCH17
2017-01-05,1163.4334,1163.4334,1163.4334,1163.4334,237.0,290.0,2017-03-29,GC,GCH17
2017-01-06,1165.0622,1165.0622,1165.0622,1165.0622,169.0,291.0,2017-03-29,GC,GCH17
2017-01-09,1156.6738,1156.6738,1156.6738,1156.6738,194.0,307.0,2017-03-29,GC,GCH17
2017-01-10,1154.1291,1154.1291,1154.1291,1154.1291,196.0,475.0,2017-03-29,GC,GCH17
2017-01-11,1165.9012,1165.9012,1165.9012,1165.9012,395.0,528.0,2017-03-29,GC,GCH17
2017-01-12,1178.9593,1178.9593,1178.9593,1178.9593,381.0,603.0,2017-03-29,GC,GCH17
2017-01-13,1194.6395,1194.6395,1194.6395,1194.6395,415.0,567.0,2017-03-29,GC,GCH17
2017-01-17,1184.6045,1184.6045,1184.6045,1184.6045,776.0,767.0,2017-03-29,GC,GCH17
2017-01-18,1197.5167,1197.5167,1197.5167,1197.5167,822.0,965.0,2017-03-29,GC,GCH17
2017-01-19,1191.4094,1191.4094,1191.4094,1191.4094,728.0,860.0,2017-03-29,GC,GCH17
2017-01-20,1184.3801,1184.3801,1184.3801,1184.3801,959.0,1094.0,2017-03-29,GC,GCH17
2017-01-23,1184.7354,1184.7354,1184.7354,1184.7354,861.0,890.0,2017-03-29,GC,GCH17
2017-01-24,1170.1632,1170.1632,1170.1632,1170.1632,924.0,872.0,2017-03-29,GC,GCH17
2017-01-25,1180.8117,1180.8117,1180.8117,1180.8117,1277.0,1133.0,2017-03-29,GC,GCH17
2017-01-26,1175.2619,1175.2619,1175.2619,1175.2619,1475.0,1644.0,2017-03-29,GC,GCH17
2017-01-27,1170.3258,1170.3258,1170.3258,1170.3258,2514.0,2310.0,2017-03-29,GC,GCH17
2017-01-30,1178.05,1178.05,1178.05,1178.05,2448.0,2643.0,2017-03-29,GC,GCH17
2017-01-31,1180.2883,1180.2883,1180.2883,1180.2883,2573.0,2906.0,2017-03-29,GC,GCH17
2017-02-01,1187.252,1187.252,1187.252,1187.252,1739.0,2549.0,2017-03-29,GC,GCH17
2017-02-02,1202.805,1202.805,1202.805,1202.805,2645.0,2540.0,2017-03-29,GC,GCH17
2017-02-03,1214.9533,1214.9533,1214.9533,1214.9533,3015.0,2238.0,2017-03-29,GC,GCH17
2017-02-06,1202.0748,1202.0748,1202.0748,1202.0748,1994.0,2070.0,2017-03-29,GC,GCH17
2017-02-07,1208.8064,1208.8064,1208.8064,1208.8064,842.0,2511.0,2017-03-29,GC,GCH17
2017-02-08,1203.0041,1203.0041,1203.0041,1203.0041,994.0,1954.0,2017-03-29,GC,GCH17
2017-02-09,1214.9138,1214.9138,1214.9138,1214.9138,1915.0,1831.0,2017-03-29,GC,GCH17
2017-02-10,1199.6059,1199.6059,1199.6059,1199.6059,1229.0,2102.0,2017-03-29,GC,GCH17
