,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-05-28,1184.1496,1184.1496,1184.1496,1184.1496,0.0,0.0,2017-04-26,GC,GCJ17
2015-05-29,1164.4927,1164.4927,1164.4927,1164.4927,0.0,0.0,2017-04-26,GC,GCJ17
2015-06-01,1170.781,1170.781,1170.781,1170.781,0.0,0.0,2017-04-26,GC,GCJ17
2015-06-02,1160.244,1160.244,1160.244,1160.244,0.0,0.0,2017-04-26,GC,GCJ17
2015-06-03,1144.1166,1144.1166,1144.1166,1144.1166,3.0,3.0,2017-04-26,GC,GCJ17
2015-06-04,1134.3916,1134.3916,1134.3916,1134.3916,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-05,1145.9624,1145.9624,1145.9624,1145.9624,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-08,1149.5149,1149.5149,1149.5149,1149.5149,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-09,1160.3203,1160.3203,1160.3203,1160.3203,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-10,1175.7526,1175.7526,1175.7526,1175.7526,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-11,1176.6932,1176.6932,1176.6932,1176.6932,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-12,1187.9895,1187.9895,1187.9895,1187.9895,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-15,1187.7519,1187.7519,1187.7519,1187.7519,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-16,1187.7519,1187.7519,1187.7519,1187.7519,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-17,1173.2613,1173.2613,1173.2613,1173.2613,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-18,1188.631,1188.631,1188.631,1188.631,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-19,1182.2124,1182.2124,1182.2124,1182.2124,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-22,1182.0942,1182.0942,1182.0942,1182.0942,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-23,1194.8608,1194.8608,1194.8608,1194.8608,0.0,3.0,2017-04-26,GC,GCJ17
2015-06-24,1196.6531,1196.6531,1196.6531,1196.6531,0.0,2.0,2017-04-26,GC,GCJ17
2015-06-25,1190.9092,1190.9092,1190.9092,1190.9092,0.0,4.0,2017-04-26,GC,GCJ17
2015-06-26,1189.0037,1189.0037,1189.0037,1189.0037,1.0,4.0,2017-04-26,GC,GCJ17
2015-06-29,1191.3817,1191.3817,1191.3817,1191.3817,1.0,3.0,2017-04-26,GC,GCJ17
2015-06-30,1184.71,1184.71,1184.71,1184.71,1.0,4.0,2017-04-26,GC,GCJ17
2015-07-01,1167.7686,1167.7686,1167.7686,1167.7686,0.0,4.0,2017-04-26,GC,GCJ17
2015-07-02,1163.2143,1163.2143,1163.2143,1163.2143,0.0,4.0,2017-04-26,GC,GCJ17
2015-07-06,1166.5876,1166.5876,1166.5876,1166.5876,0.0,4.0,2017-04-26,GC,GCJ17
2015-07-07,1172.6539,1172.6539,1172.6539,1172.6539,1.0,5.0,2017-04-26,GC,GCJ17
2015-07-08,1164.3281,1164.3281,1164.3281,1164.3281,0.0,5.0,2017-04-26,GC,GCJ17
2015-07-09,1147.6782,1147.6782,1147.6782,1147.6782,0.0,6.0,2017-04-26,GC,GCJ17
2015-07-10,1142.9727,1142.9727,1142.9727,1142.9727,0.0,5.0,2017-04-26,GC,GCJ17
2015-07-13,1152.4594,1152.4594,1152.4594,1152.4594,0.0,5.0,2017-04-26,GC,GCJ17
2015-07-14,1157.415,1157.415,1157.415,1157.415,0.0,4.0,2017-04-26,GC,GCJ17
2015-07-15,1147.9242,1147.9242,1147.9242,1147.9242,1.0,4.0,2017-04-26,GC,GCJ17
2015-07-16,1163.3064,1163.3064,1163.3064,1163.3064,0.0,4.0,2017-04-26,GC,GCJ17
2015-07-17,1176.8008,1176.8008,1176.8008,1176.8008,0.0,4.0,2017-04-26,GC,GCJ17
2015-07-20,1191.1578,1191.1578,1191.1578,1191.1578,0.0,6.0,2017-04-26,GC,GCJ17
2015-07-21,1203.665,1203.665,1203.665,1203.665,1.0,6.0,2017-04-26,GC,GCJ17
2015-07-22,1207.0353,1207.0353,1207.0353,1207.0353,0.0,5.0,2017-04-26,GC,GCJ17
2015-07-23,1203.1728,1203.1728,1203.1728,1203.1728,0.0,7.0,2017-04-26,GC,GCJ17
2015-07-24,1209.5496,1209.5496,1209.5496,1209.5496,0.0,5.0,2017-04-26,GC,GCJ17
2015-07-27,1206.0419,1206.0419,1206.0419,1206.0419,0.0,6.0,2017-04-26,GC,GCJ17
2015-07-28,1187.8307,1187.8307,1187.8307,1187.8307,0.0,7.0,2017-04-26,GC,GCJ17
2015-07-29,1177.8529,1177.8529,1177.8529,1177.8529,0.0,6.0,2017-04-26,GC,GCJ17
2015-07-30,1181.622,1181.622,1181.622,1181.622,0.0,5.0,2017-04-26,GC,GCJ17
2015-07-31,1169.5695,1169.5695,1169.5695,1169.5695,0.0,5.0,2017-04-26,GC,GCJ17
2015-08-03,1171.5578,1171.5578,1171.5578,1171.5578,0.0,7.0,2017-04-26,GC,GCJ17
2015-08-04,1183.0391,1183.0391,1183.0391,1183.0391,0.0,5.0,2017-04-26,GC,GCJ17
2015-08-05,1191.7936,1191.7936,1191.7936,1191.7936,1.0,6.0,2017-04-26,GC,GCJ17
