,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-02-26,1215.5517,1215.5517,1215.5517,1215.5517,0.0,0.0,2016-05-26,GC,GCK16
2016-02-29,1215.9164,1215.9164,1215.9164,1215.9164,40.0,27.0,2016-05-26,GC,GCK16
2016-03-01,1219.0778,1219.0778,1219.0778,1219.0778,49.0,29.0,2016-05-26,GC,GCK16
2016-03-02,1208.228,1208.228,1208.228,1208.228,42.0,37.0,2016-05-26,GC,GCK16
2016-03-03,1199.8912,1199.8912,1199.8912,1199.8912,31.0,43.0,2016-05-26,GC,GCK16
2016-03-04,1222.8091,1222.8091,1222.8091,1222.8091,106.0,104.0,2016-05-26,GC,GCK16
2016-03-07,1223.2982,1223.2982,1223.2982,1223.2982,37.0,130.0,2016-05-26,GC,GCK16
2016-03-08,1214.0011,1214.0011,1214.0011,1214.0011,72.0,151.0,2016-05-26,GC,GCK16
2016-03-09,1226.9909,1226.9909,1226.9909,1226.9909,445.0,250.0,2016-05-26,GC,GCK16
2016-03-10,1204.6597,1204.6597,1204.6597,1204.6597,261.0,155.0,2016-05-26,GC,GCK16
2016-03-11,1188.5173,1188.5173,1188.5173,1188.5173,183.0,164.0,2016-05-26,GC,GCK16
2016-03-14,1174.3739,1174.3739,1174.3739,1174.3739,243.0,286.0,2016-05-26,GC,GCK16
2016-03-15,1163.2173,1163.2173,1163.2173,1163.2173,214.0,256.0,2016-05-26,GC,GCK16
2016-03-16,1143.4426,1143.4426,1143.4426,1143.4426,235.0,238.0,2016-05-26,GC,GCK16
2016-03-17,1161.9664,1161.9664,1161.9664,1161.9664,225.0,243.0,2016-05-26,GC,GCK16
2016-03-18,1139.4243,1139.4243,1139.4243,1139.4243,176.0,303.0,2016-05-26,GC,GCK16
2016-03-21,1153.781,1153.781,1153.781,1153.781,397.0,624.0,2016-05-26,GC,GCK16
2016-03-22,1142.1278,1142.1278,1142.1278,1142.1278,920.0,1054.0,2016-05-26,GC,GCK16
2016-03-23,1143.7268,1143.7268,1143.7268,1143.7268,1966.0,1132.0,2016-05-26,GC,GCK16
2016-03-24,1148.8736,1148.8736,1148.8736,1148.8736,1888.0,1820.0,2016-05-26,GC,GCK16
2016-03-28,1160.4772,1160.4772,1160.4772,1160.4772,1686.0,1878.0,2016-05-26,GC,GCK16
2016-03-29,1181.0176,1181.0176,1181.0176,1181.0176,4153.0,2507.0,2016-05-26,GC,GCK16
2016-03-30,1203.1026,1203.1026,1203.1026,1203.1026,2234.0,2452.0,2016-05-26,GC,GCK16
2016-03-31,1221.7507,1221.7507,1221.7507,1221.7507,1730.0,2480.0,2016-05-26,GC,GCK16
2016-04-01,1225.1716,1225.1716,1225.1716,1225.1716,2179.0,3046.0,2016-05-26,GC,GCK16
2016-04-04,1233.2577,1233.2577,1233.2577,1233.2577,1285.0,2561.0,2016-05-26,GC,GCK16
2016-04-05,1238.1907,1238.1907,1238.1907,1238.1907,1420.0,2879.0,2016-05-26,GC,GCK16
2016-04-06,1238.3145,1238.3145,1238.3145,1238.3145,1673.0,2124.0,2016-05-26,GC,GCK16
2016-04-07,1213.4244,1213.4244,1213.4244,1213.4244,1844.0,2298.0,2016-05-26,GC,GCK16
2016-04-08,1195.8297,1195.8297,1195.8297,1195.8297,720.0,2373.0,2016-05-26,GC,GCK16
2016-04-11,1191.5247,1191.5247,1191.5247,1191.5247,1091.0,3397.0,2016-05-26,GC,GCK16
2016-04-12,1177.703,1177.703,1177.703,1177.703,883.0,3083.0,2016-05-26,GC,GCK16
2016-04-13,1189.48,1189.48,1189.48,1189.48,700.0,2650.0,2016-05-26,GC,GCK16
2016-04-14,1179.3694,1179.3694,1179.3694,1179.3694,1180.0,2930.0,2016-05-26,GC,GCK16
2016-04-15,1183.851,1183.851,1183.851,1183.851,1106.0,2934.0,2016-05-26,GC,GCK16
2016-04-18,1195.5711,1195.5711,1195.5711,1195.5711,1060.0,2599.0,2016-05-26,GC,GCK16
2016-04-19,1212.1895,1212.1895,1212.1895,1212.1895,973.0,3325.0,2016-05-26,GC,GCK16
2016-04-20,1210.9773,1210.9773,1210.9773,1210.9773,809.0,2408.0,2016-05-26,GC,GCK16
2016-04-21,1216.1845,1216.1845,1216.1845,1216.1845,2475.0,2528.0,2016-05-26,GC,GCK16
2016-04-22,1222.8735,1222.8735,1222.8735,1222.8735,1065.0,2605.0,2016-05-26,GC,GCK16
2016-04-25,1228.3764,1228.3764,1228.3764,1228.3764,996.0,1899.0,2016-05-26,GC,GCK16
2016-04-26,1224.6913,1224.6913,1224.6913,1224.6913,860.0,1857.0,2016-05-26,GC,GCK16
2016-04-27,1225.6711,1225.6711,1225.6711,1225.6711,596.0,1780.0,2016-05-26,GC,GCK16
2016-04-28,1221.6264,1221.6264,1221.6264,1221.6264,781.0,1458.0,2016-05-26,GC,GCK16
2016-04-29,1203.9128,1203.9128,1203.9128,1203.9128,445.0,1758.0,2016-05-26,GC,GCK16
2016-05-02,1187.4192,1187.4192,1187.4192,1187.4192,161.0,1443.0,2016-05-26,GC,GCK16
2016-05-03,1207.8428,1207.8428,1207.8428,1207.8428,163.0,1718.0,2016-05-26,GC,GCK16
2016-05-04,1214.2444,1214.2444,1214.2444,1214.2444,125.0,2015.0,2016-05-26,GC,GCK16
2016-05-05,1200.402,1200.402,1200.402,1200.402,320.0,1665.0,2016-05-26,GC,GCK16
2016-05-06,1201.7224,1201.7224,1201.7224,1201.7224,293.0,1499.0,2016-05-26,GC,GCK16
2016-05-09,1197.7567,1197.7567,1197.7567,1197.7567,365.0,1161.0,2016-05-26,GC,GCK16
2016-05-10,1208.6563,1208.6563,1208.6563,1208.6563,24.0,1554.0,2016-05-26,GC,GCK16
2016-05-11,1188.23,1188.23,1188.23,1188.23,42.0,1327.0,2016-05-26,GC,GCK16
2016-05-12,1202.2511,1202.2511,1202.2511,1202.2511,92.0,1063.0,2016-05-26,GC,GCK16
2016-05-13,1182.8949,1182.8949,1182.8949,1182.8949,71.0,1175.0,2016-05-26,GC,GCK16
2016-05-16,1205.3699,1205.3699,1205.3699,1205.3699,37.0,983.0,2016-05-26,GC,GCK16
