,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-28,1473.1798,1473.1798,1473.1798,1473.1798,0.0,0.0,2018-09-26,GC,GCM24
2018-06-29,1473.3271,1473.3271,1473.3271,1473.3271,0.0,0.0,2018-09-26,GC,GCM24
2018-07-02,1465.5185,1465.5185,1465.5185,1465.5185,0.0,0.0,2018-09-26,GC,GCM24
2018-07-03,1480.7599,1480.7599,1480.7599,1480.7599,0.0,0.0,2018-09-26,GC,GCM24
2018-07-05,1468.0254,1468.0254,1468.0254,1468.0254,0.0,0.0,2018-09-26,GC,GCM24
2018-07-06,1456.5748,1456.5748,1456.5748,1456.5748,0.0,0.0,2018-09-26,GC,GCM24
2018-07-09,1471.5775,1471.5775,1471.5775,1471.5775,0.0,0.0,2018-09-26,GC,GCM24
2018-07-10,1474.6678,1474.6678,1474.6678,1474.6678,0.0,0.0,2018-09-26,GC,GCM24
2018-07-11,1461.5433,1461.5433,1461.5433,1461.5433,0.0,0.0,2018-09-26,GC,GCM24
2018-07-12,1454.5279,1454.5279,1454.5279,1454.5279,0.0,0.0,2018-09-26,GC,GCM24
2018-07-13,1447.5462,1447.5462,1447.5462,1447.5462,0.0,0.0,2018-09-26,GC,GCM24
2018-07-16,1444.3616,1444.3616,1444.3616,1444.3616,0.0,0.0,2018-09-26,GC,GCM24
2018-07-17,1448.4058,1448.4058,1448.4058,1448.4058,0.0,0.0,2018-09-26,GC,GCM24
2018-07-18,1433.9217,1433.9217,1433.9217,1433.9217,0.0,0.0,2018-09-26,GC,GCM24
2018-07-19,1427.1823,1427.1823,1427.1823,1427.1823,0.0,0.0,2018-09-26,GC,GCM24
2018-07-20,1417.0493,1417.0493,1417.0493,1417.0493,0.0,0.0,2018-09-26,GC,GCM24
2018-07-23,1422.8592,1422.8592,1422.8592,1422.8592,0.0,0.0,2018-09-26,GC,GCM24
2018-07-24,1413.7529,1413.7529,1413.7529,1413.7529,0.0,0.0,2018-09-26,GC,GCM24
2018-07-25,1407.1083,1407.1083,1407.1083,1407.1083,0.0,0.0,2018-09-26,GC,GCM24
2018-07-26,1394.8665,1394.8665,1394.8665,1394.8665,0.0,0.0,2018-09-26,GC,GCM24
2018-07-27,1401.8408,1401.8408,1401.8408,1401.8408,0.0,0.0,2018-09-26,GC,GCM24
2018-07-30,1402.1212,1402.1212,1402.1212,1402.1212,0.0,0.0,2018-09-26,GC,GCM24
2018-07-31,1393.9889,1393.9889,1393.9889,1393.9889,0.0,0.0,2018-09-26,GC,GCM24
2018-08-01,1380.4672,1380.4672,1380.4672,1380.4672,0.0,0.0,2018-09-26,GC,GCM24
2018-08-02,1368.4571,1368.4571,1368.4571,1368.4571,0.0,0.0,2018-09-26,GC,GCM24
2018-08-03,1360.52,1360.52,1360.52,1360.52,0.0,0.0,2018-09-26,GC,GCM24
2018-08-06,1345.6903,1345.6903,1345.6903,1345.6903,0.0,0.0,2018-09-26,GC,GCM24
2018-08-07,1335.3285,1335.3285,1335.3285,1335.3285,0.0,0.0,2018-09-26,GC,GCM24
2018-08-08,1327.5836,1327.5836,1327.5836,1327.5836,0.0,0.0,2018-09-26,GC,GCM24
2018-08-09,1316.2991,1316.2991,1316.2991,1316.2991,0.0,0.0,2018-09-26,GC,GCM24
2018-08-10,1321.8276,1321.8276,1321.8276,1321.8276,0.0,0.0,2018-09-26,GC,GCM24
2018-08-13,1330.0229,1330.0229,1330.0229,1330.0229,0.0,0.0,2018-09-26,GC,GCM24
2018-08-14,1334.279,1334.279,1334.279,1334.279,0.0,0.0,2018-09-26,GC,GCM24
2018-08-15,1346.4209,1346.4209,1346.4209,1346.4209,0.0,0.0,2018-09-26,GC,GCM24
2018-08-16,1332.1488,1332.1488,1332.1488,1332.1488,0.0,0.0,2018-09-26,GC,GCM24
2018-08-17,1324.822,1324.822,1324.822,1324.822,0.0,0.0,2018-09-26,GC,GCM24
2018-08-20,1324.1596,1324.1596,1324.1596,1324.1596,0.0,0.0,2018-09-26,GC,GCM24
2018-08-21,1311.7125,1311.7125,1311.7125,1311.7125,0.0,0.0,2018-09-26,GC,GCM24
2018-08-22,1317.2217,1317.2217,1317.2217,1317.2217,0.0,0.0,2018-09-26,GC,GCM24
2018-08-23,1329.2084,1329.2084,1329.2084,1329.2084,0.0,0.0,2018-09-26,GC,GCM24
2018-08-24,1325.2208,1325.2208,1325.2208,1325.2208,0.0,0.0,2018-09-26,GC,GCM24
2018-08-27,1339.4007,1339.4007,1339.4007,1339.4007,0.0,0.0,2018-09-26,GC,GCM24
2018-08-28,1352.125,1352.125,1352.125,1352.125,0.0,0.0,2018-09-26,GC,GCM24
2018-08-29,1346.7165,1346.7165,1346.7165,1346.7165,0.0,0.0,2018-09-26,GC,GCM24
2018-08-30,1345.1004,1345.1004,1345.1004,1345.1004,0.0,0.0,2018-09-26,GC,GCM24
2018-08-31,1330.4388,1330.4388,1330.4388,1330.4388,0.0,0.0,2018-09-26,GC,GCM24
2018-09-04,1337.3571,1337.3571,1337.3571,1337.3571,0.0,0.0,2018-09-26,GC,GCM24
2018-09-05,1327.1932,1327.1932,1327.1932,1327.1932,0.0,0.0,2018-09-26,GC,GCM24
2018-09-06,1327.8568,1327.8568,1327.8568,1327.8568,0.0,0.0,2018-09-26,GC,GCM24
2018-09-07,1325.7322,1325.7322,1325.7322,1325.7322,0.0,0.0,2018-09-26,GC,GCM24
2018-09-10,1320.2967,1320.2967,1320.2967,1320.2967,0.0,0.0,2018-09-26,GC,GCM24
