,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-04-27,1325.1373,1325.1373,1325.1373,1325.1373,0.0,0.0,2018-07-27,GC,GCN18
2018-04-30,1321.957,1321.957,1321.957,1321.957,0.0,0.0,2018-07-27,GC,GCN18
2018-05-01,1317.0658,1317.0658,1317.0658,1317.0658,4.0,4.0,2018-07-27,GC,GCN18
2018-05-02,1308.9,1308.9,1308.9,1308.9,28.0,12.0,2018-07-27,GC,GCN18
2018-05-03,1322.7743,1322.7743,1322.7743,1322.7743,147.0,79.0,2018-07-27,GC,GCN18
2018-05-04,1333.8856,1333.8856,1333.8856,1333.8856,45.0,73.0,2018-07-27,GC,GCN18
2018-05-07,1344.9569,1344.9569,1344.9569,1344.9569,33.0,71.0,2018-07-27,GC,GCN18
2018-05-08,1355.5821,1355.5821,1355.5821,1355.5821,78.0,97.0,2018-07-27,GC,GCN18
2018-05-09,1359.92,1359.92,1359.92,1359.92,337.0,95.0,2018-07-27,GC,GCN18
2018-05-10,1364.9517,1364.9517,1364.9517,1364.9517,83.0,88.0,2018-07-27,GC,GCN18
2018-05-11,1359.9014,1359.9014,1359.9014,1359.9014,197.0,108.0,2018-07-27,GC,GCN18
2018-05-14,1356.3657,1356.3657,1356.3657,1356.3657,75.0,135.0,2018-07-27,GC,GCN18
2018-05-15,1342.9377,1342.9377,1342.9377,1342.9377,365.0,296.0,2018-07-27,GC,GCN18
2018-05-16,1339.1775,1339.1775,1339.1775,1339.1775,131.0,241.0,2018-07-27,GC,GCN18
2018-05-17,1353.7745,1353.7745,1353.7745,1353.7745,140.0,273.0,2018-07-27,GC,GCN18
2018-05-18,1364.0632,1364.0632,1364.0632,1364.0632,105.0,308.0,2018-07-27,GC,GCN18
2018-05-21,1363.654,1363.654,1363.654,1363.654,290.0,332.0,2018-07-27,GC,GCN18
2018-05-22,1348.7902,1348.7902,1348.7902,1348.7902,365.0,374.0,2018-07-27,GC,GCN18
2018-05-23,1335.4372,1335.4372,1335.4372,1335.4372,463.0,337.0,2018-07-27,GC,GCN18
2018-05-24,1321.148,1321.148,1321.148,1321.148,1157.0,742.0,2018-07-27,GC,GCN18
2018-05-25,1309.5219,1309.5219,1309.5219,1309.5219,1760.0,538.0,2018-07-27,GC,GCN18
2018-05-29,1314.76,1314.76,1314.76,1314.76,1901.0,1054.0,2018-07-27,GC,GCN18
2018-05-30,1302.0068,1302.0068,1302.0068,1302.0068,2045.0,1274.0,2018-07-27,GC,GCN18
2018-05-31,1309.0376,1309.0376,1309.0376,1309.0376,1003.0,1408.0,2018-07-27,GC,GCN18
2018-06-01,1313.0956,1313.0956,1313.0956,1313.0956,791.0,1476.0,2018-07-27,GC,GCN18
2018-06-04,1325.1761,1325.1761,1325.1761,1325.1761,563.0,1616.0,2018-07-27,GC,GCN18
2018-06-05,1330.0793,1330.0793,1330.0793,1330.0793,888.0,1422.0,2018-07-27,GC,GCN18
2018-06-06,1318.2416,1318.2416,1318.2416,1318.2416,798.0,1495.0,2018-07-27,GC,GCN18
2018-06-07,1316.9234,1316.9234,1316.9234,1316.9234,454.0,1402.0,2018-07-27,GC,GCN18
2018-06-08,1312.0508,1312.0508,1312.0508,1312.0508,418.0,1557.0,2018-07-27,GC,GCN18
2018-06-11,1307.3274,1307.3274,1307.3274,1307.3274,440.0,1404.0,2018-07-27,GC,GCN18
2018-06-12,1312.426,1312.426,1312.426,1312.426,438.0,1382.0,2018-07-27,GC,GCN18
2018-06-13,1323.4504,1323.4504,1323.4504,1323.4504,681.0,1226.0,2018-07-27,GC,GCN18
2018-06-14,1325.965,1325.965,1325.965,1325.965,750.0,985.0,2018-07-27,GC,GCN18
