,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-09-29,1144.0825,1144.0825,1144.0825,1144.0825,0.0,0.0,2017-08-29,GC,GCQ17
2015-09-30,1150.4894,1150.4894,1150.4894,1150.4894,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-01,1161.8792,1161.8792,1161.8792,1161.8792,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-02,1144.9158,1144.9158,1144.9158,1144.9158,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-05,1133.3522,1133.3522,1133.3522,1133.3522,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-06,1124.5121,1124.5121,1124.5121,1124.5121,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-07,1128.1105,1128.1105,1128.1105,1128.1105,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-08,1121.7931,1121.7931,1121.7931,1121.7931,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-09,1108.2194,1108.2194,1108.2194,1108.2194,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-12,1110.4358,1110.4358,1110.4358,1110.4358,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-13,1096.6664,1096.6664,1096.6664,1096.6664,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-14,1084.7127,1084.7127,1084.7127,1084.7127,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-15,1068.659,1068.659,1068.659,1068.659,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-16,1083.834,1083.834,1083.834,1083.834,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-19,1085.1346,1085.1346,1085.1346,1085.1346,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-20,1085.6772,1085.6772,1085.6772,1085.6772,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-21,1092.9512,1092.9512,1092.9512,1092.9512,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-22,1074.8082,1074.8082,1074.8082,1074.8082,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-23,1059.5459,1059.5459,1059.5459,1059.5459,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-26,1069.1878,1069.1878,1069.1878,1069.1878,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-27,1077.4205,1077.4205,1077.4205,1077.4205,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-28,1067.2927,1067.2927,1067.2927,1067.2927,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-29,1054.2717,1054.2717,1054.2717,1054.2717,0.0,0.0,2017-08-29,GC,GCQ17
2015-10-30,1065.9741,1065.9741,1065.9741,1065.9741,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-02,1072.1567,1072.1567,1072.1567,1072.1567,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-03,1088.0246,1088.0246,1088.0246,1088.0246,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-04,1096.7288,1096.7288,1096.7288,1096.7288,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-05,1101.7738,1101.7738,1101.7738,1101.7738,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-06,1104.4181,1104.4181,1104.4181,1104.4181,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-09,1119.9904,1119.9904,1119.9904,1119.9904,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-10,1103.4145,1103.4145,1103.4145,1103.4145,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-11,1103.6352,1103.6352,1103.6352,1103.6352,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-12,1110.1466,1110.1466,1110.1466,1110.1466,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-13,1107.0382,1107.0382,1107.0382,1107.0382,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-16,1098.514,1098.514,1098.514,1098.514,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-17,1104.6657,1104.6657,1104.6657,1104.6657,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-18,1114.2763,1114.2763,1114.2763,1114.2763,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-19,1099.2336,1099.2336,1099.2336,1099.2336,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-20,1092.4184,1092.4184,1092.4184,1092.4184,0.0,0.0,2017-08-29,GC,GCQ17
2015-11-23,1098.099,1098.099,1098.099,1098.099,54.0,50.0,2017-08-29,GC,GCQ17
2015-11-24,1093.5968,1093.5968,1093.5968,1093.5968,0.0,58.0,2017-08-29,GC,GCQ17
2015-11-25,1103.6579,1103.6579,1103.6579,1103.6579,0.0,43.0,2017-08-29,GC,GCQ17
2015-11-27,1086.4408,1086.4408,1086.4408,1086.4408,0.0,40.0,2017-08-29,GC,GCQ17
2015-11-30,1074.5986,1074.5986,1074.5986,1074.5986,0.0,54.0,2017-08-29,GC,GCQ17
2015-12-01,1093.0817,1093.0817,1093.0817,1093.0817,0.0,53.0,2017-08-29,GC,GCQ17
2015-12-02,1094.9399,1094.9399,1094.9399,1094.9399,0.0,41.0,2017-08-29,GC,GCQ17
2015-12-03,1105.7798,1105.7798,1105.7798,1105.7798,46.0,105.0,2017-08-29,GC,GCQ17
2015-12-04,1096.4912,1096.4912,1096.4912,1096.4912,0.0,72.0,2017-08-29,GC,GCQ17
2015-12-07,1100.8772,1100.8772,1100.8772,1100.8772,0.0,75.0,2017-08-29,GC,GCQ17
2015-12-08,1109.5741,1109.5741,1109.5741,1109.5741,0.0,81.0,2017-08-29,GC,GCQ17
2015-12-09,1102.3619,1102.3619,1102.3619,1102.3619,0.0,79.0,2017-08-29,GC,GCQ17
2015-12-10,1116.2517,1116.2517,1116.2517,1116.2517,0.0,87.0,2017-08-29,GC,GCQ17
2015-12-11,1108.1031,1108.1031,1108.1031,1108.1031,0.0,87.0,2017-08-29,GC,GCQ17
2015-12-14,1119.4058,1119.4058,1119.4058,1119.4058,0.0,76.0,2017-08-29,GC,GCQ17
2015-12-15,1108.6595,1108.6595,1108.6595,1108.6595,0.0,107.0,2017-08-29,GC,GCQ17
2015-12-16,1116.6418,1116.6418,1116.6418,1116.6418,0.0,92.0,2017-08-29,GC,GCQ17
2015-12-17,1100.2272,1100.2272,1100.2272,1100.2272,0.0,76.0,2017-08-29,GC,GCQ17
2015-12-18,1081.6334,1081.6334,1081.6334,1081.6334,0.0,97.0,2017-08-29,GC,GCQ17
2015-12-21,1099.3722,1099.3722,1099.3722,1099.3722,0.0,99.0,2017-08-29,GC,GCQ17
2015-12-22,1098.3828,1098.3828,1098.3828,1098.3828,0.0,86.0,2017-08-29,GC,GCQ17
2015-12-23,1097.0647,1097.0647,1097.0647,1097.0647,0.0,74.0,2017-08-29,GC,GCQ17
2015-12-24,1081.7058,1081.7058,1081.7058,1081.7058,0.0,84.0,2017-08-29,GC,GCQ17
2015-12-28,1091.6575,1091.6575,1091.6575,1091.6575,0.0,107.0,2017-08-29,GC,GCQ17
2015-12-29,1103.5566,1103.5566,1103.5566,1103.5566,0.0,89.0,2017-08-29,GC,GCQ17
2015-12-30,1103.998,1103.998,1103.998,1103.998,0.0,96.0,2017-08-29,GC,GCQ17
2015-12-31,1114.7068,1114.7068,1114.7068,1114.7068,0.0,104.0,2017-08-29,GC,GCQ17
2016-01-04,1130.9815,1130.9815,1130.9815,1130.9815,0.0,88.0,2017-08-29,GC,GCQ17
2016-01-05,1126.3445,1126.3445,1126.3445,1126.3445,0.0,94.0,2017-08-29,GC,GCQ17
2016-01-06,1111.0262,1111.0262,1111.0262,1111.0262,0.0,93.0,2017-08-29,GC,GCQ17
2016-01-07,1093.2498,1093.2498,1093.2498,1093.2498,0.0,74.0,2017-08-29,GC,GCQ17
2016-01-08,1103.6357,1103.6357,1103.6357,1103.6357,0.0,97.0,2017-08-29,GC,GCQ17
2016-01-11,1085.4257,1085.4257,1085.4257,1085.4257,0.0,74.0,2017-08-29,GC,GCQ17
2016-01-12,1090.9614,1090.9614,1090.9614,1090.9614,0.0,100.0,2017-08-29,GC,GCQ17
2016-01-13,1084.5247,1084.5247,1084.5247,1084.5247,0.0,87.0,2017-08-29,GC,GCQ17
2016-01-14,1069.016,1069.016,1069.016,1069.016,0.0,78.0,2017-08-29,GC,GCQ17
2016-01-15,1079.4924,1079.4924,1079.4924,1079.4924,0.0,86.0,2017-08-29,GC,GCQ17
2016-01-19,1082.1911,1082.1911,1082.1911,1082.1911,0.0,105.0,2017-08-29,GC,GCQ17
2016-01-20,1079.5938,1079.5938,1079.5938,1079.5938,0.0,100.0,2017-08-29,GC,GCQ17
2016-01-21,1098.3787,1098.3787,1098.3787,1098.3787,0.0,103.0,2017-08-29,GC,GCQ17
