,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-28,1252.7742,1252.7742,1252.7742,1252.7742,0.0,0.0,2018-09-26,GC,GCU18
2018-06-29,1249.7675,1249.7675,1249.7675,1249.7675,0.0,0.0,2018-09-26,GC,GCU18
2018-07-02,1261.5153,1261.5153,1261.5153,1261.5153,43.0,31.0,2018-09-26,GC,GCU18
2018-07-03,1263.5337,1263.5337,1263.5337,1263.5337,125.0,36.0,2018-09-26,GC,GCU18
2018-07-05,1266.6925,1266.6925,1266.6925,1266.6925,157.0,143.0,2018-09-26,GC,GCU18
2018-07-06,1265.2991,1265.2991,1265.2991,1265.2991,143.0,197.0,2018-09-26,GC,GCU18
2018-07-09,1255.8094,1255.8094,1255.8094,1255.8094,77.0,182.0,2018-09-26,GC,GCU18
2018-07-10,1251.6652,1251.6652,1251.6652,1251.6652,428.0,393.0,2018-09-26,GC,GCU18
2018-07-11,1246.4082,1246.4082,1246.4082,1246.4082,290.0,257.0,2018-09-26,GC,GCU18
2018-07-12,1240.0515,1240.0515,1240.0515,1240.0515,548.0,422.0,2018-09-26,GC,GCU18
2018-07-13,1236.3313,1236.3313,1236.3313,1236.3313,160.0,433.0,2018-09-26,GC,GCU18
2018-07-16,1240.4112,1240.4112,1240.4112,1240.4112,213.0,466.0,2018-09-26,GC,GCU18
2018-07-17,1235.0774,1235.0774,1235.0774,1235.0774,418.0,590.0,2018-09-26,GC,GCU18
2018-07-18,1240.6352,1240.6352,1240.6352,1240.6352,260.0,526.0,2018-09-26,GC,GCU18
2018-07-19,1241.6277,1241.6277,1241.6277,1241.6277,422.0,578.0,2018-09-26,GC,GCU18
2018-07-20,1251.4366,1251.4366,1251.4366,1251.4366,1043.0,812.0,2018-09-26,GC,GCU18
2018-07-23,1249.9349,1249.9349,1249.9349,1249.9349,663.0,1087.0,2018-09-26,GC,GCU18
2018-07-24,1258.1845,1258.1845,1258.1845,1258.1845,696.0,1004.0,2018-09-26,GC,GCU18
2018-07-25,1253.655,1253.655,1253.655,1253.655,559.0,1109.0,2018-09-26,GC,GCU18
2018-07-26,1246.7599,1246.7599,1246.7599,1246.7599,1119.0,1849.0,2018-09-26,GC,GCU18
2018-07-27,1250.3755,1250.3755,1250.3755,1250.3755,2072.0,2471.0,2018-09-26,GC,GCU18
2018-07-30,1249.2502,1249.2502,1249.2502,1249.2502,1837.0,2180.0,2018-09-26,GC,GCU18
2018-07-31,1252.6232,1252.6232,1252.6232,1252.6232,964.0,2718.0,2018-09-26,GC,GCU18
2018-08-01,1250.118,1250.118,1250.118,1250.118,890.0,2366.0,2018-09-26,GC,GCU18
2018-08-02,1238.9919,1238.9919,1238.9919,1238.9919,1454.0,2668.0,2018-09-26,GC,GCU18
2018-08-03,1246.0542,1246.0542,1246.0542,1246.0542,1116.0,1986.0,2018-09-26,GC,GCU18
2018-08-06,1246.428,1246.428,1246.428,1246.428,641.0,2611.0,2018-09-26,GC,GCU18
2018-08-07,1258.3937,1258.3937,1258.3937,1258.3937,1070.0,2444.0,2018-09-26,GC,GCU18
2018-08-08,1259.4004,1259.4004,1259.4004,1259.4004,670.0,1990.0,2018-09-26,GC,GCU18
2018-08-09,1259.6523,1259.6523,1259.6523,1259.6523,434.0,2327.0,2018-09-26,GC,GCU18
2018-08-10,1251.9684,1251.9684,1251.9684,1251.9684,654.0,2205.0,2018-09-26,GC,GCU18
2018-08-13,1255.8495,1255.8495,1255.8495,1255.8495,1308.0,1990.0,2018-09-26,GC,GCU18
2018-08-14,1268.7847,1268.7847,1268.7847,1268.7847,756.0,2541.0,2018-09-26,GC,GCU18
2018-08-15,1262.6945,1262.6945,1262.6945,1262.6945,915.0,2519.0,2018-09-26,GC,GCU18
2018-08-16,1263.9572,1263.9572,1263.9572,1263.9572,1405.0,2335.0,2018-09-26,GC,GCU18
2018-08-17,1252.9608,1252.9608,1252.9608,1252.9608,580.0,2073.0,2018-09-26,GC,GCU18
2018-08-20,1261.7315,1261.7315,1261.7315,1261.7315,254.0,2316.0,2018-09-26,GC,GCU18
2018-08-21,1256.9369,1256.9369,1256.9369,1256.9369,535.0,2312.0,2018-09-26,GC,GCU18
2018-08-22,1262.216,1262.216,1262.216,1262.216,439.0,1997.0,2018-09-26,GC,GCU18
2018-08-23,1260.8276,1260.8276,1260.8276,1260.8276,450.0,1798.0,2018-09-26,GC,GCU18
2018-08-24,1250.1106,1250.1106,1250.1106,1250.1106,661.0,1418.0,2018-09-26,GC,GCU18
2018-08-27,1237.4845,1237.4845,1237.4845,1237.4845,586.0,1386.0,2018-09-26,GC,GCU18
2018-08-28,1230.5546,1230.5546,1230.5546,1230.5546,1254.0,945.0,2018-09-26,GC,GCU18
2018-08-29,1232.5235,1232.5235,1232.5235,1232.5235,882.0,569.0,2018-09-26,GC,GCU18
2018-08-30,1244.6022,1244.6022,1244.6022,1244.6022,557.0,548.0,2018-09-26,GC,GCU18
2018-08-31,1257.5461,1257.5461,1257.5461,1257.5461,193.0,154.0,2018-09-26,GC,GCU18
2018-09-04,1247.2342,1247.2342,1247.2342,1247.2342,26.0,90.0,2018-09-26,GC,GCU18
2018-09-05,1236.0091,1236.0091,1236.0091,1236.0091,17.0,89.0,2018-09-26,GC,GCU18
2018-09-06,1225.2558,1225.2558,1225.2558,1225.2558,7.0,72.0,2018-09-26,GC,GCU18
2018-09-07,1230.5244,1230.5244,1230.5244,1230.5244,25.0,40.0,2018-09-26,GC,GCU18
2018-09-10,1221.2955,1221.2955,1221.2955,1221.2955,12.0,28.0,2018-09-26,GC,GCU18
2018-09-11,1208.3498,1208.3498,1208.3498,1208.3498,22.0,27.0,2018-09-26,GC,GCU18
2018-09-12,1204.3622,1204.3622,1204.3622,1204.3622,40.0,54.0,2018-09-26,GC,GCU18
2018-09-13,1213.6358,1213.6358,1213.6358,1213.6358,20.0,80.0,2018-09-26,GC,GCU18
2018-09-14,1212.3008,1212.3008,1212.3008,1212.3008,1.0,16.0,2018-09-26,GC,GCU18
2018-09-17,1211.8159,1211.8159,1211.8159,1211.8159,0.0,15.0,2018-09-26,GC,GCU18
2018-09-18,1205.3933,1205.3933,1205.3933,1205.3933,2.0,20.0,2018-09-26,GC,GCU18
2018-09-19,1205.8755,1205.8755,1205.8755,1205.8755,0.0,18.0,2018-09-26,GC,GCU18
2018-09-20,1214.196,1214.196,1214.196,1214.196,0.0,16.0,2018-09-26,GC,GCU18
2018-09-21,1224.6381,1224.6381,1224.6381,1224.6381,0.0,17.0,2018-09-26,GC,GCU18
2018-09-24,1233.8229,1233.8229,1233.8229,1233.8229,0.0,19.0,2018-09-26,GC,GCU18
2018-09-25,1238.5114,1238.5114,1238.5114,1238.5114,25.0,18.0,2018-09-26,GC,GCU18
2018-09-26,1240.3692,1240.3692,1240.3692,1240.3692,3.0,4.0,2018-09-26,GC,GCU18
