,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-30,1197.4256,1197.4256,1197.4256,1197.4256,0.0,0.0,2018-10-29,GC,GCV18
2016-12-01,1206.6458,1206.6458,1206.6458,1206.6458,0.0,0.0,2018-10-29,GC,GCV18
2016-12-02,1206.8871,1206.8871,1206.8871,1206.8871,0.0,0.0,2018-10-29,GC,GCV18
2016-12-05,1213.1629,1213.1629,1213.1629,1213.1629,0.0,0.0,2018-10-29,GC,GCV18
2016-12-06,1206.0052,1206.0052,1206.0052,1206.0052,0.0,0.0,2018-10-29,GC,GCV18
2016-12-07,1199.131,1199.131,1199.131,1199.131,0.0,0.0,2018-10-29,GC,GCV18
2016-12-08,1192.5358,1192.5358,1192.5358,1192.5358,0.0,0.0,2018-10-29,GC,GCV18
2016-12-09,1178.7024,1178.7024,1178.7024,1178.7024,0.0,0.0,2018-10-29,GC,GCV18
2016-12-12,1167.7405,1167.7405,1167.7405,1167.7405,0.0,0.0,2018-10-29,GC,GCV18
2016-12-13,1156.8805,1156.8805,1156.8805,1156.8805,0.0,0.0,2018-10-29,GC,GCV18
2016-12-14,1141.9567,1141.9567,1141.9567,1141.9567,0.0,0.0,2018-10-29,GC,GCV18
2016-12-15,1134.534,1134.534,1134.534,1134.534,1.0,1.0,2018-10-29,GC,GCV18
2016-12-16,1140.8874,1140.8874,1140.8874,1140.8874,0.0,1.0,2018-10-29,GC,GCV18
2016-12-19,1137.807,1137.807,1137.807,1137.807,2.0,3.0,2018-10-29,GC,GCV18
2016-12-20,1149.6402,1149.6402,1149.6402,1149.6402,0.0,3.0,2018-10-29,GC,GCV18
2016-12-21,1138.9485,1138.9485,1138.9485,1138.9485,0.0,3.0,2018-10-29,GC,GCV18
2016-12-22,1126.7618,1126.7618,1126.7618,1126.7618,0.0,3.0,2018-10-29,GC,GCV18
2016-12-23,1141.297,1141.297,1141.297,1141.297,0.0,3.0,2018-10-29,GC,GCV18
2016-12-27,1135.4764,1135.4764,1135.4764,1135.4764,1.0,3.0,2018-10-29,GC,GCV18
2016-12-28,1143.9925,1143.9925,1143.9925,1143.9925,0.0,4.0,2018-10-29,GC,GCV18
2016-12-29,1158.5212,1158.5212,1158.5212,1158.5212,0.0,3.0,2018-10-29,GC,GCV18
2016-12-30,1147.1677,1147.1677,1147.1677,1147.1677,0.0,3.0,2018-10-29,GC,GCV18
2017-01-03,1161.622,1161.622,1161.622,1161.622,0.0,3.0,2018-10-29,GC,GCV18
2017-01-04,1170.3342,1170.3342,1170.3342,1170.3342,3.0,5.0,2018-10-29,GC,GCV18
2017-01-05,1164.3655,1164.3655,1164.3655,1164.3655,0.0,5.0,2018-10-29,GC,GCV18
2017-01-06,1165.4134,1165.4134,1165.4134,1165.4134,0.0,6.0,2018-10-29,GC,GCV18
2017-01-09,1162.966,1162.966,1162.966,1162.966,0.0,4.0,2018-10-29,GC,GCV18
2017-01-10,1167.9668,1167.9668,1167.9668,1167.9668,0.0,4.0,2018-10-29,GC,GCV18
2017-01-11,1169.602,1169.602,1169.602,1169.602,0.0,5.0,2018-10-29,GC,GCV18
2017-01-12,1171.7073,1171.7073,1171.7073,1171.7073,1.0,4.0,2018-10-29,GC,GCV18
2017-01-13,1181.1981,1181.1981,1181.1981,1181.1981,1.0,5.0,2018-10-29,GC,GCV18
2017-01-17,1166.5512,1166.5512,1166.5512,1166.5512,0.0,5.0,2018-10-29,GC,GCV18
2017-01-18,1175.8836,1175.8836,1175.8836,1175.8836,0.0,6.0,2018-10-29,GC,GCV18
2017-01-19,1181.2927,1181.2927,1181.2927,1181.2927,0.0,5.0,2018-10-29,GC,GCV18
2017-01-20,1186.9629,1186.9629,1186.9629,1186.9629,0.0,5.0,2018-10-29,GC,GCV18
2017-01-23,1179.9598,1179.9598,1179.9598,1179.9598,0.0,6.0,2018-10-29,GC,GCV18
2017-01-24,1170.7561,1170.7561,1170.7561,1170.7561,0.0,5.0,2018-10-29,GC,GCV18
2017-01-25,1164.3169,1164.3169,1164.3169,1164.3169,2.0,5.0,2018-10-29,GC,GCV18
2017-01-26,1173.7479,1173.7479,1173.7479,1173.7479,1.0,4.0,2018-10-29,GC,GCV18
2017-01-27,1161.893,1161.893,1161.893,1161.893,0.0,6.0,2018-10-29,GC,GCV18
2017-01-30,1170.2586,1170.2586,1170.2586,1170.2586,0.0,4.0,2018-10-29,GC,GCV18
2017-01-31,1157.7368,1157.7368,1157.7368,1157.7368,0.0,6.0,2018-10-29,GC,GCV18
