,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-08-30,1199.6777,1199.6777,1199.6777,1199.6777,0.0,0.0,2018-09-26,GC,GCX18
2018-08-31,1184.4418,1184.4418,1184.4418,1184.4418,2.0,0.0,2018-09-26,GC,GCX18
2018-09-04,1195.9309,1195.9309,1195.9309,1195.9309,54.0,20.0,2018-09-26,GC,GCX18
2018-09-05,1185.7655,1185.7655,1185.7655,1185.7655,16.0,18.0,2018-09-26,GC,GCX18
2018-09-06,1195.9631,1195.9631,1195.9631,1195.9631,9.0,18.0,2018-09-26,GC,GCX18
2018-09-07,1186.515,1186.515,1186.515,1186.515,13.0,21.0,2018-09-26,GC,GCX18
2018-09-10,1174.7685,1174.7685,1174.7685,1174.7685,23.0,23.0,2018-09-26,GC,GCX18
2018-09-11,1160.3188,1160.3188,1160.3188,1160.3188,27.0,29.0,2018-09-26,GC,GCX18
2018-09-12,1171.5739,1171.5739,1171.5739,1171.5739,43.0,37.0,2018-09-26,GC,GCX18
2018-09-13,1160.6783,1160.6783,1160.6783,1160.6783,84.0,41.0,2018-09-26,GC,GCX18
2018-09-14,1160.5622,1160.5622,1160.5622,1160.5622,137.0,66.0,2018-09-26,GC,GCX18
2018-09-17,1174.3729,1174.3729,1174.3729,1174.3729,52.0,83.0,2018-09-26,GC,GCX18
2018-09-18,1161.9245,1161.9245,1161.9245,1161.9245,40.0,73.0,2018-09-26,GC,GCX18
2018-09-19,1169.3608,1169.3608,1169.3608,1169.3608,120.0,99.0,2018-09-26,GC,GCX18
2018-09-20,1171.4656,1171.4656,1171.4656,1171.4656,91.0,77.0,2018-09-26,GC,GCX18
2018-09-21,1161.2738,1161.2738,1161.2738,1161.2738,380.0,236.0,2018-09-26,GC,GCX18
2018-09-24,1173.4672,1173.4672,1173.4672,1173.4672,201.0,232.0,2018-09-26,GC,GCX18
2018-09-25,1187.1968,1187.1968,1187.1968,1187.1968,145.0,286.0,2018-09-26,GC,GCX18
2018-09-26,1178.2928,1178.2928,1178.2928,1178.2928,446.0,474.0,2018-09-26,GC,GCX18
2018-09-27,1177.468,1177.468,1177.468,1177.468,385.0,594.0,2018-09-26,GC,GCX18
2018-09-28,1166.6353,1166.6353,1166.6353,1166.6353,359.0,591.0,2018-09-26,GC,GCX18
2018-10-01,1165.1187,1165.1187,1165.1187,1165.1187,173.0,518.0,2018-09-26,GC,GCX18
2018-10-02,1154.5161,1154.5161,1154.5161,1154.5161,758.0,549.0,2018-09-26,GC,GCX18
2018-10-03,1161.4432,1161.4432,1161.4432,1161.4432,212.0,579.0,2018-09-26,GC,GCX18
2018-10-04,1147.9705,1147.9705,1147.9705,1147.9705,174.0,505.0,2018-09-26,GC,GCX18
2018-10-05,1133.0469,1133.0469,1133.0469,1133.0469,225.0,664.0,2018-09-26,GC,GCX18
2018-10-08,1124.6624,1124.6624,1124.6624,1124.6624,275.0,490.0,2018-09-26,GC,GCX18
2018-10-09,1125.2247,1125.2247,1125.2247,1125.2247,184.0,607.0,2018-09-26,GC,GCX18
2018-10-10,1139.29,1139.29,1139.29,1139.29,237.0,605.0,2018-09-26,GC,GCX18
2018-10-11,1149.0879,1149.0879,1149.0879,1149.0879,1119.0,529.0,2018-09-26,GC,GCX18
2018-10-12,1161.613,1161.613,1161.613,1161.613,307.0,522.0,2018-09-26,GC,GCX18
2018-10-15,1164.4009,1164.4009,1164.4009,1164.4009,341.0,370.0,2018-09-26,GC,GCX18
2018-10-16,1163.7023,1163.7023,1163.7023,1163.7023,326.0,369.0,2018-09-26,GC,GCX18
2018-10-17,1170.6845,1170.6845,1170.6845,1170.6845,234.0,421.0,2018-09-26,GC,GCX18
2018-10-18,1186.3717,1186.3717,1186.3717,1186.3717,217.0,405.0,2018-09-26,GC,GCX18
2018-10-19,1197.2863,1197.2863,1197.2863,1197.2863,117.0,308.0,2018-09-26,GC,GCX18
2018-10-22,1207.7027,1207.7027,1207.7027,1207.7027,95.0,390.0,2018-09-26,GC,GCX18
2018-10-23,1215.432,1215.432,1215.432,1215.432,322.0,271.0,2018-09-26,GC,GCX18
2018-10-24,1205.7085,1205.7085,1205.7085,1205.7085,357.0,257.0,2018-09-26,GC,GCX18
2018-10-25,1216.5599,1216.5599,1216.5599,1216.5599,311.0,254.0,2018-09-26,GC,GCX18
2018-10-26,1206.4625,1206.4625,1206.4625,1206.4625,317.0,161.0,2018-09-26,GC,GCX18
2018-10-29,1217.4413,1217.4413,1217.4413,1217.4413,197.0,108.0,2018-09-26,GC,GCX18
2018-10-30,1228.1548,1228.1548,1228.1548,1228.1548,66.0,122.0,2018-09-26,GC,GCX18
2018-10-31,1224.2247,1224.2247,1224.2247,1224.2247,132.0,60.0,2018-09-26,GC,GCX18
2018-11-01,1234.8755,1234.8755,1234.8755,1234.8755,12.0,25.0,2018-09-26,GC,GCX18
2018-11-02,1249.2001,1249.2001,1249.2001,1249.2001,21.0,26.0,2018-09-26,GC,GCX18
2018-11-05,1249.8247,1249.8247,1249.8247,1249.8247,13.0,12.0,2018-09-26,GC,GCX18
2018-11-06,1244.7004,1244.7004,1244.7004,1244.7004,4.0,7.0,2018-09-26,GC,GCX18
2018-11-07,1255.9027,1255.9027,1255.9027,1255.9027,1.0,5.0,2018-09-26,GC,GCX18
2018-11-08,1243.0925,1243.0925,1243.0925,1243.0925,2.0,6.0,2018-09-26,GC,GCX18
2018-11-09,1226.6837,1226.6837,1226.6837,1226.6837,13.0,14.0,2018-09-26,GC,GCX18
2018-11-12,1232.0811,1232.0811,1232.0811,1232.0811,1.0,8.0,2018-09-26,GC,GCX18
2018-11-13,1222.9637,1222.9637,1222.9637,1222.9637,5.0,7.0,2018-09-26,GC,GCX18
2018-11-14,1238.4953,1238.4953,1238.4953,1238.4953,0.0,6.0,2018-09-26,GC,GCX18
