,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-01-30,266.4029,266.4029,266.4029,266.4029,0.0,0.0,2019-01-29,HG,HGF19
2017-01-31,261.0748,261.0748,261.0748,261.0748,50.0,39.0,2019-01-29,HG,HGF19
2017-02-01,264.8604,264.8604,264.8604,264.8604,0.0,36.0,2019-01-29,HG,HGF19
2017-02-02,258.7951,258.7951,258.7951,258.7951,0.0,52.0,2019-01-29,HG,HGF19
2017-02-03,254.5509,254.5509,254.5509,254.5509,0.0,40.0,2019-01-29,HG,HGF19
2017-02-06,255.3909,255.3909,255.3909,255.3909,0.0,51.0,2019-01-29,HG,HGF19
2017-02-07,253.4755,253.4755,253.4755,253.4755,0.0,52.0,2019-01-29,HG,HGF19
2017-02-08,251.1942,251.1942,251.1942,251.1942,40.0,81.0,2019-01-29,HG,HGF19
2017-02-09,245.266,245.266,245.266,245.266,0.0,75.0,2019-01-29,HG,HGF19
2017-02-10,249.0431,249.0431,249.0431,249.0431,0.0,78.0,2019-01-29,HG,HGF19
2017-02-13,243.3898,243.3898,243.3898,243.3898,0.0,87.0,2019-01-29,HG,HGF19
2017-02-14,246.7973,246.7973,246.7973,246.7973,0.0,104.0,2019-01-29,HG,HGF19
2017-02-15,250.2525,250.2525,250.2525,250.2525,0.0,98.0,2019-01-29,HG,HGF19
2017-02-16,250.8531,250.8531,250.8531,250.8531,0.0,80.0,2019-01-29,HG,HGF19
2017-02-17,250.7277,250.7277,250.7277,250.7277,0.0,105.0,2019-01-29,HG,HGF19
2017-02-21,253.0595,253.0595,253.0595,253.0595,0.0,94.0,2019-01-29,HG,HGF19
2017-02-22,249.6179,249.6179,249.6179,249.6179,0.0,101.0,2019-01-29,HG,HGF19
2017-02-23,252.4136,252.4136,252.4136,252.4136,0.0,85.0,2019-01-29,HG,HGF19
2017-02-24,257.6386,257.6386,257.6386,257.6386,0.0,103.0,2019-01-29,HG,HGF19
2017-02-27,253.233,253.233,253.233,253.233,0.0,81.0,2019-01-29,HG,HGF19
2017-02-28,256.5504,256.5504,256.5504,256.5504,0.0,75.0,2019-01-29,HG,HGF19
2017-03-01,260.8604,260.8604,260.8604,260.8604,0.0,81.0,2019-01-29,HG,HGF19
2017-03-02,257.7822,257.7822,257.7822,257.7822,0.0,74.0,2019-01-29,HG,HGF19
2017-03-03,263.1183,263.1183,263.1183,263.1183,0.0,78.0,2019-01-29,HG,HGF19
2017-03-06,265.5653,265.5653,265.5653,265.5653,0.0,94.0,2019-01-29,HG,HGF19
2017-03-07,268.4068,268.4068,268.4068,268.4068,0.0,94.0,2019-01-29,HG,HGF19
2017-03-08,270.7151,270.7151,270.7151,270.7151,0.0,85.0,2019-01-29,HG,HGF19
2017-03-09,273.1245,273.1245,273.1245,273.1245,0.0,85.0,2019-01-29,HG,HGF19
2017-03-10,273.8619,273.8619,273.8619,273.8619,17.0,89.0,2019-01-29,HG,HGF19
2017-03-13,269.8909,269.8909,269.8909,269.8909,0.0,122.0,2019-01-29,HG,HGF19
2017-03-14,270.7546,270.7546,270.7546,270.7546,0.0,112.0,2019-01-29,HG,HGF19
2017-03-15,273.3538,273.3538,273.3538,273.3538,0.0,86.0,2019-01-29,HG,HGF19
2017-03-16,271.3583,271.3583,271.3583,271.3583,0.0,117.0,2019-01-29,HG,HGF19
2017-03-17,269.0246,269.0246,269.0246,269.0246,0.0,107.0,2019-01-29,HG,HGF19
2017-03-20,268.2982,268.2982,268.2982,268.2982,0.0,110.0,2019-01-29,HG,HGF19
2017-03-21,268.8616,268.8616,268.8616,268.8616,0.0,110.0,2019-01-29,HG,HGF19
